"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"5PAISA","EQ","11-Sep-2018","        292.85","        286.65","        299.75","        286.65","        287.10","        287.20","        290.42","       5694","             1653661.90","        281","       2499","         43.89"
"5PAISA","EQ","12-Sep-2018","        287.20","        300.00","        300.00","        283.05","        283.70","        284.45","        286.01","       2245","              642099.60","        297","       1422","         63.34"
"5PAISA","EQ","14-Sep-2018","        284.45","        299.95","        299.95","        288.00","        290.00","        289.80","        292.03","      10469","             3057284.40","        546","       5596","         53.45"
"5PAISA","EQ","17-Sep-2018","        289.80","        282.05","        289.00","        275.20","        285.00","        284.50","        282.66","       7551","             2134332.60","        255","       4871","         64.51"
"5PAISA","EQ","18-Sep-2018","        284.50","        281.10","        293.95","        281.10","        285.05","        285.55","        287.50","       3607","             1037001.90","        166","       2329","         64.57"
"5PAISA","EQ","19-Sep-2018","        285.55","        285.30","        289.70","        275.00","        275.00","        276.50","        280.85","      10129","             2844719.75","        325","       8654","         85.44"
"5PAISA","EQ","21-Sep-2018","        276.50","        278.00","        287.00","        251.60","        262.95","        261.00","        266.61","      24849","             6625061.75","        957","      15211","         61.21"
"5PAISA","EQ","24-Sep-2018","        261.00","        265.00","        273.50","        240.00","        250.05","        249.35","        264.85","      28120","             7447629.50","        481","      24637","         87.61"
"5PAISA","EQ","25-Sep-2018","        249.35","        250.05","        254.75","        228.90","        240.00","        238.75","        238.26","      10320","             2458812.30","        376","       5666","         54.90"
"5PAISA","EQ","26-Sep-2018","        238.75","        248.95","        248.95","        230.05","        248.60","        244.95","        242.48","       4505","             1092351.40","        310","       1664","         36.94"
"5PAISA","EQ","27-Sep-2018","        244.95","        250.00","        260.00","        223.55","        232.00","        235.75","        240.41","       6532","             1570337.60","        317","       3955","         60.55"
"5PAISA","EQ","28-Sep-2018","        235.75","        233.00","        236.65","        220.00","        227.00","        226.20","        224.69","      14948","             3358729.10","        411","       6735","         45.06"
"5PAISA","EQ","01-Oct-2018","        226.20","        239.50","        239.50","        203.60","        211.50","        210.80","        217.54","      28915","             6290270.60","        520","      15739","         54.43"
"5PAISA","EQ","03-Oct-2018","        210.80","        204.25","        214.80","        192.30","        207.45","        208.65","        207.79","      12602","             2618611.60","        336","       8919","         70.77"
"5PAISA","EQ","04-Oct-2018","        208.65","        200.50","        209.00","        193.30","        207.00","        206.00","        200.96","       6604","             1327128.55","        313","       4709","         71.31"
"5PAISA","EQ","05-Oct-2018","        206.00","        201.00","        209.00","        196.00","        197.70","        199.75","        199.67","       7670","             1531440.70","        192","       5255","         68.51"
"5PAISA","EQ","08-Oct-2018","        199.75","        200.00","        209.70","        196.00","        209.70","        208.85","        203.74","      25672","             5230457.30","        822","      13337","         51.95"
"5PAISA","EQ","09-Oct-2018","        208.85","        209.70","        214.65","        201.00","        202.00","        203.30","        206.44","       6509","             1343711.85","        228","       1219","         18.73"
"5PAISA","EQ","10-Oct-2018","        203.30","        211.70","        213.45","        193.15","        198.00","        201.05","        202.31","      21400","             4329471.80","        588","       9560","         44.67"
"5PAISA","EQ","11-Oct-2018","        201.05","        198.80","        204.00","        193.35","        195.85","        195.50","        196.13","      10257","             2011687.70","        601","       4053","         39.51"
"5PAISA","EQ","12-Oct-2018","        195.50","        199.40","        204.00","        195.00","        203.30","        202.90","        200.60","       9689","             1943577.40","        335","       5184","         53.50"
"5PAISA","EQ","15-Oct-2018","        202.90","        203.30","        207.15","        195.30","        204.30","        205.35","        203.79","       6292","             1282270.60","        152","       4468","         71.01"
"5PAISA","EQ","16-Oct-2018","        205.35","        207.95","        215.60","        204.00","        207.90","        207.65","        210.18","       8874","             1865173.95","        361","       4681","         52.75"
"5PAISA","EQ","17-Oct-2018","        207.65","        214.80","        218.00","        201.50","        205.00","        205.35","        211.62","       8075","             1708799.65","        288","       2490","         30.84"
"5PAISA","EQ","19-Oct-2018","        205.35","        196.50","        207.45","        195.50","        195.75","        196.10","        197.78","       3738","              739319.20","        240","       2412","         64.53"
"5PAISA","EQ","22-Oct-2018","        196.10","        197.00","        199.00","        186.30","        186.30","        186.30","        189.01","       7564","             1429655.35","        475","       5468","         72.29"
"5PAISA","EQ","23-Oct-2018","        186.30","        188.50","        188.50","        177.00","        178.95","        178.75","        178.31","      12203","             2175976.15","        397","       8074","         66.16"
"5PAISA","EQ","24-Oct-2018","        178.75","        171.55","        183.95","        171.00","        178.00","        178.40","        175.33","       3882","              680622.00","        338","       1651","         42.53"
"5PAISA","EQ","25-Oct-2018","        178.40","        176.90","        186.00","        170.05","        183.35","        182.95","        180.16","       4551","              819886.70","        321","       2015","         44.28"
"5PAISA","EQ","26-Oct-2018","        182.95","        183.35","        185.00","        175.00","        177.75","        178.05","        179.71","       4133","              742725.55","        227","       2709","         65.55"
"5PAISA","EQ","29-Oct-2018","        178.05","        174.60","        186.90","        174.55","        180.80","        179.90","        179.31","       7369","             1321340.40","        389","       2745","         37.25"
"5PAISA","EQ","30-Oct-2018","        179.90","        186.80","        186.80","        175.10","        175.10","        177.40","        179.99","       4522","              813901.15","        375","       2098","         46.40"
