"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AARTIIND","EQ","11-Sep-2018","       1331.25","       1331.25","       1342.65","       1299.05","       1325.00","       1309.90","       1320.19","      15078","            19905755.65","       1581","      10131","         67.19"
"AARTIIND","EQ","12-Sep-2018","       1309.90","       1310.00","       1317.80","       1294.00","       1299.00","       1301.15","       1304.83","      14800","            19311461.95","       1292","      10416","         70.38"
"AARTIIND","EQ","14-Sep-2018","       1301.15","       1301.15","       1333.15","       1301.15","       1321.10","       1324.40","       1324.13","      10779","            14272798.10","       1177","       5493","         50.96"
"AARTIIND","EQ","17-Sep-2018","       1324.40","       1324.35","       1359.00","       1310.05","       1326.35","       1336.95","       1330.69","      14367","            19118069.80","       1631","      10652","         74.14"
"AARTIIND","EQ","18-Sep-2018","       1336.95","       1345.00","       1345.00","       1304.90","       1314.00","       1310.00","       1325.86","      13693","            18154941.75","        936","       9645","         70.44"
"AARTIIND","EQ","19-Sep-2018","       1310.00","       1315.00","       1340.95","       1293.00","       1320.00","       1313.85","       1324.09","      16666","            22067315.95","       1828","      10950","         65.70"
"AARTIIND","EQ","21-Sep-2018","       1313.85","       1338.75","       1338.75","       1258.65","       1309.00","       1295.60","       1305.71","      35295","            46085083.85","       3660","      22101","         62.62"
"AARTIIND","EQ","24-Sep-2018","       1295.60","       1303.00","       1303.00","       1212.00","       1231.00","       1233.30","       1253.03","      26144","            32759178.35","       2643","      19745","         75.52"
"AARTIIND","EQ","25-Sep-2018","       1233.30","       1226.05","       1260.00","       1185.25","       1260.00","       1229.05","       1216.04","      33542","            40788557.15","       3471","      24430","         72.83"
"AARTIIND","EQ","26-Sep-2018","       1229.05","       1249.70","       1249.70","       1186.25","       1199.25","       1198.45","       1201.68","      41142","            49439506.55","       3631","      32293","         78.49"
"AARTIIND","EQ","27-Sep-2018","       1198.45","       1191.20","       1203.35","       1180.00","       1183.85","       1188.35","       1189.99","      28038","            33365019.05","       2014","      23851","         85.07"
"AARTIIND","EQ","28-Sep-2018","       1188.35","       1200.00","       1214.85","       1100.00","       1170.00","       1162.20","       1191.68","      66759","            79555209.75","       6292","      54978","         82.35"
"AARTIIND","EQ","01-Oct-2018","       1162.20","       1155.20","       1161.00","       1104.85","       1160.00","       1138.85","       1133.57","      31467","            35669955.50","       2928","      21281","         67.63"
"AARTIIND","EQ","03-Oct-2018","       1138.85","       1138.85","       1224.95","       1138.85","       1224.90","       1207.05","       1179.15","      41029","            48379395.35","       3958","      34235","         83.44"
"AARTIIND","EQ","04-Oct-2018","       1207.05","       1203.75","       1217.00","       1166.05","       1198.00","       1203.50","       1192.30","      14104","            16816145.40","       2493","       7493","         53.13"
"AARTIIND","EQ","05-Oct-2018","       1203.50","       1207.60","       1208.80","       1180.00","       1199.00","       1199.55","       1200.47","      27697","            33249494.25","       5820","      18708","         67.55"
"AARTIIND","EQ","08-Oct-2018","       1199.55","       1191.00","       1265.00","       1180.05","       1251.00","       1245.10","       1216.81","      58019","            70597997.40","       8332","      43930","         75.72"
"AARTIIND","EQ","09-Oct-2018","       1245.10","       1252.00","       1252.00","       1213.85","       1226.00","       1229.40","       1227.64","      34022","            41766708.55","       6130","      21892","         64.35"
"AARTIIND","EQ","10-Oct-2018","       1229.40","       1230.00","       1250.65","       1230.00","       1245.00","       1246.50","       1239.80","      19863","            24626106.25","       2658","      14837","         74.70"
"AARTIIND","EQ","11-Oct-2018","       1246.50","       1224.50","       1294.00","       1200.35","       1284.50","       1283.40","       1262.98","      28405","            35874980.90","       4035","      12808","         45.09"
"AARTIIND","EQ","12-Oct-2018","       1283.40","       1284.50","       1325.00","       1265.05","       1299.90","       1294.40","       1297.06","      22066","            28620884.25","       2473","      11403","         51.68"
"AARTIIND","EQ","15-Oct-2018","       1294.40","       1323.00","       1323.00","       1263.90","       1272.00","       1272.15","       1282.98","      14625","            18763518.50","       2459","       7266","         49.68"
"AARTIIND","EQ","16-Oct-2018","       1272.15","       1282.35","       1313.30","       1270.15","       1278.00","       1280.25","       1288.53","      16475","            21228474.45","       2730","       9642","         58.53"
"AARTIIND","EQ","17-Oct-2018","       1280.25","       1285.00","       1306.40","       1245.75","       1252.00","       1252.45","       1274.62","     112657","           143594705.80","       1905","     106434","         94.48"
"AARTIIND","EQ","19-Oct-2018","       1252.45","       1244.90","       1258.55","       1238.10","       1238.10","       1245.55","       1243.97","      33299","            41423005.10","       6484","      22851","         68.62"
"AARTIIND","EQ","22-Oct-2018","       1245.55","       1242.00","       1259.50","       1224.00","       1251.10","       1250.65","       1249.58","     116362","           145403176.35","       2443","     109342","         93.97"
"AARTIIND","EQ","23-Oct-2018","       1250.65","       1249.70","       1261.10","       1235.00","       1249.95","       1248.85","       1249.36","      27187","            33966286.85","       4619","      19160","         70.47"
"AARTIIND","EQ","24-Oct-2018","       1248.85","       1254.65","       1296.00","       1245.70","       1270.90","       1266.60","       1265.75","      15551","            19683736.55","       3528","       9607","         61.78"
"AARTIIND","EQ","25-Oct-2018","       1266.60","       1272.00","       1294.00","       1225.00","       1285.00","       1281.60","       1268.36","      31934","            40503907.80","       4347","      21142","         66.21"
"AARTIIND","EQ","26-Oct-2018","       1281.60","       1281.60","       1298.00","       1248.00","       1250.00","       1250.20","       1256.11","      39613","            49758137.40","       2214","      31811","         80.30"
