"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ABFRL","EQ","11-Sep-2018","        192.05","        192.75","        196.80","        187.40","        190.10","        188.65","        191.44","    1438437","           275380124.00","      30293","     900635","         62.61"
"ABFRL","EQ","12-Sep-2018","        188.65","        190.10","        192.60","        187.00","        192.00","        190.60","        189.47","    1164730","           220682819.05","      12001","     746117","         64.06"
"ABFRL","EQ","14-Sep-2018","        190.60","        192.80","        195.25","        190.50","        191.95","        192.05","        193.08","     653614","           126198673.00","       5531","     322868","         49.40"
"ABFRL","EQ","17-Sep-2018","        192.05","        191.60","        193.00","        188.00","        190.45","        190.00","        190.41","     425645","            81045442.05","       8652","     129737","         30.48"
"ABFRL","EQ","18-Sep-2018","        190.00","        190.00","        195.00","        187.30","        187.90","        188.00","        191.10","     620400","           118558888.30","      11114","     262984","         42.39"
"ABFRL","EQ","19-Sep-2018","        188.00","        189.40","        191.90","        185.50","        188.20","        188.20","        188.27","     609400","           114732312.50","      10255","     186994","         30.68"
"ABFRL","EQ","21-Sep-2018","        188.20","        192.00","        193.10","        160.25","        184.50","        182.90","        183.11","    1369815","           250832341.30","      14490","     607140","         44.32"
"ABFRL","EQ","24-Sep-2018","        182.90","        180.10","        184.25","        176.30","        180.00","        180.05","        179.45","     603474","           108290898.15","       6200","     352929","         58.48"
"ABFRL","EQ","25-Sep-2018","        180.05","        179.00","        186.95","        173.00","        186.00","        182.55","        178.40","     555272","            99061882.00","       7589","     242556","         43.68"
"ABFRL","EQ","26-Sep-2018","        182.55","        184.10","        188.00","        180.10","        184.70","        184.40","        183.76","     345016","            63401105.90","       6361","     115978","         33.62"
"ABFRL","EQ","27-Sep-2018","        184.40","        184.80","        189.00","        182.85","        186.50","        186.15","        184.63","     307669","            56805004.00","       7243","     160125","         52.04"
"ABFRL","BL","28-Sep-2018","        150.00","        185.35","        185.35","        185.35","        185.35","        185.35","        185.35","     596310","           110526058.50","          1","     596310","        100.00"
"ABFRL","EQ","28-Sep-2018","        186.15","        187.00","        187.70","        177.70","        182.95","        183.50","        183.34","    3619461","           663577389.50","      17227","    3225348","         89.11"
"ABFRL","EQ","01-Oct-2018","        183.50","        180.10","        190.00","        173.00","        186.00","        184.80","        180.96","     723286","           130886035.40","       9841","     358677","         49.59"
"ABFRL","EQ","03-Oct-2018","        184.80","        184.20","        185.80","        178.20","        182.20","        182.20","        182.89","     759036","           138816563.20","      11296","     384989","         50.72"
"ABFRL","EQ","04-Oct-2018","        182.20","        180.00","        186.00","        175.00","        185.00","        182.55","        179.39","     531009","            95257364.15","      10035","     234490","         44.16"
"ABFRL","EQ","05-Oct-2018","        182.55","        183.00","        185.40","        178.15","        179.00","        180.90","        181.66","     746959","           135693390.00","      11485","     469815","         62.90"
"ABFRL","EQ","08-Oct-2018","        180.90","        179.95","        181.00","        174.10","        177.15","        177.30","        177.06","     590635","           104576019.95","       7240","     307029","         51.98"
"ABFRL","EQ","09-Oct-2018","        177.30","        177.25","        179.65","        167.85","        175.25","        175.50","        173.73","     928713","           161348223.75","      13616","     491508","         52.92"
"ABFRL","EQ","10-Oct-2018","        175.50","        175.50","        183.65","        174.80","        175.05","        176.20","        179.84","     698718","           125658831.40","       8201","     423523","         60.61"
"ABFRL","EQ","11-Oct-2018","        176.20","        171.35","        184.90","        167.55","        176.00","        175.05","        178.12","    2479141","           441583441.95","       8514","    1808798","         72.96"
"ABFRL","EQ","12-Oct-2018","        175.05","        176.35","        192.15","        176.35","        186.35","        185.65","        184.92","    1723121","           318638258.95","      25573","     944756","         54.83"
"ABFRL","EQ","15-Oct-2018","        185.65","        186.90","        193.80","        185.00","        189.90","        190.70","        190.31","     567207","           107946930.05","      11930","     169130","         29.82"
"ABFRL","EQ","16-Oct-2018","        190.70","        189.90","        197.30","        186.60","        196.00","        195.20","        192.39","    1178634","           226754991.55","      13987","     456443","         38.73"
"ABFRL","EQ","17-Oct-2018","        195.20","        199.00","        203.80","        184.40","        185.55","        186.20","        193.86","    1539063","           298357830.40","      20526","     567443","         36.87"
"ABFRL","EQ","19-Oct-2018","        186.20","        184.00","        187.75","        180.20","        181.90","        181.90","        182.67","     644806","           117787576.80","       8695","     282731","         43.85"
"ABFRL","EQ","22-Oct-2018","        181.90","        183.75","        183.90","        175.75","        179.00","        177.40","        179.08","     465108","            83292236.85","       6328","     172481","         37.08"
