"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADORWELD","EQ","11-Sep-2018","        362.50","        362.95","        374.70","        353.05","        353.05","        356.10","        366.72","      16619","             6094539.20","        702","       7330","         44.11"
"ADORWELD","EQ","12-Sep-2018","        356.10","        356.30","        356.30","        342.25","        350.50","        349.25","        347.92","       9883","             3438480.70","        429","       6514","         65.91"
"ADORWELD","EQ","14-Sep-2018","        349.25","        354.40","        360.00","        348.00","        349.00","        352.05","        354.83","       5727","             2032125.05","        322","       2419","         42.24"
"ADORWELD","EQ","17-Sep-2018","        352.05","        355.00","        355.00","        346.00","        348.00","        348.05","        348.48","       5427","             1891182.60","        195","       4061","         74.83"
"ADORWELD","EQ","18-Sep-2018","        348.05","        349.00","        355.00","        347.20","        347.20","        347.95","        350.87","       8704","             3053931.70","        205","       7134","         81.96"
"ADORWELD","EQ","19-Sep-2018","        347.95","        348.25","        350.95","        340.20","        345.00","        343.80","        345.45","       9016","             3114538.65","        328","       5662","         62.80"
"ADORWELD","EQ","21-Sep-2018","        343.80","        343.80","        346.40","        281.55","        326.00","        321.10","        331.50","      21407","             7096436.30","        588","      13284","         62.05"
"ADORWELD","EQ","24-Sep-2018","        321.10","        315.00","        320.45","        302.10","        302.10","        303.70","        309.23","       9710","             3002668.65","        429","       7315","         75.33"
"ADORWELD","EQ","25-Sep-2018","        303.70","        301.00","        305.00","        285.50","        303.00","        301.85","        298.88","       8422","             2517159.40","        366","       6247","         74.17"
"ADORWELD","EQ","26-Sep-2018","        301.85","        304.00","        324.95","        301.05","        324.95","        317.15","        307.38","       5150","             1583013.55","        366","       2915","         56.60"
"ADORWELD","EQ","27-Sep-2018","        317.15","        317.15","        320.00","        312.00","        315.00","        314.95","        314.56","       8095","             2546338.55","        273","       6271","         77.47"
"ADORWELD","EQ","28-Sep-2018","        314.95","        314.00","        314.00","        288.00","        305.00","        297.45","        302.67","      11779","             3565199.75","        494","       8471","         71.92"
"ADORWELD","EQ","01-Oct-2018","        297.45","        301.85","        316.95","        282.15","        316.95","        305.80","        292.80","      12390","             3627815.70","        661","       5702","         46.02"
"ADORWELD","EQ","03-Oct-2018","        305.80","        306.00","        306.00","        292.90","        297.05","        295.65","        296.70","       8361","             2480726.20","        341","       5827","         69.69"
"ADORWELD","EQ","04-Oct-2018","        295.65","        292.15","        307.95","        292.00","        302.20","        300.95","        298.84","      10096","             3017089.75","        423","       6324","         62.64"
"ADORWELD","EQ","05-Oct-2018","        300.95","        300.00","        307.95","        291.00","        307.95","        295.80","        295.25","       9298","             2745191.80","        340","       7128","         76.66"
"ADORWELD","EQ","08-Oct-2018","        295.80","        292.85","        300.00","        290.00","        291.20","        292.65","        292.84","       8171","             2392833.40","        223","       6991","         85.56"
"ADORWELD","EQ","09-Oct-2018","        292.65","        294.00","        299.25","        290.00","        290.10","        293.60","        294.04","       5072","             1491382.50","        233","       3591","         70.80"
"ADORWELD","EQ","10-Oct-2018","        293.60","        297.00","        352.30","        292.45","        352.30","        345.45","        335.45","     180327","            60491231.60","       5338","      30526","         16.93"
"ADORWELD","EQ","11-Oct-2018","        345.45","        338.00","        363.90","        322.20","        337.05","        338.30","        349.56","      71857","            25118253.10","       3010","      19659","         27.36"
"ADORWELD","EQ","12-Oct-2018","        338.30","        342.15","        355.00","        338.00","        344.00","        343.50","        344.75","      22328","             7697656.00","        978","      10872","         48.69"
"ADORWELD","EQ","15-Oct-2018","        343.50","        334.10","        352.00","        334.10","        346.10","        347.20","        346.56","      10657","             3693302.15","        365","       5989","         56.20"
"ADORWELD","EQ","16-Oct-2018","        347.20","        345.50","        402.00","        344.00","        386.90","        387.45","        386.65","     148017","            57230377.95","       5862","      34104","         23.04"
"ADORWELD","EQ","17-Oct-2018","        387.45","        390.00","        412.00","        355.15","        379.00","        372.75","        392.58","      87974","            34537197.85","       3009","      33988","         38.63"
"ADORWELD","EQ","19-Oct-2018","        372.75","        361.25","        380.00","        361.25","        366.00","        367.95","        371.44","      12947","             4809073.55","        592","       4700","         36.30"
"ADORWELD","EQ","22-Oct-2018","        367.95","        376.00","        376.00","        362.30","        367.00","        366.30","        369.88","      10230","             3783917.25","        473","       4454","         43.54"
"ADORWELD","EQ","23-Oct-2018","        366.30","        362.65","        378.80","        350.00","        355.85","        354.30","        363.36","      15087","             5482038.65","        776","       6214","         41.19"
"ADORWELD","EQ","24-Oct-2018","        354.30","        359.55","        366.00","        348.00","        353.50","        354.80","        355.31","      11383","             4044538.05","        643","       3667","         32.21"
"ADORWELD","EQ","25-Oct-2018","        354.80","        353.95","        357.50","        343.00","        345.10","        345.75","        348.59","       9047","             3153661.00","        387","       6230","         68.86"
"ADORWELD","EQ","26-Oct-2018","        345.75","        350.70","        352.95","        343.00","        348.85","        348.45","        348.88","       7882","             2749869.65","        406","       3206","         40.67"
"ADORWELD","EQ","29-Oct-2018","        348.45","        350.00","        364.00","        350.00","        358.85","        360.55","        358.20","      10577","             3788710.20","        364","       5813","         54.96"
"ADORWELD","EQ","30-Oct-2018","        360.55","        360.15","        365.65","        356.00","        360.00","        360.05","        361.47","      10802","             3904640.70","        342","       7869","         72.85"
"ADORWELD","EQ","31-Oct-2018","        360.05","        364.95","        364.95","        358.15","        361.50","        361.75","        361.66","       5165","             1867987.10","        167","       2855","         55.28"
"ADORWELD","EQ","01-Nov-2018","        361.75","        378.15","        397.65","        375.00","        381.60","        381.00","        388.45","      58378","            22677000.50","       4662","      12540","         21.48"
"ADORWELD","EQ","02-Nov-2018","        381.00","        388.10","        391.00","        373.25","        374.00","        375.60","        381.19","      36081","            13753589.80","       1216","      12994","         36.01"
"ADORWELD","EQ","05-Nov-2018","        375.60","        375.60","        375.60","        352.35","        360.00","        361.20","        362.15","      15517","             5619461.30","        579","       8013","         51.64"
"ADORWELD","EQ","06-Nov-2018","        361.20","        361.20","        366.50","        353.25","        361.00","        361.45","        362.60","      10364","             3758006.70","        335","       4184","         40.37"
