"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AGCNET","EQ","11-Sep-2018","         99.40","        102.65","        102.70","         99.15","         99.95","         99.30","        100.28","       2195","              220121.10","         58","       1603","         73.03"
"AGCNET","EQ","12-Sep-2018","         99.30","        102.40","        102.40","         98.00","         99.05","         99.10","         98.90","        521","               51524.45","         30","        347","         66.60"
"AGCNET","EQ","14-Sep-2018","         99.10","        100.00","        101.00","         98.10","         98.50","         98.55","         98.70","       1526","              150610.45","         45","        759","         49.74"
"AGCNET","EQ","17-Sep-2018","         98.55","         98.60","         99.85","         89.45","         91.50","         91.00","         93.64","      31657","             2964327.25","        445","      20305","         64.14"
"AGCNET","EQ","18-Sep-2018","         91.00","         91.55","         95.95","         89.10","         89.10","         89.35","         90.04","      13077","             1177461.15","        162","       8861","         67.76"
"AGCNET","EQ","19-Sep-2018","         89.35","         89.35","         92.90","         88.00","         89.00","         89.00","         89.35","       5024","              448913.65","         87","       4660","         92.75"
"AGCNET","EQ","21-Sep-2018","         89.00","         88.05","         88.05","         81.10","         83.85","         82.80","         83.80","       6404","              536635.90","         96","       5208","         81.32"
"AGCNET","EQ","24-Sep-2018","         82.80","         85.00","         87.95","         75.30","         83.85","         83.90","         81.58","       3170","              258618.35","         99","       2035","         64.20"
"AGCNET","EQ","25-Sep-2018","         83.90","         85.90","         86.40","         77.50","         78.00","         78.00","         79.72","       2778","              221453.55","        105","       2204","         79.34"
"AGCNET","EQ","26-Sep-2018","         78.00","         78.00","         78.15","         74.05","         74.05","         74.55","         76.32","       9767","              745456.35","        117","       8807","         90.17"
"AGCNET","EQ","27-Sep-2018","         74.55","         75.00","         77.00","         68.50","         68.55","         68.95","         70.19","       7233","              507694.85","        164","       5083","         70.28"
"AGCNET","EQ","28-Sep-2018","         68.95","         68.00","         73.00","         64.00","         68.85","         67.10","         69.13","       4735","              327310.25","        143","       3317","         70.05"
"AGCNET","EQ","01-Oct-2018","         67.10","         65.65","         74.30","         65.65","         69.00","         68.45","         68.07","       3437","              233953.55","         43","       1950","         56.74"
"AGCNET","EQ","03-Oct-2018","         68.45","         70.00","         70.50","         67.85","         68.00","         68.20","         68.78","       3590","              246920.85","         27","       3325","         92.62"
"AGCNET","EQ","04-Oct-2018","         68.20","         66.55","         68.40","         66.00","         68.05","         68.15","         67.95","       5006","              340162.65","         78","       3345","         66.82"
"AGCNET","EQ","05-Oct-2018","         68.15","         66.00","         69.30","         64.50","         69.00","         68.70","         66.58","       3617","              240809.55","         98","       2620","         72.44"
"AGCNET","EQ","08-Oct-2018","         68.70","         69.00","         69.00","         65.15","         66.95","         67.20","         66.87","       2736","              182949.55","         49","       1772","         64.77"
"AGCNET","EQ","09-Oct-2018","         67.20","         67.50","         71.50","         67.50","         68.80","         69.30","         68.91","       5363","              369559.50","         75","       4331","         80.76"
"AGCNET","EQ","10-Oct-2018","         69.30","         68.00","         71.00","         67.95","         69.00","         69.80","         68.56","       5220","              357891.90","         60","       3330","         63.79"
"AGCNET","EQ","11-Oct-2018","         69.80","         69.90","         70.00","         59.10","         61.50","         61.50","         63.63","      28341","             1803435.50","        337","      24067","         84.92"
"AGCNET","EQ","12-Oct-2018","         61.50","         63.95","         64.00","         59.10","         59.80","         60.00","         60.32","      36716","             2214698.10","        323","      31161","         84.87"
"AGCNET","EQ","15-Oct-2018","         60.00","         61.90","         64.95","         60.00","         64.80","         64.70","         63.12","       3597","              227054.15","        122","       2466","         68.56"
"AGCNET","EQ","16-Oct-2018","         64.70","         68.90","         74.40","         67.00","         70.50","         71.30","         71.47","      21276","             1520523.00","        394","      10708","         50.33"
