"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AIRAN","SM","11-Sep-2018","         69.35","         69.35","         69.35","         68.00","         68.50","         68.60","         68.59","      10000","              685875.00","          3","      10000","        100.00"
"AIRAN","SM","12-Sep-2018","         68.60","         66.25","         68.40","         66.25","         66.80","         67.40","         67.57","      12500","              844625.00","          5","      12500","        100.00"
"AIRAN","SM","14-Sep-2018","         67.40","         69.00","         69.00","         68.95","         68.95","         68.95","         68.98","       7500","              517375.00","          3","       7500","        100.00"
"AIRAN","SM","17-Sep-2018","         68.95","         68.50","         68.50","         68.50","         68.50","         68.50","         68.50","       2500","              171250.00","          1","       2500","        100.00"
"AIRAN","SM","18-Sep-2018","         68.50","         68.00","         68.75","         68.00","         68.75","         68.75","         68.50","       7500","              513750.00","          2","       7500","        100.00"
"AIRAN","SM","19-Sep-2018","         68.75","         65.00","         65.00","         64.50","         64.50","         64.75","         64.75","       5000","              323750.00","          2","       5000","        100.00"
"AIRAN","SM","21-Sep-2018","         64.75","         64.20","         65.00","         62.00","         65.00","         64.25","         63.54","      22500","             1429750.00","          9","      20000","         88.89"
"AIRAN","SM","24-Sep-2018","         64.25","         64.90","         64.90","         61.55","         64.90","         64.90","         63.47","      12500","              793375.00","          5","       7500","         60.00"
"AIRAN","SM","25-Sep-2018","         64.90","         64.80","         64.90","         64.00","         64.85","         64.85","         64.66","      22500","             1454875.00","          7","      22500","        100.00"
"AIRAN","SM","26-Sep-2018","         64.85","         64.00","         64.85","         61.25","         64.50","         63.55","         63.80","      17500","             1116500.00","          7","      10000","         57.14"
"AIRAN","SM","27-Sep-2018","         63.55","         63.50","         64.25","         63.00","         64.25","         64.25","         63.75","      17500","             1115625.00","          7","      17500","        100.00"
"AIRAN","SM","28-Sep-2018","         64.25","         62.40","         62.90","         59.50","         62.90","         62.25","         61.97","      25000","             1549250.00","          9","      25000","        100.00"
"AIRAN","SM","01-Oct-2018","         62.25","         59.50","         59.95","         55.00","         55.00","         55.95","         56.97","      57500","             3275750.00","         23","      47500","         82.61"
"AIRAN","SM","03-Oct-2018","         55.95","         55.00","         58.00","         55.00","         58.00","         58.00","         56.59","      20000","             1131875.00","          8","      15000","         75.00"
"AIRAN","SM","04-Oct-2018","         58.00","         55.20","         59.00","         55.10","         59.00","         59.00","         56.45","      10000","              564500.00","          4","       7500","         75.00"
"AIRAN","SM","05-Oct-2018","         59.00","         58.00","         59.50","         57.10","         59.50","         58.30","         58.73","      17500","             1027750.00","          7","      12500","         71.43"
"AIRAN","SM","08-Oct-2018","         58.30","         56.15","         56.15","         56.00","         56.00","         56.00","         56.04","      15000","              840625.00","          5","      10000","         66.67"
"AIRAN","SM","09-Oct-2018","         56.00","         55.60","         55.60","         55.50","         55.50","         55.50","         55.53","       7500","              416500.00","          3","       5000","         66.67"
"AIRAN","SM","10-Oct-2018","         55.50","         55.60","         58.00","         55.50","         58.00","         58.00","         56.70","      10000","              567000.00","          4","       7500","         75.00"
"AIRAN","SM","11-Oct-2018","         58.00","         56.95","         57.00","         56.35","         56.35","         56.35","         56.83","      10000","              568250.00","          4","       7500","         75.00"
"AIRAN","SM","12-Oct-2018","         56.35","         57.00","         59.00","         56.50","         59.00","         57.75","         57.38","      10000","              573750.00","          4","      10000","        100.00"
"AIRAN","SM","15-Oct-2018","         57.75","         52.45","         58.00","         52.45","         58.00","         58.00","         55.23","       5000","              276125.00","          2","       5000","        100.00"
"AIRAN","SM","16-Oct-2018","         58.00","         56.50","         56.50","         56.50","         56.50","         56.50","         56.50","       2500","              141250.00","          1","       2500","        100.00"
"AIRAN","SM","17-Oct-2018","         56.50","         55.75","         56.10","         55.65","         56.10","         56.10","         55.83","       7500","              418750.00","          3","       7500","        100.00"
"AIRAN","SM","19-Oct-2018","         56.10","         59.50","         59.50","         57.00","         57.00","         57.00","         58.13","      10000","              581250.00","          4","       2500","         25.00"
"AIRAN","SM","22-Oct-2018","         57.00","         55.55","         57.00","         55.55","         57.00","         57.00","         56.28","       5000","              281375.00","          2","       5000","        100.00"
"AIRAN","SM","23-Oct-2018","         57.00","         57.50","         58.50","         55.10","         55.10","         55.10","         57.61","      22500","             1296250.00","          7","      20000","         88.89"
"AIRAN","SM","24-Oct-2018","         55.10","         55.10","         56.25","         54.50","         55.00","         55.50","         55.26","      22500","             1243250.00","          9","      15000","         66.67"
"AIRAN","SM","25-Oct-2018","         55.50","         56.20","         56.50","         56.20","         56.50","         56.30","         56.32","       7500","              422375.00","          3","       5000","         66.67"
"AIRAN","SM","29-Oct-2018","         56.30","         55.00","         56.00","         55.00","         56.00","         55.50","         55.30","      17500","              967750.00","          7","      15000","         85.71"
"AIRAN","SM","30-Oct-2018","         55.50","         55.20","         56.00","         55.10","         55.10","         55.10","         55.43","      17500","              970000.00","          7","      15000","         85.71"
"AIRAN","SM","31-Oct-2018","         55.10","         55.85","         61.00","         55.85","         61.00","         61.00","         57.96","      10000","              579625.00","          4","      10000","        100.00"
"AIRAN","SM","01-Nov-2018","         61.00","         60.50","         60.90","         60.50","         60.90","         60.90","         60.70","       5000","              303500.00","          2","       2500","         50.00"
"AIRAN","SM","02-Nov-2018","         60.90","         60.30","         70.50","         60.30","         68.00","         68.15","         68.06","      92500","             6295875.00","         25","      77500","         83.78"
"AIRAN","SM","05-Nov-2018","         68.15","         72.00","         72.70","         65.50","         72.70","         72.70","         68.91","      95000","             6546125.00","         31","      72500","         76.32"
"AIRAN","SM","06-Nov-2018","         72.70","         74.90","         74.90","         70.00","         73.50","         73.80","         72.58","      57500","             4173125.00","         23","      37500","         65.22"
"AIRAN","SM","07-Nov-2018","         73.80","         73.25","         77.40","         66.00","         77.40","         70.40","         70.40","     155000","            10912125.00","         51","      47500","         30.65"
"AIRAN","SM","09-Nov-2018","         70.40","         72.00","         72.00","         68.50","         70.00","         70.00","         69.93","      47500","             3321750.00","         17","      27500","         57.89"
"AIRAN","SM","12-Nov-2018","         70.00","         69.00","         69.00","         67.25","         68.00","         68.00","         67.88","      32500","             2206250.00","         12","      25000","         76.92"
"AIRAN","SM","13-Nov-2018","         68.00","         71.50","         71.50","         66.00","         66.80","         66.80","         67.59","      30000","             2027750.00","         10","      22500","         75.00"
"AIRAN","SM","14-Nov-2018","         66.80","         63.60","         67.70","         63.60","         67.70","         67.70","         65.63","      10000","              656250.00","          4","       5000","         50.00"
"AIRAN","SM","15-Nov-2018","         67.70","         67.75","         67.80","         67.75","         67.80","         67.80","         67.78","      30000","             2033250.00","          2","      30000","        100.00"
"AIRAN","SM","16-Nov-2018","         67.80","         67.80","         68.00","         66.00","         66.00","         66.00","         67.34","      12500","              841750.00","          5","      10000","         80.00"
"AIRAN","SM","19-Nov-2018","         66.00","         64.10","         64.10","         64.10","         64.10","         64.10","         64.10","       2500","              160250.00","          1","       2500","        100.00"
"AIRAN","SM","21-Nov-2018","         64.10","         63.00","         66.30","         62.00","         66.30","         66.30","         64.18","      25000","             1604375.00","          7","      22500","         90.00"
"AIRAN","SM","22-Nov-2018","         66.30","         64.95","         65.00","         64.95","         65.00","         65.00","         64.98","      20000","             1299500.00","          8","       2500","         12.50"
"AIRAN","SM","26-Nov-2018","         65.00","         63.00","         67.50","         63.00","         63.00","         63.60","         64.25","      32500","             2088125.00","         12","      25000","         76.92"
