"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"APOLLO","EQ","11-Sep-2018","        146.20","        147.35","        154.75","        146.00","        146.70","        146.45","        148.14","      12652","             1874216.05","        467","       7761","         61.34"
"APOLLO","EQ","12-Sep-2018","        146.45","        147.40","        147.40","        141.10","        143.50","        144.25","        143.69","      11909","             1711149.65","        606","       6899","         57.93"
"APOLLO","EQ","14-Sep-2018","        144.25","        142.00","        144.30","        140.10","        141.45","        141.45","        142.55","      25448","             3627608.60","        452","      19210","         75.49"
"APOLLO","EQ","17-Sep-2018","        141.45","        142.25","        143.90","        139.25","        142.20","        141.30","        141.90","      15015","             2130620.50","        419","       8855","         58.97"
"APOLLO","EQ","18-Sep-2018","        141.30","        141.30","        142.75","        138.50","        138.60","        138.90","        139.79","      16718","             2336971.85","        618","       9826","         58.77"
"APOLLO","EQ","19-Sep-2018","        138.90","        139.95","        142.40","        137.50","        137.60","        138.15","        139.85","      17009","             2378678.05","        486","      12424","         73.04"
"APOLLO","EQ","21-Sep-2018","        138.15","        139.50","        139.50","        125.00","        132.45","        131.80","        133.10","      27688","             3685319.20","        794","      15140","         54.68"
"APOLLO","EQ","24-Sep-2018","        131.80","        131.80","        133.00","        124.00","        126.05","        126.85","        127.86","      22662","             2897561.25","        939","      14306","         63.13"
"APOLLO","EQ","25-Sep-2018","        126.85","        126.00","        132.95","        125.00","        129.95","        129.15","        128.63","      26921","             3462802.45","        944","      13216","         49.09"
"APOLLO","EQ","26-Sep-2018","        129.15","        129.00","        135.95","        128.00","        129.05","        129.30","        129.68","      16610","             2153951.60","        589","      10826","         65.18"
"APOLLO","EQ","27-Sep-2018","        129.30","        129.90","        137.45","        129.65","        131.35","        131.60","        132.42","      44772","             5928557.15","        931","      26409","         58.99"
"APOLLO","EQ","28-Sep-2018","        131.60","        134.00","        136.40","        127.50","        128.00","        128.70","        132.10","      33356","             4406258.15","       1213","      18558","         55.64"
"APOLLO","EQ","01-Oct-2018","        128.70","        132.90","        132.90","        116.00","        120.00","        119.80","        120.66","      37719","             4551302.05","       1384","      24572","         65.14"
"APOLLO","EQ","03-Oct-2018","        119.80","        120.00","        123.75","        119.00","        120.00","        120.15","        121.32","      30548","             3706049.65","        792","      19074","         62.44"
"APOLLO","EQ","04-Oct-2018","        120.15","        119.00","        121.90","        117.05","        117.75","        117.35","        118.22","      19706","             2329632.45","        679","      11664","         59.19"
"APOLLO","EQ","05-Oct-2018","        117.35","        115.65","        119.00","        114.05","        115.05","        115.20","        116.57","      26753","             3118640.25","        825","      18444","         68.94"
"APOLLO","EQ","08-Oct-2018","        115.20","        114.00","        116.00","        105.00","        110.00","        109.00","        110.66","      25288","             2798379.35","       1139","      15840","         62.64"
"APOLLO","EQ","09-Oct-2018","        109.00","        109.00","        110.50","        100.30","        101.35","        101.55","        104.15","      54639","             5690835.05","       1317","      39952","         73.12"
"APOLLO","EQ","10-Oct-2018","        101.55","        104.00","        112.55","        102.20","        109.00","        109.35","        109.23","      38389","             4193272.90","       1243","      17010","         44.31"
"APOLLO","EQ","11-Oct-2018","        109.35","        104.80","        109.75","         99.00","        108.80","        107.85","        105.47","      27271","             2876153.70","       1047","      10726","         39.33"
"APOLLO","EQ","12-Oct-2018","        107.85","        111.90","        114.00","        110.10","        112.70","        111.70","        112.09","      24848","             2785266.65","        654","      11095","         44.65"
"APOLLO","EQ","15-Oct-2018","        111.70","        112.70","        117.90","        112.70","        115.05","        115.40","        115.59","      27002","             3121238.35","        965","      10690","         39.59"
"APOLLO","EQ","16-Oct-2018","        115.40","        118.95","        129.95","        115.50","        126.50","        126.60","        126.45","      66773","             8443545.85","       1790","      20144","         30.17"
"APOLLO","EQ","17-Oct-2018","        126.60","        128.60","        130.90","        119.00","        119.50","        120.55","        124.93","      23136","             2890388.00","        818","      12282","         53.09"
"APOLLO","EQ","19-Oct-2018","        120.55","        116.55","        123.15","        115.05","        115.70","        116.15","        117.63","      18984","             2233154.65","        561","      10623","         55.96"
"APOLLO","EQ","22-Oct-2018","        116.15","        119.00","        120.45","        113.65","        116.00","        115.00","        115.84","      11397","             1320184.30","        429","       6507","         57.09"
"APOLLO","EQ","23-Oct-2018","        115.00","        113.00","        114.50","        111.00","        111.85","        112.40","        112.93","      16092","             1817257.15","        619","       5910","         36.73"
"APOLLO","EQ","24-Oct-2018","        112.40","        117.75","        117.75","        112.45","        114.10","        114.10","        114.48","      11441","             1309768.20","        490","       4697","         41.05"
