"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ARIHANTSUP","EQ","11-Sep-2018","         71.20","         71.55","         72.40","         66.10","         70.50","         70.10","         69.84","      49175","             3434606.65","        674","      23578","         47.95"
"ARIHANTSUP","EQ","12-Sep-2018","         70.10","         69.00","         70.45","         68.90","         70.00","         69.80","         69.42","      42280","             2935021.55","        246","      21978","         51.98"
"ARIHANTSUP","EQ","14-Sep-2018","         69.80","         70.50","         71.30","         69.00","         70.80","         70.10","         70.66","      41334","             2920826.60","       1410","      13899","         33.63"
"ARIHANTSUP","EQ","17-Sep-2018","         70.10","         71.90","         73.95","         69.85","         71.90","         71.70","         72.07","      62324","             4491795.30","       3831","      27070","         43.43"
"ARIHANTSUP","EQ","18-Sep-2018","         71.70","         73.00","         73.90","         70.70","         71.50","         71.95","         72.19","      34270","             2474121.40","       2224","      15261","         44.53"
"ARIHANTSUP","EQ","19-Sep-2018","         71.95","         72.10","         73.25","         70.30","         70.30","         71.40","         71.81","      40341","             2896827.60","       1876","      18224","         45.17"
"ARIHANTSUP","EQ","21-Sep-2018","         71.40","         71.60","         72.60","         63.00","         67.95","         67.80","         69.64","      32787","             2283316.00","        367","      13095","         39.94"
"ARIHANTSUP","EQ","24-Sep-2018","         67.80","         67.95","         69.00","         63.00","         64.60","         64.60","         65.14","      19050","             1240955.10","        428","       5968","         31.33"
"ARIHANTSUP","EQ","25-Sep-2018","         64.60","         65.80","         68.15","         61.00","         67.35","         65.30","         64.99","      20554","             1335889.80","       2368","       6966","         33.89"
"ARIHANTSUP","EQ","26-Sep-2018","         65.30","         69.90","         78.00","         65.60","         66.00","         66.20","         67.74","      26259","             1778893.30","        793","      15476","         58.94"
"ARIHANTSUP","EQ","27-Sep-2018","         66.20","         69.45","         69.50","         61.00","         64.20","         64.10","         66.42","      19332","             1284117.80","        417","       6093","         31.52"
"ARIHANTSUP","EQ","28-Sep-2018","         64.10","         68.00","         68.00","         57.05","         57.70","         60.25","         62.77","      31259","             1962283.50","        467","       8459","         27.06"
"ARIHANTSUP","EQ","01-Oct-2018","         60.25","         60.00","         60.50","         55.70","         57.00","         56.90","         57.97","      25222","             1462010.05","        361","       8634","         34.23"
"ARIHANTSUP","EQ","03-Oct-2018","         56.90","         57.80","         61.90","         53.00","         56.00","         55.25","         56.93","      49394","             2812129.70","        519","      31085","         62.93"
"ARIHANTSUP","EQ","04-Oct-2018","         55.25","         55.25","         57.00","         53.00","         56.95","         55.70","         54.58","      42633","             2326762.50","        266","      26682","         62.59"
"ARIHANTSUP","EQ","05-Oct-2018","         55.70","         57.90","         58.00","         51.10","         51.70","         52.20","         55.10","      22349","             1231387.50","        335","       6224","         27.85"
"ARIHANTSUP","EQ","08-Oct-2018","         52.20","         52.20","         54.00","         47.05","         51.00","         50.65","         51.39","      39980","             2054770.00","        587","      20156","         50.42"
"ARIHANTSUP","EQ","09-Oct-2018","         50.65","         48.05","         55.55","         48.05","         52.00","         51.15","         52.28","      17582","              919245.65","       1022","       5011","         28.50"
"ARIHANTSUP","EQ","10-Oct-2018","         51.15","         55.25","         55.60","         51.95","         55.60","         55.50","         54.43","      20644","             1123608.05","        441","       5045","         24.44"
"ARIHANTSUP","EQ","11-Oct-2018","         55.50","         55.50","         62.00","         52.20","         57.10","         57.50","         57.32","      18217","             1044179.35","       2692","       3207","         17.60"
"ARIHANTSUP","EQ","12-Oct-2018","         57.50","         54.30","         63.00","         54.30","         58.25","         57.25","         58.95","      21067","             1241968.00","        863","       1457","          6.92"
"ARIHANTSUP","EQ","15-Oct-2018","         57.25","         58.00","         61.00","         57.00","         57.45","         57.45","         57.62","      15027","              865910.45","        405","       1623","         10.80"
"ARIHANTSUP","EQ","16-Oct-2018","         57.45","         57.85","         59.80","         56.30","         56.30","         56.35","         57.51","      17888","             1028713.75","       1652","       2660","         14.87"
"ARIHANTSUP","EQ","17-Oct-2018","         56.35","         58.80","         58.80","         56.40","         57.00","         57.10","         57.28","      15480","              886679.80","        195","       2409","         15.56"
"ARIHANTSUP","EQ","19-Oct-2018","         57.10","         57.20","         57.95","         54.50","         54.50","         55.80","         56.44","      11720","              661517.15","         99","       1228","         10.48"
"ARIHANTSUP","EQ","22-Oct-2018","         55.80","         55.75","         55.85","         52.35","         53.75","         53.25","         53.62","      30919","             1657876.75","        221","      18273","         59.10"
"ARIHANTSUP","EQ","23-Oct-2018","         53.25","         53.95","         53.95","         47.00","         53.95","         53.05","         52.91","      28606","             1513530.60","        240","      16663","         58.25"
"ARIHANTSUP","EQ","24-Oct-2018","         53.05","         54.00","         56.00","         50.50","         50.75","         51.00","         51.70","      26794","             1385350.80","        211","      14256","         53.21"
"ARIHANTSUP","EQ","25-Oct-2018","         51.00","         51.00","         54.80","         49.25","         53.85","         53.50","         51.33","      46964","             2410669.85","       3073","      29704","         63.25"
"ARIHANTSUP","EQ","26-Oct-2018","         53.50","         54.10","         54.95","         49.70","         53.00","         51.70","         52.89","      35194","             1861269.80","        208","      22113","         62.83"
"ARIHANTSUP","EQ","29-Oct-2018","         51.70","         52.00","         54.45","         51.90","         53.65","         53.45","         53.18","      25157","             1337838.75","        146","      14160","         56.29"
"ARIHANTSUP","EQ","30-Oct-2018","         53.45","         53.40","         54.95","         52.15","         53.00","         52.85","         52.65","      49974","             2630928.35","        218","      34708","         69.45"
"ARIHANTSUP","EQ","31-Oct-2018","         52.85","         52.90","         53.75","         51.10","         52.60","         52.65","         52.13","      43641","             2274834.60","        323","      19947","         45.71"
"ARIHANTSUP","EQ","01-Nov-2018","         52.65","         52.70","         55.50","         51.60","         54.75","         54.40","         54.11","      28484","             1541391.70","       2338","      14970","         52.56"
"ARIHANTSUP","EQ","02-Nov-2018","         54.40","         53.70","         55.00","         52.60","         54.25","         54.05","         53.08","      66783","             3545144.85","        632","      47604","         71.28"
"ARIHANTSUP","EQ","05-Nov-2018","         54.05","         54.05","         54.95","         51.30","         53.00","         52.85","         52.46","      26308","             1380063.10","        189","      10304","         39.17"
"ARIHANTSUP","EQ","06-Nov-2018","         52.85","         53.00","         56.30","         48.60","         53.35","         53.15","         52.94","      25792","             1365525.60","        992","       5951","         23.07"
"ARIHANTSUP","EQ","07-Nov-2018","         53.15","         53.50","         54.85","         53.30","         53.95","         53.80","         53.90","      16899","              910879.75","        318","       2190","         12.96"
"ARIHANTSUP","EQ","09-Nov-2018","         53.80","         53.85","         54.45","         51.20","         53.70","         53.50","         53.46","      25397","             1357722.70","        257","      11160","         43.94"
"ARIHANTSUP","EQ","12-Nov-2018","         53.50","         53.50","         54.40","         51.90","         53.70","         53.20","         53.21","      31589","             1680761.35","        588","      10240","         32.42"
"ARIHANTSUP","EQ","13-Nov-2018","         53.20","         53.65","         53.80","         51.70","         53.55","         53.30","         52.99","      29646","             1570796.35","        197","       9443","         31.85"
"ARIHANTSUP","EQ","14-Nov-2018","         53.30","         54.30","         54.30","         50.90","         53.20","         53.15","         52.95","      34146","             1807946.40","        914","      11292","         33.07"
"ARIHANTSUP","EQ","15-Nov-2018","         53.15","         53.35","         53.90","         51.30","         52.90","         52.30","         52.89","      28849","             1525692.35","       1818","       9329","         32.34"
"ARIHANTSUP","EQ","16-Nov-2018","         52.30","         52.25","         53.95","         48.65","         50.20","         49.85","         51.86","      36950","             1916095.35","        830","      15155","         41.01"
"ARIHANTSUP","EQ","19-Nov-2018","         49.85","         49.90","         52.15","         47.40","         50.35","         49.35","         50.70","      30090","             1525573.40","       2324","       9317","         30.96"
"ARIHANTSUP","EQ","20-Nov-2018","         49.35","         49.40","         51.10","         48.55","         50.50","         49.85","         49.92","      29734","             1484342.45","        247","      16836","         56.62"
"ARIHANTSUP","EQ","21-Nov-2018","         49.85","         49.90","         51.90","         46.50","         48.20","         48.00","         49.22","      28684","             1411684.00","        491","      11507","         40.12"
"ARIHANTSUP","EQ","22-Nov-2018","         48.00","         48.60","         51.00","         48.00","         50.90","         50.00","         48.82","      30128","             1470739.85","        204","      10717","         35.57"
"ARIHANTSUP","EQ","26-Nov-2018","         50.00","         50.90","         52.25","         46.20","         46.40","         47.85","         48.46","      81622","             3955216.65","        989","      57939","         70.98"
"ARIHANTSUP","EQ","27-Nov-2018","         47.85","         47.40","         49.90","         47.15","         48.85","         48.50","         48.22","      60430","             2913846.15","       2016","      41629","         68.89"
"ARIHANTSUP","EQ","28-Nov-2018","         48.50","         49.00","         53.00","         48.50","         51.35","         49.85","         50.12","      19837","              994242.70","        403","       4457","         22.47"
"ARIHANTSUP","EQ","29-Nov-2018","         49.85","         51.85","         51.90","         48.75","         51.00","         51.05","         50.34","      24751","             1245859.10","       1761","       9147","         36.96"
"ARIHANTSUP","EQ","30-Nov-2018","         51.05","         50.90","         52.50","         50.25","         52.00","         51.95","         51.52","      60169","             3100066.70","       2565","      31709","         52.70"
