"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASHIMASYN","EQ","11-Sep-2018","         20.80","         21.05","         22.60","         18.80","         19.40","         19.30","         20.89","     231569","             4837936.95","       1158","     105911","         45.74"
"ASHIMASYN","EQ","12-Sep-2018","         19.30","         19.40","         19.95","         18.75","         19.35","         19.40","         19.36","      55405","             1072647.15","        293","      33976","         61.32"
"ASHIMASYN","EQ","14-Sep-2018","         19.40","         19.80","         21.50","         19.50","         20.00","         19.90","         20.32","     102440","             2081123.15","        434","      60417","         58.98"
"ASHIMASYN","EQ","17-Sep-2018","         19.90","         19.90","         20.00","         19.40","         19.75","         19.75","         19.73","      41699","              822645.75","        232","      29729","         71.29"
"ASHIMASYN","EQ","18-Sep-2018","         19.75","         20.00","         20.05","         19.15","         19.20","         19.25","         19.61","      65833","             1291186.05","        205","      55060","         83.64"
"ASHIMASYN","EQ","19-Sep-2018","         19.25","         19.75","         19.75","         18.60","         18.80","         18.75","         18.91","      90285","             1707538.40","        274","      78302","         86.73"
"ASHIMASYN","EQ","21-Sep-2018","         18.75","         18.80","         19.20","         17.30","         17.95","         17.90","         18.04","     115493","             2083859.60","        410","      78546","         68.01"
"ASHIMASYN","EQ","24-Sep-2018","         17.90","         17.00","         18.00","         16.90","         17.00","         17.05","         17.43","      40448","              705103.35","        269","      28648","         70.83"
"ASHIMASYN","EQ","25-Sep-2018","         17.05","         16.65","         17.30","         16.00","         16.50","         16.40","         16.64","     132793","             2210206.70","        419","      82898","         62.43"
"ASHIMASYN","EQ","26-Sep-2018","         16.40","         16.30","         17.00","         16.25","         16.50","         16.60","         16.58","      42329","              701794.05","        234","      29099","         68.74"
"ASHIMASYN","EQ","27-Sep-2018","         16.60","         16.75","         16.75","         16.20","         16.20","         16.25","         16.51","      15103","              249316.45","        104","      10882","         72.05"
"ASHIMASYN","EQ","28-Sep-2018","         16.25","         16.30","         16.50","         13.40","         15.15","         14.50","         14.72","     144389","             2125948.75","        544","      89656","         62.09"
"ASHIMASYN","EQ","01-Oct-2018","         14.50","         14.25","         17.40","         13.50","         16.50","         16.55","         15.96","     203663","             3249791.80","        754","     134815","         66.20"
"ASHIMASYN","EQ","03-Oct-2018","         16.55","         16.60","         18.00","         15.60","         16.70","         16.65","         16.89","     158887","             2683579.30","        604","      89386","         56.26"
"ASHIMASYN","EQ","04-Oct-2018","         16.65","         15.70","         16.35","         14.40","         14.60","         14.65","         14.98","     196644","             2945536.90","        770","     159121","         80.92"
"ASHIMASYN","EQ","05-Oct-2018","         14.65","         14.50","         15.50","         14.20","         14.80","         14.50","         14.84","      91383","             1356524.85","        395","      52882","         57.87"
"ASHIMASYN","EQ","08-Oct-2018","         14.50","         14.50","         15.00","         13.50","         14.80","         14.20","         14.11","     328773","             4638614.15","       1045","     259405","         78.90"
"ASHIMASYN","EQ","09-Oct-2018","         14.20","         14.00","         14.95","         13.35","         13.75","         13.75","         13.85","     181208","             2509953.45","        409","     123320","         68.05"
"ASHIMASYN","EQ","10-Oct-2018","         13.75","         14.00","         14.50","         13.65","         13.90","         14.10","         14.19","     235053","             3335200.75","        725","     141346","         60.13"
"ASHIMASYN","EQ","11-Oct-2018","         14.10","         13.50","         13.50","         12.80","         13.00","         13.00","         13.01","     254793","             3315778.30","        598","     166491","         65.34"
"ASHIMASYN","EQ","12-Oct-2018","         13.00","         13.40","         14.20","         13.05","         13.85","         13.80","         13.81","     106412","             1469397.80","        479","      63797","         59.95"
"ASHIMASYN","EQ","15-Oct-2018","         13.80","         13.80","         14.45","         13.60","         13.90","         14.05","         14.00","      42167","              590318.20","        210","      23204","         55.03"
"ASHIMASYN","EQ","16-Oct-2018","         14.05","         14.20","         16.85","         14.20","         16.30","         16.30","         16.08","     825526","            13270581.55","       2685","     370547","         44.89"
"ASHIMASYN","EQ","17-Oct-2018","         16.30","         16.80","         16.90","         14.65","         14.85","         14.85","         15.73","     204892","             3222049.55","        749","     140684","         68.66"
"ASHIMASYN","EQ","19-Oct-2018","         14.85","         14.85","         15.75","         14.25","         15.20","         15.05","         15.28","     144674","             2211140.60","       1034","      59564","         41.17"
"ASHIMASYN","EQ","22-Oct-2018","         15.05","         15.00","         15.85","         14.05","         14.25","         14.25","         14.51","      57885","              840071.00","        298","      35436","         61.22"
"ASHIMASYN","EQ","23-Oct-2018","         14.25","         14.30","         14.70","         13.60","         14.10","         14.10","         14.24","      39049","              556013.15","        255","      25986","         66.55"
"ASHIMASYN","EQ","24-Oct-2018","         14.10","         14.10","         14.60","         14.05","         14.25","         14.25","         14.33","      27861","              399201.60","        109","      20335","         72.99"
"ASHIMASYN","EQ","25-Oct-2018","         14.25","         14.20","         14.50","         13.80","         14.50","         14.40","         14.20","      30283","              429933.40","        109","      24489","         80.87"
"ASHIMASYN","EQ","26-Oct-2018","         14.40","         14.40","         15.50","         14.15","         14.80","         14.75","         14.87","      52898","              786480.40","        476","      22883","         43.26"
"ASHIMASYN","EQ","29-Oct-2018","         14.75","         15.00","         15.40","         14.50","         15.10","         15.15","         15.10","     124992","             1887355.45","        778","      70886","         56.71"
"ASHIMASYN","EQ","30-Oct-2018","         15.15","         15.30","         15.40","         14.60","         14.60","         14.70","         14.99","      31075","              465775.90","        296","      18130","         58.34"
"ASHIMASYN","EQ","31-Oct-2018","         14.70","         14.60","         16.40","         14.60","         15.50","         15.50","         15.44","     153726","             2372879.15","        517","      64224","         41.78"
"ASHIMASYN","EQ","01-Nov-2018","         15.50","         15.75","         16.00","         15.00","         15.15","         15.10","         15.45","      60878","              940277.00","        290","      36119","         59.33"
"ASHIMASYN","EQ","02-Nov-2018","         15.10","         15.25","         15.75","         15.20","         15.45","         15.30","         15.49","      85507","             1324263.50","        398","      56570","         66.16"
"ASHIMASYN","EQ","05-Nov-2018","         15.30","         15.40","         15.40","         14.55","         14.70","         14.70","         14.73","      58432","              860890.65","        187","      52996","         90.70"
"ASHIMASYN","EQ","06-Nov-2018","         14.70","         14.75","         15.55","         14.70","         15.05","         14.95","         15.25","      48496","              739548.05","        288","      31881","         65.74"
"ASHIMASYN","EQ","07-Nov-2018","         14.95","         15.05","         15.35","         15.00","         15.30","         15.15","         15.17","      36058","              547005.60","         97","      22531","         62.49"
"ASHIMASYN","EQ","09-Nov-2018","         15.15","         15.25","         15.45","         14.90","         15.00","         15.00","         15.15","      18828","              285219.90","        104","      14757","         78.38"
"ASHIMASYN","EQ","12-Nov-2018","         15.00","         15.75","         15.75","         14.25","         14.60","         14.60","         14.96","      83370","             1247000.70","        269","      66199","         79.40"
