"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASTRON","EQ","11-Sep-2018","        129.50","        130.60","        132.40","        126.60","        130.40","        128.40","        130.57","     369501","            48244691.00","       2950","     142876","         38.67"
"ASTRON","EQ","12-Sep-2018","        128.40","        130.45","        130.45","        122.10","        127.95","        128.40","        126.73","     231296","            29310993.10","       2678","      79524","         34.38"
"ASTRON","EQ","14-Sep-2018","        128.40","        129.00","        132.60","        128.05","        131.00","        131.40","        130.91","     250067","            32735040.15","       2223","      98142","         39.25"
"ASTRON","EQ","17-Sep-2018","        131.40","        130.20","        132.95","        127.10","        130.55","        131.10","        131.21","     432808","            56790584.20","       2456","     176130","         40.69"
"ASTRON","EQ","18-Sep-2018","        131.10","        131.50","        133.50","        130.00","        130.00","        131.15","        132.15","     328439","            43402907.30","       3407","     142087","         43.26"
"ASTRON","EQ","19-Sep-2018","        131.15","        131.05","        134.00","        130.35","        131.35","        131.40","        132.56","     568918","            75417538.10","       5067","     185336","         32.58"
"ASTRON","EQ","21-Sep-2018","        131.40","        133.05","        133.85","        105.15","        119.10","        120.75","        119.81","    1156655","           138580070.30","       6416","     463432","         40.07"
"ASTRON","EQ","24-Sep-2018","        120.75","        120.00","        128.95","        119.10","        124.60","        124.40","        125.04","     310299","            38801198.25","       3471","     164382","         52.98"
"ASTRON","EQ","25-Sep-2018","        124.40","        125.00","        129.85","        124.00","        125.20","        126.10","        127.27","     365177","            46477567.35","       3315","     125140","         34.27"
"ASTRON","EQ","26-Sep-2018","        126.10","        127.15","        129.15","        122.35","        123.00","        124.00","        126.04","     200404","            25258717.20","       2757","      70165","         35.01"
"ASTRON","EQ","27-Sep-2018","        124.00","        124.40","        129.40","        121.00","        127.00","        127.35","        125.51","     345108","            43315822.55","       2163","     207374","         60.09"
"ASTRON","EQ","28-Sep-2018","        127.35","        127.05","        128.00","        118.45","        120.90","        120.80","        123.18","     184741","            22756929.95","       1942","      68773","         37.23"
"ASTRON","EQ","01-Oct-2018","        120.80","        119.10","        121.00","        116.00","        120.00","        120.10","        119.48","     295442","            35299679.50","       2548","     139631","         47.26"
