"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ATNINTER","BE","17-Sep-2018","          0.20","          0.20","          0.20","          0.20","          0.20","          0.20","          0.20","       6911","                1382.20","          8","-","-"
"ATNINTER","BE","12-Oct-2018","          0.20","          0.20","          0.20","          0.20","          0.20","          0.20","          0.20","       1001","                 200.20","          3","-","-"
"ATNINTER","BE","15-Oct-2018","          0.20","          0.15","          0.15","          0.15","          0.15","          0.15","          0.15","      20511","                3076.65","         17","-","-"
"ATNINTER","BE","16-Oct-2018","          0.15","          0.15","          0.15","          0.10","          0.15","          0.15","          0.15","      20332","                3008.15","         16","-","-"
"ATNINTER","BE","17-Oct-2018","          0.15","          0.15","          0.15","          0.10","          0.10","          0.10","          0.14","       4601","                 663.60","          5","-","-"
"ATNINTER","BE","22-Oct-2018","          0.10","          0.10","          0.15","          0.05","          0.10","          0.10","          0.10","      24013","                2400.80","         13","-","-"
"ATNINTER","BE","23-Oct-2018","          0.10","          0.10","          0.15","          0.05","          0.05","          0.05","          0.07","       5371","                 383.65","          8","-","-"
"ATNINTER","BE","24-Oct-2018","          0.05","          0.05","          0.10","          0.05","          0.10","          0.10","          0.05","      22351","                1142.55","          5","-","-"
"ATNINTER","BE","25-Oct-2018","          0.10","          0.10","          0.15","          0.05","          0.15","          0.15","          0.12","      43930","                5082.60","         38","-","-"
"ATNINTER","BE","26-Oct-2018","          0.15","          0.20","          0.20","          0.20","          0.20","          0.20","          0.20","       3861","                 772.20","          8","-","-"
"ATNINTER","BE","29-Oct-2018","          0.20","          0.25","          0.25","          0.20","          0.25","          0.25","          0.25","     184292","               46068.05","         71","-","-"
"ATNINTER","BE","30-Oct-2018","          0.25","          0.30","          0.30","          0.25","          0.30","          0.30","          0.30","      82351","               24680.25","         50","-","-"
"ATNINTER","BE","31-Oct-2018","          0.30","          0.35","          0.35","          0.30","          0.35","          0.35","          0.35","      93791","               32801.85","         50","-","-"
"ATNINTER","BE","05-Nov-2018","          0.35","          0.30","          0.30","          0.30","          0.30","          0.30","          0.30","      56433","               16929.90","         15","-","-"
