"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AUROPHARMA","EQ","11-Sep-2018","        795.95","        800.50","        811.25","        787.30","        791.00","        790.35","        797.13","    5800282","          4623562933.85","      73558","     909346","         15.68"
"AUROPHARMA","EQ","12-Sep-2018","        790.35","        792.00","        794.00","        766.25","        772.75","        773.85","        775.43","    6260650","          4854684419.10","     113600","    1833805","         29.29"
"AUROPHARMA","EQ","14-Sep-2018","        773.85","        780.30","        810.00","        778.70","        800.05","        799.80","        799.00","    7347637","          5870731390.55","     115953","    1493713","         20.33"
"AUROPHARMA","EQ","17-Sep-2018","        799.80","        801.00","        815.55","        783.70","        792.70","        789.45","        802.43","    7263810","          5828676147.50","     110335","    1014109","         13.96"
"AUROPHARMA","EQ","18-Sep-2018","        789.45","        793.70","        800.00","        772.45","        779.00","        776.15","        787.72","    3690107","          2906766897.90","      63329","     552103","         14.96"
"AUROPHARMA","EQ","19-Sep-2018","        776.15","        785.00","        790.00","        766.10","        777.50","        775.95","        776.86","    2621869","          2036832497.65","      52343","     269307","         10.27"
"AUROPHARMA","EQ","21-Sep-2018","        775.95","        779.00","        786.80","        698.40","        765.00","        762.70","        761.28","    4395912","          3346530850.10","      72041","     967343","         22.01"
"AUROPHARMA","EQ","24-Sep-2018","        762.70","        766.00","        769.50","        725.20","        733.55","        731.35","        742.68","    3646386","          2708093298.15","      62936","    1424326","         39.06"
"AUROPHARMA","EQ","25-Sep-2018","        731.35","        735.05","        770.95","        732.55","        760.90","        761.05","        756.28","    5074277","          3837587191.30","      96780","     816903","         16.10"
"AUROPHARMA","EQ","26-Sep-2018","        761.05","        768.50","        785.10","        755.10","        759.60","        759.10","        768.74","    4947221","          3803127391.10","     102826","    1480916","         29.93"
"AUROPHARMA","EQ","27-Sep-2018","        759.10","        763.90","        764.00","        737.60","        742.70","        740.60","        745.88","    3554990","          2651597964.65","      76615","    1336466","         37.59"
"AUROPHARMA","EQ","28-Sep-2018","        740.60","        745.00","        755.70","        728.05","        743.00","        744.45","        743.25","    3671654","          2728969984.05","     122745","    1144984","         31.18"
"AUROPHARMA","EQ","01-Oct-2018","        744.45","        743.90","        774.00","        732.10","        769.65","        769.65","        749.80","    2969135","          2226254781.45","      64184","     739778","         24.92"
"AUROPHARMA","EQ","03-Oct-2018","        769.65","        774.00","        789.00","        766.20","        770.00","        771.60","        777.72","    5442277","          4232546118.70","     108605","    1863471","         34.24"
"AUROPHARMA","EQ","04-Oct-2018","        771.60","        765.05","        771.90","        736.20","        754.00","        757.05","        755.95","    3652071","          2760775868.50","      90549","    1326276","         36.32"
"AUROPHARMA","EQ","05-Oct-2018","        757.05","        754.00","        762.40","        735.05","        735.05","        744.25","        751.49","    2170891","          1631413303.70","      68215","     569678","         26.24"
"AUROPHARMA","EQ","08-Oct-2018","        744.25","        739.75","        745.90","        719.05","        735.00","        736.40","        734.54","    2565348","          1884357898.95","      67495","     506468","         19.74"
"AUROPHARMA","EQ","09-Oct-2018","        736.40","        737.00","        771.65","        737.00","        767.00","        766.75","        754.15","    4555970","          3435888464.20","      75185","    1462898","         32.11"
"AUROPHARMA","EQ","10-Oct-2018","        766.75","        772.00","        785.00","        761.25","        781.00","        779.65","        773.35","    3868911","          2992015286.60","      89806","    1013289","         26.19"
"AUROPHARMA","EQ","11-Oct-2018","        779.65","        761.55","        779.30","        749.25","        751.00","        756.25","        766.77","    2698146","          2068861421.45","      81762","     663986","         24.61"
