"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AUSOMENT","EQ","11-Sep-2018","         67.25","         68.10","         68.60","         65.30","         68.40","         67.75","         67.22","      15487","             1041064.45","        111","       5968","         38.54"
"AUSOMENT","EQ","12-Sep-2018","         67.75","         67.65","         70.05","         65.55","         69.65","         69.00","         68.88","      27866","             1919315.10","        212","      13383","         48.03"
"AUSOMENT","EQ","14-Sep-2018","         69.00","         69.20","         69.45","         68.20","         68.85","         68.65","         68.70","       4859","              333789.30","         46","       3188","         65.61"
"AUSOMENT","EQ","17-Sep-2018","         68.65","         68.40","         69.75","         66.30","         68.05","         68.05","         68.06","      13416","              913143.90","        191","       5633","         41.99"
"AUSOMENT","EQ","18-Sep-2018","         68.05","         68.00","         68.25","         66.35","         67.95","         67.65","         67.81","       5930","              402134.95","        140","       2972","         50.12"
"AUSOMENT","EQ","19-Sep-2018","         67.65","         67.50","         67.85","         65.05","         65.15","         65.15","         65.89","       1647","              108518.85","         86","       1206","         73.22"
"AUSOMENT","EQ","21-Sep-2018","         65.15","         67.45","         67.55","         61.70","         62.95","         62.70","         64.86","       3456","              224160.90","         99","       2584","         74.77"
"AUSOMENT","EQ","24-Sep-2018","         62.70","         64.85","         64.85","         59.25","         60.75","         60.85","         61.35","      22373","             1372584.80","        196","       7401","         33.08"
"AUSOMENT","EQ","25-Sep-2018","         60.85","         59.00","         61.80","         55.55","         57.00","         57.60","         57.51","       7005","              402832.00","        111","       4645","         66.31"
"AUSOMENT","EQ","26-Sep-2018","         57.60","         57.05","         58.60","         55.10","         55.10","         55.65","         56.60","       1801","              101941.05","         61","       1200","         66.63"
"AUSOMENT","EQ","27-Sep-2018","         55.65","         57.05","         57.35","         54.00","         57.25","         55.55","         56.12","       5020","              281697.50","        126","       3040","         60.56"
"AUSOMENT","EQ","28-Sep-2018","         55.55","         55.55","         62.20","         55.00","         55.10","         58.30","         57.41","      10314","              592094.85","        152","       4972","         48.21"
