"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AVG","SM","14-Sep-2018","         93.50","         96.00","         97.75","         96.00","         97.75","         97.75","         97.08","       3600","              349500.00","          3","       3600","        100.00"
"AVG","SM","17-Sep-2018","         97.75","         91.90","         91.90","         90.00","         90.00","         90.65","         90.63","       3600","              326280.00","          3","       3600","        100.00"
"AVG","SM","19-Sep-2018","         90.65","         89.00","         89.00","         89.00","         89.00","         89.00","         89.00","       1200","              106800.00","          1","       1200","        100.00"
"AVG","SM","24-Sep-2018","         89.00","         85.00","         85.00","         84.45","         84.45","         84.45","         84.73","       2400","              203340.00","          2","       2400","        100.00"
"AVG","SM","25-Sep-2018","         84.45","         80.80","         80.80","         80.80","         80.80","         80.80","         80.80","       1200","               96960.00","          1","       1200","        100.00"
"AVG","SM","26-Sep-2018","         80.80","         77.00","         82.00","         77.00","         82.00","         82.00","         79.50","       2400","              190800.00","          2","       1200","         50.00"
"AVG","SM","01-Oct-2018","         82.00","         78.00","         78.00","         77.70","         77.70","         77.70","         77.85","       2400","              186840.00","          2","       2400","        100.00"
"AVG","SM","04-Oct-2018","         77.70","         73.50","         73.50","         68.75","         68.75","         69.35","         70.75","       3600","              254700.00","          3","       3600","        100.00"
"AVG","SM","05-Oct-2018","         69.35","         70.00","         72.80","         70.00","         72.80","         72.80","         71.40","       2400","              171360.00","          2","       2400","        100.00"
"AVG","SM","09-Oct-2018","         72.80","         69.15","         69.15","         69.15","         69.15","         69.15","         69.15","       2400","              165960.00","          2","       2400","        100.00"
"AVG","SM","10-Oct-2018","         69.15","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       1200","               84000.00","          1","       1200","        100.00"
"AVG","SM","11-Oct-2018","         70.00","         73.00","         73.00","         73.00","         73.00","         73.00","         73.00","       2400","              175200.00","          2","       2400","        100.00"
"AVG","SM","12-Oct-2018","         73.00","         84.00","         87.60","         75.00","         87.60","         87.60","         76.81","     111600","             8571480.00","         12","     108000","         96.77"
"AVG","SM","16-Oct-2018","         87.60","         95.00","         95.00","         88.25","         88.25","         89.25","         91.18","       3600","              328260.00","          3","       2400","         66.67"
"AVG","SM","17-Oct-2018","         89.25","         84.50","         84.50","         82.25","         82.25","         83.35","         83.38","       2400","              200100.00","          2","       2400","        100.00"
"AVG","SM","23-Oct-2018","         83.35","         79.95","         79.95","         79.95","         79.95","         79.95","         79.95","       1200","               95940.00","          1","       1200","        100.00"
"AVG","SM","24-Oct-2018","         79.95","         84.90","         95.90","         84.90","         95.90","         95.90","         90.40","       2400","              216960.00","          2","       2400","        100.00"
"AVG","SM","25-Oct-2018","         95.90","         86.70","         86.70","         79.00","         80.00","         80.70","         80.95","      10800","              874260.00","          9","       7200","         66.67"
"AVG","SM","29-Oct-2018","         80.70","         84.80","         89.50","         84.80","         89.50","         89.50","         87.15","       2400","              209160.00","          2","       2400","        100.00"
"AVG","SM","31-Oct-2018","         89.50","         85.00","         85.00","         85.00","         85.00","         85.00","         85.00","       1200","              102000.00","          1","       1200","        100.00"
"AVG","SM","05-Nov-2018","         85.00","         80.75","         91.00","         80.00","         91.00","         91.00","         80.66","      54000","             4355400.00","         13","      50400","         93.33"
"AVG","SM","06-Nov-2018","         91.00","         86.45","         86.45","         86.45","         86.45","         86.45","         86.45","       1200","              103740.00","          1","       1200","        100.00"
"AVG","SM","20-Nov-2018","         86.45","         90.75","         90.75","         80.50","         80.75","         81.35","         83.34","       9600","              800100.00","          6","       8400","         87.50"
"AVG","SM","22-Nov-2018","         81.35","         86.80","         97.00","         86.80","         97.00","         97.00","         91.90","       2400","              220560.00","          2","       2400","        100.00"
"AVG","SM","26-Nov-2018","         97.00","         89.70","         89.70","         89.70","         89.70","         89.70","         89.70","       1200","              107640.00","          1","       1200","        100.00"
"AVG","SM","27-Nov-2018","         89.70","         88.00","         88.00","         88.00","         88.00","         88.00","         88.00","       1200","              105600.00","          1","       1200","        100.00"
"AVG","SM","28-Nov-2018","         88.00","         83.60","         85.80","         81.00","         81.00","         81.00","         82.74","       7200","              595740.00","          6","       4800","         66.67"
"AVG","SM","29-Nov-2018","         81.00","         80.00","         83.95","         80.00","         83.95","         82.50","         81.67","       3600","              294000.00","          3","       2400","         66.67"
"AVG","SM","30-Nov-2018","         82.50","         80.55","         82.00","         78.10","         78.10","         78.20","         79.49","      21600","             1717020.00","         12","      21600","        100.00"
"AVG","SM","04-Dec-2018","         78.20","         76.00","         85.00","         74.35","         85.00","         75.60","         75.24","     200400","            15078000.00","         31","     193200","         96.41"
"AVG","SM","05-Dec-2018","         75.60","         79.35","         80.00","         75.00","         76.00","         75.75","         76.73","      54000","             4143420.00","         27","      51600","         95.56"
"AVG","SM","06-Dec-2018","         75.75","         72.75","         76.75","         72.65","         76.75","         75.95","         73.35","      60000","             4401000.00","         14","      56400","         94.00"
"AVG","SM","07-Dec-2018","         75.95","         78.00","         78.45","         74.10","         74.10","         74.10","         76.85","       3600","              276660.00","          3","       2400","         66.67"
"AVG","SM","10-Dec-2018","         74.10","         70.65","         70.65","         70.65","         70.65","         70.65","         70.65","       2400","              169560.00","          1","       2400","        100.00"
"AVG","SM","13-Dec-2018","         70.65","         74.15","         75.00","         74.15","         75.00","         75.00","         74.58","       2400","              178980.00","          2","       2400","        100.00"
"AVG","SM","20-Dec-2018","         75.00","         78.00","         78.00","         78.00","         78.00","         78.00","         78.00","       8400","              655200.00","          6","       6000","         71.43"
"AVG","SM","24-Dec-2018","         78.00","         78.50","         78.50","         76.05","         76.05","         76.05","         77.28","       2400","              185460.00","          2","       1200","         50.00"
"AVG","SM","27-Dec-2018","         76.05","         76.50","         76.50","         76.50","         76.50","         76.50","         76.50","       1200","               91800.00","          1","       1200","        100.00"
"AVG","SM","31-Dec-2018","         76.50","         80.00","         81.00","         74.00","         74.00","         74.20","         74.58","      58800","             4385400.00","         13","      52800","         89.80"
"AVG","SM","01-Jan-2019","         74.20","         77.00","         82.70","         77.00","         78.00","         80.60","         80.28","      27600","             2215680.00","         20","      18000","         65.22"
"AVG","SM","04-Jan-2019","         80.60","         76.20","         76.20","         76.20","         76.20","         76.20","         76.20","       1200","               91440.00","          1","       1200","        100.00"
"AVG","SM","07-Jan-2019","         76.20","         78.00","         78.00","         75.10","         75.10","         75.10","         76.55","       2400","              183720.00","          2","       2400","        100.00"
"AVG","SM","10-Jan-2019","         75.10","         74.70","         74.70","         74.70","         74.70","         74.70","         74.70","       1200","               89640.00","          1","       1200","        100.00"
"AVG","SM","15-Jan-2019","         74.70","         78.40","         78.40","         78.40","         78.40","         78.40","         78.40","       1200","               94080.00","          1","       1200","        100.00"
"AVG","SM","16-Jan-2019","         78.40","         80.00","         88.05","         78.00","         80.35","         82.90","         82.10","      20400","             1674780.00","         17","       8400","         41.18"
"AVG","SM","17-Jan-2019","         82.90","         81.00","         87.00","         79.00","         79.00","         79.10","         81.27","      15600","             1267800.00","         13","       6000","         38.46"
"AVG","SM","18-Jan-2019","         79.10","         78.90","         81.00","         78.90","         81.00","         81.00","         79.98","      12000","              959760.00","          4","      12000","        100.00"
"AVG","SM","21-Jan-2019","         81.00","         80.00","         80.00","         79.00","         79.00","         79.00","         79.33","       3600","              285600.00","          2","       3600","        100.00"
"AVG","SM","22-Jan-2019","         79.00","         79.00","         79.00","         79.00","         79.00","         79.00","         79.00","       1200","               94800.00","          1","       1200","        100.00"
"AVG","SM","23-Jan-2019","         79.00","         79.00","         79.00","         79.00","         79.00","         79.00","         79.00","       1200","               94800.00","          1","       1200","        100.00"
"AVG","SM","24-Jan-2019","         79.00","         74.00","         74.00","         74.00","         74.00","         74.00","         74.00","       1200","               88800.00","          1","       1200","        100.00"
"AVG","SM","25-Jan-2019","         74.00","         77.00","         77.50","         70.50","         70.50","         70.50","         72.83","      10800","              786600.00","          7","       6000","         55.56"
"AVG","SM","28-Jan-2019","         70.50","         74.00","         74.00","         74.00","         74.00","         74.00","         74.00","       1200","               88800.00","          1","       1200","        100.00"
"AVG","SM","30-Jan-2019","         74.00","         70.80","         71.05","         70.75","         70.80","         70.95","         70.77","      51600","             3651660.00","          5","      48000","         93.02"
"AVG","SM","05-Feb-2019","         70.95","         73.50","         82.75","         72.95","         79.55","         79.55","         75.61","     102000","             7712100.00","         46","      56400","         55.29"
"AVG","SM","06-Feb-2019","         79.55","         80.00","         83.05","         79.20","         81.90","         81.90","         81.16","      21600","             1753020.00","         18","       1200","          5.56"
"AVG","SM","07-Feb-2019","         81.90","         83.00","         83.00","         77.30","         77.30","         77.30","         80.18","      20400","             1635660.00","         17","       1200","          5.88"
"AVG","SM","08-Feb-2019","         77.30","         80.00","         80.10","         77.90","         78.00","         78.00","         78.57","      20400","             1602900.00","         13","       1200","          5.88"
"AVG","SM","11-Feb-2019","         78.00","         79.00","         79.00","         73.75","         78.90","         78.90","         78.00","      26400","             2059200.00","         17","          0","          0.00"
"AVG","SM","12-Feb-2019","         78.90","         78.00","         78.10","         77.00","         77.10","         77.10","         77.36","      19200","             1485360.00","         10","          0","          0.00"
"AVG","SM","13-Feb-2019","         77.10","         77.00","         78.70","         74.95","         78.60","         78.65","         76.31","      25200","             1923060.00","         18","       2400","          9.52"
"AVG","SM","14-Feb-2019","         78.65","         78.00","         78.10","         77.00","         77.10","         77.10","         77.59","      19200","             1489800.00","         10","          0","          0.00"
"AVG","SM","15-Feb-2019","         77.10","         76.00","         76.30","         72.50","         72.50","         72.55","         75.73","      21600","             1635720.00","         12","       1200","          5.56"
"AVG","SM","18-Feb-2019","         72.55","         73.00","         75.35","         71.75","         73.05","         73.05","         73.26","      20400","             1494420.00","         13","          0","          0.00"
"AVG","SM","19-Feb-2019","         73.05","         73.05","         74.75","         71.25","         73.00","         73.00","         72.98","      20400","             1488840.00","         14","          0","          0.00"
"AVG","SM","20-Feb-2019","         73.00","         73.05","         74.25","         71.55","         71.55","         71.55","         72.85","      22800","             1661040.00","         13","       2400","         10.53"
"AVG","SM","21-Feb-2019","         71.55","         72.00","         73.15","         70.05","         70.85","         71.05","         71.48","      25200","             1801260.00","         17","       3600","         14.29"
"AVG","SM","22-Feb-2019","         71.05","         71.25","         79.10","         70.10","         74.30","         74.30","         74.76","      42000","             3140100.00","         32","       7200","         17.14"
"AVG","SM","25-Feb-2019","         74.30","         77.50","         77.50","         71.00","         77.15","         77.15","         76.28","      21600","             1647660.00","         14","       1200","          5.56"
"AVG","SM","26-Feb-2019","         77.15","         78.25","         89.30","         73.25","         78.00","         78.00","         80.83","      58800","             4752780.00","         39","      12000","         20.41"
"AVG","SM","27-Feb-2019","         78.00","         75.00","         81.25","         74.15","         74.15","         74.15","         77.08","      31200","             2404860.00","         26","       6000","         19.23"
"AVG","SM","28-Feb-2019","         74.15","         75.25","         76.95","         73.55","         76.95","         76.95","         75.61","      20400","             1542540.00","         16","          0","          0.00"
"AVG","SM","01-Mar-2019","         76.95","         75.00","         80.75","         72.70","         72.70","         74.30","         76.05","      49200","             3741660.00","         34","      19200","         39.02"
"AVG","SM","05-Mar-2019","         74.30","         70.75","         75.75","         70.75","         74.95","         74.15","         74.10","      50400","             3734520.00","         28","      26400","         52.38"
"AVG","SM","06-Mar-2019","         74.15","         76.90","         77.40","         74.00","         77.40","         77.00","         76.20","      13200","             1005780.00","         11","      10800","         81.82"
"AVG","SM","07-Mar-2019","         77.00","         76.00","         76.00","         75.00","         75.00","         75.00","         75.18","      22800","             1714080.00","         12","      22800","        100.00"
"AVG","SM","08-Mar-2019","         75.00","         77.40","         77.50","         74.50","         75.35","         75.35","         75.50","      15600","             1177800.00","         11","      14400","         92.31"
"AVG","SM","11-Mar-2019","         75.35","         80.55","         80.55","         80.55","         80.55","         80.55","         80.55","       2400","              193320.00","          1","       2400","        100.00"
"AVG","SM","12-Mar-2019","         80.55","         77.50","         77.50","         77.05","         77.05","         77.05","         77.28","       2400","              185460.00","          2","       2400","        100.00"
"AVG","SM","13-Mar-2019","         77.05","         77.10","         77.10","         77.10","         77.10","         77.10","         77.10","       2400","              185040.00","          1","       2400","        100.00"
"AVG","SM","15-Mar-2019","         77.10","         80.55","         81.65","         80.55","         81.65","         81.65","         81.28","       3600","              292620.00","          3","       3600","        100.00"
"AVG","SM","18-Mar-2019","         81.65","         85.75","         91.20","         82.50","         82.50","         82.50","         86.39","       8400","              725640.00","          7","       4800","         57.14"
"AVG","SM","19-Mar-2019","         82.50","         82.50","         94.45","         82.50","         90.10","         91.85","         91.21","      28800","             2626860.00","         24","      15600","         54.17"
"AVG","SM","22-Mar-2019","         91.85","         90.00","         90.00","         90.00","         90.00","         90.00","         90.00","       1200","              108000.00","          1","       1200","        100.00"
"AVG","SM","26-Mar-2019","         90.00","         87.00","         87.00","         87.00","         87.00","         87.00","         87.00","       1200","              104400.00","          1","       1200","        100.00"
"AVG","SM","27-Mar-2019","         87.00","         82.50","         82.50","         82.45","         82.45","         82.50","         82.48","       3600","              296940.00","          3","       3600","        100.00"
"AVG","SM","28-Mar-2019","         82.50","         82.00","         82.00","         82.00","         82.00","         82.00","         82.00","       1200","               98400.00","          1","       1200","        100.00"
"AVG","SM","29-Mar-2019","         82.00","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","       1200","               96000.00","          1","       1200","        100.00"
"AVG","SM","02-Apr-2019","         80.00","         80.30","         85.70","         80.30","         85.65","         85.65","         83.88","       3600","              301980.00","          3","       1200","         33.33"
"AVG","SM","08-Apr-2019","         85.65","         80.00","         82.75","         80.00","         82.75","         82.75","         81.75","       3600","              294300.00","          3","       2400","         66.67"
"AVG","SM","09-Apr-2019","         82.75","         86.00","         86.80","         86.00","         86.80","         86.80","         86.50","       4800","              415200.00","          4","       4800","        100.00"
"AVG","SM","10-Apr-2019","         86.80","         85.00","         85.00","         82.25","         82.25","         84.10","         84.27","       6000","              505620.00","          5","       4800","         80.00"
"AVG","SM","11-Apr-2019","         84.10","         83.00","         84.00","         80.00","         84.00","         83.55","         82.48","      13200","             1088700.00","         11","       7200","         54.55"
"AVG","SM","26-Apr-2019","         83.55","         85.00","         85.00","         85.00","         85.00","         85.00","         85.00","       1200","              102000.00","          1","       1200","        100.00"
"AVG","SM","30-Apr-2019","         85.00","         82.00","         84.00","         81.25","         81.50","         81.35","         82.01","       6000","              492060.00","          5","       4800","         80.00"
"AVG","SM","02-May-2019","         81.35","         85.00","         86.00","         85.00","         86.00","         85.50","         85.50","       2400","              205200.00","          2","       2400","        100.00"
"AVG","SM","03-May-2019","         85.50","         87.05","         87.05","         83.05","         83.05","         83.05","         85.05","       2400","              204120.00","          2","       1200","         50.00"
"AVG","SM","06-May-2019","         83.05","         81.75","         82.00","         81.75","         82.00","         82.00","         81.88","       2400","              196500.00","          2","       2400","        100.00"
"AVG","SM","07-May-2019","         82.00","         81.00","         81.00","         80.50","         81.00","         81.00","         80.78","       4800","              387720.00","          4","       3600","         75.00"
"AVG","SM","14-May-2019","         81.00","         77.50","         77.75","         72.00","         77.75","         77.35","         75.25","      16800","             1264200.00","         13","      14400","         85.71"
"AVG","SM","15-May-2019","         77.35","         77.20","         79.50","         77.20","         78.00","         78.35","         78.07","      10800","              843120.00","          6","       9600","         88.89"
"AVG","SM","16-May-2019","         78.35","         82.00","         82.00","         82.00","         82.00","         82.00","         82.00","       1200","               98400.00","          1","       1200","        100.00"
"AVG","SM","17-May-2019","         82.00","         80.00","         83.10","         78.00","         83.10","         83.05","         80.82","       6000","              484920.00","          4","       3600","         60.00"
"AVG","SM","20-May-2019","         83.05","         80.15","         80.50","         80.15","         80.50","         80.50","         80.33","       2400","              192780.00","          2","       1200","         50.00"
"AVG","SM","22-May-2019","         80.50","         85.80","         86.95","         85.80","         86.95","         86.95","         86.38","       2400","              207300.00","          2","       2400","        100.00"
"AVG","SM","23-May-2019","         86.95","         89.50","         89.50","         89.50","         89.50","         89.50","         89.50","       1200","              107400.00","          1","       1200","        100.00"
"AVG","SM","24-May-2019","         89.50","         92.75","         92.75","         92.75","         92.75","         92.75","         92.75","       1200","              111300.00","          1","       1200","        100.00"
"AVG","SM","27-May-2019","         92.75","         87.50","         87.50","         87.50","         87.50","         87.50","         87.50","       1200","              105000.00","          1","       1200","        100.00"
"AVG","SM","28-May-2019","         87.50","         92.50","         92.50","         92.50","         92.50","         92.50","         92.50","       1200","              111000.00","          1","       1200","        100.00"
"AVG","SM","30-May-2019","         92.50","         95.50","         95.50","         89.70","         91.00","         91.00","         92.07","       3600","              331440.00","          3","       3600","        100.00"
"AVG","SM","31-May-2019","         91.00","         94.00","         95.85","         94.00","         95.85","         95.85","         94.93","       2400","              227820.00","          2","       2400","        100.00"
"AVG","SM","03-Jun-2019","         95.85","         92.00","        104.50","         92.00","        104.00","        104.00","        100.45","      12000","             1205400.00","         10","       6000","         50.00"
"AVG","SM","04-Jun-2019","        104.00","        108.00","        108.00","        101.00","        101.00","        101.00","        103.32","      13200","             1363800.00","          9","       8400","         63.64"
"AVG","SM","06-Jun-2019","        101.00","        100.95","        101.00","         99.00","         99.00","         99.00","        100.32","       7200","              722280.00","          3","       7200","        100.00"
"AVG","SM","07-Jun-2019","         99.00","        101.50","        101.50","        101.50","        101.50","        101.50","        101.50","       1200","              121800.00","          1","       1200","        100.00"
"AVG","SM","10-Jun-2019","        101.50","        100.00","        103.90","         99.00","        103.90","        103.90","        101.36","       9600","              973080.00","          6","       4800","         50.00"
"AVG","SM","11-Jun-2019","        103.90","        100.00","        100.00","        100.00","        100.00","        100.00","        100.00","       2400","              240000.00","          1","       2400","        100.00"
"AVG","SM","12-Jun-2019","        100.00","        102.00","        102.00","        102.00","        102.00","        102.00","        102.00","       2400","              244800.00","          2","       2400","        100.00"
"AVG","SM","13-Jun-2019","        102.00","        103.00","        103.45","        102.00","        103.45","        103.45","        102.82","       3600","              370140.00","          3","       2400","         66.67"
"AVG","SM","14-Jun-2019","        103.45","        103.00","        104.85","        103.00","        104.85","        104.85","        103.93","       2400","              249420.00","          2","       2400","        100.00"
"AVG","SM","18-Jun-2019","        104.85","         98.05","         98.05","         83.90","         83.90","         83.95","         89.59","       7200","              645060.00","          6","       7200","        100.00"
"AVG","SM","19-Jun-2019","         83.95","         78.60","         82.00","         77.50","         78.00","         77.65","         79.32","      25200","             1998780.00","         13","      24000","         95.24"
"AVG","SM","20-Jun-2019","         77.65","         75.00","         79.75","         75.00","         79.75","         79.75","         77.38","       2400","              185700.00","          2","       2400","        100.00"
"AVG","SM","21-Jun-2019","         79.75","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","       2400","              192000.00","          1","       2400","        100.00"
"AVG","SM","24-Jun-2019","         80.00","         78.05","         78.05","         78.05","         78.05","         78.05","         78.05","       1200","               93660.00","          1","       1200","        100.00"
"AVG","SM","26-Jun-2019","         78.05","         78.00","         93.65","         78.00","         92.00","         92.00","         78.92","      99600","             7860240.00","          8","      98400","         98.80"
"AVG","SM","28-Jun-2019","         92.00","         96.00","         96.00","         96.00","         96.00","         96.00","         96.00","       1200","              115200.00","          1","       1200","        100.00"
"AVG","SM","01-Jul-2019","         96.00","         99.70","        101.90","         90.00","         90.00","         90.00","         95.99","       9600","              921480.00","          8","       4800","         50.00"
"AVG","SM","02-Jul-2019","         90.00","         93.00","         93.00","         93.00","         93.00","         93.00","         93.00","       1200","              111600.00","          1","       1200","        100.00"
"AVG","SM","03-Jul-2019","         93.00","         92.50","         92.50","         92.45","         92.50","         92.50","         92.48","       3600","              332940.00","          3","       2400","         66.67"
"AVG","SM","04-Jul-2019","         92.50","         96.50","         96.50","         96.50","         96.50","         96.50","         96.50","       1200","              115800.00","          1","       1200","        100.00"
"AVG","SM","05-Jul-2019","         96.50","         95.75","         95.75","         95.75","         95.75","         95.75","         95.75","       1200","              114900.00","          1","       1200","        100.00"
"AVG","SM","08-Jul-2019","         95.75","         90.30","         90.30","         90.30","         90.30","         90.30","         90.30","       1200","              108360.00","          1","       1200","        100.00"
"AVG","SM","17-Jul-2019","         90.30","         85.60","         85.60","         79.00","         79.00","         79.00","         82.30","       2400","              197520.00","          2","       2400","        100.00"
"AVG","SM","18-Jul-2019","         79.00","         78.45","         78.45","         78.45","         78.45","         78.45","         78.45","       1200","               94140.00","          1","       1200","        100.00"
"AVG","SM","19-Jul-2019","         78.45","         82.30","         82.30","         79.75","         79.75","         79.75","         81.03","       2400","              194460.00","          2","       1200","         50.00"
"AVG","SM","23-Jul-2019","         79.75","         76.05","         78.10","         76.05","         78.10","         78.10","         77.08","       2400","              184980.00","          2","       1200","         50.00"
"AVG","SM","24-Jul-2019","         78.10","         76.05","         76.05","         75.05","         75.05","         75.70","         75.70","       3600","              272520.00","          3","       3600","        100.00"
"AVG","SM","30-Jul-2019","         75.70","         75.25","         75.25","         67.00","         75.00","         75.00","         68.31","      87600","             5984160.00","         12","      81600","         93.15"
"AVG","SM","01-Aug-2019","         75.00","         72.05","         72.05","         72.05","         72.05","         72.05","         72.05","       1200","               86460.00","          1","       1200","        100.00"
"AVG","SM","07-Aug-2019","         72.05","         73.95","         73.95","         68.25","         68.25","         68.25","         71.10","      12000","              853200.00","          2","          0","          0.00"
"AVG","SM","08-Aug-2019","         68.25","         70.50","         70.50","         70.50","         70.50","         70.50","         70.50","       1200","               84600.00","          1","       1200","        100.00"
"AVG","SM","09-Aug-2019","         70.50","         72.85","         72.85","         72.85","         72.85","         72.85","         72.85","       1200","               87420.00","          1","       1200","        100.00"
"AVG","SM","13-Aug-2019","         72.85","         68.00","         71.00","         68.00","         71.00","         71.00","         69.50","       2400","              166800.00","          2","       1200","         50.00"
"AVG","SM","21-Aug-2019","         71.00","         67.50","         68.50","         67.05","         67.50","         68.00","         67.48","       8400","              566820.00","          6","       7200","         85.71"
"AVG","SM","26-Aug-2019","         68.00","         79.50","         79.50","         79.50","         79.50","         79.50","         79.50","       1200","               95400.00","          1","       1200","        100.00"
"AVG","SM","27-Aug-2019","         79.50","         70.00","         81.90","         70.00","         81.40","         81.40","         77.77","       3600","              279960.00","          3","       1200","         33.33"
"AVG","SM","28-Aug-2019","         81.40","         78.00","         78.00","         78.00","         78.00","         78.00","         78.00","       1200","               93600.00","          1","       1200","        100.00"
"AVG","SM","29-Aug-2019","         78.00","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","       2400","              192000.00","          1","       2400","        100.00"
"AVG","SM","30-Aug-2019","         80.00","         78.95","         78.95","         78.95","         78.95","         78.95","         78.95","       1200","               94740.00","          1","       1200","        100.00"
"AVG","SM","03-Sep-2019","         78.95","         94.00","         94.00","         94.00","         94.00","         94.00","         94.00","       1200","              112800.00","          1","       1200","        100.00"
"AVG","SM","04-Sep-2019","         94.00","         97.90","         97.90","         78.00","         78.00","         78.00","         83.80","       6000","              502800.00","          4","       4800","         80.00"
"AVG","SM","09-Sep-2019","         78.00","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","       2400","              192000.00","          1","       2400","        100.00"
"AVG","SM","11-Sep-2019","         80.00","         78.00","         78.00","         76.00","         76.00","         76.00","         77.00","       2400","              184800.00","          2","       1200","         50.00"
