"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAFNAPH","BE","02-Mar-2020","          3.55","          4.40","          4.60","          4.40","          4.60","          4.60","          4.54","        623","                2825.80","          7","-","-"
"BAFNAPH","BE","03-Mar-2020","          4.60","          4.80","          4.80","          4.80","          4.80","          4.80","          4.80","        572","                2745.60","         14","-","-"
"BAFNAPH","BE","04-Mar-2020","          4.80","          5.00","          5.00","          5.00","          5.00","          5.00","          5.00","        504","                2520.00","          8","-","-"
"BAFNAPH","BE","05-Mar-2020","          5.00","          5.25","          5.25","          5.25","          5.25","          5.25","          5.25","         58","                 304.50","          3","-","-"
"BAFNAPH","BE","06-Mar-2020","          5.25","          5.50","          5.50","          5.50","          5.50","          5.50","          5.50","        198","                1089.00","          4","-","-"
"BAFNAPH","BE","09-Mar-2020","          5.50","          5.75","          5.75","          5.75","          5.75","          5.75","          5.75","         34","                 195.50","          3","-","-"
"BAFNAPH","BE","11-Mar-2020","          5.75","          6.00","          6.00","          6.00","          6.00","          6.00","          6.00","       2270","               13620.00","          9","-","-"
"BAFNAPH","BE","12-Mar-2020","          6.00","          6.30","          6.30","          6.30","          6.30","          6.30","          6.30","        325","                2047.50","          9","-","-"
"BAFNAPH","BE","13-Mar-2020","          6.30","          6.60","          6.60","          6.60","          6.60","          6.60","          6.60","        295","                1947.00","          7","-","-"
"BAFNAPH","BE","16-Mar-2020","          6.60","          6.90","          6.90","          6.90","          6.90","          6.90","          6.90","        621","                4284.90","          5","-","-"
"BAFNAPH","EQ","17-Mar-2020","          6.90","          7.55","          7.55","          7.55","          7.55","          7.55","          7.55","        972","                7338.60","          9","        972","        100.00"
"BAFNAPH","EQ","18-Mar-2020","          7.55","          8.30","          8.30","          8.30","          8.30","          8.30","          8.30","       1326","               11005.80","          8","       1326","        100.00"
"BAFNAPH","EQ","19-Mar-2020","          8.30","          9.10","          9.10","          9.10","          9.10","          9.10","          9.10","       1052","                9573.20","         11","       1052","        100.00"
"BAFNAPH","EQ","20-Mar-2020","          9.10","          9.55","          9.55","          9.55","          9.55","          9.55","          9.55","        313","                2989.15","          7","        313","        100.00"
"BAFNAPH","EQ","23-Mar-2020","          9.55","         10.00","         10.00","         10.00","         10.00","         10.00","         10.00","       1573","               15730.00","         15","       1573","        100.00"
"BAFNAPH","EQ","24-Mar-2020","         10.00","         10.50","         10.50","         10.50","         10.50","         10.50","         10.50","        110","                1155.00","          9","        110","        100.00"
"BAFNAPH","EQ","25-Mar-2020","         10.50","         11.00","         11.00","         11.00","         11.00","         11.00","         11.00","        285","                3135.00","          3","        285","        100.00"
"BAFNAPH","EQ","26-Mar-2020","         11.00","         11.55","         11.55","         11.55","         11.55","         11.55","         11.55","          2","                  23.10","          2","          2","        100.00"
"BAFNAPH","EQ","27-Mar-2020","         11.55","         12.10","         12.10","         12.10","         12.10","         12.10","         12.10","        131","                1585.10","          5","        131","        100.00"
"BAFNAPH","EQ","30-Mar-2020","         12.10","         12.70","         12.70","         12.70","         12.70","         12.70","         12.70","         54","                 685.80","          4","         54","        100.00"
"BAFNAPH","EQ","31-Mar-2020","         12.70","         13.30","         13.30","         13.30","         13.30","         13.30","         13.30","        197","                2620.10","          9","        197","        100.00"
"BAFNAPH","EQ","01-Apr-2020","         13.30","         13.95","         13.95","         13.95","         13.95","         13.95","         13.95","        224","                3124.80","          6","        224","        100.00"
"BAFNAPH","EQ","03-Apr-2020","         13.95","         14.60","         14.60","         14.60","         14.60","         14.60","         14.60","        225","                3285.00","          8","        225","        100.00"
"BAFNAPH","EQ","07-Apr-2020","         14.60","         15.30","         15.30","         15.30","         15.30","         15.30","         15.30","        109","                1667.70","          7","        109","        100.00"
"BAFNAPH","EQ","08-Apr-2020","         15.30","         16.05","         16.05","         16.05","         16.05","         16.05","         16.05","        272","                4365.60","          8","        272","        100.00"
"BAFNAPH","BE","09-Apr-2020","         16.05","         16.85","         16.85","         16.85","         16.85","         16.85","         16.85","       2055","               34626.75","          4","-","-"
"BAFNAPH","BE","13-Apr-2020","         16.85","         17.65","         17.65","         17.65","         17.65","         17.65","         17.65","         69","                1217.85","          4","-","-"
"BAFNAPH","BE","15-Apr-2020","         17.65","         18.50","         18.50","         18.50","         18.50","         18.50","         18.50","       2251","               41643.50","          7","-","-"
"BAFNAPH","BE","16-Apr-2020","         18.50","         19.40","         19.40","         19.40","         19.40","         19.40","         19.40","         36","                 698.40","          2","-","-"
"BAFNAPH","BE","20-Apr-2020","         19.40","         19.95","         20.35","         19.90","         20.35","         20.35","         19.94","       6244","              124496.70","         33","-","-"
"BAFNAPH","BE","27-Apr-2020","         20.35","         20.35","         20.35","         20.35","         20.35","         20.35","         20.35","       3434","               69881.90","         26","-","-"
"BAFNAPH","BE","04-May-2020","         20.35","         20.35","         20.35","         20.35","         20.35","         20.35","         20.35","       1924","               39153.40","         17","-","-"
"BAFNAPH","BE","11-May-2020","         20.35","         20.35","         20.35","         20.35","         20.35","         20.35","         20.35","        794","               16157.90","         15","-","-"
"BAFNAPH","BE","18-May-2020","         20.35","         20.35","         20.35","         20.35","         20.35","         20.35","         20.35","        764","               15547.40","         12","-","-"
"BAFNAPH","BE","26-May-2020","         20.35","         20.35","         20.35","         20.35","         20.35","         20.35","         20.35","        590","               12006.50","         12","-","-"
