"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJCORP","EQ","11-Sep-2018","        420.75","        418.20","        428.00","        410.25","        414.25","        413.70","        423.30","      28723","            12158508.10","       1692","      12536","         43.64"
"BAJAJCORP","EQ","12-Sep-2018","        413.70","        413.75","        433.00","        413.75","        430.80","        428.70","        426.02","      64262","            27376672.45","       3420","      24277","         37.78"
"BAJAJCORP","EQ","14-Sep-2018","        428.70","        426.50","        435.00","        426.50","        431.00","        433.55","        432.30","      25499","            11023121.45","       3120","      15730","         61.69"
"BAJAJCORP","EQ","17-Sep-2018","        433.55","        430.95","        435.55","        424.60","        432.00","        428.70","        428.64","      16961","             7270128.00","       1057","       7337","         43.26"
"BAJAJCORP","EQ","18-Sep-2018","        428.70","        433.00","        468.40","        426.00","        456.95","        457.55","        458.64","     406741","           186545751.95","      11201","      72061","         17.72"
"BAJAJCORP","EQ","19-Sep-2018","        457.55","        461.60","        467.50","        450.20","        453.00","        452.80","        456.63","     130812","            59733007.50","       4313","      40866","         31.24"
"BAJAJCORP","EQ","21-Sep-2018","        452.80","        453.95","        461.50","        415.00","        454.00","        449.60","        441.89","      69390","            30663057.30","       3664","      35276","         50.84"
"BAJAJCORP","EQ","24-Sep-2018","        449.60","        455.90","        467.00","        430.00","        456.90","        457.95","        448.64","      55214","            24770957.10","       2687","      31612","         57.25"
"BAJAJCORP","EQ","25-Sep-2018","        457.95","        452.25","        462.00","        439.85","        443.00","        444.20","        446.08","      23525","            10494022.95","       2233","       9607","         40.84"
"BAJAJCORP","EQ","26-Sep-2018","        444.20","        449.60","        463.00","        434.00","        435.60","        437.65","        442.66","      62240","            27551182.90","       5742","      19038","         30.59"
"BAJAJCORP","EQ","27-Sep-2018","        437.65","        435.00","        438.40","        424.05","        425.95","        425.35","        430.22","      16634","             7156284.60","       1859","       9630","         57.89"
"BAJAJCORP","EQ","28-Sep-2018","        425.35","        427.95","        437.75","        406.50","        409.95","        412.20","        418.64","      42961","            17985045.35","       3265","      28462","         66.25"
"BAJAJCORP","EQ","01-Oct-2018","        412.20","        414.70","        416.45","        375.10","        396.00","        395.05","        395.28","      90829","            35902812.80","       2710","      71895","         79.15"
"BAJAJCORP","EQ","03-Oct-2018","        395.05","        400.10","        403.20","        396.05","        401.00","        400.00","        400.00","     235967","            94386098.55","       2696","     224102","         94.97"
"BAJAJCORP","EQ","04-Oct-2018","        400.00","        399.80","        401.50","        386.60","        397.65","        399.00","        397.01","      29338","            11647430.50","       3104","      19176","         65.36"
"BAJAJCORP","EQ","05-Oct-2018","        399.00","        396.60","        401.00","        389.55","        398.75","        396.80","        396.93","      29056","            11533196.55","       4494","      20188","         69.48"
"BAJAJCORP","EQ","08-Oct-2018","        396.80","        394.40","        394.40","        379.05","        383.55","        388.20","        388.77","      36587","            14224025.70","       1336","      28816","         78.76"
"BAJAJCORP","EQ","09-Oct-2018","        388.20","        385.80","        390.25","        381.00","        383.45","        386.65","        386.72","       8617","             3332392.70","        718","       4944","         57.37"
"BAJAJCORP","EQ","10-Oct-2018","        386.65","        385.05","        406.00","        385.05","        396.15","        399.40","        398.87","      17212","             6865391.70","       2098","      11839","         68.78"
"BAJAJCORP","EQ","11-Oct-2018","        399.40","        394.35","        402.80","        379.55","        399.00","        401.25","        395.30","      29171","            11531309.45","       2470","      20094","         68.88"
"BAJAJCORP","EQ","12-Oct-2018","        401.25","        406.40","        425.65","        395.00","        396.00","        398.50","        403.86","      40487","            16350909.10","       4505","      23469","         57.97"
"BAJAJCORP","EQ","15-Oct-2018","        398.50","        406.00","        406.00","        383.10","        395.00","        394.60","        395.39","      24529","             9698630.85","       3345","      15174","         61.86"
"BAJAJCORP","EQ","16-Oct-2018","        394.60","        398.90","        398.90","        390.00","        393.00","        393.20","        394.30","      32671","            12882266.00","       1692","      26688","         81.69"
"BAJAJCORP","EQ","17-Oct-2018","        393.20","        393.00","        397.95","        384.00","        385.50","        387.85","        391.63","      19443","             7614545.45","       1891","      12684","         65.24"
"BAJAJCORP","EQ","19-Oct-2018","        387.85","        384.10","        390.20","        383.60","        385.00","        386.95","        387.20","     129071","            49976641.30","       5875","     123477","         95.67"
"BAJAJCORP","EQ","22-Oct-2018","        386.95","        387.00","        389.30","        371.20","        374.70","        374.40","        379.70","      21183","             8043083.85","       1146","      14084","         66.49"
"BAJAJCORP","EQ","23-Oct-2018","        374.40","        374.70","        377.00","        357.00","        357.10","        360.50","        365.04","      32490","            11860214.20","       1826","      15706","         48.34"
"BAJAJCORP","EQ","24-Oct-2018","        360.50","        358.90","        369.90","        352.00","        355.35","        354.35","        362.63","      63990","            23204636.60","       2000","      49069","         76.68"
"BAJAJCORP","EQ","25-Oct-2018","        354.35","        355.35","        360.00","        353.40","        359.85","        359.45","        358.15","      27991","            10025014.75","        798","      13630","         48.69"
"BAJAJCORP","EQ","26-Oct-2018","        359.45","        359.00","        359.75","        342.15","        344.75","        343.55","        345.56","      43662","            15087782.40","       2888","      19825","         45.41"
"BAJAJCORP","EQ","29-Oct-2018","        343.55","        347.35","        360.10","        345.05","        359.20","        359.60","        356.61","      19026","             6784926.30","        906","      11569","         60.81"
"BAJAJCORP","EQ","30-Oct-2018","        359.60","        358.95","        360.10","        350.00","        350.80","        354.00","        354.50","      69615","            24678795.15","        951","      65176","         93.62"
"BAJAJCORP","EQ","31-Oct-2018","        354.00","        354.00","        356.00","        351.00","        354.65","        354.90","        354.34","      11304","             4005429.90","       1060","       6729","         59.53"
"BAJAJCORP","EQ","01-Nov-2018","        354.90","        355.15","        356.75","        352.00","        354.95","        355.05","        354.97","      12516","             4442754.70","        752","       8487","         67.81"
"BAJAJCORP","EQ","02-Nov-2018","        355.05","        362.95","        374.00","        351.05","        353.00","        352.85","        355.73","     158408","            56350932.50","       2438","     123987","         78.27"
"BAJAJCORP","EQ","05-Nov-2018","        352.85","        357.90","        359.00","        348.00","        350.20","        350.05","        352.92","      18460","             6514937.65","       1138","      11628","         62.99"
"BAJAJCORP","EQ","06-Nov-2018","        350.05","        352.20","        357.25","        350.50","        352.25","        354.35","        354.69","      15868","             5628190.20","        700","       8773","         55.29"
"BAJAJCORP","EQ","07-Nov-2018","        354.35","        356.75","        360.65","        351.50","        360.65","        359.40","        358.44","       7906","             2833791.50","        359","       5698","         72.07"
"BAJAJCORP","EQ","09-Nov-2018","        359.40","        354.15","        362.00","        353.00","        354.00","        354.20","        355.86","      21594","             7684475.00","       1152","      14665","         67.91"
"BAJAJCORP","EQ","12-Nov-2018","        354.20","        356.40","        357.95","        350.10","        351.30","        353.85","        354.21","      14350","             5082920.35","        662","      10246","         71.40"
"BAJAJCORP","EQ","13-Nov-2018","        353.85","        353.95","        361.00","        350.00","        358.70","        356.35","        351.08","      81431","            28588678.30","       1508","      59936","         73.60"
"BAJAJCORP","EQ","14-Nov-2018","        356.35","        358.00","        358.00","        349.70","        351.55","        351.20","        352.24","      22152","             7802800.50","        811","      13680","         61.76"
"BAJAJCORP","EQ","15-Nov-2018","        351.20","        353.40","        358.00","        351.05","        357.20","        356.35","        354.95","       7022","             2492465.15","        401","       5012","         71.38"
"BAJAJCORP","EQ","16-Nov-2018","        356.35","        357.95","        359.50","        352.05","        353.80","        355.65","        356.53","      14063","             5013812.80","        765","       9524","         67.72"
