"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BANARISUG","EQ","11-Sep-2018","       1525.15","       1525.00","       1525.00","       1475.10","       1475.10","       1477.00","       1481.22","         98","              145159.70","         33","         75","         76.53"
"BANARISUG","EQ","12-Sep-2018","       1477.00","       1440.15","       1515.60","       1440.15","       1515.60","       1500.80","       1480.95","        435","              644214.55","         65","        224","         51.49"
"BANARISUG","EQ","14-Sep-2018","       1500.80","       1472.00","       1795.00","       1472.00","       1677.00","       1686.00","       1721.41","      26164","            45038926.80","       2303","       9595","         36.67"
"BANARISUG","EQ","17-Sep-2018","       1686.00","       1670.00","       1869.50","       1669.05","       1760.00","       1781.45","       1794.65","      44639","            80111450.55","       4574","      10713","         24.00"
"BANARISUG","EQ","18-Sep-2018","       1781.45","       1781.45","       1799.00","       1675.00","       1681.10","       1681.90","       1731.25","       7239","            12532524.55","       1080","       3170","         43.79"
"BANARISUG","EQ","19-Sep-2018","       1681.90","       1650.00","       1738.85","       1650.00","       1698.85","       1670.05","       1699.00","       3237","             5499669.10","        555","       1323","         40.87"
"BANARISUG","EQ","21-Sep-2018","       1670.05","       1670.10","       1730.00","       1430.00","       1629.00","       1610.65","       1636.39","       3942","             6450646.30","        597","       1760","         44.65"
"BANARISUG","EQ","24-Sep-2018","       1610.65","       1580.00","       1600.00","       1465.70","       1560.00","       1578.50","       1565.42","       1962","             3071353.30","        357","       1023","         52.14"
"BANARISUG","EQ","25-Sep-2018","       1578.50","       1560.00","       1699.00","       1540.00","       1679.95","       1668.30","       1636.02","       3418","             5591900.75","        410","       1171","         34.26"
"BANARISUG","EQ","26-Sep-2018","       1668.30","       1668.00","       1742.00","       1625.10","       1650.00","       1652.05","       1689.68","       2283","             3857535.70","        387","       1378","         60.36"
"BANARISUG","EQ","27-Sep-2018","       1652.05","       1653.00","       1739.95","       1617.00","       1617.00","       1628.20","       1669.82","        969","             1618051.95","        184","        593","         61.20"
"BANARISUG","EQ","28-Sep-2018","       1628.20","       1697.35","       1697.35","       1505.10","       1599.90","       1532.35","       1563.90","       1202","             1879802.45","        226","        687","         57.15"
