"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BANKINDIA","EQ","11-Sep-2018","         92.00","         92.30","         93.90","         90.25","         90.70","         90.70","         92.49","    7993270","           739261344.35","      23235","     733023","          9.17"
"BANKINDIA","EQ","12-Sep-2018","         90.70","         91.00","         92.10","         89.15","         91.25","         91.30","         90.65","    8634365","           782723846.30","      23098","     693122","          8.03"
"BANKINDIA","EQ","14-Sep-2018","         91.30","         92.50","         93.90","         92.05","         93.20","         93.20","         93.15","    5742873","           534967180.10","      14224","     640822","         11.16"
"BANKINDIA","EQ","17-Sep-2018","         93.20","         93.50","         94.80","         92.00","         93.30","         93.45","         93.35","    8048159","           751262062.40","      24220","     530904","          6.60"
"BANKINDIA","EQ","18-Sep-2018","         93.45","         92.70","         94.95","         87.60","         89.50","         89.80","         90.48","   13925708","          1260008163.45","      38714","    1731386","         12.43"
"BANKINDIA","EQ","19-Sep-2018","         89.80","         90.55","         91.40","         88.50","         90.40","         90.15","         90.22","    6443158","           581303731.65","      19396","     428455","          6.65"
"BANKINDIA","EQ","21-Sep-2018","         90.15","         91.00","         91.90","         81.15","         87.00","         86.45","         88.46","    9518376","           842007677.75","      26421","     778415","          8.18"
"BANKINDIA","EQ","24-Sep-2018","         86.45","         87.00","         87.90","         82.70","         83.00","         83.50","         84.47","    8101723","           684374324.15","      20689","     590242","          7.29"
"BANKINDIA","EQ","25-Sep-2018","         83.50","         83.00","         84.70","         80.45","         84.10","         84.25","         82.77","    9917421","           820831037.65","      26195","     542298","          5.47"
"BANKINDIA","EQ","26-Sep-2018","         84.25","         84.70","         85.40","         81.75","         83.80","         83.85","         83.84","    8849865","           741928885.50","      25879","     438478","          4.95"
"BANKINDIA","EQ","27-Sep-2018","         83.85","         83.75","         84.35","         79.85","         80.30","         80.45","         81.98","    6606824","           541618312.95","      19302","     798462","         12.09"
"BANKINDIA","EQ","28-Sep-2018","         80.45","         80.60","         81.35","         75.80","         76.70","         76.90","         78.61","   10815113","           850143838.70","      32578","     946012","          8.75"
"BANKINDIA","EQ","01-Oct-2018","         76.90","         76.70","         81.20","         73.45","         80.50","         79.15","         77.34","   10042107","           776626515.05","      26489","     855235","          8.52"
"BANKINDIA","EQ","03-Oct-2018","         79.15","         78.95","         83.95","         78.10","         79.75","         80.60","         81.12","    9719469","           788477040.45","      27858","     495669","          5.10"
"BANKINDIA","EQ","04-Oct-2018","         80.60","         78.85","         81.65","         77.10","         78.20","         79.10","         79.42","    7927360","           629570585.50","      23817","     455081","          5.74"
"BANKINDIA","EQ","05-Oct-2018","         79.10","         78.90","         79.95","         75.50","         76.00","         76.80","         78.49","    7698118","           604247480.05","      23994","     595576","          7.74"
"BANKINDIA","EQ","08-Oct-2018","         76.80","         76.60","         77.50","         74.00","         75.90","         76.00","         76.00","    7324522","           556678029.30","      21465","     420403","          5.74"
