"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHAGERIA","EQ","11-Sep-2018","        291.55","        289.05","        295.00","        285.50","        285.50","        289.25","        291.93","       8021","             2341561.85","        248","       4180","         52.11"
"BHAGERIA","EQ","12-Sep-2018","        289.25","        285.10","        290.90","        284.20","        286.00","        285.95","        286.31","       9988","             2859705.50","        289","       7660","         76.69"
"BHAGERIA","EQ","14-Sep-2018","        285.95","        288.00","        290.00","        281.00","        289.90","        288.10","        286.44","      16982","             4864367.75","        505","       9487","         55.87"
"BHAGERIA","EQ","17-Sep-2018","        288.10","        288.15","        290.10","        284.90","        285.00","        286.60","        287.67","      10749","             3092128.20","        256","       7760","         72.19"
"BHAGERIA","EQ","18-Sep-2018","        286.60","        286.05","        287.95","        283.25","        283.30","        285.05","        286.68","       5616","             1609979.45","        134","       5232","         93.16"
"BHAGERIA","EQ","19-Sep-2018","        285.05","        282.35","        286.75","        277.35","        279.65","        281.35","        281.36","      11608","             3266059.05","        246","       9541","         82.19"
"BHAGERIA","EQ","21-Sep-2018","        281.35","        282.00","        286.00","        260.00","        281.20","        279.15","        274.58","      35582","             9770228.05","        781","      17134","         48.15"
"BHAGERIA","EQ","24-Sep-2018","        279.15","        273.60","        281.95","        265.00","        265.00","        267.25","        270.09","       7149","             1930846.65","        333","       4218","         59.00"
"BHAGERIA","EQ","25-Sep-2018","        267.25","        266.05","        273.80","        263.05","        264.00","        264.75","        265.82","      16430","             4367351.50","        397","      13183","         80.24"
"BHAGERIA","EQ","26-Sep-2018","        264.75","        265.00","        269.00","        261.90","        262.55","        264.85","        266.01","      12032","             3200610.15","        259","      10493","         87.21"
"BHAGERIA","EQ","27-Sep-2018","        264.85","        262.00","        265.25","        258.10","        261.00","        260.35","        261.95","       3417","              895091.80","        176","       2496","         73.05"
