"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BRNL","EQ","11-Sep-2018","        157.60","        157.05","        158.00","        155.10","        156.45","        156.40","        156.89","       2390","              374977.10","        123","       1562","         65.36"
"BRNL","EQ","12-Sep-2018","        156.40","        155.60","        158.90","        153.00","        156.30","        156.30","        155.81","       3360","              523529.20","        164","       2234","         66.49"
"BRNL","EQ","14-Sep-2018","        156.30","        156.00","        158.50","        154.90","        156.50","        157.45","        156.30","       3816","              596437.70","        177","       2358","         61.79"
"BRNL","EQ","17-Sep-2018","        157.45","        155.95","        158.00","        154.50","        155.50","        156.10","        155.53","     148581","            23108748.10","        178","     147179","         99.06"
"BRNL","EQ","18-Sep-2018","        156.10","        155.75","        156.50","        153.25","        153.25","        154.10","        154.77","       4422","              684379.05","        223","       2981","         67.41"
"BRNL","EQ","19-Sep-2018","        154.10","        154.00","        155.80","        152.90","        154.00","        154.65","        154.46","       3058","              472350.20","        132","       2107","         68.90"
"BRNL","EQ","21-Sep-2018","        154.65","        154.25","        154.90","        149.75","        154.00","        153.40","        152.59","       5627","              858625.45","        257","       2870","         51.00"
"BRNL","EQ","24-Sep-2018","        153.40","        152.05","        154.00","        149.75","        153.75","        153.65","        152.38","       3566","              543377.50","        158","       2309","         64.75"
"BRNL","EQ","25-Sep-2018","        153.65","        152.15","        154.00","        150.50","        154.00","        153.70","        152.97","       3165","              484151.25","        128","       2009","         63.48"
"BRNL","EQ","26-Sep-2018","        153.70","        152.30","        154.00","        151.05","        152.30","        153.45","        152.89","       2050","              313421.95","        110","       1290","         62.93"
"BRNL","EQ","27-Sep-2018","        153.45","        154.95","        155.00","        151.00","        151.50","        153.25","        152.67","       3353","              511909.40","        115","       2033","         60.63"
"BRNL","EQ","28-Sep-2018","        153.25","        152.50","        153.00","        150.05","        150.05","        151.70","        151.33","       4619","              698985.35","        174","       2997","         64.88"
"BRNL","EQ","01-Oct-2018","        151.70","        152.00","        153.50","        137.05","        145.00","        143.00","        144.75","       5754","              832863.10","        226","       3752","         65.21"
"BRNL","EQ","03-Oct-2018","        143.00","        144.35","        144.35","        136.00","        140.00","        138.85","        139.67","       8483","             1184843.10","        368","       5135","         60.53"
"BRNL","EQ","04-Oct-2018","        138.85","        140.00","        140.20","        134.00","        134.90","        134.65","        135.55","       8992","             1218901.10","        314","       5876","         65.35"
"BRNL","EQ","05-Oct-2018","        134.65","        135.90","        140.00","        132.00","        137.00","        139.20","        138.99","     189320","            26313742.65","        502","     164513","         86.90"
"BRNL","EQ","08-Oct-2018","        139.20","        138.00","        144.25","        134.00","        144.00","        140.70","        139.98","     228213","            31945583.70","        299","     225270","         98.71"
"BRNL","EQ","09-Oct-2018","        140.70","        140.00","        141.00","        138.00","        140.00","        139.90","        140.48","     264506","            37156944.90","        111","     264168","         99.87"
"BRNL","EQ","10-Oct-2018","        139.90","        140.00","        140.00","        137.10","        137.10","        138.05","        138.30","       3729","              515723.50","        209","       2576","         69.08"
"BRNL","EQ","11-Oct-2018","        138.05","        137.10","        137.10","        131.00","        131.50","        131.50","        132.06","       5766","              761483.25","        243","       4183","         72.55"
"BRNL","EQ","12-Oct-2018","        131.50","        132.75","        133.40","        131.25","        131.35","        132.10","        132.15","       2785","              368041.85","        128","       2303","         82.69"
"BRNL","EQ","15-Oct-2018","        132.10","        132.00","        132.50","        130.90","        130.90","        131.65","        131.93","        791","              104358.85","         65","        619","         78.26"
"BRNL","EQ","16-Oct-2018","        131.65","        132.50","        132.95","        130.45","        132.00","        131.40","        131.47","       2749","              361410.20","        192","       1729","         62.90"
"BRNL","EQ","17-Oct-2018","        131.40","        132.50","        132.90","        127.75","        131.95","        128.75","        131.69","      54322","             7153519.70","        176","      53662","         98.79"
"BRNL","EQ","19-Oct-2018","        128.75","        128.75","        129.00","        124.75","        127.00","        126.30","        127.86","      55140","             7050003.30","        228","      53729","         97.44"
"BRNL","EQ","22-Oct-2018","        126.30","        127.35","        127.35","        121.70","        122.00","        123.25","        124.37","       5057","              628950.00","        178","       4281","         84.65"
"BRNL","EQ","23-Oct-2018","        123.25","        123.95","        124.40","        118.70","        118.70","        120.30","        121.37","       4773","              579285.80","        169","       4404","         92.27"
"BRNL","EQ","24-Oct-2018","        120.30","        121.00","        121.45","        119.00","        119.65","        119.65","        120.09","       1376","              165244.60","         96","       1182","         85.90"
"BRNL","EQ","25-Oct-2018","        119.65","        120.00","        120.75","        116.05","        117.00","        119.20","        118.60","       1787","              211936.35","         99","       1422","         79.57"
"BRNL","EQ","26-Oct-2018","        119.20","        120.00","        120.30","        115.05","        115.05","        116.15","        117.02","       2392","              279905.55","        105","       1846","         77.17"
"BRNL","EQ","29-Oct-2018","        116.15","        116.15","        116.15","        110.25","        110.30","        111.60","        113.16","       6022","              681447.55","        197","       5282","         87.71"
"BRNL","EQ","30-Oct-2018","        111.60","        111.35","        111.55","        109.50","        110.00","        110.65","        111.06","      18264","             2028366.10","        258","      14119","         77.31"
