"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CAPACITE","EQ","11-Sep-2018","        254.60","        255.85","        256.00","        252.50","        254.00","        253.10","        254.84","     163803","            41743059.65","       1169","     156857","         95.76"
"CAPACITE","EQ","12-Sep-2018","        253.10","        254.00","        254.00","        251.00","        253.15","        252.85","        252.13","      30019","             7568747.05","        712","      18847","         62.78"
"CAPACITE","EQ","14-Sep-2018","        252.85","        253.10","        256.00","        251.95","        252.00","        252.50","        253.70","      38708","             9820336.80","        848","      26619","         68.77"
"CAPACITE","EQ","17-Sep-2018","        252.50","        254.00","        254.00","        249.40","        250.00","        249.80","        250.40","      48281","            12089705.50","       1031","      34975","         72.44"
"CAPACITE","EQ","18-Sep-2018","        249.80","        251.40","        258.90","        247.30","        249.00","        248.80","        251.70","      41112","            10347838.40","       1274","      20111","         48.92"
"CAPACITE","EQ","19-Sep-2018","        248.80","        249.95","        253.90","        246.00","        248.00","        247.35","        249.33","      29538","             7364769.30","        782","      17279","         58.50"
"CAPACITE","EQ","21-Sep-2018","        247.35","        248.00","        249.50","        229.90","        247.50","        247.30","        243.68","     148562","            36201576.10","       4681","     105190","         70.81"
"CAPACITE","EQ","24-Sep-2018","        247.30","        244.00","        247.45","        229.00","        230.40","        230.45","        234.07","      81227","            19012711.70","       2120","      54449","         67.03"
"CAPACITE","EQ","25-Sep-2018","        230.45","        230.10","        236.35","        223.00","        228.00","        228.25","        229.37","     199331","            45720783.30","       6433","      73860","         37.05"
"CAPACITE","EQ","26-Sep-2018","        228.25","        232.45","        233.70","        227.00","        229.00","        228.85","        230.27","      44854","            10328561.20","       1774","      23536","         52.47"
"CAPACITE","EQ","27-Sep-2018","        228.85","        229.05","        230.95","        219.65","        220.95","        220.90","        225.19","      52342","            11786816.70","       3711","      28263","         54.00"
"CAPACITE","EQ","28-Sep-2018","        220.90","        221.30","        229.50","        219.55","        220.95","        220.20","        223.76","     149718","            33501480.65","       3290","      72298","         48.29"
"CAPACITE","EQ","01-Oct-2018","        220.20","        214.60","        217.65","        199.95","        210.10","        210.55","        208.04","      81113","            16874875.70","       2292","      50587","         62.37"
