"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CASTEXTECH","EQ","11-Sep-2018","          1.60","          1.65","          1.65","          1.65","          1.65","          1.65","          1.65","      85247","              140657.55","         54","      85247","        100.00"
"CASTEXTECH","EQ","12-Sep-2018","          1.65","          1.70","          1.70","          1.60","          1.60","          1.60","          1.62","     730643","             1184450.55","        369","     553609","         75.77"
"CASTEXTECH","EQ","14-Sep-2018","          1.60","          1.55","          1.55","          1.55","          1.55","          1.55","          1.55","     164295","              254657.25","        172","     161667","         98.40"
"CASTEXTECH","EQ","17-Sep-2018","          1.55","          1.50","          1.50","          1.50","          1.50","          1.50","          1.50","     135567","              203350.50","        153","     135567","        100.00"
"CASTEXTECH","EQ","18-Sep-2018","          1.50","          1.45","          1.50","          1.45","          1.45","          1.45","          1.45","     567916","              825986.10","        272","     289620","         51.00"
"CASTEXTECH","EQ","19-Sep-2018","          1.45","          1.45","          1.50","          1.40","          1.45","          1.40","          1.45","     566127","              819244.10","       1074","     270557","         47.79"
"CASTEXTECH","EQ","21-Sep-2018","          1.40","          1.45","          1.45","          1.35","          1.45","          1.40","          1.39","     828751","             1150617.50","        481","     413880","         49.94"
"CASTEXTECH","EQ","24-Sep-2018","          1.40","          1.40","          1.40","          1.35","          1.35","          1.35","          1.36","     312550","              423528.65","        110","     234708","         75.09"
"CASTEXTECH","EQ","25-Sep-2018","          1.35","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","      52800","               68640.00","         75","      52800","        100.00"
"CASTEXTECH","EQ","26-Sep-2018","          1.30","          1.25","          1.35","          1.25","          1.25","          1.25","          1.25","     638735","              800868.55","        227","     382894","         59.95"
"CASTEXTECH","EQ","27-Sep-2018","          1.25","          1.25","          1.30","          1.20","          1.25","          1.30","          1.25","     442530","              554226.70","        421","     233386","         52.74"
"CASTEXTECH","EQ","28-Sep-2018","          1.30","          1.30","          1.35","          1.25","          1.25","          1.25","          1.29","     763084","              986136.80","        389","     409527","         53.67"
"CASTEXTECH","EQ","01-Oct-2018","          1.25","          1.25","          1.30","          1.20","          1.20","          1.20","          1.21","     527054","              635166.90","       1362","     269728","         51.18"
"CASTEXTECH","EQ","03-Oct-2018","          1.20","          1.20","          1.25","          1.15","          1.15","          1.15","          1.17","     601053","              700523.80","        314","     332076","         55.25"
"CASTEXTECH","EQ","04-Oct-2018","          1.15","          1.15","          1.20","          1.10","          1.20","          1.20","          1.18","     453451","              533235.60","        375","     248713","         54.85"
"CASTEXTECH","EQ","05-Oct-2018","          1.20","          1.25","          1.25","          1.15","          1.25","          1.20","          1.20","     730140","              879742.50","        258","     395576","         54.18"
"CASTEXTECH","EQ","08-Oct-2018","          1.20","          1.20","          1.25","          1.15","          1.20","          1.20","          1.19","     358479","              424990.35","       1469","     148605","         41.45"
"CASTEXTECH","EQ","09-Oct-2018","          1.20","          1.15","          1.20","          1.15","          1.15","          1.20","          1.18","     418442","              493379.15","       1358","     284118","         67.90"
"CASTEXTECH","EQ","10-Oct-2018","          1.20","          1.15","          1.25","          1.15","          1.25","          1.25","          1.23","     536655","              657691.15","        165","     270194","         50.35"
"CASTEXTECH","EQ","11-Oct-2018","          1.25","          1.25","          1.30","          1.20","          1.30","          1.25","          1.26","     533156","              671275.75","        938","     258293","         48.45"
"CASTEXTECH","EQ","12-Oct-2018","          1.25","          1.30","          1.30","          1.20","          1.25","          1.25","          1.25","     788864","              988965.25","        611","     286444","         36.31"
"CASTEXTECH","EQ","15-Oct-2018","          1.25","          1.25","          1.30","          1.20","          1.30","          1.30","          1.28","     769772","              983395.25","        607","     462946","         60.14"
"CASTEXTECH","EQ","16-Oct-2018","          1.30","          1.30","          1.30","          1.25","          1.30","          1.25","          1.26","     870507","             1099450.35","        482","     381816","         43.86"
"CASTEXTECH","EQ","17-Oct-2018","          1.25","          1.25","          1.30","          1.25","          1.30","          1.30","          1.28","     522643","              668999.05","        411","     327399","         62.64"
"CASTEXTECH","EQ","19-Oct-2018","          1.30","          1.30","          1.30","          1.25","          1.25","          1.25","          1.25","     228900","              287218.80","         85","     148529","         64.89"
"CASTEXTECH","EQ","22-Oct-2018","          1.25","          1.25","          1.25","          1.20","          1.20","          1.20","          1.20","     341703","              410973.25","        506","     161636","         47.30"
"CASTEXTECH","EQ","23-Oct-2018","          1.20","          1.20","          1.20","          1.15","          1.15","          1.15","          1.15","     632043","              727040.90","        765","     332514","         52.61"
"CASTEXTECH","EQ","24-Oct-2018","          1.15","          1.15","          1.15","          1.10","          1.15","          1.15","          1.12","     439731","              491610.10","        253","     226978","         51.62"
"CASTEXTECH","EQ","25-Oct-2018","          1.15","          1.15","          1.15","          1.10","          1.15","          1.10","          1.11","     347535","              385059.80","        102","     211358","         60.82"
"CASTEXTECH","EQ","26-Oct-2018","          1.10","          1.10","          1.15","          1.05","          1.15","          1.10","          1.09","     556834","              609477.15","        164","     248572","         44.64"
"CASTEXTECH","EQ","29-Oct-2018","          1.10","          1.10","          1.15","          1.05","          1.05","          1.10","          1.10","     334095","              368093.90","        752","     274706","         82.22"
"CASTEXTECH","EQ","30-Oct-2018","          1.10","          1.10","          1.10","          1.05","          1.10","          1.10","          1.09","      99970","              108623.45","         97","      73099","         73.12"
"CASTEXTECH","EQ","31-Oct-2018","          1.10","          1.10","          1.15","          1.10","          1.15","          1.15","          1.12","     516618","              578533.70","        632","     267783","         51.83"
