"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CCL","EQ","11-Sep-2018","        269.45","        268.65","        277.70","        267.50","        274.40","        274.25","        272.65","      89985","            24534436.75","       7746","      67869","         75.42"
"CCL","EQ","12-Sep-2018","        274.25","        272.85","        275.35","        265.30","        270.65","        273.35","        270.52","      50855","            13757540.80","       3676","      38337","         75.38"
"CCL","EQ","14-Sep-2018","        273.35","        273.35","        273.35","        266.10","        267.00","        267.95","        269.49","      40225","            10840125.90","       3732","      29011","         72.12"
"CCL","EQ","17-Sep-2018","        267.95","        265.55","        268.45","        261.00","        264.10","        265.30","        264.23","      39217","            10362440.60","       2773","      28241","         72.01"
"CCL","EQ","18-Sep-2018","        265.30","        262.35","        272.50","        262.35","        269.00","        270.35","        269.10","      42252","            11370014.55","       2368","      29906","         70.78"
"CCL","EQ","19-Sep-2018","        270.35","        271.95","        271.95","        264.50","        266.40","        267.05","        267.30","      15107","             4038103.80","        955","       7611","         50.38"
"CCL","EQ","21-Sep-2018","        267.05","        270.35","        270.35","        256.90","        258.45","        258.05","        262.78","      44132","            11596932.70","       2331","      34717","         78.67"
"CCL","EQ","24-Sep-2018","        258.05","        264.80","        264.80","        250.00","        250.20","        251.05","        253.30","      45197","            11448395.90","       1406","      30916","         68.40"
"CCL","EQ","25-Sep-2018","        251.05","        254.85","        254.85","        250.00","        253.00","        253.30","        252.72","      50643","            12798257.70","       4219","      39788","         78.57"
"CCL","EQ","26-Sep-2018","        253.30","        253.05","        261.65","        253.05","        257.10","        259.20","        256.80","      55473","            14245437.35","       1947","      45630","         82.26"
"CCL","EQ","27-Sep-2018","        259.20","        261.95","        261.95","        254.75","        255.00","        255.30","        256.98","      13817","             3550659.00","        505","      10017","         72.50"
"CCL","EQ","28-Sep-2018","        255.30","        259.00","        260.00","        250.00","        250.20","        251.45","        255.37","      39615","            10116348.55","       3726","      26547","         67.01"
"CCL","EQ","01-Oct-2018","        251.45","        252.80","        253.05","        245.90","        249.00","        250.10","        248.51","      24784","             6159160.55","       1401","      14749","         59.51"
"CCL","EQ","03-Oct-2018","        250.10","        250.10","        268.00","        248.55","        249.35","        250.30","        257.43","     136355","            35101538.30","       3515","      47079","         34.53"
"CCL","EQ","04-Oct-2018","        250.30","        248.50","        253.15","        245.00","        248.00","        248.25","        248.22","      25226","             6261520.30","       1309","      11535","         45.73"
"CCL","EQ","05-Oct-2018","        248.25","        246.50","        251.05","        246.50","        248.70","        248.80","        248.79","      21325","             5305436.40","        962","      14602","         68.47"
"CCL","EQ","08-Oct-2018","        248.80","        250.00","        253.95","        245.00","        248.55","        247.65","        251.15","     132764","            33343056.55","       4440","     120374","         90.67"
