"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CENTRUM","EQ","11-Sep-2018","         48.40","         48.50","         50.15","         48.05","         48.10","         48.20","         48.72","      76837","             3743569.85","        621","      45730","         59.52"
"CENTRUM","EQ","12-Sep-2018","         48.20","         48.35","         48.60","         47.10","         48.05","         47.95","         47.81","     117460","             5615907.50","        559","      80434","         68.48"
"CENTRUM","EQ","14-Sep-2018","         47.95","         48.00","         49.70","         47.00","         47.00","         47.25","         48.50","     213819","            10369490.50","        773","     178056","         83.27"
"CENTRUM","EQ","17-Sep-2018","         47.25","         47.05","         47.80","         46.55","         46.55","         46.70","         46.95","      74434","             3494607.90","        468","      55874","         75.07"
"CENTRUM","EQ","18-Sep-2018","         46.70","         46.25","         47.25","         44.45","         45.10","         45.00","         45.79","     211374","             9679138.10","        850","     137310","         64.96"
"CENTRUM","EQ","19-Sep-2018","         45.00","         45.20","         46.80","         44.60","         45.50","         45.15","         45.49","     372660","            16953223.30","       1066","     297299","         79.78"
"CENTRUM","EQ","21-Sep-2018","         45.15","         45.50","         46.00","         36.25","         43.00","         43.55","         43.38","     506561","            21973964.30","       1649","     346244","         68.35"
"CENTRUM","EQ","24-Sep-2018","         43.55","         42.60","         43.30","         38.80","         39.70","         40.35","         40.92","     317184","            12979753.20","       1257","     211271","         66.61"
"CENTRUM","EQ","25-Sep-2018","         40.35","         38.55","         40.50","         36.90","         38.40","         37.65","         39.88","    1441947","            57511241.50","       1515","    1270748","         88.13"
"CENTRUM","EQ","26-Sep-2018","         37.65","         37.95","         41.45","         37.95","         39.85","         39.80","         39.78","     314489","            12511646.80","       1484","     167038","         53.11"
"CENTRUM","EQ","27-Sep-2018","         39.80","         40.05","         40.50","         36.50","         38.00","         37.10","         38.75","     413183","            16008830.80","        828","     328053","         79.40"
"CENTRUM","EQ","28-Sep-2018","         37.10","         37.40","         37.55","         32.55","         33.55","         33.25","         34.69","     530741","            18413948.60","       1827","     335067","         63.13"
"CENTRUM","EQ","01-Oct-2018","         33.25","         33.25","         36.50","         30.00","         36.50","         35.60","         33.61","     419828","            14110561.90","       2018","     276931","         65.96"
"CENTRUM","EQ","03-Oct-2018","         35.60","         36.70","         39.35","         35.25","         37.10","         37.50","         37.85","     342054","            12947843.75","       2123","     179281","         52.41"
"CENTRUM","EQ","04-Oct-2018","         37.50","         36.25","         38.90","         34.00","         38.30","         37.60","         37.42","     313911","            11747521.95","       1200","     224432","         71.50"
"CENTRUM","EQ","05-Oct-2018","         37.60","         37.00","         39.00","         36.55","         37.50","         37.30","         38.01","     261609","             9944957.45","        957","     181798","         69.49"
"CENTRUM","EQ","08-Oct-2018","         37.30","         37.90","         37.90","         34.70","         35.30","         34.95","         35.75","     336054","            12012329.65","       1147","     181737","         54.08"
"CENTRUM","EQ","09-Oct-2018","         34.95","         34.50","         35.25","         31.00","         33.90","         32.65","         32.47","     429052","            13930656.45","       2105","     230160","         53.64"
"CENTRUM","EQ","10-Oct-2018","         32.65","         32.55","         39.15","         32.55","         38.70","         38.90","         37.68","     834104","            31431132.70","       3070","     527820","         63.28"
"CENTRUM","EQ","11-Oct-2018","         38.90","         37.00","         41.40","         35.00","         41.15","         40.50","         37.89","     684550","            25936141.75","       2850","     364224","         53.21"
"CENTRUM","EQ","12-Oct-2018","         40.50","         42.75","         44.80","         39.65","         43.70","         42.70","         42.66","     507053","            21629002.70","       2722","     266921","         52.64"
"CENTRUM","EQ","15-Oct-2018","         42.70","         43.05","         44.00","         41.00","         43.25","         42.95","         42.85","     178400","             7644009.15","       1234","      79366","         44.49"
"CENTRUM","EQ","16-Oct-2018","         42.95","         43.90","         45.00","         42.20","         44.90","         44.40","         43.91","     253672","            11138789.70","       1117","     185939","         73.30"
"CENTRUM","EQ","17-Oct-2018","         44.40","         44.70","         44.85","         40.50","         41.00","         40.90","         41.71","     259979","            10843153.70","       1207","     182954","         70.37"
"CENTRUM","EQ","19-Oct-2018","         40.90","         42.50","         42.50","         38.10","         39.25","         39.10","         39.76","     182898","             7272587.05","        767","     116124","         63.49"
"CENTRUM","EQ","22-Oct-2018","         39.10","         39.50","         41.25","         37.65","         40.70","         40.30","         39.41","     173873","             6852290.85","        874","      91846","         52.82"
"CENTRUM","EQ","23-Oct-2018","         40.30","         40.00","         41.50","         38.80","         40.70","         40.45","         39.98","     259646","            10379987.85","        866","     151622","         58.40"
"CENTRUM","EQ","24-Oct-2018","         40.45","         40.95","         43.00","         40.20","         42.05","         42.30","         41.64","     162262","             6756717.55","        648","     101627","         62.63"
"CENTRUM","EQ","25-Oct-2018","         42.30","         42.35","         42.50","         39.80","         40.75","         41.30","         40.88","     182996","             7480777.90","        860","     123637","         67.56"
"CENTRUM","EQ","26-Oct-2018","         41.30","         41.30","         41.30","         39.05","         40.05","         40.85","         40.28","     199891","             8052399.40","       1024","     102536","         51.30"
"CENTRUM","EQ","29-Oct-2018","         40.85","         40.20","         41.50","         39.20","         41.00","         40.70","         40.26","     270314","            10883403.85","       1351","     137521","         50.87"
"CENTRUM","EQ","30-Oct-2018","         40.70","         41.00","         41.50","         40.05","         40.10","         40.35","         40.99","      92870","             3806532.10","        335","      59289","         63.84"
