"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CENTURYTEX","EQ","11-Sep-2018","        927.40","        927.40","        930.80","        904.10","        905.55","        906.85","        915.79","     571146","           523051256.85","      12875","      79741","         13.96"
"CENTURYTEX","EQ","12-Sep-2018","        906.85","        905.55","        919.00","        893.90","        912.85","        913.35","        905.01","     597215","           540484479.10","      20849","      71662","         12.00"
"CENTURYTEX","EQ","14-Sep-2018","        913.35","        918.20","        936.50","        918.20","        931.15","        931.45","        929.96","     637684","           593021898.05","      12937","      74006","         11.61"
"CENTURYTEX","EQ","17-Sep-2018","        931.45","        924.20","        941.00","        921.50","        924.00","        926.05","        932.30","     485205","           452355648.80","      17041","      56318","         11.61"
"CENTURYTEX","EQ","18-Sep-2018","        926.05","        926.05","        932.25","        895.00","        903.65","        904.15","        915.84","     495483","           453781931.85","      20504","      75422","         15.22"
"CENTURYTEX","EQ","19-Sep-2018","        904.15","        908.70","        911.40","        893.00","        897.60","        898.10","        899.93","     511026","           459885470.35","      23319","     152318","         29.81"
"CENTURYTEX","EQ","21-Sep-2018","        898.10","        908.95","        913.65","        842.05","        885.00","        883.75","        884.91","     737618","           652724960.40","      21157","     171981","         23.32"
"CENTURYTEX","EQ","24-Sep-2018","        883.75","        885.00","        885.00","        854.15","        863.00","        867.15","        867.28","     330323","           286482199.00","       9543","      55621","         16.84"
"CENTURYTEX","EQ","25-Sep-2018","        867.15","        863.00","        879.70","        836.50","        866.60","        864.45","        858.06","     618748","           530922192.95","      16510","      53765","          8.69"
"CENTURYTEX","EQ","26-Sep-2018","        864.45","        870.15","        886.45","        861.75","        876.75","        876.80","        874.84","     357358","           312631334.30","      10396","      61259","         17.14"
"CENTURYTEX","EQ","27-Sep-2018","        876.80","        879.90","        893.80","        842.40","        855.85","        850.35","        872.63","     887062","           774080048.10","      22205","     211929","         23.89"
"CENTURYTEX","EQ","28-Sep-2018","        850.35","        860.90","        864.70","        812.00","        818.25","        821.55","        835.35","     815817","           681491034.70","      19065","     129872","         15.92"
"CENTURYTEX","EQ","01-Oct-2018","        821.55","        813.00","        839.00","        774.00","        835.30","        836.10","        806.42","     922020","           743531240.90","      22237","     139176","         15.09"
"CENTURYTEX","EQ","03-Oct-2018","        836.10","        833.70","        833.70","        800.00","        802.50","        805.20","        814.70","     509379","           414993114.45","      17791","      89702","         17.61"
"CENTURYTEX","EQ","04-Oct-2018","        805.20","        780.05","        806.45","        777.40","        788.00","        798.10","        795.92","     649525","           516969944.65","      25893","     132824","         20.45"
"CENTURYTEX","EQ","05-Oct-2018","        798.10","        792.00","        800.60","        754.40","        762.00","        763.60","        781.20","     614859","           480326618.70","      23532","     153269","         24.93"
"CENTURYTEX","EQ","08-Oct-2018","        763.60","        751.10","        764.85","        727.45","        747.00","        747.80","        747.54","     844446","           631253721.20","      23953","     178521","         21.14"
"CENTURYTEX","EQ","09-Oct-2018","        747.80","        750.00","        760.10","        721.55","        736.45","        738.35","        740.11","     635939","           470662912.15","      15179","     147429","         23.18"
"CENTURYTEX","EQ","10-Oct-2018","        738.35","        742.80","        774.80","        740.00","        768.00","        767.15","        760.79","     829828","           631325866.10","      27314","     100181","         12.07"
"CENTURYTEX","EQ","11-Oct-2018","        767.15","        736.20","        763.70","        725.00","        737.10","        742.30","        747.03","     501015","           374272010.25","      13160","      47400","          9.46"
"CENTURYTEX","EQ","12-Oct-2018","        742.30","        747.40","        823.00","        745.50","        807.70","        812.45","        801.59","    1623158","          1301105552.85","      37453","     225896","         13.92"
"CENTURYTEX","EQ","15-Oct-2018","        812.45","        813.00","        828.70","        800.00","        816.15","        816.60","        815.78","     870964","           710518814.55","      26899","     126825","         14.56"
"CENTURYTEX","EQ","16-Oct-2018","        816.60","        815.00","        839.50","        809.25","        830.50","        828.15","        828.89","     632478","           524252175.95","      13755","      52651","          8.32"
"CENTURYTEX","EQ","17-Oct-2018","        828.15","        837.00","        841.00","        778.60","        787.15","        783.30","        804.61","     684279","           550578961.25","      15668","     131934","         19.28"
"CENTURYTEX","EQ","19-Oct-2018","        783.30","        775.00","        798.40","        758.00","        766.00","        766.05","        774.95","     535815","           415227962.00","      15472","      70829","         13.22"
"CENTURYTEX","EQ","22-Oct-2018","        766.05","        772.20","        773.65","        744.15","        747.70","        749.20","        757.87","     463049","           350931563.40","      12626","      64775","         13.99"
"CENTURYTEX","EQ","23-Oct-2018","        749.20","        744.00","        756.70","        718.05","        734.85","        735.30","        735.21","     567320","           417101656.00","      14101","      51051","          9.00"
"CENTURYTEX","EQ","24-Oct-2018","        735.30","        741.10","        777.45","        733.75","        775.40","        770.25","        753.69","     649211","           489303500.90","      15181","      85205","         13.12"
"CENTURYTEX","EQ","25-Oct-2018","        770.25","        750.50","        789.50","        750.50","        776.00","        776.80","        771.71","     676192","           521824386.60","      24573","     164705","         24.36"
"CENTURYTEX","EQ","26-Oct-2018","        776.80","        774.00","        788.55","        752.45","        769.05","        771.20","        774.61","     736453","           570463146.10","      27595","     140026","         19.01"
"CENTURYTEX","EQ","29-Oct-2018","        771.20","        776.40","        821.30","        767.00","        805.15","        804.70","        802.02","    1872945","          1502143101.30","      43603","     110069","          5.88"
"CENTURYTEX","EQ","30-Oct-2018","        804.70","        811.90","        826.00","        800.10","        814.90","        811.70","        814.01","     908281","           739351138.20","      24330","     113141","         12.46"
"CENTURYTEX","EQ","31-Oct-2018","        811.70","        814.00","        827.35","        791.00","        820.65","        822.75","        811.00","     725512","           588388404.80","      19482","     100411","         13.84"
"CENTURYTEX","EQ","01-Nov-2018","        822.75","        825.00","        845.80","        823.95","        836.55","        836.85","        836.52","     799236","           668574137.75","      18497","      75691","          9.47"
"CENTURYTEX","EQ","02-Nov-2018","        836.85","        841.00","        871.85","        841.00","        852.20","        852.20","        856.49","     876522","           750731119.40","      22476","     181088","         20.66"
"CENTURYTEX","EQ","05-Nov-2018","        852.20","        850.00","        883.30","        845.20","        873.50","        875.85","        870.19","     835539","           727081358.20","      21285","     189743","         22.71"
"CENTURYTEX","EQ","06-Nov-2018","        875.85","        881.00","        884.00","        858.00","        860.00","        862.65","        871.52","     445939","           388644171.65","      10858","      70904","         15.90"
"CENTURYTEX","EQ","07-Nov-2018","        862.65","        869.00","        870.50","        862.00","        868.00","        867.10","        866.62","      78610","            68124708.05","       1991","      17053","         21.69"
"CENTURYTEX","EQ","09-Nov-2018","        867.10","        868.80","        895.00","        862.30","        892.25","        892.80","        887.37","     604433","           536356576.00","      19985","     129671","         21.45"
"CENTURYTEX","EQ","12-Nov-2018","        892.80","        894.20","        902.35","        875.00","        877.10","        883.65","        887.87","     501991","           445702185.60","      14332","     126040","         25.11"
"CENTURYTEX","EQ","13-Nov-2018","        883.65","        876.70","        894.60","        873.25","        889.25","        890.55","        884.23","     448870","           396903350.80","      12915","      51774","         11.53"
"CENTURYTEX","EQ","14-Nov-2018","        890.55","        894.85","        907.50","        870.80","        890.25","        893.55","        892.82","     964752","           861347134.85","      21044","     127136","         13.18"
"CENTURYTEX","EQ","15-Nov-2018","        893.55","        892.90","        908.85","        882.00","        905.50","        905.85","        899.60","     467164","           420262775.95","      12821","      71591","         15.32"
"CENTURYTEX","EQ","16-Nov-2018","        905.85","        906.50","        916.00","        892.00","        905.00","        901.35","        903.18","     385842","           348486332.05","      14159","      59706","         15.47"
"CENTURYTEX","EQ","19-Nov-2018","        901.35","        901.20","        914.50","        898.00","        913.00","        910.35","        908.40","     286345","           260116301.60","       8722","      36932","         12.90"
"CENTURYTEX","EQ","20-Nov-2018","        910.35","        907.00","        926.75","        894.60","        896.25","        898.50","        913.24","     656186","           599253636.50","      15211","      56742","          8.65"
"CENTURYTEX","EQ","21-Nov-2018","        898.50","        895.25","        920.00","        891.65","        920.00","        914.55","        907.51","     440847","           400072148.40","      13612","      71014","         16.11"
"CENTURYTEX","EQ","22-Nov-2018","        914.55","        915.95","        918.85","        894.10","        896.00","        896.45","        905.70","     301900","           273430621.00","       8113","      45443","         15.05"
"CENTURYTEX","EQ","26-Nov-2018","        896.45","        896.40","        904.00","        884.00","        902.00","        900.90","        895.38","     400835","           358899020.25","      13075","      27529","          6.87"
"CENTURYTEX","BL","27-Nov-2018","        247.00","        904.55","        904.55","        904.55","        904.55","        904.55","        904.55","    1145045","          1035750454.75","          3","     404417","         35.32"
"CENTURYTEX","EQ","27-Nov-2018","        900.90","        899.00","        911.20","        896.60","        906.50","        908.20","        904.77","     320539","           290013047.35","       7105","      30886","          9.64"
"CENTURYTEX","EQ","28-Nov-2018","        908.20","        909.00","        914.90","        889.55","        896.30","        895.05","        903.54","     262012","           236738973.75","       6213","      39375","         15.03"
"CENTURYTEX","EQ","29-Nov-2018","        895.05","        900.50","        907.50","        891.00","        897.35","        894.15","        897.41","     311638","           279665705.15","       6828","      90703","         29.11"
"CENTURYTEX","EQ","30-Nov-2018","        894.15","        898.60","        926.75","        895.85","        920.00","        921.00","        913.33","     636019","           580892588.00","      15902","     156262","         24.57"
"CENTURYTEX","EQ","03-Dec-2018","        921.00","        925.50","        930.45","        905.20","        909.05","        908.35","        917.94","     617997","           567282090.15","      17144","      95722","         15.49"
"CENTURYTEX","EQ","04-Dec-2018","        908.35","        908.20","        918.00","        905.15","        913.50","        909.75","        912.75","     294939","           269204212.70","      10881","      29457","          9.99"
"CENTURYTEX","EQ","05-Dec-2018","        909.75","        902.65","        912.00","        894.60","        906.75","        904.65","        902.95","     350509","           316490553.30","       8493","      34219","          9.76"
"CENTURYTEX","EQ","06-Dec-2018","        904.65","        896.40","        897.90","        850.00","        850.05","        853.35","        870.29","     701733","           610711288.95","      17214","     102930","         14.67"
"CENTURYTEX","EQ","07-Dec-2018","        853.35","        855.00","        875.80","        847.25","        874.00","        871.50","        861.25","     583954","           502927807.45","      14116","      49145","          8.42"
"CENTURYTEX","EQ","10-Dec-2018","        871.50","        850.00","        865.00","        845.00","        848.00","        850.55","        856.18","     244174","           209058080.30","       7635","      23182","          9.49"
"CENTURYTEX","EQ","11-Dec-2018","        850.55","        840.00","        892.80","        836.65","        886.00","        886.35","        869.46","     539575","           469137997.65","      15861","      77298","         14.33"
"CENTURYTEX","EQ","12-Dec-2018","        886.35","        889.45","        914.00","        880.20","        910.00","        909.60","        904.30","     397308","           359286373.90","       9683","      41206","         10.37"
"CENTURYTEX","EQ","13-Dec-2018","        909.60","        911.00","        928.30","        904.00","        914.40","        912.65","        916.88","     437266","           400920136.15","       9387","      61225","         14.00"
"CENTURYTEX","EQ","14-Dec-2018","        912.65","        912.00","        947.00","        912.00","        923.65","        925.70","        933.50","    1251706","          1168462898.40","      28945","      99285","          7.93"
"CENTURYTEX","EQ","17-Dec-2018","        925.70","        926.00","        937.00","        915.30","        931.00","        933.90","        924.97","     452917","           418932719.75","      13212","      79580","         17.57"
"CENTURYTEX","EQ","18-Dec-2018","        933.90","        931.00","        937.70","        920.30","        932.50","        932.35","        930.19","     330193","           307142908.05","       7034","      43494","         13.17"
"CENTURYTEX","EQ","19-Dec-2018","        932.35","        938.00","        953.90","        931.00","        937.05","        939.95","        944.06","     806346","           761240809.70","      17075","      90141","         11.18"
"CENTURYTEX","EQ","20-Dec-2018","        939.95","        931.00","        948.00","        929.30","        943.65","        942.05","        941.14","     434729","           409140007.70","      12085","      57859","         13.31"
"CENTURYTEX","EQ","21-Dec-2018","        942.05","        942.00","        952.85","        904.20","        912.75","        913.15","        922.03","     630706","           581527200.15","      17879","      78730","         12.48"
"CENTURYTEX","EQ","24-Dec-2018","        913.15","        908.00","        908.90","        893.65","        897.90","        896.45","        900.54","     405578","           365240181.80","       9444","      32401","          7.99"
"CENTURYTEX","EQ","26-Dec-2018","        896.45","        897.00","        907.00","        872.35","        899.00","        896.60","        891.45","     734872","           655105140.15","      12901","     121674","         16.56"
"CENTURYTEX","EQ","27-Dec-2018","        896.60","        904.25","        916.75","        891.25","        901.20","        896.60","        904.88","     713739","           645847387.30","      14854","      79885","         11.19"
"CENTURYTEX","EQ","28-Dec-2018","        896.60","        900.00","        928.50","        900.00","        917.50","        918.90","        919.05","     554673","           509770354.75","      11795","      80134","         14.45"
"CENTURYTEX","EQ","31-Dec-2018","        918.90","        924.60","        935.30","        915.55","        921.50","        922.95","        927.50","     675580","           626603293.80","      11625","      33468","          4.95"
"CENTURYTEX","EQ","01-Jan-2019","        922.95","        925.00","        927.00","        909.25","        925.00","        922.40","        918.97","     315496","           289930488.75","       8326","      19222","          6.09"
"CENTURYTEX","EQ","02-Jan-2019","        922.40","        923.95","        923.95","        900.70","        903.00","        905.60","        911.59","     324587","           295889997.95","       7947","      34240","         10.55"
"CENTURYTEX","EQ","03-Jan-2019","        905.60","        905.00","        919.50","        894.00","        900.90","        898.15","        907.79","     456198","           414134135.55","      16195","      65998","         14.47"
"CENTURYTEX","EQ","04-Jan-2019","        898.15","        903.60","        912.00","        884.50","        908.35","        908.35","        898.79","     522486","           469606763.60","      11463","      25333","          4.85"
"CENTURYTEX","EQ","07-Jan-2019","        908.35","        915.00","        918.65","        901.00","        902.15","        905.15","        910.85","     360208","           328095784.50","      11877","      67721","         18.80"
"CENTURYTEX","EQ","08-Jan-2019","        905.15","        907.80","        912.00","        897.70","        904.45","        905.45","        905.72","     339243","           307257712.25","       5858","      37773","         11.13"
"CENTURYTEX","EQ","09-Jan-2019","        905.45","        910.20","        912.70","        884.10","        894.90","        896.65","        899.25","     355954","           320091125.00","       9110","      50490","         14.18"
"CENTURYTEX","EQ","10-Jan-2019","        896.65","        898.95","        901.00","        885.00","        887.95","        890.50","        894.61","     303127","           271181873.95","       7550","      48531","         16.01"
"CENTURYTEX","EQ","11-Jan-2019","        890.50","        894.00","        898.80","        881.00","        893.30","        893.70","        887.77","     434729","           385937547.50","      11716","      39267","          9.03"
"CENTURYTEX","EQ","14-Jan-2019","        893.70","        889.90","        889.90","        875.20","        885.15","        885.50","        881.82","     332022","           292783347.70","       8084","      19800","          5.96"
"CENTURYTEX","EQ","15-Jan-2019","        885.50","        887.50","        900.00","        887.50","        893.25","        892.25","        894.01","     273714","           244702044.55","       5778","      56036","         20.47"
"CENTURYTEX","EQ","16-Jan-2019","        892.25","        896.00","        909.00","        891.15","        900.00","        902.20","        903.40","     509583","           460359097.15","      11302","      91705","         18.00"
"CENTURYTEX","EQ","17-Jan-2019","        902.20","        904.00","        904.55","        879.30","        894.85","        893.95","        891.50","     395449","           352542042.85","      10083","      97738","         24.72"
"CENTURYTEX","EQ","18-Jan-2019","        893.95","        895.00","        897.50","        877.50","        879.00","        882.15","        886.18","     214695","           190258064.55","       5344","      34313","         15.98"
"CENTURYTEX","EQ","21-Jan-2019","        882.15","        884.70","        890.95","        875.60","        888.00","        885.60","        882.84","     231324","           204221816.55","       6970","      33835","         14.63"
"CENTURYTEX","EQ","22-Jan-2019","        885.60","        893.00","        895.60","        867.20","        874.95","        877.10","        879.77","     914472","           804525544.00","      20532","      92980","         10.17"
"CENTURYTEX","EQ","23-Jan-2019","        877.10","        876.00","        893.90","        871.40","        883.35","        885.90","        885.12","     395664","           350212044.95","      16806","      87704","         22.17"
