"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CRISIL","EQ","11-Sep-2018","       1751.60","       1751.60","       1757.90","       1735.00","       1742.00","       1739.55","       1741.56","       4665","             8124398.85","       1199","       3496","         74.94"
"CRISIL","EQ","12-Sep-2018","       1739.55","       1739.55","       1756.30","       1730.00","       1744.95","       1737.40","       1737.94","      12122","            21067356.10","       1088","      10374","         85.58"
"CRISIL","EQ","14-Sep-2018","       1737.40","       1758.00","       1758.00","       1732.15","       1750.00","       1748.30","       1740.80","      26681","            46446303.45","       1574","      25339","         94.97"
"CRISIL","EQ","17-Sep-2018","       1748.30","       1765.00","       1780.05","       1727.00","       1752.85","       1747.00","       1742.04","       6343","            11049739.70","       1025","       2997","         47.25"
"CRISIL","EQ","18-Sep-2018","       1747.00","       1746.00","       1762.20","       1731.20","       1747.00","       1742.50","       1746.41","       5953","            10396402.50","       1020","       3968","         66.66"
"CRISIL","EQ","19-Sep-2018","       1742.50","       1742.50","       1777.00","       1742.50","       1765.25","       1765.80","       1765.11","       6218","            10975452.00","       1276","       4869","         78.30"
"CRISIL","EQ","21-Sep-2018","       1765.80","       1776.00","       1777.00","       1701.00","       1753.75","       1715.40","       1735.93","      41207","            71532649.30","       5652","      34058","         82.65"
"CRISIL","EQ","24-Sep-2018","       1715.40","       1725.40","       1760.00","       1707.00","       1756.00","       1747.95","       1730.39","       6164","            10666128.30","       1622","       4270","         69.27"
"CRISIL","EQ","25-Sep-2018","       1747.95","       1760.00","       1770.00","       1701.00","       1737.00","       1726.55","       1744.33","       7541","            13154016.35","       2378","       4237","         56.19"
"CRISIL","EQ","26-Sep-2018","       1726.55","       1711.00","       1776.95","       1711.00","       1744.05","       1750.00","       1757.68","      10196","            17921300.25","       4206","       6581","         64.54"
"CRISIL","EQ","27-Sep-2018","       1750.00","       1737.20","       1759.70","       1735.05","       1749.00","       1749.95","       1749.04","      10157","            17764961.45","       5017","       8461","         83.30"
"CRISIL","EQ","28-Sep-2018","       1749.95","       1759.95","       1785.00","       1735.00","       1745.00","       1756.15","       1773.29","      17886","            31716999.95","       4616","      10874","         60.80"
"CRISIL","EQ","01-Oct-2018","       1756.15","       1722.00","       1740.05","       1699.10","       1714.00","       1709.40","       1708.21","      12126","            20713738.60","       2332","       8856","         73.03"
