"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CYBERTECH","EQ","11-Sep-2018","         45.10","         45.00","         47.00","         44.50","         45.45","         45.25","         45.94","      32802","             1507080.50","        192","      19541","         59.57"
"CYBERTECH","EQ","12-Sep-2018","         45.25","         45.25","         45.25","         42.40","         44.30","         44.45","         43.99","       5333","              234606.50","        104","       3146","         58.99"
"CYBERTECH","EQ","14-Sep-2018","         44.45","         44.60","         47.00","         44.20","         45.00","         45.30","         45.28","      63540","             2877115.25","        137","      57053","         89.79"
"CYBERTECH","EQ","17-Sep-2018","         45.30","         44.50","         46.00","         42.80","         46.00","         45.75","         45.18","      11295","              510302.10","        138","       5780","         51.17"
"CYBERTECH","EQ","18-Sep-2018","         45.75","         46.45","         47.05","         44.55","         44.55","         44.80","         45.46","      17862","              811955.00","        163","      11900","         66.62"
"CYBERTECH","EQ","19-Sep-2018","         44.80","         44.10","         45.05","         41.55","         41.60","         42.05","         43.20","       9505","              410642.20","        193","       5317","         55.94"
"CYBERTECH","EQ","21-Sep-2018","         42.05","         42.75","         43.00","         41.00","         41.25","         41.30","         41.66","      10189","              424429.25","        123","       6888","         67.60"
"CYBERTECH","EQ","24-Sep-2018","         41.30","         41.30","         42.35","         40.50","         40.60","         40.75","         41.15","       7432","              305846.00","         92","       6586","         88.62"
"CYBERTECH","EQ","25-Sep-2018","         40.75","         41.00","         41.10","         39.00","         39.80","         39.60","         39.83","       6195","              246723.50","         73","       4822","         77.84"
"CYBERTECH","EQ","26-Sep-2018","         39.60","         40.75","         44.70","         39.55","         40.50","         40.65","         42.01","      21304","              894949.20","        207","      13873","         65.12"
"CYBERTECH","EQ","27-Sep-2018","         40.65","         41.80","         41.80","         39.10","         40.30","         40.55","         40.05","       8228","              329530.75","        129","       5202","         63.22"
"CYBERTECH","EQ","28-Sep-2018","         40.55","         41.70","         41.70","         39.00","         40.25","         39.65","         39.61","       4816","              190748.30","         70","       2702","         56.10"
"CYBERTECH","EQ","01-Oct-2018","         39.65","         38.65","         38.95","         36.25","         37.70","         37.75","         37.84","      16117","              609899.25","        103","       8383","         52.01"
"CYBERTECH","EQ","03-Oct-2018","         37.75","         38.30","         38.80","         37.20","         38.25","         38.25","         38.12","      18883","              719859.85","        111","      13947","         73.86"
"CYBERTECH","EQ","04-Oct-2018","         38.25","         38.90","         40.80","         38.80","         39.45","         39.65","         39.38","      11614","              457379.60","        140","       8603","         74.07"
"CYBERTECH","EQ","05-Oct-2018","         39.65","         38.60","         40.00","         37.45","         38.00","         38.35","         39.03","       8462","              330279.50","        132","       4925","         58.20"
"CYBERTECH","EQ","08-Oct-2018","         38.35","         37.60","         38.90","         36.25","         38.00","         38.00","         37.94","       8948","              339515.35","         90","       7734","         86.43"
"CYBERTECH","EQ","09-Oct-2018","         38.00","         38.85","         38.85","         37.30","         37.80","         37.85","         38.02","       9397","              357289.50","         79","       8015","         85.29"
"CYBERTECH","EQ","10-Oct-2018","         37.85","         38.85","         41.75","         38.20","         40.00","         40.75","         39.99","       7569","              302688.10","        100","       5628","         74.36"
"CYBERTECH","EQ","11-Oct-2018","         40.75","         39.55","         40.80","         38.15","         40.30","         40.30","         39.95","       4739","              189327.40","        120","       2886","         60.90"
"CYBERTECH","EQ","12-Oct-2018","         40.30","         41.00","         42.70","         40.95","         42.35","         41.65","         41.56","       7483","              311021.40","         70","       5823","         77.82"
"CYBERTECH","EQ","15-Oct-2018","         41.65","         42.40","         47.85","         40.35","         45.85","         46.60","         44.69","      25340","             1132360.30","        315","      10081","         39.78"
"CYBERTECH","EQ","16-Oct-2018","         46.60","         46.65","         47.25","         44.25","         45.90","         45.80","         45.69","       8105","              370324.40","        174","       3957","         48.82"
"CYBERTECH","EQ","17-Oct-2018","         45.80","         46.00","         47.00","         43.25","         44.00","         44.20","         44.93","       8820","              396306.80","        126","       6348","         71.97"
"CYBERTECH","EQ","19-Oct-2018","         44.20","         45.25","         45.30","         40.60","         41.10","         41.15","         41.87","       6405","              268196.80","        111","       4606","         71.91"
"CYBERTECH","EQ","22-Oct-2018","         41.15","         42.80","         42.90","         40.65","         41.85","         41.40","         41.48","       6837","              283631.10","         88","       3646","         53.33"
"CYBERTECH","EQ","23-Oct-2018","         41.40","         42.75","         42.75","         40.50","         41.00","         41.00","         41.10","       6358","              261337.25","        101","       3209","         50.47"
"CYBERTECH","EQ","24-Oct-2018","         41.00","         41.25","         43.40","         40.95","         40.95","         41.00","         41.15","       6567","              270226.25","         76","       4295","         65.40"
"CYBERTECH","EQ","25-Oct-2018","         41.00","         42.70","         42.70","         38.40","         42.55","         41.85","         40.78","       8540","              348292.05","        100","       4482","         52.48"
"CYBERTECH","EQ","26-Oct-2018","         41.85","         43.00","         43.15","         40.85","         41.75","         41.55","         41.51","       3576","              148429.65","         91","       1593","         44.55"
"CYBERTECH","EQ","29-Oct-2018","         41.55","         42.95","         42.95","         40.70","         42.00","         41.80","         41.63","       2700","              112409.10","         97","       1441","         53.37"
"CYBERTECH","EQ","30-Oct-2018","         41.80","         41.00","         44.00","         41.00","         43.20","         42.90","         42.67","       5850","              249605.55","         83","       3301","         56.43"
"CYBERTECH","EQ","31-Oct-2018","         42.90","         43.20","         44.70","         41.05","         44.70","         43.60","         42.93","       8094","              347505.25","        108","       3577","         44.19"
"CYBERTECH","EQ","01-Nov-2018","         43.60","         45.90","         47.00","         42.20","         43.45","         43.15","         43.94","       2837","              124664.25","         72","       1072","         37.79"
"CYBERTECH","EQ","02-Nov-2018","         43.15","         45.40","         45.40","         42.25","         42.95","         43.10","         43.59","       4716","              205577.35","         91","       1647","         34.92"
"CYBERTECH","EQ","05-Nov-2018","         43.10","         45.70","         45.70","         42.55","         43.50","         43.50","         43.66","       2710","              118328.25","         62","        953","         35.17"
"CYBERTECH","EQ","06-Nov-2018","         43.50","         44.70","         48.85","         41.35","         45.45","         45.60","         46.71","      36029","             1682912.35","        316","      20017","         55.56"
"CYBERTECH","EQ","07-Nov-2018","         45.60","         46.90","         47.30","         45.45","         45.60","         45.80","         46.17","       8705","              401887.60","         38","       7026","         80.71"
"CYBERTECH","EQ","09-Nov-2018","         45.80","         45.00","         45.75","         44.45","         44.75","         44.85","         44.98","       2741","              123288.10","         51","       2201","         80.30"
"CYBERTECH","EQ","12-Nov-2018","         44.85","         46.00","         46.00","         43.30","         43.75","         43.80","         44.33","       4671","              207060.40","        113","       2208","         47.27"
"CYBERTECH","EQ","13-Nov-2018","         43.80","         43.10","         46.00","         43.10","         44.80","         45.00","         44.91","       1989","               89325.45","         68","        858","         43.14"
"CYBERTECH","EQ","14-Nov-2018","         45.00","         46.60","         46.70","         42.70","         43.60","         43.20","         44.36","      10947","              485597.65","        194","       7906","         72.22"
"CYBERTECH","EQ","15-Nov-2018","         43.20","         43.80","         47.70","         42.35","         43.95","         43.45","         45.07","      28041","             1263835.00","        322","      15393","         54.89"
"CYBERTECH","EQ","16-Nov-2018","         43.45","         43.95","         44.90","         42.05","         42.05","         42.45","         43.28","      15221","              658701.15","        136","      10790","         70.89"
"CYBERTECH","EQ","19-Nov-2018","         42.45","         44.80","         44.85","         42.50","         43.00","         43.30","         43.08","      19984","              860969.60","        143","      14701","         73.56"
"CYBERTECH","EQ","20-Nov-2018","         43.30","         44.25","         44.25","         42.00","         43.05","         43.25","         43.52","      42632","             1855492.75","        110","      27102","         63.57"
"CYBERTECH","EQ","21-Nov-2018","         43.25","         43.90","         43.90","         41.70","         42.05","         42.20","         42.44","      11825","              501834.25","        132","       8372","         70.80"
"CYBERTECH","EQ","22-Nov-2018","         42.20","         42.05","         43.40","         41.80","         43.00","         43.00","         42.80","       7667","              328158.35","         79","       6314","         82.35"
"CYBERTECH","EQ","26-Nov-2018","         43.00","         43.05","         43.65","         41.65","         42.95","         42.60","         42.72","       4314","              184276.20","        176","       2486","         57.63"
"CYBERTECH","EQ","27-Nov-2018","         42.60","         42.95","         42.95","         41.50","         41.85","         41.85","         42.08","       2269","               95483.35","        118","       1256","         55.35"
"CYBERTECH","EQ","28-Nov-2018","         41.85","         42.00","         42.50","         41.50","         41.55","         41.75","         41.81","       3559","              148793.30","         82","       1959","         55.04"
"CYBERTECH","EQ","29-Nov-2018","         41.75","         42.55","         42.75","         41.35","         42.30","         42.30","         41.96","       1838","               77117.45","         67","        844","         45.92"
"CYBERTECH","EQ","30-Nov-2018","         42.30","         41.80","         42.70","         41.35","         41.35","         41.40","         41.72","       4054","              169127.60","         37","       3853","         95.04"
"CYBERTECH","EQ","03-Dec-2018","         41.40","         41.10","         42.65","         41.00","         42.00","         42.00","         41.86","       2994","              125331.05","         72","       1572","         52.51"
"CYBERTECH","EQ","04-Dec-2018","         42.00","         42.75","         44.50","         41.70","         44.50","         43.90","         43.44","      16339","              709777.60","        187","       7250","         44.37"
"CYBERTECH","EQ","05-Dec-2018","         43.90","         43.00","         44.20","         42.10","         44.00","         43.30","         43.32","       4318","              187067.55","        105","       1742","         40.34"
"CYBERTECH","EQ","06-Dec-2018","         43.30","         43.80","         43.80","         41.60","         43.00","         43.00","         42.87","       3170","              135886.05","         65","       1738","         54.83"
"CYBERTECH","EQ","07-Dec-2018","         43.00","         44.40","         44.40","         41.80","         42.00","         42.00","         42.16","       2992","              126130.55","         53","       1888","         63.10"
"CYBERTECH","EQ","10-Dec-2018","         42.00","         43.80","         43.80","         41.00","         41.90","         41.75","         41.65","       4746","              197685.75","         63","       3272","         68.94"
"CYBERTECH","EQ","11-Dec-2018","         41.75","         41.00","         43.00","         40.50","         42.00","         42.00","         41.91","       5099","              213705.40","         71","       3399","         66.66"
"CYBERTECH","EQ","12-Dec-2018","         42.00","         42.00","         42.85","         40.00","         41.80","         41.90","         41.53","      17370","              721317.40","        167","      11579","         66.66"
"CYBERTECH","EQ","13-Dec-2018","         41.90","         42.40","         42.90","         41.60","         42.20","         42.20","         42.02","       9282","              389989.40","         88","       8644","         93.13"
"CYBERTECH","EQ","14-Dec-2018","         42.20","         41.80","         41.80","         40.05","         41.55","         41.30","         41.02","      12621","              517695.00","        166","       6590","         52.21"
"CYBERTECH","EQ","17-Dec-2018","         41.30","         40.65","         42.75","         40.60","         41.50","         41.90","         41.98","       6436","              270176.45","        116","       2834","         44.03"
"CYBERTECH","EQ","18-Dec-2018","         41.90","         42.00","         42.25","         41.50","         42.15","         41.80","         41.91","       2484","              104096.00","         49","       1515","         60.99"
"CYBERTECH","EQ","19-Dec-2018","         41.80","         42.20","         43.50","         41.95","         42.55","         42.65","         42.94","      20809","              893454.50","        172","      10357","         49.77"
"CYBERTECH","EQ","20-Dec-2018","         42.65","         42.55","         42.80","         41.20","         41.65","         41.35","         42.05","      10972","              461418.15","        151","       8820","         80.39"
"CYBERTECH","EQ","21-Dec-2018","         41.35","         41.75","         42.90","         41.75","         42.00","         42.00","         42.18","       4787","              201933.60","        100","       3831","         80.03"
"CYBERTECH","EQ","24-Dec-2018","         42.00","         42.55","         42.95","         40.55","         40.80","         40.80","         40.93","       9506","              389040.95","        123","       8638","         90.87"
"CYBERTECH","EQ","26-Dec-2018","         40.80","         40.75","         42.00","         40.60","         41.50","         41.00","         41.07","       1474","               60531.50","         75","       1002","         67.98"
"CYBERTECH","EQ","27-Dec-2018","         41.00","         41.50","         43.70","         41.50","         42.45","         42.00","         42.47","      13297","              564664.50","        166","      10477","         78.79"
