"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DBREALTY","EQ","11-Sep-2018","         27.55","         27.55","         27.55","         26.00","         26.20","         26.30","         26.55","     377864","            10031902.65","       1669","     167679","         44.38"
"DBREALTY","EQ","12-Sep-2018","         26.30","         26.70","         28.00","         25.25","         26.55","         26.60","         26.07","     455510","            11875551.65","       1838","     175114","         38.44"
"DBREALTY","EQ","14-Sep-2018","         26.60","         26.95","         28.80","         26.55","         27.85","         27.80","         27.55","     556000","            15315721.45","       2557","     214666","         38.61"
"DBREALTY","EQ","17-Sep-2018","         27.80","         27.60","         28.30","         26.75","         27.10","         27.15","         27.33","     571554","            15619654.70","       3015","     170622","         29.85"
"DBREALTY","EQ","18-Sep-2018","         27.15","         27.10","         27.75","         25.60","         25.60","         25.75","         26.32","     474330","            12485626.95","       2615","     283456","         59.76"
"DBREALTY","EQ","19-Sep-2018","         25.75","         25.65","         26.40","         24.60","         25.00","         24.90","         25.39","     671157","            17040009.50","       3123","     358907","         53.48"
"DBREALTY","EQ","21-Sep-2018","         24.90","         24.90","         25.40","         20.25","         22.65","         22.75","         23.25","    1091222","            25374944.30","       6791","     553643","         50.74"
"DBREALTY","EQ","24-Sep-2018","         22.75","         23.60","         23.60","         21.30","         21.90","         22.10","         22.02","     624145","            13744215.20","       2287","     338298","         54.20"
"DBREALTY","EQ","25-Sep-2018","         22.10","         22.00","         25.05","         20.60","         22.90","         22.85","         22.43","     783228","            17567007.40","       3335","     234891","         29.99"
"DBREALTY","EQ","26-Sep-2018","         22.85","         23.15","         24.25","         22.40","         22.90","         23.10","         23.22","     383768","             8911016.75","       2402","     117666","         30.66"
"DBREALTY","EQ","27-Sep-2018","         23.10","         23.35","         23.65","         22.40","         23.05","         23.00","         22.94","     452248","            10376341.35","       3317","     159607","         35.29"
"DBREALTY","EQ","28-Sep-2018","         23.00","         23.45","         24.25","         21.00","         21.35","         21.40","         22.34","     645662","            14424395.70","       3364","     285092","         44.15"
"DBREALTY","EQ","01-Oct-2018","         21.40","         21.40","         21.40","         19.25","         20.50","         20.65","         19.97","     816513","            16308784.10","       3529","     375981","         46.05"
"DBREALTY","EQ","03-Oct-2018","         20.65","         20.70","         22.20","         19.90","         21.15","         21.20","         21.10","     911524","            19236379.35","       3303","     417786","         45.83"
"DBREALTY","EQ","04-Oct-2018","         21.20","         20.65","         22.40","         20.60","         21.80","         21.75","         21.64","     612514","            13253226.85","       3023","     228450","         37.30"
"DBREALTY","EQ","05-Oct-2018","         21.75","         21.50","         22.00","         20.55","         20.80","         20.80","         20.98","     393397","             8254039.15","       2325","     131059","         33.31"
"DBREALTY","EQ","08-Oct-2018","         20.80","         21.10","         21.10","         18.85","         19.65","         19.75","         19.85","     439177","             8718169.65","       2201","     220042","         50.10"
"DBREALTY","EQ","09-Oct-2018","         19.75","         19.95","         20.35","         19.05","         19.45","         19.60","         19.64","     215400","             4231084.05","       1123","      67250","         31.22"
"DBREALTY","EQ","10-Oct-2018","         19.60","         19.55","         20.35","         19.35","         20.00","         20.05","         19.91","     478546","             9529337.10","       2216","     190455","         39.80"
"DBREALTY","EQ","11-Oct-2018","         20.05","         19.50","         20.15","         19.30","         19.90","         19.85","         19.67","     349280","             6869962.75","       1853","     135985","         38.93"
"DBREALTY","EQ","12-Oct-2018","         19.85","         20.40","         20.65","         20.00","         20.20","         20.15","         20.36","     312280","             6358343.60","       1801","     168207","         53.86"
"DBREALTY","EQ","15-Oct-2018","         20.15","         20.40","         21.80","         20.35","         21.20","         21.15","         21.15","     806522","            17054069.00","       3706","     338420","         41.96"
"DBREALTY","EQ","16-Oct-2018","         21.15","         21.45","         21.85","         20.95","         20.95","         21.10","         21.40","     335275","             7174528.10","       1890","     137065","         40.88"
"DBREALTY","EQ","17-Oct-2018","         21.10","         21.45","         21.75","         19.90","         20.00","         20.05","         20.88","     371239","             7750878.65","       2241","     122116","         32.89"
"DBREALTY","EQ","19-Oct-2018","         20.05","         20.30","         20.30","         19.50","         19.75","         19.80","         19.85","     327220","             6494258.70","       1902","     118492","         36.21"
"DBREALTY","EQ","22-Oct-2018","         19.80","         20.25","         20.25","         15.85","         16.90","         16.80","         16.56","    2280642","            37760353.70","       7506","     830732","         36.43"
"DBREALTY","EQ","23-Oct-2018","         16.80","         16.70","         17.75","         16.35","         17.15","         16.95","         17.10","     659116","            11272035.80","       3302","     256253","         38.88"
"DBREALTY","EQ","24-Oct-2018","         16.95","         17.40","         17.60","         16.60","         17.50","         17.30","         17.07","     399087","             6810632.35","       1759","     171502","         42.97"
