"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DHANBANK","EQ","11-Sep-2018","         14.60","         14.70","         14.80","         14.40","         14.50","         14.45","         14.55","     260874","             3795322.15","        637","     160985","         61.71"
"DHANBANK","EQ","12-Sep-2018","         14.45","         14.55","         14.55","         13.85","         14.00","         14.00","         14.05","     525866","             7389352.35","       1113","     399418","         75.95"
"DHANBANK","EQ","14-Sep-2018","         14.00","         14.80","         14.80","         14.20","         14.25","         14.25","         14.35","     306867","             4404506.60","        752","     200892","         65.47"
"DHANBANK","EQ","17-Sep-2018","         14.25","         14.25","         14.55","         14.00","         14.10","         14.05","         14.17","     631752","             8954354.45","       1813","     407123","         64.44"
"DHANBANK","EQ","18-Sep-2018","         14.05","         14.55","         14.60","         13.80","         13.85","         13.85","         14.08","     799264","            11249655.80","       3859","     540715","         67.65"
"DHANBANK","EQ","19-Sep-2018","         13.85","         14.00","         14.15","         13.50","         13.90","         13.90","         13.90","     412990","             5742571.95","       1079","     261350","         63.28"
"DHANBANK","EQ","21-Sep-2018","         13.90","         13.95","         14.05","         11.15","         13.30","         13.25","         13.17","     891696","            11747852.75","       1679","     579188","         64.95"
"DHANBANK","EQ","24-Sep-2018","         13.25","         13.20","         13.50","         12.60","         12.90","         12.80","         12.83","     346818","             4449787.75","        997","     218940","         63.13"
"DHANBANK","EQ","25-Sep-2018","         12.80","         12.75","         12.80","         12.15","         12.40","         12.35","         12.47","     363493","             4531810.00","       1603","     228338","         62.82"
"DHANBANK","EQ","26-Sep-2018","         12.35","         12.50","         12.65","         11.90","         12.00","         11.95","         12.06","     645287","             7780975.65","       1663","     508779","         78.85"
"DHANBANK","EQ","27-Sep-2018","         11.95","         12.05","         12.10","         11.05","         11.40","         11.60","         11.77","     581411","             6842389.35","       1322","     384920","         66.20"
"DHANBANK","EQ","28-Sep-2018","         11.60","         11.55","         11.65","         11.00","         11.05","         11.15","         11.29","     492400","             5558639.70","       1254","     302641","         61.46"
"DHANBANK","EQ","01-Oct-2018","         11.15","         11.10","         12.30","         10.70","         11.80","         11.90","         11.27","     664157","             7485474.75","       1443","     383825","         57.79"
"DHANBANK","EQ","03-Oct-2018","         11.90","         12.40","         12.40","         11.70","         12.00","         12.00","         12.04","     473927","             5703878.05","       1151","     221147","         46.66"
"DHANBANK","EQ","04-Oct-2018","         12.00","         12.00","         12.35","         11.55","         12.20","         12.20","         12.10","     393048","             4754651.95","        892","     240113","         61.09"
"DHANBANK","EQ","05-Oct-2018","         12.20","         12.25","         12.30","         11.55","         11.75","         11.90","         11.90","     434114","             5165776.95","       1117","     236407","         54.46"
"DHANBANK","EQ","08-Oct-2018","         11.90","         11.75","         11.95","         11.40","         11.65","         11.65","         11.71","     225511","             2641092.60","        790","     130048","         57.67"
"DHANBANK","EQ","09-Oct-2018","         11.65","         11.65","         11.95","         11.30","         11.80","         11.75","         11.52","     226023","             2603135.05","        626","     115113","         50.93"
"DHANBANK","EQ","10-Oct-2018","         11.75","         11.75","         11.90","         11.55","         11.70","         11.75","         11.75","     499091","             5862283.35","        983","     401599","         80.47"
"DHANBANK","EQ","11-Oct-2018","         11.75","         11.65","         11.70","         11.45","         11.60","         11.50","         11.54","     225050","             2597216.60","        650","     156459","         69.52"
