"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DIVISLAB","EQ","11-Sep-2018","       1278.80","       1278.80","       1290.25","       1232.80","       1251.00","       1244.65","       1255.69","     837631","          1051808790.05","      27075","     271989","         32.47"
"DIVISLAB","EQ","12-Sep-2018","       1244.65","       1243.00","       1290.75","       1233.10","       1277.95","       1271.55","       1264.84","    1186268","          1500436215.80","      36845","     324683","         27.37"
"DIVISLAB","EQ","14-Sep-2018","       1271.55","       1280.05","       1334.00","       1275.45","       1328.00","       1329.55","       1312.49","    1525334","          2001988681.45","      34129","     495319","         32.47"
"DIVISLAB","EQ","17-Sep-2018","       1329.55","       1328.00","       1403.05","       1317.05","       1364.00","       1364.70","       1369.83","    4137410","          5667554264.50","      92152","    1261845","         30.50"
"DIVISLAB","EQ","18-Sep-2018","       1364.70","       1366.00","       1393.00","       1353.10","       1379.15","       1379.80","       1377.51","    1408422","          1940117391.45","      38917","     183259","         13.01"
"DIVISLAB","EQ","19-Sep-2018","       1379.80","       1379.75","       1408.00","       1370.00","       1393.95","       1391.15","       1389.91","    1346458","          1871460854.55","      39589","     196810","         14.62"
"DIVISLAB","EQ","21-Sep-2018","       1391.15","       1407.90","       1407.90","       1304.05","       1390.20","       1387.95","       1379.49","    1484382","          2047686884.45","      43199","     498614","         33.59"
"DIVISLAB","EQ","24-Sep-2018","       1387.95","       1387.90","       1401.60","       1348.65","       1367.00","       1361.75","       1371.06","     890761","          1221284721.30","      28898","     285569","         32.06"
"DIVISLAB","EQ","25-Sep-2018","       1361.75","       1365.00","       1396.00","       1355.10","       1386.05","       1388.40","       1379.35","    1029316","          1419785641.90","      38001","     381914","         37.10"
"DIVISLAB","EQ","26-Sep-2018","       1388.40","       1400.00","       1425.00","       1371.05","       1380.00","       1385.35","       1402.25","    1804070","          2529759100.40","      56107","     501590","         27.80"
"DIVISLAB","EQ","27-Sep-2018","       1385.35","       1386.10","       1395.75","       1361.10","       1372.25","       1365.90","       1373.78","     645479","           886748368.55","      31719","     195851","         30.34"
"DIVISLAB","EQ","28-Sep-2018","       1365.90","       1366.05","       1383.70","       1295.85","       1314.10","       1310.90","       1338.22","    1189157","          1591354656.50","      44379","     384053","         32.30"
"DIVISLAB","EQ","01-Oct-2018","       1310.90","       1314.10","       1329.45","       1281.00","       1312.00","       1319.60","       1311.43","     842259","          1104567359.40","      33990","     219955","         26.11"
"DIVISLAB","EQ","03-Oct-2018","       1319.60","       1305.10","       1325.90","       1283.50","       1307.00","       1309.15","       1306.29","     937244","          1224314175.60","      48920","     338901","         36.16"
"DIVISLAB","EQ","04-Oct-2018","       1309.15","       1304.00","       1305.70","       1260.25","       1282.70","       1283.90","       1284.19","    1197193","          1537428471.15","      42196","     539326","         45.05"
"DIVISLAB","EQ","05-Oct-2018","       1283.90","       1275.00","       1315.00","       1268.40","       1275.00","       1281.65","       1293.63","     876772","          1134221928.80","      41254","     233251","         26.60"
"DIVISLAB","EQ","08-Oct-2018","       1281.65","       1273.90","       1294.70","       1250.05","       1281.00","       1277.45","       1273.04","     707482","           900654947.25","      33376","     199892","         28.25"
"DIVISLAB","EQ","09-Oct-2018","       1277.45","       1278.00","       1297.20","       1235.45","       1247.00","       1248.05","       1252.56","    1206742","          1511512781.25","      36954","     499733","         41.41"
"DIVISLAB","EQ","10-Oct-2018","       1248.05","       1247.00","       1305.00","       1246.95","       1295.00","       1297.75","       1283.10","     868523","          1114401844.85","      28002","     278609","         32.08"
"DIVISLAB","EQ","11-Oct-2018","       1297.75","       1260.00","       1292.00","       1235.30","       1256.90","       1250.95","       1270.08","     675008","           857314814.05","      26841","     195939","         29.03"
"DIVISLAB","EQ","12-Oct-2018","       1250.95","       1259.90","       1296.75","       1259.90","       1279.90","       1282.30","       1285.57","     825580","          1061339692.05","      34503","     303016","         36.70"
"DIVISLAB","EQ","15-Oct-2018","       1282.30","       1285.95","       1312.65","       1277.00","       1300.00","       1299.75","       1302.10","     791699","          1030874354.00","      31923","     222073","         28.05"
"DIVISLAB","EQ","16-Oct-2018","       1299.75","       1306.75","       1324.70","       1281.00","       1306.00","       1307.60","       1303.72","     815814","          1063590462.30","      30180","     198423","         24.32"
"DIVISLAB","EQ","17-Oct-2018","       1307.60","       1315.00","       1319.45","       1291.70","       1295.00","       1301.20","       1304.51","     693098","           904155461.10","      31898","     262030","         37.81"
"DIVISLAB","EQ","19-Oct-2018","       1301.20","       1310.00","       1340.65","       1278.40","       1280.05","       1285.25","       1307.58","    1205785","          1576662829.85","      62339","     477936","         39.64"
"DIVISLAB","EQ","22-Oct-2018","       1285.25","       1287.00","       1305.00","       1277.00","       1292.00","       1292.05","       1292.50","     503682","           651006921.05","      26515","     187505","         37.23"
"DIVISLAB","EQ","23-Oct-2018","       1292.05","       1285.00","       1311.90","       1241.50","       1251.90","       1249.70","       1277.60","     962440","          1229611982.40","      49457","     360941","         37.50"
"DIVISLAB","EQ","24-Oct-2018","       1249.70","       1255.30","       1270.00","       1212.50","       1239.90","       1241.00","       1233.58","    1237155","          1526131090.10","      60373","     396375","         32.04"
"DIVISLAB","EQ","25-Oct-2018","       1241.00","       1238.00","       1265.00","       1225.20","       1265.00","       1253.00","       1249.79","    1084503","          1355406114.90","      38003","     421970","         38.91"
