"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DMART","EQ","11-Sep-2018","       1526.40","       1525.00","       1548.90","       1501.00","       1509.25","       1506.80","       1516.90","     490228","           743626013.75","      19329","     135878","         27.72"
"DMART","EQ","12-Sep-2018","       1506.80","       1509.00","       1539.00","       1490.95","       1523.00","       1522.60","       1516.00","     334489","           507085505.45","      20469","     115933","         34.66"
"DMART","EQ","14-Sep-2018","       1522.60","       1533.00","       1548.95","       1516.60","       1537.00","       1535.15","       1530.73","     338650","           518380111.15","      17715","     168152","         49.65"
"DMART","EQ","17-Sep-2018","       1535.15","       1534.00","       1541.50","       1512.00","       1523.50","       1524.80","       1526.08","     225106","           343530100.35","      13265","      95652","         42.49"
"DMART","EQ","18-Sep-2018","       1524.80","       1525.00","       1549.90","       1520.50","       1533.90","       1534.70","       1534.70","     325924","           500194215.15","      15860","     167306","         51.33"
"DMART","EQ","19-Sep-2018","       1534.70","       1540.00","       1544.45","       1502.00","       1515.00","       1515.15","       1520.24","     311397","           473399643.65","      12922","     142302","         45.70"
"DMART","EQ","21-Sep-2018","       1515.15","       1526.90","       1530.15","       1429.00","       1512.00","       1501.85","       1492.12","     706967","          1054876323.10","      32494","     372263","         52.66"
"DMART","EQ","24-Sep-2018","       1501.85","       1505.00","       1509.95","       1445.60","       1448.60","       1450.75","       1462.50","     384113","           561765731.95","      19417","     186156","         48.46"
"DMART","EQ","25-Sep-2018","       1450.75","       1450.75","       1458.50","       1415.00","       1433.00","       1427.15","       1432.91","     451227","           646568257.85","      20399","     189556","         42.01"
"DMART","EQ","26-Sep-2018","       1427.15","       1460.00","       1460.00","       1415.00","       1415.10","       1420.80","       1433.51","     298196","           427468139.80","      19439","     120612","         40.45"
"DMART","EQ","27-Sep-2018","       1420.80","       1422.00","       1439.80","       1381.00","       1411.05","       1404.75","       1409.99","     325965","           459607387.60","      21523","     134539","         41.27"
"DMART","EQ","28-Sep-2018","       1404.75","       1407.00","       1424.85","       1340.25","       1396.00","       1395.95","       1379.95","     501111","           691507082.85","      26233","     195737","         39.06"
"DMART","EQ","01-Oct-2018","       1395.95","       1390.00","       1390.00","       1320.00","       1342.75","       1348.75","       1349.85","     613637","           828315963.90","      35574","     234531","         38.22"
"DMART","EQ","03-Oct-2018","       1348.75","       1340.00","       1360.90","       1288.00","       1289.00","       1301.40","       1328.40","     535074","           710789690.40","      34219","     249980","         46.72"
"DMART","EQ","04-Oct-2018","       1301.40","       1275.00","       1370.00","       1240.20","       1350.00","       1346.35","       1298.90","    1569172","          2038194695.05","      86362","     593753","         37.84"
"DMART","EQ","05-Oct-2018","       1346.35","       1348.90","       1392.70","       1311.25","       1318.90","       1331.20","       1354.41","     564118","           764045314.85","      31156","     146109","         25.90"
"DMART","EQ","08-Oct-2018","       1331.20","       1332.00","       1346.70","       1280.20","       1300.55","       1304.90","       1316.61","     557430","           733916625.85","      42825","     213284","         38.26"
"DMART","EQ","09-Oct-2018","       1304.90","       1305.00","       1385.00","       1283.10","       1376.00","       1372.50","       1340.48","     686111","           919716938.20","      27116","     227639","         33.18"
"DMART","EQ","10-Oct-2018","       1372.50","       1365.00","       1385.95","       1356.40","       1371.65","       1374.40","       1373.85","     581933","           799487468.40","      42378","     305825","         52.55"
"DMART","EQ","11-Oct-2018","       1374.40","       1343.00","       1368.00","       1300.00","       1325.40","       1326.10","       1337.87","     479252","           641174870.00","      26343","     170074","         35.49"
"DMART","EQ","12-Oct-2018","       1326.10","       1345.00","       1421.00","       1341.00","       1414.90","       1411.70","       1386.01","     899147","          1246228459.85","      50111","     331241","         36.84"
"DMART","EQ","15-Oct-2018","       1411.70","       1334.80","       1359.00","       1306.15","       1323.70","       1329.75","       1331.39","    2056672","          2738238137.05","     122072","     572830","         27.85"
"DMART","EQ","16-Oct-2018","       1329.75","       1330.00","       1347.95","       1325.00","       1334.00","       1336.95","       1335.32","     678083","           905456985.85","      38728","     245508","         36.21"
