"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DNAMEDIA","EQ","11-Sep-2018","          6.40","          6.45","          6.80","          6.25","          6.25","          6.30","          6.52","      13439","               87646.50","         62","      10264","         76.37"
"DNAMEDIA","EQ","12-Sep-2018","          6.30","          6.35","          6.75","          6.05","          6.25","          6.25","          6.46","      18226","              117773.95","         72","      10946","         60.06"
"DNAMEDIA","EQ","14-Sep-2018","          6.25","          6.30","          6.90","          6.30","          6.90","          6.70","          6.64","      25929","              172262.50","         66","      14832","         57.20"
"DNAMEDIA","EQ","17-Sep-2018","          6.70","          6.50","          6.80","          6.35","          6.60","          6.40","          6.52","       5668","               36970.70","         57","       4664","         82.29"
"DNAMEDIA","EQ","18-Sep-2018","          6.40","          6.70","          6.70","          6.30","          6.60","          6.60","          6.54","      10024","               65554.85","         28","      10024","        100.00"
"DNAMEDIA","EQ","19-Sep-2018","          6.60","          6.30","          6.75","          6.30","          6.75","          6.50","          6.59","       8696","               57349.50","         45","       7026","         80.80"
"DNAMEDIA","EQ","21-Sep-2018","          6.50","          6.30","          6.65","          6.10","          6.15","          6.20","          6.34","      13219","               83852.35","         69","      10218","         77.30"
"DNAMEDIA","EQ","24-Sep-2018","          6.20","          6.30","          6.60","          5.60","          5.65","          5.85","          5.95","      25454","              151427.10","         96","      23372","         91.82"
"DNAMEDIA","EQ","25-Sep-2018","          5.85","          5.65","          5.95","          5.65","          5.70","          5.70","          5.83","      10025","               58396.85","         45","       9039","         90.16"
"DNAMEDIA","EQ","26-Sep-2018","          5.70","          5.95","          6.65","          5.70","          5.75","          5.75","          6.00","      14167","               84998.40","         63","       8018","         56.60"
"DNAMEDIA","EQ","27-Sep-2018","          5.75","          5.75","          6.20","          5.60","          5.65","          5.85","          5.84","      13726","               80160.65","         81","       8457","         61.61"
"DNAMEDIA","EQ","28-Sep-2018","          5.85","          6.00","          6.00","          4.70","          4.95","          4.80","          5.13","      56323","              288814.70","        121","      53085","         94.25"
"DNAMEDIA","EQ","01-Oct-2018","          4.80","          5.10","          5.10","          4.70","          4.90","          4.90","          4.88","      17479","               85221.15","         63","      17477","         99.99"
"DNAMEDIA","EQ","03-Oct-2018","          4.90","          5.00","          5.00","          4.60","          4.85","          4.85","          4.81","      14419","               69373.50","         73","      13916","         96.51"
"DNAMEDIA","EQ","04-Oct-2018","          4.85","          4.10","          5.80","          4.10","          4.65","          4.70","          4.72","      33280","              157090.30","         82","      27901","         83.84"
"DNAMEDIA","EQ","05-Oct-2018","          4.70","          4.70","          4.90","          3.85","          3.90","          4.35","          4.44","      64827","              287984.80","        126","      53436","         82.43"
"DNAMEDIA","EQ","08-Oct-2018","          4.35","          4.30","          4.65","          3.90","          4.20","          4.20","          4.36","      15109","               65912.60","         72","      11338","         75.04"
"DNAMEDIA","EQ","09-Oct-2018","          4.20","          4.50","          4.50","          3.65","          4.00","          4.00","          4.08","      19450","               79377.20","         72","      15360","         78.97"
"DNAMEDIA","EQ","10-Oct-2018","          4.00","          4.00","          4.40","          4.00","          4.20","          4.35","          4.24","       7867","               33373.75","         42","       6217","         79.03"
"DNAMEDIA","EQ","11-Oct-2018","          4.35","          4.50","          4.50","          4.05","          4.15","          4.35","          4.31","      12864","               55492.30","         60","      10148","         78.89"
"DNAMEDIA","EQ","12-Oct-2018","          4.35","          4.00","          4.75","          4.00","          4.70","          4.70","          4.50","      35457","              159615.40","         70","      29709","         83.79"
"DNAMEDIA","EQ","15-Oct-2018","          4.70","          4.90","          4.90","          4.35","          4.75","          4.75","          4.74","       5968","               28270.20","         27","       5591","         93.68"
"DNAMEDIA","EQ","16-Oct-2018","          4.75","          4.90","          5.15","          4.80","          5.00","          5.00","          4.96","      14354","               71220.85","         83","      13242","         92.25"
"DNAMEDIA","EQ","17-Oct-2018","          5.00","          5.00","          5.35","          4.60","          4.95","          4.95","          4.93","       5226","               25778.75","         62","       4756","         91.01"
"DNAMEDIA","EQ","19-Oct-2018","          4.95","          4.70","          5.10","          4.70","          4.70","          4.70","          4.76","      27776","              132297.40","         36","      27276","         98.20"
"DNAMEDIA","EQ","22-Oct-2018","          4.70","          4.75","          4.95","          4.35","          4.55","          4.55","          4.63","       5082","               23547.85","         26","       4774","         93.94"
"DNAMEDIA","EQ","23-Oct-2018","          4.55","          4.55","          4.55","          4.15","          4.50","          4.50","          4.38","      15864","               69420.55","         53","      10963","         69.11"
"DNAMEDIA","EQ","24-Oct-2018","          4.50","          4.35","          4.55","          4.30","          4.45","          4.30","          4.32","       7960","               34363.90","         31","       7699","         96.72"
"DNAMEDIA","EQ","25-Oct-2018","          4.30","          4.30","          4.50","          3.90","          4.50","          4.15","          4.18","      17755","               74253.65","         89","      12917","         72.75"
"DNAMEDIA","EQ","26-Oct-2018","          4.15","          4.10","          4.45","          4.00","          4.25","          4.05","          4.15","      16884","               70022.60","         57","      13241","         78.42"
"DNAMEDIA","EQ","29-Oct-2018","          4.05","          4.40","          4.40","          3.80","          4.10","          4.10","          4.08","      11137","               45488.80","         27","       8431","         75.70"
"DNAMEDIA","EQ","30-Oct-2018","          4.10","          4.10","          4.30","          3.95","          4.00","          4.00","          4.06","      25804","              104639.00","         62","      24316","         94.23"
