"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DPSCLTD","EQ","11-Sep-2018","         16.00","         16.25","         16.75","         16.00","         16.30","         16.30","         16.19","      11485","              185933.50","        216","       5872","         51.13"
"DPSCLTD","EQ","12-Sep-2018","         16.30","         16.15","         16.25","         15.55","         15.70","         15.75","         15.83","       2990","               47323.95","         72","       2066","         69.10"
"DPSCLTD","EQ","14-Sep-2018","         15.75","         16.00","         16.85","         15.75","         15.75","         15.80","         16.12","       8164","              131603.80","        167","       5127","         62.80"
"DPSCLTD","EQ","17-Sep-2018","         15.80","         16.00","         16.15","         15.55","         15.60","         15.80","         15.77","      11247","              177315.45","        118","       3790","         33.70"
"DPSCLTD","EQ","18-Sep-2018","         15.80","         15.85","         17.90","         15.60","         16.20","         15.90","         16.30","      22664","              369438.80","        392","       6257","         27.61"
"DPSCLTD","EQ","19-Sep-2018","         15.90","         16.55","         17.50","         16.10","         17.10","         17.10","         16.87","      29903","              504363.35","        319","      20872","         69.80"
"DPSCLTD","EQ","21-Sep-2018","         17.10","         16.40","         17.95","         16.40","         17.95","         17.80","         17.68","      38016","              671995.40","        236","      24670","         64.89"
"DPSCLTD","EQ","24-Sep-2018","         17.80","         17.00","         17.95","         16.60","         16.75","         16.95","         17.24","      33446","              576739.90","        358","      19610","         58.63"
"DPSCLTD","EQ","25-Sep-2018","         16.95","         16.70","         17.80","         15.50","         16.05","         16.05","         16.63","       4594","               76401.40","        110","       2323","         50.57"
"DPSCLTD","EQ","26-Sep-2018","         16.05","         17.35","         17.35","         15.00","         15.05","         15.25","         15.73","      10748","              169046.85","        123","       5987","         55.70"
"DPSCLTD","EQ","27-Sep-2018","         15.25","         15.25","         16.00","         15.00","         15.00","         15.05","         15.27","      11031","              168489.70","        103","       9075","         82.27"
"DPSCLTD","EQ","28-Sep-2018","         15.05","         15.10","         15.95","         12.55","         12.65","         12.90","         13.65","      22450","              306529.90","        412","      11495","         51.20"
"DPSCLTD","EQ","01-Oct-2018","         12.90","         12.95","         14.20","         12.75","         13.15","         13.45","         13.05","       6787","               88587.90","         59","       5342","         78.71"
"DPSCLTD","EQ","03-Oct-2018","         13.45","         13.55","         13.75","         13.25","         13.50","         13.50","         13.48","       4549","               61302.80","         31","       4189","         92.09"
"DPSCLTD","EQ","04-Oct-2018","         13.50","         13.45","         14.35","         13.40","         14.00","         14.00","         13.88","       3367","               46732.60","         35","       2992","         88.86"
"DPSCLTD","EQ","05-Oct-2018","         14.00","         14.50","         14.50","         13.00","         13.40","         13.10","         13.37","      10437","              139522.95","         54","       8912","         85.39"
"DPSCLTD","EQ","08-Oct-2018","         13.10","         14.00","         14.00","         11.60","         11.70","         11.90","         12.71","      14945","              189947.80","        116","      10932","         73.15"
"DPSCLTD","EQ","09-Oct-2018","         11.90","         12.00","         12.45","         11.10","         11.50","         11.50","         11.59","      26443","              306579.95","        131","      14022","         53.03"
"DPSCLTD","EQ","10-Oct-2018","         11.50","         11.95","         13.80","         11.05","         13.80","         13.80","         12.94","      23509","              304200.80","        161","      12185","         51.83"
"DPSCLTD","EQ","11-Oct-2018","         13.80","         15.05","         16.20","         12.65","         13.15","         13.40","         14.30","      56394","              806394.00","        258","      28232","         50.06"
"DPSCLTD","EQ","12-Oct-2018","         13.40","         13.35","         14.50","         13.20","         14.50","         14.30","         14.00","       4319","               60464.60","         90","       2701","         62.54"
"DPSCLTD","EQ","15-Oct-2018","         14.30","         13.50","         14.00","         13.15","         13.75","         13.65","         13.59","       3164","               42989.55","         62","       1452","         45.89"
"DPSCLTD","EQ","16-Oct-2018","         13.65","         13.50","         14.75","         13.50","         13.95","         13.85","         13.87","       1482","               20559.00","         44","        982","         66.26"
"DPSCLTD","EQ","17-Oct-2018","         13.85","         13.95","         14.00","         13.00","         13.95","         13.55","         13.57","       8346","              113296.70","         55","       6628","         79.42"
"DPSCLTD","EQ","19-Oct-2018","         13.55","         15.65","         15.65","         12.50","         12.85","         12.90","         13.36","      12121","              161907.30","        299","       4651","         38.37"
"DPSCLTD","EQ","22-Oct-2018","         12.90","         13.05","         14.05","         12.65","         14.00","         13.60","         13.24","       6817","               90243.20","         83","       3634","         53.31"
"DPSCLTD","EQ","23-Oct-2018","         13.60","         13.95","         14.00","         12.60","         12.65","         12.65","         13.07","      62351","              814896.30","        122","      50895","         81.63"
