"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EASUNREYRL","BZ","11-Sep-2018","          7.60","          7.95","          7.95","          7.95","          7.95","          7.95","          7.95","       6201","               49297.95","          2","-","-"
"EASUNREYRL","BZ","12-Sep-2018","          7.95","          8.30","          8.30","          8.30","          8.30","          8.30","          8.30","       4125","               34237.50","         10","-","-"
"EASUNREYRL","BZ","14-Sep-2018","          8.30","          8.30","          8.70","          8.30","          8.70","          8.70","          8.55","       1649","               14105.90","         10","-","-"
"EASUNREYRL","BZ","17-Sep-2018","          8.70","          8.80","          9.10","          8.80","          9.10","          9.10","          8.98","        965","                8661.50","          9","-","-"
"EASUNREYRL","BZ","18-Sep-2018","          9.10","          9.55","          9.55","          9.55","          9.55","          9.55","          9.55","       2588","               24715.40","         14","-","-"
"EASUNREYRL","BZ","19-Sep-2018","          9.55","         10.00","         10.00","          9.35","         10.00","         10.00","          9.74","       3610","               35144.50","         17","-","-"
"EASUNREYRL","BZ","21-Sep-2018","         10.00","         10.50","         10.50","         10.00","         10.40","         10.40","         10.43","      19019","              198348.55","         58","-","-"
"EASUNREYRL","BZ","24-Sep-2018","         10.40","         10.90","         10.90","          9.90","          9.90","          9.90","         10.43","       3700","               38585.30","         17","-","-"
"EASUNREYRL","BZ","25-Sep-2018","          9.90","          9.45","         10.00","          9.45","         10.00","         10.00","          9.47","       1930","               18272.60","         13","-","-"
"EASUNREYRL","BZ","26-Sep-2018","         10.00","         10.40","         10.40","          9.50","          9.50","          9.50","          9.97","       2820","               28103.30","         15","-","-"
"EASUNREYRL","BZ","27-Sep-2018","          9.50","          9.95","          9.95","          9.05","          9.05","          9.05","          9.05","        412","                3729.50","          5","-","-"
"EASUNREYRL","BZ","01-Oct-2018","          9.05","          8.90","          8.90","          8.60","          8.60","          8.60","          8.65","       1894","               16383.40","         21","-","-"
"EASUNREYRL","BZ","03-Oct-2018","          8.60","          8.60","          9.00","          8.25","          9.00","          9.00","          8.73","       5128","               44760.45","         24","-","-"
"EASUNREYRL","BZ","04-Oct-2018","          9.00","          9.35","          9.40","          8.55","          9.40","          9.35","          8.86","       2664","               23596.10","         25","-","-"
"EASUNREYRL","BZ","05-Oct-2018","          9.35","          9.20","          9.20","          9.00","          9.20","          9.20","          9.11","         55","                 501.00","          3","-","-"
"EASUNREYRL","BZ","08-Oct-2018","          9.20","          9.15","          9.15","          8.75","          8.75","          8.75","          9.04","          8","                  72.30","          4","-","-"
"EASUNREYRL","BZ","09-Oct-2018","          8.75","          9.15","          9.15","          9.15","          9.15","          9.15","          9.15","          1","                   9.15","          1","-","-"
