"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EBBETF0423","EQ","02-Jan-2020","       1000.76","       1000.00","       1001.85","       1000.00","       1000.98","       1000.97","       1000.92","      10945","            10955120.44","        819","       8845","         80.81"
"EBBETF0423","EQ","03-Jan-2020","       1000.97","       1000.00","       1001.50","       1000.00","       1001.40","       1001.41","       1001.37","      10037","            10050726.84","        377","       9506","         94.71"
"EBBETF0423","EQ","06-Jan-2020","       1001.41","       1001.41","       1004.00","       1001.00","       1001.15","       1001.18","       1001.50","       8696","             8709033.88","        260","       8249","         94.86"
"EBBETF0423","EQ","07-Jan-2020","       1001.18","       1001.00","       1002.50","       1001.00","       1001.70","       1002.01","       1002.10","      27134","            27191095.40","        206","      26442","         97.45"
"EBBETF0423","EQ","08-Jan-2020","       1002.01","       1000.70","       1002.20","       1000.70","       1002.20","       1001.81","       1001.96","      40767","            40847060.20","        187","      40239","         98.70"
"EBBETF0423","EQ","09-Jan-2020","       1001.81","       1001.60","       1002.49","       1001.43","       1001.80","       1002.25","       1001.59","      12338","            12357665.53","        138","      11552","         93.63"
"EBBETF0423","EQ","10-Jan-2020","       1002.25","       1000.00","       1002.10","       1000.00","       1001.62","       1001.62","       1001.81","      13086","            13109700.59","        200","      11801","         90.18"
"EBBETF0423","EQ","13-Jan-2020","       1001.62","       1002.00","       1002.40","       1001.44","       1002.39","       1002.26","       1002.04","       6024","             6036264.19","        201","       4442","         73.74"
"EBBETF0423","EQ","14-Jan-2020","       1002.26","        953.65","       1002.00","        953.65","       1001.99","       1001.56","       1001.47","       2916","             2920282.59","        151","       2406","         82.51"
"EBBETF0423","EQ","15-Jan-2020","       1001.56","       1002.00","       1003.00","       1000.85","       1001.60","       1001.66","       1002.00","      29145","            29203219.23","        141","      28846","         98.97"
"EBBETF0423","EQ","16-Jan-2020","       1001.66","       1001.00","       1002.39","       1001.00","       1001.53","       1001.53","       1002.06","       5161","             5171641.53","        275","       4183","         81.05"
"EBBETF0423","EQ","17-Jan-2020","       1001.53","       1001.45","       1002.00","       1001.40","       1002.00","       1001.96","       1001.66","       2128","             2131532.70","        129","       1741","         81.81"
"EBBETF0423","EQ","20-Jan-2020","       1001.96","       1002.00","       1002.88","       1002.00","       1002.10","       1002.26","       1002.71","       8872","             8896035.21","        139","       7619","         85.88"
