"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EMAMIINFRA","BE","11-Sep-2018","        171.00","        170.00","        174.70","        162.50","        166.00","        166.90","        166.98","       6221","             1038806.65","        102","-","-"
"EMAMIINFRA","BE","12-Sep-2018","        166.90","        163.00","        168.90","        159.05","        161.00","        161.10","        161.46","      11827","             1909622.65","        110","-","-"
"EMAMIINFRA","BE","14-Sep-2018","        161.10","        168.90","        168.90","        161.00","        163.00","        163.65","        163.87","       8882","             1455519.95","        134","-","-"
"EMAMIINFRA","BE","17-Sep-2018","        163.65","        160.05","        171.80","        160.05","        171.80","        171.80","        166.59","      32738","             5453764.25","        116","-","-"
"EMAMIINFRA","BE","18-Sep-2018","        171.80","        180.35","        180.35","        174.25","        180.35","        178.60","        180.10","      30525","             5497687.55","        167","-","-"
"EMAMIINFRA","BE","19-Sep-2018","        178.60","        170.90","        178.50","        169.70","        169.70","        169.70","        170.91","       5586","              954716.95","         92","-","-"
"EMAMIINFRA","BE","21-Sep-2018","        169.70","        161.40","        170.00","        161.25","        161.25","        161.25","        162.42","      22003","             3573797.00","        232","-","-"
"EMAMIINFRA","BE","24-Sep-2018","        161.25","        166.90","        167.00","        153.20","        153.20","        153.20","        155.46","       9932","             1544034.90","        115","-","-"
"EMAMIINFRA","BE","25-Sep-2018","        153.20","        147.00","        153.40","        145.55","        147.35","        147.30","        146.54","      20625","             3022361.00","        143","-","-"
"EMAMIINFRA","BE","26-Sep-2018","        147.30","        147.35","        152.00","        141.40","        145.50","        145.60","        146.41","       5162","              755748.10","         77","-","-"
"EMAMIINFRA","BE","27-Sep-2018","        145.60","        145.50","        148.00","        140.20","        144.50","        143.50","        142.71","       8311","             1186100.35","         78","-","-"
"EMAMIINFRA","BE","28-Sep-2018","        143.50","        136.55","        142.75","        136.35","        136.35","        136.35","        137.12","      10430","             1430149.90","        122","-","-"
"EMAMIINFRA","BE","01-Oct-2018","        136.35","        129.60","        142.00","        129.55","        129.55","        129.55","        132.64","      15320","             2031969.35","        140","-","-"
"EMAMIINFRA","BE","03-Oct-2018","        129.55","        130.00","        136.00","        124.00","        133.50","        135.15","        132.01","      12678","             1673586.30","        166","-","-"
"EMAMIINFRA","BE","04-Oct-2018","        135.15","        130.00","        140.00","        128.40","        132.00","        135.05","        132.31","      26616","             3521693.25","        148","-","-"
"EMAMIINFRA","BE","05-Oct-2018","        135.05","        141.80","        141.80","        130.00","        132.00","        133.75","        134.24","      19266","             2586272.05","        153","-","-"
"EMAMIINFRA","BE","08-Oct-2018","        133.75","        128.00","        136.70","        128.00","        128.50","        132.00","        132.33","      24500","             3242032.80","        117","-","-"
"EMAMIINFRA","BE","09-Oct-2018","        132.00","        128.00","        133.00","        125.40","        125.40","        125.40","        126.82","      15763","             1999119.15","        131","-","-"
"EMAMIINFRA","BE","10-Oct-2018","        125.40","        128.30","        131.65","        120.50","        131.65","        131.65","        128.72","      12029","             1548379.40","        158","-","-"
"EMAMIINFRA","BE","11-Oct-2018","        131.65","        129.00","        135.90","        125.50","        128.00","        129.60","        129.40","       8104","             1048662.40","         73","-","-"
"EMAMIINFRA","BE","12-Oct-2018","        129.60","        135.65","        136.05","        130.00","        136.05","        136.05","        135.22","      11644","             1574544.70","        173","-","-"
"EMAMIINFRA","BE","15-Oct-2018","        136.05","        140.00","        142.85","        140.00","        142.85","        142.85","        142.72","      11207","             1599443.95","         57","-","-"
"EMAMIINFRA","BE","16-Oct-2018","        142.85","        145.00","        149.95","        145.00","        149.95","        149.95","        149.85","        717","              107444.85","         24","-","-"
"EMAMIINFRA","BE","17-Oct-2018","        149.95","        157.40","        157.40","        146.00","        146.00","        146.55","        154.91","      25991","             4026352.20","        179","-","-"
"EMAMIINFRA","BE","19-Oct-2018","        146.55","        140.10","        149.60","        140.10","        141.25","        141.30","        142.63","       5781","              824567.45","         73","-","-"
"EMAMIINFRA","BE","22-Oct-2018","        141.30","        141.00","        144.50","        136.00","        137.00","        138.15","        138.26","      11051","             1527926.75","         80","-","-"
"EMAMIINFRA","BE","23-Oct-2018","        138.15","        133.10","        139.75","        131.25","        131.25","        131.90","        133.82","       2744","              367206.70","         60","-","-"
"EMAMIINFRA","BE","24-Oct-2018","        131.90","        128.50","        138.45","        128.50","        132.50","        132.40","        135.98","       4457","              606058.85","         56","-","-"
"EMAMIINFRA","BE","25-Oct-2018","        132.40","        129.00","        137.00","        125.80","        131.15","        129.50","        129.98","       6031","              783908.30","         82","-","-"
"EMAMIINFRA","BE","26-Oct-2018","        129.50","        125.80","        134.80","        125.80","        129.50","        130.00","        130.57","       8652","             1129675.45","        102","-","-"
"EMAMIINFRA","BE","29-Oct-2018","        130.00","        136.50","        136.50","        136.50","        136.50","        136.50","        136.50","       2786","              380289.00","         23","-","-"
"EMAMIINFRA","EQ","30-Oct-2018","        136.50","        150.15","        150.15","        140.00","        150.15","        150.15","        149.22","      17369","             2591715.45","        145","      11031","         63.51"
"EMAMIINFRA","EQ","31-Oct-2018","        150.15","        158.70","        162.80","        150.30","        154.00","        154.45","        154.39","      29623","             4573433.35","        724","      15217","         51.37"
"EMAMIINFRA","EQ","01-Nov-2018","        154.45","        153.65","        167.70","        153.65","        160.00","        162.75","        162.72","      32888","             5351504.65","        799","      17105","         52.01"
"EMAMIINFRA","EQ","02-Nov-2018","        162.75","        166.10","        173.80","        157.20","        159.90","        159.35","        164.65","      70461","            11601423.80","       1156","      41310","         58.63"
"EMAMIINFRA","EQ","05-Nov-2018","        159.35","        160.15","        163.00","        154.50","        156.25","        155.15","        157.94","      21126","             3336535.70","        362","      14931","         70.68"
"EMAMIINFRA","EQ","06-Nov-2018","        155.15","        159.55","        159.55","        148.00","        150.90","        151.00","        152.37","       9790","             1491709.50","        214","       7867","         80.36"
"EMAMIINFRA","EQ","07-Nov-2018","        151.00","        150.00","        153.15","        146.00","        150.35","        150.10","        150.04","       9388","             1408612.50","        154","       6214","         66.19"
"EMAMIINFRA","EQ","09-Nov-2018","        150.10","        145.50","        152.00","        145.50","        151.05","        150.85","        150.24","       6604","              992159.00","        185","       4629","         70.09"
"EMAMIINFRA","EQ","12-Nov-2018","        150.85","        161.80","        161.80","        146.50","        146.65","        149.05","        152.89","      10071","             1539798.55","        276","       7475","         74.22"
"EMAMIINFRA","EQ","13-Nov-2018","        149.05","        152.95","        153.75","        146.60","        153.70","        152.45","        150.41","      10429","             1568601.10","        266","       7713","         73.96"
"EMAMIINFRA","EQ","14-Nov-2018","        152.45","        152.50","        158.15","        148.00","        149.95","        149.75","        153.96","      19485","             2999988.90","        579","       9958","         51.11"
"EMAMIREAL","EQ","15-Nov-2018","        149.75","        155.00","        155.00","        145.00","        145.05","        146.35","        147.40","       9759","             1438483.30","        231","       6129","         62.80"
"EMAMIREAL","EQ","16-Nov-2018","        146.35","        144.00","        150.35","        144.00","        148.40","        148.00","        148.20","       2436","              361015.15","        157","       1706","         70.03"
"EMAMIREAL","EQ","19-Nov-2018","        148.00","        154.80","        154.80","        147.95","        148.05","        148.20","        149.57","       4729","              707307.40","        149","       2328","         49.23"
"EMAMIREAL","EQ","20-Nov-2018","        148.20","        148.00","        148.55","        145.00","        145.60","        145.05","        145.56","       5039","              733464.75","        139","       3824","         75.89"
"EMAMIREAL","EQ","21-Nov-2018","        145.05","        150.05","        150.05","        140.10","        146.50","        145.55","        143.65","      13446","             1931471.85","        253","       9455","         70.32"
"EMAMIREAL","EQ","22-Nov-2018","        145.55","        149.75","        149.75","        138.00","        138.50","        140.60","        142.52","       8015","             1142267.90","        266","       5681","         70.88"
