"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EON","EQ","11-Sep-2018","         53.05","         53.25","         53.80","         50.25","         50.95","         50.45","         51.17","      33582","             1718252.45","        461","      19718","         58.72"
"EON","EQ","12-Sep-2018","         50.45","         52.70","         52.70","         48.10","         50.15","         49.90","         49.54","      41207","             2041348.65","        506","      18620","         45.19"
"EON","EQ","14-Sep-2018","         49.90","         51.10","         51.90","         50.10","         51.00","         50.80","         51.02","       8418","              429475.75","        246","       4360","         51.79"
"EON","EQ","17-Sep-2018","         50.80","         50.80","         51.85","         49.05","         50.00","         50.05","         50.37","      12142","              611597.70","        251","       7511","         61.86"
"EON","EQ","18-Sep-2018","         50.05","         50.15","         60.05","         49.90","         52.00","         52.15","         55.31","     263631","            14582012.95","       2334","      33809","         12.82"
"EON","EQ","19-Sep-2018","         52.15","         52.20","         53.50","         50.50","         51.00","         51.00","         51.83","      30699","             1591142.65","        570","      16966","         55.27"
"EON","EQ","21-Sep-2018","         51.00","         53.00","         53.00","         46.10","         48.50","         48.70","         49.40","      34454","             1701944.35","        406","      17782","         51.61"
"EON","EQ","24-Sep-2018","         48.70","         48.75","         49.00","         46.50","         46.80","         46.95","         47.43","      20590","              976679.50","        281","      13489","         65.51"
"EON","EQ","25-Sep-2018","         46.95","         46.10","         47.50","         45.50","         46.30","         46.55","         46.29","      17160","              794338.40","        311","       9379","         54.66"
"EON","EQ","26-Sep-2018","         46.55","         48.40","         48.80","         46.10","         46.75","         46.65","         47.38","      14112","              668630.05","        240","       7950","         56.34"
"EON","EQ","27-Sep-2018","         46.65","         47.05","         48.10","         45.20","         45.30","         45.60","         46.40","      18184","              843770.85","        255","      11548","         63.51"
"EON","EQ","28-Sep-2018","         45.60","         45.75","         45.85","         41.20","         42.90","         42.10","         43.57","      27430","             1195012.05","        366","      13935","         50.80"
"EON","EQ","01-Oct-2018","         42.10","         42.00","         42.00","         36.00","         40.80","         40.65","         39.83","      17788","              708536.00","        338","      10929","         61.44"
"EON","EQ","03-Oct-2018","         40.65","         41.50","         46.00","         39.10","         42.90","         42.75","         42.19","      27759","             1171244.75","        323","      12305","         44.33"
"EON","EQ","04-Oct-2018","         42.75","         42.75","         42.75","         40.60","         42.40","         42.25","         41.86","      10888","              455811.30","        198","       5893","         54.12"
"EON","EQ","05-Oct-2018","         42.25","         41.00","         42.85","         39.90","         41.70","         40.75","         41.63","      10794","              449307.45","        182","       7318","         67.80"
"EON","EQ","08-Oct-2018","         40.75","         41.95","         42.00","         37.80","         38.10","         38.50","         39.27","      14906","              585367.20","        276","      10234","         68.66"
"EON","EQ","09-Oct-2018","         38.50","         38.60","         40.80","         38.60","         39.50","         39.65","         39.74","       6228","              247473.65","        119","       4067","         65.30"
"EON","EQ","10-Oct-2018","         39.65","         41.95","         43.65","         39.20","         42.80","         42.60","         40.93","      11764","              481488.05","        209","       6829","         58.05"
"EON","EQ","11-Oct-2018","         42.60","         42.00","         42.05","         39.00","         41.30","         40.60","         40.59","      14319","              581235.05","        248","       7399","         51.67"
"EON","EQ","12-Oct-2018","         40.60","         41.00","         44.50","         41.00","         43.65","         43.00","         43.25","      16649","              720078.90","        289","       9779","         58.74"
"EON","EQ","15-Oct-2018","         43.00","         45.00","         45.00","         43.00","         43.05","         43.25","         43.68","       8015","              350066.60","        118","       4568","         56.99"
"EON","EQ","16-Oct-2018","         43.25","         43.05","         44.90","         43.05","         44.70","         44.75","         44.21","      11824","              522750.65","        204","       5713","         48.32"
"EON","EQ","17-Oct-2018","         44.75","         46.40","         46.40","         42.10","         42.25","         42.95","         43.88","      10968","              481244.55","        168","       6592","         60.10"
"EON","EQ","19-Oct-2018","         42.95","         42.95","         49.40","         41.20","         43.95","         45.35","         44.03","      13416","              590716.50","        237","       7489","         55.82"
"EON","EQ","22-Oct-2018","         45.35","         45.00","         45.00","         43.55","         44.00","         43.85","         44.23","      12993","              574671.00","        146","       6912","         53.20"
"EON","EQ","23-Oct-2018","         43.85","         43.00","         44.10","         41.70","         42.35","         41.95","         43.14","      18027","              777638.20","        314","       5131","         28.46"
"EON","EQ","24-Oct-2018","         41.95","         42.50","         43.20","         41.00","         41.40","         41.25","         41.46","       7949","              329594.10","        198","       5371","         67.57"
"EON","EQ","25-Oct-2018","         41.25","         42.40","         42.40","         40.00","         40.15","         40.45","         40.52","       9055","              366876.75","        121","       6924","         76.47"
"EON","EQ","26-Oct-2018","         40.45","         40.10","         40.80","         39.05","         40.80","         40.35","         40.10","      10028","              402131.85","        186","       3819","         38.08"
"EON","EQ","29-Oct-2018","         40.35","         40.30","         42.00","         40.30","         41.50","         41.55","         41.12","       5638","              231853.55","        186","       3092","         54.84"
"EON","EQ","30-Oct-2018","         41.55","         41.50","         43.80","         40.30","         41.00","         41.10","         41.63","      20993","              873926.80","        193","      12889","         61.40"
"EON","EQ","31-Oct-2018","         41.10","         40.95","         42.70","         40.75","         41.25","         41.35","         41.32","      13754","              568351.30","        159","       6099","         44.34"
"EON","EQ","01-Nov-2018","         41.35","         42.50","         42.50","         41.30","         41.60","         41.65","         41.86","       5870","              245739.90","         78","       4691","         79.91"
"EON","EQ","02-Nov-2018","         41.65","         41.80","         49.95","         41.80","         49.95","         48.90","         47.54","     246231","            11706246.05","       1543","      58886","         23.91"
"EON","EQ","05-Nov-2018","         48.90","         48.40","         48.40","         43.30","         45.10","         45.60","         46.00","      69667","             3204433.50","        832","      39510","         56.71"
"EON","EQ","06-Nov-2018","         45.60","         46.00","         47.80","         45.80","         46.75","         46.70","         46.76","      27522","             1286977.15","        307","      11608","         42.18"
"EON","EQ","07-Nov-2018","         46.70","         46.70","         46.70","         43.80","         44.00","         44.10","         44.55","      30822","             1373157.75","        266","      22909","         74.33"
"EON","EQ","09-Nov-2018","         44.10","         45.35","         50.60","         43.20","         45.60","         45.90","         47.61","     200112","             9528151.15","       2164","      36894","         18.44"
"EON","EQ","12-Nov-2018","         45.90","         45.90","         46.90","         45.00","         45.85","         45.50","         45.88","      22003","             1009507.15","        233","      15098","         68.62"
"EON","EQ","13-Nov-2018","         45.50","         45.85","         46.35","         45.00","         45.50","         45.20","         45.35","       9795","              444242.70","        102","       7828","         79.92"
"EON","EQ","14-Nov-2018","         45.20","         45.45","         45.50","         44.20","         44.30","         44.50","         44.73","       5545","              248029.55","         97","       4703","         84.82"
"EON","EQ","15-Nov-2018","         44.50","         44.40","         46.45","         44.30","         44.85","         44.65","         44.76","      11145","              498879.50","        205","       5450","         48.90"
"EON","EQ","16-Nov-2018","         44.65","         46.00","         46.00","         42.70","         43.15","         43.00","         43.71","      27568","             1205123.60","        273","      15511","         56.26"
