"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EUROCERA","BE","11-Sep-2018","          2.45","          2.35","          2.40","          2.35","          2.35","          2.35","          2.35","       9201","               21654.90","         18","-","-"
"EUROCERA","BE","12-Sep-2018","          2.35","          2.30","          2.45","          2.25","          2.30","          2.30","          2.29","       7684","               17577.50","         29","-","-"
"EUROCERA","BE","14-Sep-2018","          2.30","          2.25","          2.40","          2.20","          2.35","          2.35","          2.28","       1503","                3423.15","         14","-","-"
"EUROCERA","BE","17-Sep-2018","          2.35","          2.45","          2.45","          2.30","          2.35","          2.35","          2.33","       2053","                4773.45","         12","-","-"
"EUROCERA","BE","18-Sep-2018","          2.35","          2.35","          2.40","          2.25","          2.40","          2.30","          2.32","       4286","                9925.60","         17","-","-"
"EUROCERA","BE","19-Sep-2018","          2.30","          2.25","          2.40","          2.20","          2.30","          2.30","          2.24","      18146","               40686.05","         29","-","-"
"EUROCERA","BE","21-Sep-2018","          2.30","          2.25","          2.30","          2.20","          2.20","          2.20","          2.21","      11326","               25018.80","         20","-","-"
"EUROCERA","BE","24-Sep-2018","          2.20","          2.10","          2.30","          2.10","          2.30","          2.30","          2.12","      18018","               38146.55","         29","-","-"
"EUROCERA","BE","25-Sep-2018","          2.30","          2.25","          2.25","          2.20","          2.20","          2.20","          2.21","      14041","               30992.25","         18","-","-"
"EUROCERA","BE","26-Sep-2018","          2.20","          2.20","          2.20","          2.15","          2.20","          2.20","          2.17","       4206","                9126.00","         12","-","-"
"EUROCERA","BE","27-Sep-2018","          2.20","          2.10","          2.15","          2.10","          2.15","          2.15","          2.10","      10041","               21128.80","          8","-","-"
"EUROCERA","BE","28-Sep-2018","          2.15","          2.15","          2.15","          2.05","          2.05","          2.05","          2.14","       1471","                3142.65","          8","-","-"
"EUROCERA","BE","01-Oct-2018","          2.05","          2.00","          2.10","          1.95","          2.10","          2.05","          1.96","      23344","               45780.95","         16","-","-"
"EUROCERA","BE","03-Oct-2018","          2.05","          2.10","          2.15","          1.95","          1.95","          1.95","          2.05","       8079","               16525.55","         28","-","-"
"EUROCERA","BE","04-Oct-2018","          1.95","          2.00","          2.00","          1.90","          1.95","          1.95","          1.95","       2305","                4485.50","         10","-","-"
"EUROCERA","BE","05-Oct-2018","          1.95","          1.95","          2.00","          1.90","          2.00","          1.95","          1.93","       7025","               13568.00","         15","-","-"
"EUROCERA","BE","08-Oct-2018","          1.95","          2.00","          2.00","          1.95","          1.95","          1.95","          1.95","       5151","               10046.95","          8","-","-"
"EUROCERA","BE","09-Oct-2018","          1.95","          2.00","          2.00","          2.00","          2.00","          2.00","          2.00","       2190","                4380.00","         11","-","-"
"EUROCERA","BE","10-Oct-2018","          2.00","          2.00","          2.00","          1.95","          2.00","          2.00","          1.98","       4148","                8221.85","         13","-","-"
"EUROCERA","BE","11-Oct-2018","          2.00","          1.95","          1.95","          1.90","          1.90","          1.90","          1.93","       2223","                4299.10","          8","-","-"
"EUROCERA","BE","12-Oct-2018","          1.90","          1.90","          1.90","          1.85","          1.85","          1.85","          1.86","      21991","               40808.35","         43","-","-"
"EUROCERA","BE","15-Oct-2018","          1.85","          1.85","          1.90","          1.80","          1.80","          1.80","          1.85","      19082","               35374.20","         57","-","-"
"EUROCERA","BE","16-Oct-2018","          1.80","          1.75","          1.75","          1.75","          1.75","          1.75","          1.75","      14910","               26092.50","         14","-","-"
"EUROCERA","BE","17-Oct-2018","          1.75","          1.75","          1.75","          1.75","          1.75","          1.75","          1.75","        792","                1386.00","          4","-","-"
"EUROCERA","BE","19-Oct-2018","          1.75","          1.75","          1.75","          1.70","          1.75","          1.75","          1.75","      10853","               18960.15","         21","-","-"
"EUROCERA","BE","22-Oct-2018","          1.75","          1.75","          1.75","          1.70","          1.75","          1.75","          1.71","        661","                1128.75","          7","-","-"
"EUROCERA","BE","23-Oct-2018","          1.75","          1.75","          1.80","          1.70","          1.80","          1.80","          1.75","       2310","                4045.75","         13","-","-"
"EUROCERA","BE","24-Oct-2018","          1.80","          1.75","          1.80","          1.75","          1.80","          1.80","          1.79","       1325","                2376.25","          4","-","-"
"EUROCERA","BE","25-Oct-2018","          1.80","          1.80","          1.85","          1.80","          1.85","          1.85","          1.85","       2658","                4911.80","         15","-","-"
"EUROCERA","BE","26-Oct-2018","          1.85","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","        955","                1814.50","          5","-","-"
"EUROCERA","BE","29-Oct-2018","          1.90","          1.95","          1.95","          1.85","          1.85","          1.85","          1.89","       8299","               15721.15","         15","-","-"
"EUROCERA","BE","30-Oct-2018","          1.85","          1.90","          1.90","          1.80","          1.85","          1.85","          1.88","       3093","                5817.55","         11","-","-"
"EUROCERA","BE","31-Oct-2018","          1.85","          1.90","          1.90","          1.85","          1.90","          1.90","          1.89","       3381","                6379.85","          8","-","-"
"EUROCERA","BE","01-Nov-2018","          1.90","          1.95","          1.95","          1.85","          1.85","          1.85","          1.92","       1390","                2672.10","          6","-","-"
"EUROCERA","BE","02-Nov-2018","          1.85","          1.85","          1.90","          1.85","          1.90","          1.90","          1.88","       1551","                2919.40","          4","-","-"
"EUROCERA","BE","05-Nov-2018","          1.90","          1.90","          1.95","          1.90","          1.90","          1.90","          1.93","        923","                1778.70","          8","-","-"
"EUROCERA","BE","06-Nov-2018","          1.90","          1.90","          1.90","          1.85","          1.90","          1.90","          1.89","       3805","                7179.50","         11","-","-"
"EUROCERA","BE","07-Nov-2018","          1.90","          1.95","          1.95","          1.95","          1.95","          1.95","          1.95","        401","                 781.95","          2","-","-"
"EUROCERA","BE","09-Nov-2018","          1.95","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","       9104","               17297.60","          6","-","-"
"EUROCERA","BE","12-Nov-2018","          1.90","          1.90","          1.95","          1.85","          1.95","          1.95","          1.90","       2666","                5066.40","          7","-","-"
"EUROCERA","BE","13-Nov-2018","          1.95","          1.95","          2.00","          1.90","          2.00","          2.00","          1.98","       4645","                9217.75","         14","-","-"
"EUROCERA","BE","14-Nov-2018","          2.00","          1.90","          2.05","          1.90","          2.05","          2.05","          2.00","       4045","                8090.00","         10","-","-"
"EUROCERA","BE","15-Nov-2018","          2.05","          2.05","          2.10","          1.95","          2.00","          2.00","          2.02","       3296","                6660.60","          8","-","-"
"EUROCERA","BE","16-Nov-2018","          2.00","          2.10","          2.10","          2.10","          2.10","          2.10","          2.10","       7703","               16176.30","         25","-","-"
"EUROCERA","BE","19-Nov-2018","          2.10","          2.10","          2.10","          2.00","          2.00","          2.00","          2.00","       1201","                2403.00","         10","-","-"
"EUROCERA","BE","20-Nov-2018","          2.00","          1.90","          2.00","          1.90","          2.00","          2.00","          1.95","        668","                1299.50","          7","-","-"
"EUROCERA","BE","21-Nov-2018","          2.00","          1.95","          2.05","          1.95","          2.05","          2.05","          1.98","        947","                1878.45","         14","-","-"
"EUROCERA","BE","22-Nov-2018","          2.05","          2.05","          2.10","          1.95","          2.10","          2.00","          1.97","       4422","                8731.70","         22","-","-"
"EUROCERA","BE","26-Nov-2018","          2.00","          2.10","          2.10","          1.90","          1.90","          1.90","          1.97","      20868","               41129.95","         32","-","-"
"EUROCERA","BE","27-Nov-2018","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","       6790","               12901.00","          9","-","-"
"EUROCERA","BE","28-Nov-2018","          1.90","          1.90","          1.90","          1.85","          1.85","          1.85","          1.89","        704","                1333.70","         11","-","-"
"EUROCERA","BE","29-Nov-2018","          1.85","          1.80","          1.90","          1.80","          1.80","          1.80","          1.80","      35897","               64614.75","         21","-","-"
"EUROCERA","BE","30-Nov-2018","          1.80","          1.80","          1.85","          1.75","          1.80","          1.75","          1.80","      17523","               31461.85","         34","-","-"
"EUROCERA","BE","03-Dec-2018","          1.75","          1.70","          1.80","          1.70","          1.80","          1.80","          1.72","      17012","               29304.30","         25","-","-"
"EUROCERA","BE","04-Dec-2018","          1.80","          1.80","          1.80","          1.80","          1.80","          1.80","          1.80","       1215","                2187.00","          4","-","-"
"EUROCERA","BE","05-Dec-2018","          1.80","          1.85","          1.85","          1.85","          1.85","          1.85","          1.85","       1502","                2778.70","          2","-","-"
"EUROCERA","BE","06-Dec-2018","          1.85","          1.90","          1.90","          1.80","          1.80","          1.80","          1.88","      23725","               44653.00","         22","-","-"
"EUROCERA","BE","07-Dec-2018","          1.80","          1.80","          1.80","          1.80","          1.80","          1.80","          1.80","       1383","                2489.40","          5","-","-"
"EUROCERA","BE","10-Dec-2018","          1.80","          1.80","          1.80","          1.80","          1.80","          1.80","          1.80","       1285","                2313.00","          4","-","-"
"EUROCERA","BE","11-Dec-2018","          1.80","          1.80","          1.85","          1.80","          1.85","          1.85","          1.80","       2252","                4053.70","          7","-","-"
"EUROCERA","BE","12-Dec-2018","          1.85","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","          1","                   1.90","          1","-","-"
"EUROCERA","BE","13-Dec-2018","          1.90","          1.95","          1.95","          1.85","          1.85","          1.85","          1.86","       1574","                2923.00","          4","-","-"
"EUROCERA","BE","14-Dec-2018","          1.85","          1.90","          1.90","          1.80","          1.80","          1.80","          1.80","       1615","                2908.50","          6","-","-"
"EUROCERA","BE","17-Dec-2018","          1.80","          1.80","          1.80","          1.75","          1.75","          1.75","          1.75","       1613","                2825.75","         11","-","-"
"EUROCERA","BE","18-Dec-2018","          1.75","          1.70","          1.70","          1.70","          1.70","          1.70","          1.70","       2265","                3850.50","          9","-","-"
"EUROCERA","BE","19-Dec-2018","          1.70","          1.70","          1.75","          1.65","          1.75","          1.75","          1.73","        819","                1417.15","         12","-","-"
"EUROCERA","BE","20-Dec-2018","          1.75","          1.75","          1.80","          1.70","          1.70","          1.75","          1.77","       4603","                8161.10","         12","-","-"
"EUROCERA","BE","21-Dec-2018","          1.75","          1.75","          1.80","          1.70","          1.70","          1.70","          1.73","       4940","                8548.70","         13","-","-"
"EUROCERA","BE","24-Dec-2018","          1.70","          1.75","          1.75","          1.65","          1.65","          1.70","          1.70","      11650","               19829.50","         14","-","-"
"EUROCERA","BE","26-Dec-2018","          1.70","          1.70","          1.75","          1.70","          1.75","          1.75","          1.75","       2309","                4040.25","          9","-","-"
"EUROCERA","BE","27-Dec-2018","          1.75","          1.80","          1.80","          1.80","          1.80","          1.80","          1.80","       2521","                4537.80","         10","-","-"
"EUROCERA","BE","28-Dec-2018","          1.80","          1.85","          1.85","          1.75","          1.85","          1.85","          1.85","      20852","               38570.90","         23","-","-"
"EUROCERA","BE","31-Dec-2018","          1.85","          1.85","          1.90","          1.85","          1.85","          1.90","          1.89","       2829","                5335.10","         10","-","-"
"EUROCERA","BE","01-Jan-2019","          1.90","          1.90","          1.90","          1.85","          1.85","          1.85","          1.87","       3200","                5979.95","          5","-","-"
"EUROCERA","BE","02-Jan-2019","          1.85","          1.90","          1.90","          1.80","          1.90","          1.90","          1.90","       2819","                5355.10","          7","-","-"
"EUROCERA","BE","03-Jan-2019","          1.90","          1.95","          1.95","          1.90","          1.90","          1.90","          1.93","       3000","                5775.00","          4","-","-"
"EUROCERA","BE","04-Jan-2019","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","       1070","                2033.00","          4","-","-"
"EUROCERA","BE","07-Jan-2019","          1.90","          1.90","          1.90","          1.85","          1.90","          1.85","          1.87","       1466","                2737.20","         10","-","-"
"EUROCERA","BE","08-Jan-2019","          1.85","          1.80","          1.90","          1.80","          1.85","          1.90","          1.80","       1067","                1925.65","          4","-","-"
"EUROCERA","BE","09-Jan-2019","          1.90","          1.95","          1.95","          1.85","          1.85","          1.85","          1.91","       5501","               10526.85","         10","-","-"
"EUROCERA","BE","10-Jan-2019","          1.85","          1.90","          1.90","          1.80","          1.80","          1.80","          1.87","       2379","                4454.70","          9","-","-"
"EUROCERA","BE","11-Jan-2019","          1.80","          1.85","          1.85","          1.75","          1.75","          1.75","          1.80","      11752","               21146.20","         12","-","-"
"EUROCERA","BE","14-Jan-2019","          1.75","          1.80","          1.80","          1.70","          1.70","          1.70","          1.70","       7156","               12183.00","          9","-","-"
"EUROCERA","BE","15-Jan-2019","          1.70","          1.70","          1.70","          1.70","          1.70","          1.70","          1.70","       1250","                2125.00","          4","-","-"
"EUROCERA","BE","16-Jan-2019","          1.70","          1.70","          1.70","          1.70","          1.70","          1.70","          1.70","        965","                1640.50","          5","-","-"
"EUROCERA","BE","17-Jan-2019","          1.70","          1.70","          1.70","          1.70","          1.70","          1.70","          1.70","        160","                 272.00","          2","-","-"
"EUROCERA","BE","18-Jan-2019","          1.70","          1.70","          1.75","          1.65","          1.65","          1.65","          1.70","       1272","                2168.65","          8","-","-"
"EUROCERA","BE","21-Jan-2019","          1.65","          1.65","          1.65","          1.60","          1.60","          1.60","          1.63","      13687","               22278.95","         19","-","-"
"EUROCERA","BE","22-Jan-2019","          1.60","          1.55","          1.55","          1.55","          1.55","          1.55","          1.55","        265","                 410.75","          3","-","-"
"EUROCERA","BE","23-Jan-2019","          1.55","          1.60","          1.60","          1.50","          1.50","          1.50","          1.52","      20801","               31622.25","         24","-","-"
"EUROCERA","BE","24-Jan-2019","          1.50","          1.50","          1.50","          1.50","          1.50","          1.50","          1.50","      15037","               22555.50","          5","-","-"
"EUROCERA","BE","25-Jan-2019","          1.50","          1.45","          1.45","          1.45","          1.45","          1.45","          1.45","       4994","                7241.30","          6","-","-"
"EUROCERA","BE","28-Jan-2019","          1.45","          1.45","          1.45","          1.45","          1.45","          1.45","          1.45","        360","                 522.00","          4","-","-"
"EUROCERA","BE","29-Jan-2019","          1.45","          1.45","          1.50","          1.40","          1.50","          1.50","          1.42","       7650","               10829.40","         14","-","-"
"EUROCERA","BE","30-Jan-2019","          1.50","          1.55","          1.55","          1.50","          1.55","          1.55","          1.54","       4650","                7182.50","          8","-","-"
"EUROCERA","BE","31-Jan-2019","          1.55","          1.60","          1.60","          1.50","          1.50","          1.50","          1.50","       2130","                3195.45","          9","-","-"
"EUROCERA","BE","04-Feb-2019","          1.50","          1.50","          1.50","          1.45","          1.45","          1.45","          1.45","       1746","                2536.70","          7","-","-"
"EUROCERA","BE","05-Feb-2019","          1.45","          1.45","          1.45","          1.40","          1.40","          1.40","          1.44","       7698","               11052.30","         11","-","-"
"EUROCERA","BE","06-Feb-2019","          1.40","          1.35","          1.45","          1.35","          1.40","          1.40","          1.36","       3935","                5343.75","         12","-","-"
"EUROCERA","BE","07-Feb-2019","          1.40","          1.35","          1.45","          1.35","          1.45","          1.45","          1.41","       3369","                4748.15","          7","-","-"
"EUROCERA","BE","08-Feb-2019","          1.45","          1.45","          1.50","          1.40","          1.40","          1.40","          1.44","       7001","               10051.50","          8","-","-"
"EUROCERA","BE","11-Feb-2019","          1.40","          1.40","          1.40","          1.35","          1.35","          1.35","          1.35","        851","                1148.90","          3","-","-"
"EUROCERA","BE","12-Feb-2019","          1.35","          1.35","          1.35","          1.35","          1.35","          1.35","          1.35","      17327","               23391.45","          6","-","-"
"EUROCERA","BE","13-Feb-2019","          1.35","          1.30","          1.40","          1.30","          1.40","          1.40","          1.36","      18070","               24556.90","         15","-","-"
"EUROCERA","BE","15-Feb-2019","          1.40","          1.40","          1.40","          1.35","          1.40","          1.40","          1.40","         44","                  61.55","          4","-","-"
"EUROCERA","BE","18-Feb-2019","          1.40","          1.35","          1.35","          1.35","          1.35","          1.35","          1.35","       3900","                5265.00","          4","-","-"
"EUROCERA","BE","19-Feb-2019","          1.35","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","       1000","                1300.00","          3","-","-"
"EUROCERA","BE","20-Feb-2019","          1.30","          1.30","          1.30","          1.25","          1.25","          1.25","          1.30","       2980","                3868.95","          6","-","-"
"EUROCERA","BE","21-Feb-2019","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","        250","                 312.50","          2","-","-"
"EUROCERA","BE","22-Feb-2019","          1.25","          1.20","          1.20","          1.20","          1.20","          1.20","          1.20","       1420","                1704.00","          5","-","-"
"EUROCERA","BE","25-Feb-2019","          1.20","          1.25","          1.25","          1.20","          1.20","          1.20","          1.21","       3850","                4650.00","          8","-","-"
"EUROCERA","BE","26-Feb-2019","          1.20","          1.20","          1.25","          1.20","          1.25","          1.25","          1.24","       3750","                4637.50","          5","-","-"
"EUROCERA","BE","27-Feb-2019","          1.25","          1.25","          1.30","          1.20","          1.20","          1.20","          1.27","       5711","                7254.05","         30","-","-"
"EUROCERA","BE","28-Feb-2019","          1.20","          1.20","          1.20","          1.20","          1.20","          1.20","          1.20","         51","                  61.20","          2","-","-"
"EUROCERA","BE","01-Mar-2019","          1.20","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","        214","                 267.50","          3","-","-"
"EUROCERA","BE","05-Mar-2019","          1.25","          1.30","          1.30","          1.20","          1.20","          1.25","          1.24","      14910","               18437.00","         25","-","-"
"EUROCERA","BE","06-Mar-2019","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","         52","                  65.00","          3","-","-"
"EUROCERA","BE","07-Mar-2019","          1.25","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","       1100","                1430.00","          2","-","-"
"EUROCERA","BE","08-Mar-2019","          1.30","          1.35","          1.35","          1.35","          1.35","          1.35","          1.35","        967","                1305.45","          1","-","-"
