"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EVEREADY","EQ","11-Sep-2018","        245.15","        245.20","        248.55","        239.15","        240.15","        240.05","        243.75","      24937","             6078380.25","        739","      16554","         66.38"
"EVEREADY","EQ","12-Sep-2018","        240.05","        245.00","        245.00","        232.00","        235.00","        234.60","        235.40","      91287","            21489415.85","       1689","      60232","         65.98"
"EVEREADY","EQ","14-Sep-2018","        234.60","        236.50","        242.00","        232.55","        233.15","        234.85","        237.19","      28997","             6877787.20","       1065","      16671","         57.49"
"EVEREADY","EQ","17-Sep-2018","        234.85","        234.80","        235.65","        230.95","        232.10","        232.75","        232.51","      36951","             8591334.50","       1565","      25128","         68.00"
"EVEREADY","EQ","18-Sep-2018","        232.75","        233.80","        235.90","        227.80","        232.60","        231.10","        232.31","      74652","            17342369.75","       1014","      48680","         65.21"
"EVEREADY","EQ","19-Sep-2018","        231.10","        232.05","        233.95","        228.70","        229.50","        229.50","        229.82","     111598","            25647527.55","        907","      99168","         88.86"
"EVEREADY","EQ","21-Sep-2018","        229.50","        232.85","        232.85","        215.75","        223.00","        223.05","        221.22","     166217","            36769963.40","       5963","     135667","         81.62"
"EVEREADY","EQ","24-Sep-2018","        223.05","        225.00","        225.15","        211.55","        223.00","        215.90","        216.02","      48958","            10575985.75","       1543","      22602","         46.17"
"EVEREADY","EQ","25-Sep-2018","        215.90","        216.20","        222.80","        205.05","        207.10","        208.95","        211.15","     344374","            72713669.90","       2410","     216193","         62.78"
"EVEREADY","EQ","26-Sep-2018","        208.95","        213.00","        216.20","        199.05","        213.00","        202.90","        205.57","     607695","           124926765.00","       4580","     434848","         71.56"
"EVEREADY","EQ","27-Sep-2018","        202.90","        207.10","        208.00","        195.30","        199.10","        200.40","        200.63","     302672","            60725713.90","       3075","     242528","         80.13"
"EVEREADY","EQ","28-Sep-2018","        200.40","        198.45","        205.00","        185.00","        202.00","        197.15","        192.91","     240710","            46436487.90","       6415","      99522","         41.35"
"EVEREADY","EQ","01-Oct-2018","        197.15","        198.50","        220.00","        193.25","        215.00","        212.05","        203.58","     102284","            20823400.70","       1982","      60745","         59.39"
"EVEREADY","EQ","03-Oct-2018","        212.05","        211.00","        217.10","        198.45","        212.00","        211.60","        211.74","      47968","            10156625.95","       1676","      14942","         31.15"
"EVEREADY","EQ","04-Oct-2018","        211.60","        210.00","        210.00","        198.35","        205.00","        203.95","        202.89","      53611","            10877017.65","       2247","      23816","         44.42"
"EVEREADY","EQ","05-Oct-2018","        203.95","        203.95","        216.00","        197.50","        199.10","        203.00","        201.50","      54319","            10945146.40","       1410","      31607","         58.19"
"EVEREADY","EQ","08-Oct-2018","        203.00","        203.40","        203.40","        185.35","        197.00","        193.60","        195.15","     393299","            76752530.15","       2803","     294191","         74.80"
"EVEREADY","EQ","09-Oct-2018","        193.60","        194.80","        196.90","        186.05","        193.30","        192.15","        191.57","      37223","             7130853.65","       1811","      17489","         46.98"
"EVEREADY","EQ","10-Oct-2018","        192.15","        194.95","        200.00","        190.00","        192.85","        193.25","        196.30","     190535","            37401570.30","       2469","     148439","         77.91"
"EVEREADY","EQ","11-Oct-2018","        193.25","        188.00","        192.95","        184.00","        187.10","        188.25","        187.61","      70194","            13168754.45","       2011","      33669","         47.97"
"EVEREADY","EQ","12-Oct-2018","        188.25","        190.95","        215.00","        190.00","        211.00","        205.60","        203.42","     169848","            34551067.95","       3985","      71667","         42.19"
"EVEREADY","EQ","15-Oct-2018","        205.60","        210.00","        213.70","        201.05","        203.90","        204.05","        205.10","     229894","            47151010.90","       4181","     120896","         52.59"
"EVEREADY","EQ","16-Oct-2018","        204.05","        204.05","        210.95","        203.90","        206.40","        207.65","        207.91","      67388","            14010307.25","       2066","      22702","         33.69"
"EVEREADY","EQ","17-Oct-2018","        207.65","        209.65","        209.90","        196.10","        197.05","        199.85","        204.03","      35883","             7321262.45","       1144","      14721","         41.02"
"EVEREADY","EQ","19-Oct-2018","        199.85","        198.65","        207.70","        198.00","        206.90","        205.85","        203.30","      31877","             6480496.25","       1203","      15530","         48.72"
"EVEREADY","EQ","22-Oct-2018","        205.85","        209.70","        209.70","        197.00","        198.00","        200.65","        201.04","      63404","            12746587.45","       1866","      24649","         38.88"
"EVEREADY","EQ","23-Oct-2018","        200.65","        196.50","        199.40","        194.00","        195.30","        196.20","        196.42","      32453","             6374288.95","       1152","      19251","         59.32"
"EVEREADY","EQ","24-Oct-2018","        196.20","        196.20","        199.40","        192.95","        195.50","        196.00","        195.57","      50462","             9868968.75","       1170","      29294","         58.05"
"EVEREADY","EQ","25-Oct-2018","        196.00","        192.85","        197.50","        190.00","        195.00","        194.25","        194.45","      56924","            11068693.80","       1342","      27102","         47.61"
"EVEREADY","EQ","26-Oct-2018","        194.25","        194.30","        198.00","        192.10","        196.00","        196.50","        196.27","      30225","             5932155.75","        946","      17561","         58.10"
"EVEREADY","EQ","29-Oct-2018","        196.50","        197.05","        198.15","        185.55","        186.95","        187.30","        190.62","      97923","            18666127.40","       2142","      65953","         67.35"
