"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FILDF2GPD","MF","23-Jul-2020","          1.00","          0.90","          0.90","          0.90","          0.90","          0.90","          0.90","        101","                  90.90","          2","        101","        100.00"
"FILDF2GPD","MF","30-Jul-2020","          0.90","          0.82","          0.82","          0.82","          0.82","          0.82","          0.82","          1","                   0.82","          1","          1","        100.00"
"FILDF2GPD","MF","05-Aug-2020","          0.82","          0.74","          0.74","          0.74","          0.74","          0.74","          0.74","          1","                   0.74","          1","          1","        100.00"
"FILDF2GPD","MF","11-Aug-2020","          0.74","          0.67","          0.67","          0.67","          0.67","          0.67","          0.67","         10","                   6.70","          1","         10","        100.00"
"FILDF2GPD","MF","12-Aug-2020","          0.67","          0.61","          0.61","          0.61","          0.61","          0.61","          0.61","         11","                   6.71","          2","         11","        100.00"
"FILDF2GPD","MF","13-Aug-2020","          0.61","          0.60","          0.60","          0.60","          0.60","          0.60","          0.60","         20","                  12.00","          1","         20","        100.00"
"FILDF2GPD","MF","24-Aug-2020","          0.60","          0.60","          0.60","          0.60","          0.60","          0.60","          0.60","         11","                   6.60","          1","         11","        100.00"
"FILDF2GPD","MF","02-Sep-2020","          0.60","          0.60","          0.60","          0.60","          0.60","          0.60","          0.60","        309","                 185.40","         11","        309","        100.00"
"FILDF2GPD","MF","03-Sep-2020","          0.60","          0.60","          0.60","          0.60","          0.60","          0.60","          0.60","       1000","                 600.00","          1","       1000","        100.00"
"FILDF2GPD","MF","04-Sep-2020","          0.60","          0.60","          0.60","          0.60","          0.60","          0.60","          0.60","        679","                 407.40","          1","        679","        100.00"
