"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FINPIPE","EQ","11-Sep-2018","        584.10","        584.10","        590.45","        584.00","        584.10","        586.80","        588.38","      28497","            16767112.15","       2599","      20119","         70.60"
"FINPIPE","EQ","12-Sep-2018","        586.80","        586.80","        588.00","        577.20","        582.00","        582.80","        582.18","      15685","             9131491.05","       2171","      11141","         71.03"
"FINPIPE","EQ","14-Sep-2018","        582.80","        585.00","        589.80","        583.40","        587.00","        586.60","        587.12","      14806","             8692878.00","        981","      11486","         77.58"
"FINPIPE","EQ","17-Sep-2018","        586.60","        587.00","        587.95","        574.50","        576.20","        575.45","        579.58","      12064","             6992010.05","       1076","       8922","         73.96"
"FINPIPE","EQ","18-Sep-2018","        575.45","        579.70","        581.15","        568.00","        571.80","        571.75","        574.24","      11349","             6517103.50","        921","       8757","         77.16"
"FINPIPE","EQ","19-Sep-2018","        571.75","        568.90","        568.90","        555.65","        557.50","        557.10","        560.01","      15591","             8731162.65","       1448","      10658","         68.36"
"FINPIPE","EQ","21-Sep-2018","        557.10","        564.80","        564.80","        523.00","        529.00","        530.10","        534.62","     128357","            68622390.20","       4455","     111622","         86.96"
"FINPIPE","EQ","24-Sep-2018","        530.10","        536.00","        542.00","        515.50","        528.00","        528.30","        535.80","     135046","            72357937.35","       2614","     116373","         86.17"
"FINPIPE","EQ","25-Sep-2018","        528.30","        521.05","        532.75","        521.05","        528.50","        526.95","        526.27","      63240","            33281575.50","       4974","      46329","         73.26"
"FINPIPE","EQ","26-Sep-2018","        526.95","        525.10","        532.20","        525.00","        528.30","        528.45","        527.79","      10762","             5680072.35","       1209","       6696","         62.22"
"FINPIPE","EQ","27-Sep-2018","        528.45","        528.90","        536.00","        525.00","        525.00","        525.85","        527.65","      10202","             5383099.40","       1168","       5920","         58.03"
"FINPIPE","EQ","28-Sep-2018","        525.85","        525.00","        534.25","        524.95","        525.95","        525.20","        526.82","      21942","            11559457.60","       2127","      16864","         76.86"
"FINPIPE","EQ","01-Oct-2018","        525.20","        525.55","        529.00","        523.85","        525.50","        525.80","        525.73","      14938","             7853409.95","       1567","       8594","         57.53"
"FINPIPE","EQ","03-Oct-2018","        525.80","        525.80","        527.00","        525.00","        525.95","        525.00","        525.36","      17083","             8974805.65","        432","      12448","         72.87"
"FINPIPE","EQ","04-Oct-2018","        525.00","        525.05","        525.95","        515.00","        523.90","        523.80","        523.31","      16196","             8475487.60","        761","      10412","         64.29"
"FINPIPE","EQ","05-Oct-2018","        523.80","        524.90","        524.90","        518.25","        520.00","        521.85","        521.90","      85700","            44727181.75","       1006","      81270","         94.83"
"FINPIPE","EQ","08-Oct-2018","        521.85","        527.00","        527.00","        509.50","        514.90","        510.40","        512.24","     152684","            78211206.75","       1194","     141520","         92.69"
"FINPIPE","EQ","09-Oct-2018","        510.40","        519.00","        519.00","        499.30","        499.30","        501.80","        505.98","      52775","            26702921.65","       1753","      44768","         84.83"
"FINPIPE","EQ","10-Oct-2018","        501.80","        509.80","        512.00","        500.20","        505.00","        507.55","        507.02","     117997","            59827197.90","       3699","     110532","         93.67"
"FINPIPE","EQ","11-Oct-2018","        507.55","        504.00","        504.00","        476.60","        490.20","        493.55","        498.18","     119300","            59432809.60","       2449","     112137","         94.00"
"FINPIPE","EQ","12-Oct-2018","        493.55","        499.70","        507.00","        489.05","        490.00","        493.95","        500.62","     317441","           158917348.75","       1294","     310934","         97.95"
"FINPIPE","EQ","15-Oct-2018","        493.95","        499.80","        500.00","        494.05","        498.00","        499.20","        499.30","      59917","            29916615.00","        611","      56302","         93.97"
"FINPIPE","EQ","16-Oct-2018","        499.20","        504.20","        510.70","        490.10","        491.90","        492.55","        498.93","      19124","             9541471.25","       1665","      13114","         68.57"
"FINPIPE","EQ","17-Oct-2018","        492.55","        497.50","        499.95","        480.00","        480.00","        481.40","        484.27","      45615","            22089752.95","       1334","      34166","         74.90"
"FINPIPE","EQ","19-Oct-2018","        481.40","        478.10","        485.00","        460.20","        460.20","        469.20","        474.56","     563614","           267468203.35","       3357","     556457","         98.73"
"FINPIPE","EQ","22-Oct-2018","        469.20","        473.00","        478.35","        462.10","        477.00","        475.10","        471.39","     101158","            47684618.35","       6391","      89193","         88.17"
"FINPIPE","EQ","23-Oct-2018","        475.10","        474.90","        488.80","        470.00","        488.80","        483.20","        477.18","      38518","            18379899.20","       4740","      30804","         79.97"
"FINPIPE","EQ","24-Oct-2018","        483.20","        499.95","        512.00","        485.05","        508.30","        509.15","        492.84","     216498","           106698091.70","       4936","     176443","         81.50"
"FINPIPE","EQ","25-Oct-2018","        509.15","        495.10","        536.00","        495.10","        530.00","        527.75","        517.40","      26764","            13847809.00","       3224","      15796","         59.02"
"FINPIPE","EQ","26-Oct-2018","        527.75","        527.15","        535.00","        510.80","        525.00","        525.05","        525.53","      19107","            10041249.95","       1094","      11957","         62.58"
"FINPIPE","EQ","29-Oct-2018","        525.05","        524.05","        554.00","        518.30","        540.00","        539.70","        543.06","      95934","            52097961.40","       3065","      62181","         64.82"
