"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GAEL","EQ","11-Sep-2018","        212.00","        212.15","        218.90","        212.15","        217.00","        217.20","        217.14","      27954","             6069956.60","        481","      23551","         84.25"
"GAEL","EQ","12-Sep-2018","        217.20","        217.00","        218.90","        211.20","        215.30","        216.45","        214.67","      26348","             5656233.65","        392","      20229","         76.78"
"GAEL","EQ","14-Sep-2018","        216.45","        220.45","        220.45","        212.55","        213.40","        214.40","        214.65","      15236","             3270393.10","        367","       9513","         62.44"
"GAEL","EQ","17-Sep-2018","        214.40","        213.40","        214.15","        210.10","        214.15","        212.85","        211.91","      20563","             4357529.20","        624","      13615","         66.21"
"GAEL","EQ","18-Sep-2018","        212.85","        212.00","        217.50","        212.00","        214.50","        214.95","        215.37","      24284","             5230115.65","        384","      19207","         79.09"
"GAEL","EQ","19-Sep-2018","        214.95","        220.35","        225.65","        214.95","        225.00","        224.15","        221.99","     111170","            24678818.30","       1744","      46114","         41.48"
"GAEL","EQ","21-Sep-2018","        224.15","        225.50","        233.00","        212.95","        216.50","        215.85","        222.77","      98211","            21878457.05","       2102","      47690","         48.56"
"GAEL","EQ","24-Sep-2018","        215.85","        225.00","        225.00","        205.10","        205.50","        205.30","        206.45","      82260","            16982828.80","        832","      68241","         82.96"
"GAEL","EQ","25-Sep-2018","        205.30","        203.00","        204.95","        195.05","        195.05","        195.05","        195.99","     112535","            22055912.00","        906","      77549","         68.91"
"GAEL","EQ","26-Sep-2018","        195.05","        195.00","        198.95","        190.05","        195.30","        196.65","        195.78","      45780","             8962799.55","        801","      33798","         73.83"
"GAEL","EQ","27-Sep-2018","        196.65","        195.35","        199.95","        186.85","        190.00","        190.25","        193.66","      34659","             6711981.15","        643","      27198","         78.47"
"GAEL","EQ","28-Sep-2018","        190.25","        190.00","        195.60","        180.75","        181.25","        182.15","        182.58","      75753","            13830952.95","        858","      53049","         70.03"
"GAEL","EQ","01-Oct-2018","        182.15","        183.00","        187.00","        173.05","        177.00","        177.25","        176.24","      88546","            15605332.85","       2264","      65408","         73.87"
"GAEL","EQ","03-Oct-2018","        177.25","        177.25","        185.00","        177.00","        181.40","        181.30","        181.93","      32009","             5823460.20","       1120","      17635","         55.09"
"GAEL","EQ","04-Oct-2018","        181.30","        182.50","        190.35","        179.65","        190.35","        190.35","        187.51","      30505","             5720087.60","        354","      20833","         68.29"
"GAEL","EQ","05-Oct-2018","        190.35","        194.30","        199.85","        190.00","        192.00","        190.90","        195.04","      40869","             7970992.80","        695","      23626","         57.81"
"GAEL","EQ","08-Oct-2018","        190.90","        190.90","        200.25","        190.20","        196.00","        191.55","        196.39","      82302","            16163447.10","       3050","      45719","         55.55"
"GAEL","EQ","09-Oct-2018","        191.55","        199.45","        201.10","        192.95","        201.10","        201.10","        198.59","      56613","            11242910.90","        823","      41891","         74.00"
"GAEL","EQ","10-Oct-2018","        201.10","        203.95","        211.15","        201.80","        211.15","        211.15","        210.04","      42656","             8959265.20","        556","      35241","         82.62"
"GAEL","EQ","11-Oct-2018","        211.15","        221.70","        221.70","        201.00","        221.70","        221.70","        219.92","      79646","            17515677.10","        541","      67859","         85.20"
"GAEL","EQ","12-Oct-2018","        221.70","        228.50","        232.75","        228.40","        232.75","        232.75","        232.07","      13559","             3146654.35","        200","      12955","         95.55"
"GAEL","EQ","15-Oct-2018","        232.75","        244.35","        244.35","        221.95","        238.80","        240.10","        236.69","      92871","            21982090.15","       2822","      47463","         51.11"
"GAEL","EQ","16-Oct-2018","        240.10","        248.00","        248.00","        230.20","        240.00","        243.85","        239.34","      87546","            20953555.00","       2532","      41160","         47.02"
