"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GANESHHOUC","EQ","11-Sep-2018","         91.40","         91.35","         92.10","         88.00","         88.40","         88.60","         89.80","      59692","             5360264.50","        810","      39731","         66.56"
"GANESHHOUC","EQ","12-Sep-2018","         88.60","         88.60","         89.50","         85.15","         85.50","         85.95","         86.65","      57326","             4967357.45","        828","      31935","         55.71"
"GANESHHOUC","EQ","14-Sep-2018","         85.95","         85.70","         87.50","         85.70","         86.50","         86.45","         86.69","      53252","             4616407.90","       1076","      34360","         64.52"
"GANESHHOUC","EQ","17-Sep-2018","         86.45","         86.80","         86.80","         84.80","         85.85","         86.20","         85.62","      48155","             4122835.70","       1503","      31279","         64.95"
"GANESHHOUC","EQ","18-Sep-2018","         86.20","         85.00","         85.95","         84.05","         84.50","         84.35","         84.65","      40976","             3468519.30","       1361","      21092","         51.47"
"GANESHHOUC","EQ","19-Sep-2018","         84.35","         84.35","         85.25","         81.15","         81.75","         81.95","         83.59","      67462","             5638942.05","        873","      31851","         47.21"
"GANESHHOUC","EQ","21-Sep-2018","         81.95","         82.95","         83.00","         69.95","         80.00","         78.20","         77.17","     169414","            13073683.65","       2989","     104700","         61.80"
"GANESHHOUC","EQ","24-Sep-2018","         78.20","         78.70","         79.80","         70.00","         72.50","         72.20","         72.68","     127013","             9231665.55","       1879","      76225","         60.01"
"GANESHHOUC","EQ","25-Sep-2018","         72.20","         71.40","         77.75","         70.55","         76.00","         76.40","         75.38","     201877","            15218297.80","       2812","     136904","         67.82"
"GANESHHOUC","EQ","26-Sep-2018","         76.40","         77.20","         78.85","         76.05","         77.30","         77.55","         77.74","      82968","             6449548.05","       1536","      59449","         71.65"
"GANESHHOUC","EQ","27-Sep-2018","         77.55","         76.50","         77.50","         71.10","         72.40","         72.25","         73.50","      45995","             3380559.05","       1339","      28181","         61.27"
"GANESHHOUC","EQ","28-Sep-2018","         72.25","         71.00","         75.95","         71.00","         71.30","         71.80","         73.47","      82868","             6088386.70","       1066","      39274","         47.39"
"GANESHHOUC","EQ","01-Oct-2018","         71.80","         70.50","         76.00","         70.50","         75.00","         75.30","         72.89","      80715","             5882951.85","       1049","      55392","         68.63"
"GANESHHOUC","EQ","03-Oct-2018","         75.30","         75.25","         76.55","         70.10","         75.00","         75.30","         73.44","     128311","             9423089.50","       2095","      53975","         42.07"
"GANESHHOUC","EQ","04-Oct-2018","         75.30","         72.35","         76.95","         72.35","         73.95","         74.05","         74.60","      49204","             3670436.05","       1579","      26552","         53.96"
"GANESHHOUC","EQ","05-Oct-2018","         74.05","         72.25","         75.75","         71.50","         71.85","         71.85","         72.31","      46305","             3348218.85","       1165","      25973","         56.09"
"GANESHHOUC","EQ","08-Oct-2018","         71.85","         71.00","         71.75","         61.95","         67.00","         66.55","         67.67","      88357","             5979018.20","       1994","      47514","         53.78"
"GANESHHOUC","EQ","09-Oct-2018","         66.55","         68.40","         69.80","         65.05","         67.20","         67.40","         67.82","      44946","             3048110.10","       1117","      25239","         56.15"
"GANESHHOUC","EQ","10-Oct-2018","         67.40","         66.05","         71.85","         66.05","         69.90","         69.85","         69.90","      55420","             3873700.70","       1650","      30073","         54.26"
"GANESHHOUC","EQ","11-Oct-2018","         69.85","         68.00","         69.00","         65.00","         67.85","         67.65","         67.65","      33023","             2234071.30","       1634","      17324","         52.46"
"GANESHHOUC","EQ","12-Oct-2018","         67.65","         67.85","         70.50","         67.25","         68.00","         68.40","         69.07","      34780","             2402409.10","       1190","      22810","         65.58"
"GANESHHOUC","EQ","15-Oct-2018","         68.40","         69.75","         69.75","         68.05","         68.30","         68.85","         68.65","      25381","             1742361.25","        321","      16658","         65.63"
"GANESHHOUC","EQ","16-Oct-2018","         68.85","         70.10","         72.00","         68.35","         70.00","         70.20","         70.47","      60741","             4280429.45","       1371","      36029","         59.32"
"GANESHHOUC","EQ","17-Oct-2018","         70.20","         72.95","         72.95","         66.00","         66.25","         66.70","         68.61","      51747","             3550291.75","       1516","      31538","         60.95"
"GANESHHOUC","EQ","19-Oct-2018","         66.70","         66.80","         69.60","         66.30","         69.45","         69.15","         66.77","     307021","            20498400.20","        503","     295299","         96.18"
"GANESHHOUC","EQ","22-Oct-2018","         69.15","         70.95","         70.95","         66.00","         66.00","         66.10","         66.96","      22025","             1474696.00","        464","      13202","         59.94"
"GANESHHOUC","EQ","23-Oct-2018","         66.10","         66.85","         68.90","         65.20","         68.40","         66.85","         66.33","      24845","             1648083.35","        648","      12518","         50.38"
"GANESHHOUC","EQ","24-Oct-2018","         66.85","         66.25","         68.05","         63.95","         65.00","         65.55","         65.31","      51680","             3375326.80","       1124","      32438","         62.77"
"GANESHHOUC","EQ","25-Oct-2018","         65.55","         65.00","         65.05","         62.00","         64.30","         63.30","         63.48","      32422","             2058206.25","       1132","      17697","         54.58"
"GANESHHOUC","EQ","26-Oct-2018","         63.30","         62.80","         70.90","         60.75","         61.35","         61.55","         63.19","     152724","             9651340.95","       2762","      88580","         58.00"
"GANESHHOUC","EQ","29-Oct-2018","         61.55","         62.00","         64.90","         57.30","         63.35","         63.85","         62.56","      67189","             4203314.50","       1664","      29805","         44.36"
"GANESHHOUC","EQ","30-Oct-2018","         63.85","         63.65","         65.05","         63.15","         63.55","         63.90","         64.22","      44284","             2843738.55","        632","      25987","         58.68"
"GANESHHOUC","EQ","31-Oct-2018","         63.90","         64.45","         64.90","         63.15","         64.25","         64.40","         64.18","      39030","             2505024.00","        761","      19230","         49.27"
"GANESHHOUC","EQ","01-Nov-2018","         64.40","         65.65","         66.90","         64.00","         64.90","         65.10","         65.71","      52661","             3460186.10","        632","      25429","         48.29"
"GANESHHOUC","EQ","02-Nov-2018","         65.10","         66.10","         69.80","         65.10","         69.00","         68.90","         68.47","      92204","             6312804.35","       1527","      52935","         57.41"
"GANESHHOUC","EQ","05-Nov-2018","         68.90","         69.00","         71.00","         64.65","         66.00","         65.95","         67.81","      79232","             5372712.15","       2240","      47654","         60.14"
"GANESHHOUC","EQ","06-Nov-2018","         65.95","         67.00","         67.85","         66.05","         67.35","         67.25","         67.03","      29704","             1991018.30","        799","      11991","         40.37"
"GANESHHOUC","EQ","07-Nov-2018","         67.25","         69.00","         70.75","         68.45","         69.00","         69.30","         69.21","      15488","             1071909.00","        232","      11503","         74.27"
"GANESHHOUC","EQ","09-Nov-2018","         69.30","         68.75","         70.50","         68.40","         69.60","         69.15","         69.24","      18811","             1302417.70","        352","       9521","         50.61"
"GANESHHOUC","EQ","12-Nov-2018","         69.15","         69.60","         70.00","         67.30","         67.30","         67.60","         68.54","      30080","             2061797.70","        483","      14637","         48.66"
"GANESHHOUC","EQ","13-Nov-2018","         67.60","         67.85","         67.90","         66.40","         67.00","         67.20","         67.04","      18444","             1236416.80","        417","      11330","         61.43"
"GANESHHOUC","EQ","14-Nov-2018","         67.20","         68.45","         70.80","         64.00","         64.20","         64.25","         66.69","     153544","            10239283.85","       3139","      76909","         50.09"
"GANESHHOUC","EQ","15-Nov-2018","         64.25","         64.30","         64.30","         60.00","         60.55","         60.90","         61.63","      83526","             5147885.90","       2535","      56641","         67.81"
"GANESHHOUC","EQ","16-Nov-2018","         60.90","         62.40","         62.40","         59.40","         60.00","         60.10","         61.02","      45254","             2761186.55","       1696","      24526","         54.20"
"GANESHHOUC","EQ","19-Nov-2018","         60.10","         59.60","         60.85","         59.50","         59.65","         59.90","         60.02","      40073","             2405288.35","        598","      27021","         67.43"
"GANESHHOUC","EQ","20-Nov-2018","         59.90","         59.50","         60.40","         59.00","         59.60","         59.80","         59.78","      49781","             2976094.30","        585","      34845","         70.00"
"GANESHHOUC","EQ","21-Nov-2018","         59.80","         60.00","         60.15","         58.25","         59.20","         59.00","         59.06","      26754","             1580063.65","        407","      18846","         70.44"
"GANESHHOUC","EQ","22-Nov-2018","         59.00","         60.50","         60.50","         57.00","         57.15","         57.40","         57.99","      76247","             4421442.05","        976","      60052","         78.76"
