"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GANGAFORGE","SM","11-Sep-2018","         21.00","         20.00","         20.00","         20.00","         20.00","         20.00","         20.00","       6000","              120000.00","          1","       6000","        100.00"
"GANGAFORGE","SM","19-Sep-2018","         20.00","         19.00","         19.30","         19.00","         19.30","         19.30","         19.15","      12000","              229800.00","          2","       6000","         50.00"
"GANGAFORGE","SM","24-Sep-2018","         19.30","         19.20","         19.20","         19.20","         19.20","         19.20","         19.20","       6000","              115200.00","          1","       6000","        100.00"
"GANGAFORGE","SM","03-Oct-2018","         19.20","         19.00","         22.50","         19.00","         22.00","         20.95","         20.74","      54000","             1120200.00","          9","      36000","         66.67"
"GANGAFORGE","SM","04-Oct-2018","         20.95","         20.05","         21.40","         20.05","         21.40","         21.40","         20.73","      12000","              248700.00","          2","      12000","        100.00"
"GANGAFORGE","SM","08-Oct-2018","         21.40","         20.00","         20.00","         20.00","         20.00","         20.00","         20.00","       6000","              120000.00","          1","       6000","        100.00"
"GANGAFORGE","SM","10-Oct-2018","         20.00","         19.00","         19.00","         19.00","         19.00","         19.00","         19.00","       6000","              114000.00","          1","       6000","        100.00"
"GANGAFORGE","SM","12-Oct-2018","         19.00","         19.50","         19.50","         19.50","         19.50","         19.50","         19.50","      24000","              468000.00","          1","      24000","        100.00"
"GANGAFORGE","SM","15-Oct-2018","         19.50","         19.50","         20.00","         19.50","         20.00","         19.85","         19.83","      18000","              357000.00","          3","      18000","        100.00"
"GANGAFORGE","SM","16-Oct-2018","         19.85","         20.25","         21.00","         20.25","         21.00","         20.65","         20.64","      24000","              495300.00","          4","      24000","        100.00"
"GANGAFORGE","SM","17-Oct-2018","         20.65","         20.00","         20.00","         19.00","         19.00","         19.00","         19.50","      12000","              234000.00","          2","      12000","        100.00"
"GANGAFORGE","SM","19-Oct-2018","         19.00","         19.00","         20.95","         19.00","         20.95","         20.95","         20.15","      18000","              362700.00","          3","      18000","        100.00"
"GANGAFORGE","SM","22-Oct-2018","         20.95","         21.25","         21.45","         21.25","         21.45","         21.45","         21.35","      12000","              256200.00","          2","      12000","        100.00"
"GANGAFORGE","SM","23-Oct-2018","         21.45","         21.75","         21.75","         19.90","         21.55","         21.55","         21.03","      42000","              883200.00","          7","      36000","         85.71"
