"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GESHIP","EQ","11-Sep-2018","        296.20","        298.60","        298.60","        291.55","        296.45","        295.90","        295.86","      58162","            17207955.35","       8780","      45481","         78.20"
"GESHIP","EQ","12-Sep-2018","        295.90","        294.10","        298.85","        291.50","        295.25","        295.90","        295.03","      62471","            18430574.60","       2937","      51066","         81.74"
"GESHIP","EQ","14-Sep-2018","        295.90","        297.00","        298.85","        292.30","        296.40","        294.45","        293.59","      14812","             4348686.30","       1516","      10617","         71.68"
"GESHIP","EQ","17-Sep-2018","        294.45","        292.60","        298.50","        292.60","        298.20","        297.80","        297.18","      23767","             7063170.80","       2811","      16790","         70.64"
"GESHIP","EQ","18-Sep-2018","        297.80","        292.05","        300.00","        292.05","        294.85","        295.45","        295.97","      39261","            11620048.00","       2533","      31797","         80.99"
"GESHIP","EQ","19-Sep-2018","        295.45","        295.00","        309.00","        295.00","        304.75","        307.05","        302.93","      61912","            18754874.35","       7291","      36054","         58.23"
"GESHIP","EQ","21-Sep-2018","        307.05","        305.90","        312.00","        294.40","        302.00","        301.25","        301.52","     831565","           250735923.15","      13241","     672851","         80.91"
"GESHIP","EQ","24-Sep-2018","        301.25","        302.00","        302.00","        286.05","        289.50","        287.10","        288.84","      39002","            11265475.15","       2224","      30112","         77.21"
"GESHIP","EQ","25-Sep-2018","        287.10","        289.40","        293.00","        286.95","        290.50","        289.10","        288.75","      25413","             7338029.70","       1812","      10272","         40.42"
"GESHIP","EQ","26-Sep-2018","        289.10","        286.00","        289.70","        278.00","        278.55","        279.40","        282.54","      25074","             7084433.75","       1603","      20560","         82.00"
"GESHIP","EQ","27-Sep-2018","        279.40","        284.20","        289.00","        281.10","        284.05","        284.50","        284.03","      34654","             9842788.90","       3832","      21165","         61.08"
