"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GUJFLUORO","EQ","11-Sep-2018","        856.75","        860.00","        874.00","        845.00","        855.00","        853.05","        860.59","      71054","            61148169.05","       3693","      19856","         27.94"
"GUJFLUORO","EQ","12-Sep-2018","        853.05","        857.85","        861.80","        816.05","        825.00","        828.95","        831.45","     151891","           126290279.20","       4095","     101437","         66.78"
"GUJFLUORO","EQ","14-Sep-2018","        828.95","        834.00","        857.80","        828.95","        845.05","        850.00","        844.88","     103180","            87175101.10","       8869","      15009","         14.55"
"GUJFLUORO","EQ","17-Sep-2018","        850.00","        836.05","        847.95","        827.00","        834.10","        836.40","        838.63","      75840","            63601496.15","       4277","      19874","         26.21"
"GUJFLUORO","EQ","18-Sep-2018","        836.40","        837.95","        860.00","        832.00","        846.00","        846.70","        839.36","     323430","           271472952.50","       4918","     189497","         58.59"
"GUJFLUORO","EQ","19-Sep-2018","        846.70","        850.00","        881.90","        845.00","        856.00","        859.30","        869.32","     246637","           214405773.60","      11127","      55695","         22.58"
"GUJFLUORO","EQ","21-Sep-2018","        859.30","        865.70","        887.00","        810.00","        854.00","        852.70","        861.68","     392553","           338254597.00","       8284","     203792","         51.91"
"GUJFLUORO","EQ","24-Sep-2018","        852.70","        854.00","        857.90","        812.65","        824.85","        825.35","        824.82","     124762","           102905579.20","       8089","      41740","         33.46"
"GUJFLUORO","EQ","25-Sep-2018","        825.35","        829.90","        836.00","        812.00","        825.10","        826.85","        823.10","     106099","            87329929.80","       4121","      46843","         44.15"
"GUJFLUORO","EQ","26-Sep-2018","        826.85","        830.95","        850.00","        828.25","        840.00","        843.85","        841.55","     139333","           117256357.40","       7688","      58224","         41.79"
"GUJFLUORO","EQ","27-Sep-2018","        843.85","        848.90","        849.95","        821.00","        830.00","        827.95","        829.24","     155630","           129053961.25","       5899","      96827","         62.22"
"GUJFLUORO","EQ","28-Sep-2018","        827.95","        831.90","        835.70","        775.00","        802.00","        814.65","        811.78","     182811","           148402725.10","       9367","     101442","         55.49"
"GUJFLUORO","EQ","01-Oct-2018","        814.65","        809.70","        810.05","        751.10","        787.75","        788.10","        783.45","      69444","            54405779.35","       4156","      24528","         35.32"
"GUJFLUORO","EQ","03-Oct-2018","        788.10","        791.90","        819.00","        775.25","        802.10","        810.55","        804.07","      63810","            51307888.95","       3834","      22557","         35.35"
"GUJFLUORO","EQ","04-Oct-2018","        810.55","        798.50","        806.95","        761.25","        761.90","        766.10","        783.45","     110674","            86707296.30","       5714","      31556","         28.51"
"GUJFLUORO","EQ","05-Oct-2018","        766.10","        761.50","        798.60","        761.50","        779.95","        779.15","        785.31","     117289","            92108037.55","       9911","      43514","         37.10"
"GUJFLUORO","EQ","08-Oct-2018","        779.15","        774.40","        790.00","        762.00","        777.25","        780.60","        781.34","      35677","            27875991.00","       2728","      18443","         51.69"
"GUJFLUORO","EQ","09-Oct-2018","        780.60","        782.90","        785.00","        766.35","        769.65","        770.15","        775.30","      14943","            11585345.65","       1077","       5859","         39.21"
"GUJFLUORO","EQ","10-Oct-2018","        770.15","        770.45","        804.00","        770.20","        800.00","        800.80","        791.94","      39121","            30981590.25","       1963","      18701","         47.80"
"GUJFLUORO","EQ","11-Oct-2018","        800.80","        788.85","        794.00","        763.30","        782.00","        780.00","        779.58","      31357","            24445161.85","       1190","      17431","         55.59"
"GUJFLUORO","EQ","12-Oct-2018","        780.00","        784.70","        814.50","        784.70","        799.75","        799.55","        800.23","     571406","           457255376.70","       6004","     491394","         86.00"
"GUJFLUORO","EQ","15-Oct-2018","        799.55","        804.80","        849.00","        801.10","        832.65","        835.45","        829.33","     122305","           101430969.30","       6164","      24490","         20.02"
"GUJFLUORO","EQ","16-Oct-2018","        835.45","        832.10","        890.00","        832.10","        876.00","        875.45","        863.39","     208835","           180306899.60","      10251","      63764","         30.53"
"GUJFLUORO","EQ","17-Oct-2018","        875.45","        882.80","        891.90","        866.20","        870.00","        876.30","        880.50","     577619","           508591282.35","      13306","     275300","         47.66"
"GUJFLUORO","EQ","19-Oct-2018","        876.30","        865.10","        898.90","        864.75","        893.15","        894.20","        892.58","     190662","           170180595.70","       7763","      66844","         35.06"
"GUJFLUORO","EQ","22-Oct-2018","        894.20","        902.80","        909.00","        860.45","        875.00","        869.95","        874.11","     310587","           271486803.35","       6366","     228711","         73.64"
"GUJFLUORO","EQ","23-Oct-2018","        869.95","        868.20","        870.00","        831.35","        851.00","        850.25","        858.27","     167023","           143350117.90","       8897","      15536","          9.30"
"GUJFLUORO","EQ","24-Oct-2018","        850.25","        855.40","        879.65","        851.15","        851.35","        858.50","        865.68","     139427","           120698874.35","       7744","      11719","          8.41"
"GUJFLUORO","EQ","25-Oct-2018","        858.50","        849.95","        875.00","        827.00","        874.90","        868.55","        846.11","     160659","           135935482.40","       8396","      27954","         17.40"
"GUJFLUORO","EQ","26-Oct-2018","        868.55","        870.00","        879.90","        851.00","        860.00","        860.85","        865.76","     145023","           125554664.60","       6564","      26842","         18.51"
"GUJFLUORO","EQ","29-Oct-2018","        860.85","        858.00","        878.30","        848.00","        877.00","        873.95","        865.77","     172433","           149286782.20","       8688","      22077","         12.80"
"GUJFLUORO","EQ","30-Oct-2018","        873.95","        877.60","        895.00","        870.55","        875.10","        876.80","        882.49","     135704","           119757982.25","       6678","      35117","         25.88"
"GUJFLUORO","EQ","31-Oct-2018","        876.80","        882.95","        889.95","        868.40","        883.00","        885.15","        880.86","     156454","           137813931.25","       7266","      28884","         18.46"
"GUJFLUORO","EQ","01-Nov-2018","        885.15","        884.10","        889.00","        866.60","        877.25","        881.05","        877.69","      87099","            76445721.85","       3789","      10664","         12.24"
"GUJFLUORO","EQ","02-Nov-2018","        881.05","        889.80","        903.25","        883.25","        885.00","        885.50","        893.08","     158363","           141430818.65","       4851","      32669","         20.63"
"GUJFLUORO","EQ","05-Nov-2018","        885.50","        889.00","        889.95","        871.25","        880.00","        884.95","        885.32","      55105","            48785779.00","       5190","       8020","         14.55"
"GUJFLUORO","EQ","06-Nov-2018","        884.95","        889.95","        889.95","        871.20","        875.00","        874.25","        880.93","      30457","            26830533.55","       2601","       8538","         28.03"
