"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GOLDENTOBC","BE","11-Sep-2018","         33.00","         33.00","         33.00","         31.45","         31.45","         31.45","         31.61","        110","                3477.50","          3","-","-"
"GOLDENTOBC","BE","12-Sep-2018","         31.45","         30.05","         30.25","         30.05","         30.20","         30.20","         30.21","        102","                3081.40","          4","-","-"
"GOLDENTOBC","BE","14-Sep-2018","         30.20","         31.00","         31.00","         31.00","         31.00","         31.00","         31.00","        124","                3844.00","          4","-","-"
"GOLDENTOBC","BE","17-Sep-2018","         31.00","         32.50","         32.50","         30.70","         31.00","         31.00","         30.91","       3408","              105348.00","         15","-","-"
"GOLDENTOBC","BE","19-Sep-2018","         31.00","         30.55","         30.55","         30.55","         30.55","         30.55","         30.55","        150","                4582.50","          1","-","-"
"GOLDENTOBC","BE","21-Sep-2018","         30.55","         30.55","         30.55","         30.55","         30.55","         30.55","         30.55","        100","                3055.00","          1","-","-"
"GOLDENTOBC","BE","24-Sep-2018","         30.55","         29.05","         32.05","         29.05","         32.05","         32.05","         30.73","       1448","               44498.80","          8","-","-"
"GOLDENTOBC","BE","25-Sep-2018","         32.05","         32.00","         32.00","         30.60","         30.60","         30.60","         31.16","       1300","               40505.00","          3","-","-"
"GOLDENTOBC","BE","26-Sep-2018","         30.60","         30.60","         30.60","         30.60","         30.60","         30.60","         30.60","         34","                1040.40","          2","-","-"
"GOLDENTOBC","BE","27-Sep-2018","         30.60","         29.20","         29.20","         29.10","         29.10","         29.10","         29.13","        605","               17625.50","          4","-","-"
"GOLDENTOBC","BE","28-Sep-2018","         29.10","         29.10","         30.55","         27.65","         30.55","         30.50","         28.24","     116011","             3276711.50","         34","-","-"
"GOLDENTOBC","BE","01-Oct-2018","         30.50","         29.05","         32.00","         29.00","         29.30","         29.30","         29.07","      50239","             1460237.20","         45","-","-"
"GOLDENTOBC","BE","03-Oct-2018","         29.30","         27.90","         30.75","         27.90","         30.75","         30.75","         28.42","        143","                4063.50","          7","-","-"
"GOLDENTOBC","BE","04-Oct-2018","         30.75","         29.25","         31.95","         29.25","         29.25","         29.25","         29.50","        332","                9794.70","          6","-","-"
"GOLDENTOBC","BE","05-Oct-2018","         29.25","         28.05","         30.60","         27.80","         27.80","         28.00","         28.06","        614","               17229.20","         11","-","-"
"GOLDENTOBC","BE","08-Oct-2018","         28.00","         28.00","         28.00","         26.65","         26.65","         26.65","         26.68","       6548","              174670.95","         18","-","-"
"GOLDENTOBC","BE","09-Oct-2018","         26.65","         26.80","         26.80","         25.45","         25.45","         25.45","         26.68","        171","                4562.95","          5","-","-"
"GOLDENTOBC","BE","10-Oct-2018","         25.45","         24.30","         26.70","         24.30","         26.70","         26.70","         25.50","         66","                1682.75","          6","-","-"
"GOLDENTOBC","BE","11-Oct-2018","         26.70","         25.70","         28.00","         25.70","         28.00","         28.00","         26.05","        693","               18052.10","          9","-","-"
"GOLDENTOBC","BE","12-Oct-2018","         28.00","         29.00","         29.00","         28.05","         28.05","         28.05","         28.24","          5","                 141.20","          2","-","-"
"GOLDENTOBC","BE","15-Oct-2018","         28.05","         28.05","         29.45","         28.05","         28.15","         28.15","         29.20","        207","                6044.55","          4","-","-"
"GOLDENTOBC","BE","16-Oct-2018","         28.15","         28.05","         28.05","         28.05","         28.05","         28.05","         28.05","          1","                  28.05","          1","-","-"
"GOLDENTOBC","BE","17-Oct-2018","         28.05","         28.10","         29.45","         28.10","         29.45","         29.45","         28.67","        701","               20099.45","          5","-","-"
"GOLDENTOBC","BE","19-Oct-2018","         29.45","         28.10","         30.90","         28.10","         30.90","         30.90","         29.50","          2","                  59.00","          2","-","-"
"GOLDENTOBC","BE","22-Oct-2018","         30.90","         30.90","         32.20","         29.40","         29.50","         29.45","         29.70","        756","               22450.00","         12","-","-"
"GOLDENTOBC","BE","23-Oct-2018","         29.45","         29.50","         29.50","         29.00","         29.00","         29.00","         29.45","         11","                 324.00","          3","-","-"
"GOLDENTOBC","BE","24-Oct-2018","         29.00","         27.55","         27.55","         27.55","         27.55","         27.55","         27.55","        500","               13775.00","          6","-","-"
"GOLDENTOBC","BE","25-Oct-2018","         27.55","         26.25","         26.25","         26.25","         26.25","         26.25","         26.25","        339","                8898.75","          3","-","-"
"GOLDENTOBC","BE","26-Oct-2018","         26.25","         25.05","         27.55","         25.05","         27.55","         27.55","         26.99","        466","               12578.55","         14","-","-"
"GOLDENTOBC","BE","29-Oct-2018","         27.55","         27.55","         27.55","         27.55","         27.55","         27.55","         27.55","          1","                  27.55","          1","-","-"
"GOLDENTOBC","BE","30-Oct-2018","         27.55","         27.55","         27.55","         27.55","         27.55","         27.55","         27.55","        194","                5344.70","          2","-","-"
"GOLDENTOBC","BE","31-Oct-2018","         27.55","         28.90","         28.90","         26.30","         28.90","         28.85","         28.81","       4336","              124922.40","         30","-","-"
"GOLDENTOBC","BE","01-Nov-2018","         28.85","         28.90","         28.90","         28.00","         28.90","         28.90","         28.64","        175","                5012.50","          3","-","-"
"GOLDENTOBC","BE","02-Nov-2018","         28.90","         28.90","         28.90","         28.90","         28.90","         28.90","         28.90","        155","                4479.50","          4","-","-"
"GOLDENTOBC","BE","06-Nov-2018","         28.90","         28.00","         29.80","         27.50","         29.80","         29.70","         27.81","       1207","               33562.40","          8","-","-"
"GOLDENTOBC","BE","09-Nov-2018","         29.70","         30.95","         30.95","         28.30","         28.30","         28.30","         29.62","        420","               12440.50","          6","-","-"
"GOLDENTOBC","BE","12-Nov-2018","         28.30","         27.00","         27.00","         27.00","         27.00","         27.00","         27.00","          4","                 108.00","          1","-","-"
"GOLDENTOBC","BE","13-Nov-2018","         27.00","         27.00","         27.00","         25.65","         25.65","         25.65","         26.59","        387","               10290.65","          7","-","-"
"GOLDENTOBC","BE","15-Nov-2018","         25.65","         25.65","         25.65","         25.65","         25.65","         25.65","         25.65","        100","                2565.00","          2","-","-"
"GOLDENTOBC","BE","16-Nov-2018","         25.65","         25.65","         25.65","         24.45","         25.65","         25.50","         25.11","        942","               23652.70","          7","-","-"
"GOLDENTOBC","BE","19-Nov-2018","         25.50","         24.60","         26.75","         24.30","         24.30","         24.30","         25.35","        464","               11761.70","         10","-","-"
"GOLDENTOBC","BE","20-Nov-2018","         24.30","         25.50","         25.50","         23.10","         23.10","         23.40","         23.45","       2170","               50897.00","         12","-","-"
"GOLDENTOBC","BE","21-Nov-2018","         23.40","         23.15","         23.15","         23.15","         23.15","         23.15","         23.15","         30","                 694.50","          3","-","-"
