"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GOLDTECH","EQ","11-Sep-2018","         23.30","         24.45","         24.45","         24.00","         24.20","         24.35","         24.39","      46292","             1129178.35","        186","      31953","         69.02"
"GOLDTECH","EQ","12-Sep-2018","         24.35","         24.50","         25.55","         24.45","         25.55","         25.55","         25.45","     179230","             4562139.60","        546","     124497","         69.46"
"GOLDTECH","EQ","14-Sep-2018","         25.55","         26.00","         26.80","         25.55","         26.80","         26.80","         26.71","      91227","             2436547.20","        284","      56089","         61.48"
"GOLDTECH","EQ","17-Sep-2018","         26.80","         28.10","         28.10","         27.15","         28.10","         28.10","         28.07","     161312","             4528775.25","        373","     128677","         79.77"
"GOLDTECH","EQ","18-Sep-2018","         28.10","         29.50","         29.50","         26.70","         27.50","         28.25","         29.13","     221915","             6465120.50","        535","     139660","         62.93"
"GOLDTECH","EQ","19-Sep-2018","         28.25","         28.25","         29.65","         26.85","         26.85","         26.85","         27.80","     305965","             8506292.45","        961","     152678","         49.90"
"GOLDTECH","EQ","21-Sep-2018","         26.85","         25.55","         25.60","         25.55","         25.55","         25.55","         25.55","      24994","              638623.85","         64","      24994","        100.00"
"GOLDTECH","EQ","24-Sep-2018","         25.55","         24.30","         24.30","         24.30","         24.30","         24.30","         24.30","       8094","              196684.20","         37","       8094","        100.00"
"GOLDTECH","EQ","25-Sep-2018","         24.30","         23.10","         23.10","         23.10","         23.10","         23.10","         23.10","       4225","               97597.50","         36","       4225","        100.00"
"GOLDTECH","EQ","26-Sep-2018","         23.10","         22.50","         22.50","         21.95","         21.95","         21.95","         22.03","      31369","              690921.70","        116","      29128","         92.86"
"GOLDTECH","EQ","27-Sep-2018","         21.95","         20.90","         23.00","         20.90","         23.00","         23.00","         21.91","     126352","             2768158.50","        337","      59463","         47.06"
"GOLDTECH","EQ","28-Sep-2018","         23.00","         24.15","         24.15","         21.85","         21.85","         22.15","         22.98","     186802","             4292635.20","        513","      84798","         45.39"
"GOLDTECH","EQ","01-Oct-2018","         22.15","         21.05","         23.25","         21.05","         23.25","         23.25","         22.10","     106581","             2355647.10","        325","      58665","         55.04"
"GOLDTECH","EQ","03-Oct-2018","         23.25","         23.95","         24.35","         22.50","         23.85","         23.75","         23.25","      58177","             1352366.95","        250","      35236","         60.57"
"GOLDTECH","EQ","04-Oct-2018","         23.75","         23.80","         23.80","         22.60","         22.80","         22.65","         22.69","      38520","              873988.95","        156","      21493","         55.80"
"GOLDTECH","EQ","05-Oct-2018","         22.65","         23.60","         23.60","         21.60","         21.60","         21.75","         21.92","      32270","              707354.55","        123","      24132","         74.78"
"GOLDTECH","EQ","08-Oct-2018","         21.75","         23.00","         23.45","         19.65","         21.70","         21.85","         21.25","     103613","             2201490.40","        355","      47712","         46.05"
"GOLDTECH","EQ","09-Oct-2018","         21.85","         22.90","         22.90","         20.80","         21.35","         21.00","         21.05","      30156","              634923.35","        115","      23192","         76.91"
"GOLDTECH","EQ","10-Oct-2018","         21.00","         20.65","         22.85","         20.10","         21.80","         21.90","         22.09","      64644","             1427800.75","        213","      42684","         66.03"
"GOLDTECH","EQ","11-Oct-2018","         21.90","         21.90","         21.90","         20.40","         21.25","         21.15","         20.98","      47383","              994161.80","        181","      29071","         61.35"
"GOLDTECH","EQ","12-Oct-2018","         21.15","         21.20","         23.25","         20.25","         23.25","         23.25","         22.73","      33037","              751067.50","        108","      20394","         61.73"
"GOLDTECH","EQ","15-Oct-2018","         23.25","         24.75","         25.55","         24.05","         25.55","         25.55","         25.05","      59883","             1500194.10","        190","      36831","         61.50"
"GOLDTECH","EQ","16-Oct-2018","         25.55","         27.40","         28.10","         24.65","         25.85","         25.70","         26.95","     174543","             4703780.45","        573","     104154","         59.67"
"GOLDTECH","EQ","17-Oct-2018","         25.70","         26.40","         26.40","         23.15","         23.40","         23.30","         23.80","     108403","             2580492.85","        508","      61395","         56.64"
"GOLDTECH","EQ","19-Oct-2018","         23.30","         23.90","         25.60","         22.10","         25.60","         25.30","         24.08","      49719","             1197055.45","        205","      30614","         61.57"
"GOLDTECH","EQ","22-Oct-2018","         25.30","         26.50","         26.50","         23.60","         24.00","         23.85","         25.18","      39410","              992390.80","        269","      15938","         40.44"
"GOLDTECH","EQ","23-Oct-2018","         23.85","         22.55","         24.90","         22.55","         24.00","         23.75","         23.81","      27614","              657618.45","        122","      19463","         70.48"
"GOLDTECH","EQ","24-Oct-2018","         23.75","         24.10","         25.70","         22.50","         22.85","         23.00","         23.71","      46579","             1104369.50","        201","      30936","         66.42"
"GOLDTECH","EQ","25-Oct-2018","         23.00","         22.35","         23.30","         21.55","         21.90","         21.60","         22.02","      31832","              700786.00","        296","      21681","         68.11"
"GOLDTECH","EQ","26-Oct-2018","         21.60","         21.60","         23.00","         19.80","         21.85","         21.35","         21.58","      63167","             1362860.05","        258","      36023","         57.03"
"GOLDTECH","EQ","29-Oct-2018","         21.35","         22.00","         23.45","         20.65","         22.80","         22.80","         22.67","      30806","              698219.25","        188","      19268","         62.55"
"GOLDTECH","EQ","30-Oct-2018","         22.80","         22.80","         23.80","         22.10","         23.40","         22.90","         22.85","      50574","             1155758.85","        232","      31320","         61.93"
"GOLDTECH","EQ","31-Oct-2018","         22.90","         22.90","         23.80","         22.60","         23.75","         23.65","         23.49","      31520","              740291.15","        117","      24088","         76.42"
"GOLDTECH","EQ","01-Nov-2018","         23.65","         23.90","         24.40","         23.10","         23.75","         23.45","         23.99","      32379","              776800.40","        113","      23713","         73.24"
"GOLDTECH","EQ","02-Nov-2018","         23.45","         23.90","         24.70","         22.25","         22.70","         22.75","         22.88","      31509","              720915.20","        176","      18060","         57.32"
"GOLDTECH","EQ","05-Nov-2018","         22.75","         23.50","         23.50","         21.25","         22.05","         22.35","         22.13","      20727","              458600.90","        113","      15390","         74.25"
"GOLDTECH","EQ","06-Nov-2018","         22.35","         21.00","         22.90","         21.00","         22.55","         22.40","         22.36","      28806","              644189.65","         70","      24252","         84.19"
"GOLDTECH","EQ","07-Nov-2018","         22.40","         22.40","         22.75","         21.65","         22.70","         22.60","         22.45","       5411","              121450.50","         40","       4042","         74.70"
"GOLDTECH","EQ","09-Nov-2018","         22.60","         21.80","         22.85","         21.00","         21.90","         21.75","         21.55","      44239","              953356.60","        188","      31016","         70.11"
"GOLDTECH","EQ","12-Nov-2018","         21.75","         22.50","         22.50","         21.00","         21.80","         21.55","         21.32","      25031","              533626.30","         96","      18362","         73.36"
"GOLDTECH","EQ","13-Nov-2018","         21.55","         21.10","         21.80","         21.00","         21.80","         21.80","         21.41","      28727","              615159.00","        153","      19618","         68.29"
"GOLDTECH","EQ","14-Nov-2018","         21.80","         21.15","         21.40","         19.85","         19.85","         20.00","         20.33","     104025","             2114757.65","        424","      78353","         75.32"
"GOLDTECH","EQ","15-Nov-2018","         20.00","         20.65","         21.00","         19.50","         20.55","         20.35","         20.01","      32970","              659765.60","        148","      14971","         45.41"
"GOLDTECH","EQ","16-Nov-2018","         20.35","         20.90","         21.35","         19.95","         20.35","         20.00","         20.57","      24060","              494888.80","         88","      14585","         60.62"
"GOLDTECH","EQ","19-Nov-2018","         20.00","         20.85","         21.20","         19.40","         20.80","         20.70","         20.68","      29365","              607181.75","        185","      18854","         64.21"
"GOLDTECH","EQ","20-Nov-2018","         20.70","         19.45","         21.25","         19.45","         20.10","         20.15","         20.08","      19331","              388196.25","         97","      14516","         75.09"
"GOLDTECH","EQ","21-Nov-2018","         20.15","         20.00","         20.15","         19.40","         19.95","         19.80","         19.84","       6852","              135947.00","         42","       5215","         76.11"
"GOLDTECH","EQ","22-Nov-2018","         19.80","         19.95","         20.35","         19.00","         19.15","         19.15","         19.64","       9563","              187794.85","         60","       5471","         57.21"
"GOLDTECH","EQ","26-Nov-2018","         19.15","         19.20","         20.20","         18.60","         19.40","         19.00","         19.25","      23775","              457667.15","        132","      11761","         49.47"
"GOLDTECH","EQ","27-Nov-2018","         19.00","         19.00","         19.35","         18.45","         18.85","         18.85","         18.69","      10215","              190911.55","        102","       8580","         83.99"
"GOLDTECH","EQ","28-Nov-2018","         18.85","         19.20","         19.20","         17.65","         18.10","         18.00","         18.40","      12713","              233897.40","        129","       7892","         62.08"
"GOLDTECH","EQ","29-Nov-2018","         18.00","         18.50","         18.50","         16.35","         16.50","         17.05","         17.31","      34090","              590089.30","        170","      30428","         89.26"
"GOLDTECH","EQ","30-Nov-2018","         17.05","         17.05","         17.05","         15.60","         16.10","         15.85","         16.21","      44383","              719461.55","        253","      38095","         85.83"
"GOLDTECH","EQ","03-Dec-2018","         15.85","         15.85","         16.10","         15.40","         15.55","         15.55","         15.75","      21163","              333222.20","        130","      17220","         81.37"
"GOLDTECH","EQ","04-Dec-2018","         15.55","         16.25","         16.25","         15.05","         15.10","         15.15","         15.30","      33030","              505515.65","        169","      21173","         64.10"
"GOLDTECH","EQ","05-Dec-2018","         15.15","         15.15","         15.90","         15.15","         15.90","         15.90","         15.79","      18843","              297572.00","         61","      13353","         70.86"
"GOLDTECH","EQ","06-Dec-2018","         15.90","         16.65","         16.65","         16.65","         16.65","         16.65","         16.65","       8513","              141741.45","         22","       8513","        100.00"
"GOLDTECH","EQ","07-Dec-2018","         16.65","         17.40","         17.45","         16.50","         17.45","         17.45","         17.42","      51852","              903441.20","        100","      34072","         65.71"
"GOLDTECH","EQ","10-Dec-2018","         17.45","         18.20","         18.30","         17.75","         18.30","         18.30","         18.28","      68165","             1245955.00","        196","      50036","         73.40"
"GOLDTECH","EQ","11-Dec-2018","         18.30","         18.90","         19.20","         18.00","         19.20","         19.20","         19.06","      36859","              702587.25","        123","      25193","         68.35"
"GOLDTECH","EQ","12-Dec-2018","         19.20","         20.15","         20.15","         20.05","         20.15","         20.15","         20.15","      15358","              309433.70","         36","       9438","         61.45"
"GOLDTECH","EQ","13-Dec-2018","         20.15","         21.15","         21.15","         19.15","         19.15","         19.15","         20.42","     156151","             3188137.20","        312","      81594","         52.25"
"GOLDTECH","EQ","14-Dec-2018","         19.15","         18.25","         19.70","         18.20","         18.20","         18.30","         18.38","      78704","             1446794.80","        190","      25514","         32.42"
"GOLDTECH","EQ","17-Dec-2018","         18.30","         17.40","         18.35","         17.40","         17.65","         17.40","         17.44","      58167","             1014481.70","        180","      28780","         49.48"
"GOLDTECH","EQ","18-Dec-2018","         17.40","         17.40","         18.25","         17.40","         18.25","         18.25","         17.84","      13187","              235312.40","         81","      12387","         93.93"
"GOLDTECH","EQ","19-Dec-2018","         18.25","         19.15","         19.15","         18.50","         19.15","         19.15","         19.05","      25639","              488408.45","        121","      17058","         66.53"
"GOLDTECH","EQ","20-Dec-2018","         19.15","         19.80","         19.80","         18.20","         18.60","         18.20","         18.34","      26656","              488989.30","        115","      22777","         85.45"
"GOLDTECH","EQ","21-Dec-2018","         18.20","         18.55","         18.55","         17.40","         18.20","         17.90","         17.75","      31148","              552793.30","        140","      13775","         44.22"
