"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GPPL","EQ","11-Sep-2018","        106.25","        108.00","        108.90","        106.00","        107.00","        106.70","        107.01","    1107504","           118514015.20","       1327","    1067042","         96.35"
"GPPL","EQ","12-Sep-2018","        106.70","        107.90","        107.90","        106.00","        106.50","        106.65","        106.69","      66771","             7123876.25","        713","      46760","         70.03"
"GPPL","EQ","14-Sep-2018","        106.65","        107.00","        108.40","        106.20","        107.50","        107.15","        107.27","      46845","             5024917.50","       1132","      26811","         57.23"
"GPPL","EQ","17-Sep-2018","        107.15","        106.90","        108.50","        106.85","        107.95","        107.40","        107.79","      63880","             6885925.25","       1199","      47110","         73.75"
"GPPL","EQ","18-Sep-2018","        107.40","        107.50","        108.95","        104.10","        104.50","        104.40","        105.07","     722362","            75897619.25","       1285","     696169","         96.37"
"GPPL","EQ","19-Sep-2018","        104.40","        104.80","        106.20","        103.80","        105.30","        105.40","        105.35","      41649","             4387664.60","        624","      29180","         70.06"
"GPPL","EQ","21-Sep-2018","        105.40","        105.30","        106.90","        101.55","        102.50","        102.45","        103.82","     399048","            41429273.10","       5505","     322859","         80.91"
"GPPL","EQ","24-Sep-2018","        102.45","        105.00","        105.00","        101.10","        102.15","        102.15","        102.42","     102043","            10450829.90","       4565","      73249","         71.78"
"GPPL","EQ","25-Sep-2018","        102.15","        101.00","        102.45","         99.30","        100.50","        100.60","        100.96","    1597104","           161248910.00","       5697","    1568179","         98.19"
"GPPL","EQ","26-Sep-2018","        100.60","        102.00","        102.60","        100.25","        101.25","        101.00","        101.26","      23169","             2346190.20","        454","      13406","         57.86"
"GPPL","EQ","27-Sep-2018","        101.00","        101.60","        101.90","         99.80","        101.00","        101.20","        100.45","      80502","             8086318.60","       1454","      68389","         84.95"
"GPPL","EQ","28-Sep-2018","        101.20","        101.65","        103.00","         99.15","        101.60","        100.30","        100.48","     136880","            13753150.05","       3031","     104080","         76.04"
"GPPL","EQ","01-Oct-2018","        100.30","        100.00","        102.30","         99.60","        101.00","        101.10","        101.00","     887727","            89659636.30","       1260","     864795","         97.42"
"GPPL","EQ","03-Oct-2018","        101.10","        100.65","        108.20","        100.05","        103.40","        103.70","        105.20","     110056","            11577429.00","       1342","      75038","         68.18"
"GPPL","EQ","04-Oct-2018","        103.70","        101.10","        105.25","        101.00","        101.50","        101.80","        102.92","     149890","            15426006.50","       1662","     125382","         83.65"
"GPPL","EQ","05-Oct-2018","        101.80","        101.70","        103.00","        100.00","        100.90","        100.75","        101.79","      64478","             6563328.15","       1154","      48101","         74.60"
"GPPL","EQ","08-Oct-2018","        100.75","         98.20","        104.00","         98.00","        102.00","        102.10","        101.62","     127121","            12918641.65","       1915","     100199","         78.82"
"GPPL","EQ","09-Oct-2018","        102.10","        102.10","        102.55","         99.75","        100.55","        100.05","        101.29","     116183","            11768672.35","       1213","      96937","         83.43"
"GPPL","EQ","10-Oct-2018","        100.05","        100.90","        103.30","        100.85","        102.50","        102.10","        102.39","     114053","            11678009.65","       2757","      72416","         63.49"
"GPPL","EQ","11-Oct-2018","        102.10","         95.30","        102.75","         95.30","        102.05","        102.00","        101.72","     102462","            10422016.50","       2126","      71949","         70.22"
"GPPL","EQ","12-Oct-2018","        102.00","        102.30","        105.80","        100.50","        101.20","        102.20","        102.96","     357510","            36810155.10","       8571","     165058","         46.17"
"GPPL","EQ","15-Oct-2018","        102.20","        101.55","        105.00","        100.15","        104.90","        103.50","        103.77","     141460","            14679669.10","       3167","      77728","         54.95"
"GPPL","EQ","16-Oct-2018","        103.50","        104.15","        105.45","        101.55","        103.05","        102.90","        102.93","     209305","            21544760.35","       2822","     178380","         85.22"
"GPPL","EQ","17-Oct-2018","        102.90","        104.25","        104.50","        101.10","        101.10","        101.60","        103.41","     247731","            25616648.45","       2636","     234058","         94.48"
"GPPL","EQ","19-Oct-2018","        101.60","        101.10","        106.95","        101.05","        106.25","        105.80","        104.18","     216468","            22552670.50","       3668","     197196","         91.10"
"GPPL","EQ","22-Oct-2018","        105.80","        108.25","        108.25","        101.55","        102.35","        102.65","        103.99","     170820","            17763604.80","       3114","     121104","         70.90"
"GPPL","EQ","23-Oct-2018","        102.65","        102.35","        102.35","         99.45","         99.95","         99.80","        101.33","      62540","             6336882.80","       2543","      43910","         70.21"
"GPPL","EQ","24-Oct-2018","         99.80","        100.20","        102.00","         99.15","        100.30","        100.50","        100.97","     698099","            70484856.15","       1358","     658350","         94.31"
"GPPL","EQ","25-Oct-2018","        100.50","        100.30","        104.00","         99.30","        100.05","        100.05","        101.12","      78330","             7920855.00","       1842","      35866","         45.79"
"GPPL","EQ","26-Oct-2018","        100.05","        100.40","        102.80","         99.00","        100.85","        101.60","        101.11","      58299","             5894496.90","       1891","      41205","         70.68"
"GPPL","EQ","29-Oct-2018","        101.60","        103.00","        103.00","        100.10","        100.40","        100.70","        101.77","     356744","            36304953.80","       1982","     342788","         96.09"
"GPPL","EQ","30-Oct-2018","        100.70","        101.00","        104.10","        100.15","        102.00","        101.70","        101.90","     217266","            22139757.50","       4728","     164171","         75.56"
"GPPL","EQ","31-Oct-2018","        101.70","        103.45","        105.00","         99.40","         99.70","        100.00","        101.49","     565363","            57378637.10","       8311","     248697","         43.99"
"GPPL","EQ","01-Nov-2018","        100.00","        100.80","        101.75","         98.20","         98.90","         98.75","        100.05","     180559","            18064200.95","       2375","     136504","         75.60"
"GPPL","EQ","02-Nov-2018","         98.75","        100.00","        100.50","         98.00","         98.40","         98.35","         98.88","     226016","            22348482.95","       4368","     181618","         80.36"
"GPPL","EQ","05-Nov-2018","         98.35","         99.50","        100.80","         99.00","         99.55","         99.45","         99.71","     116862","            11651869.05","       2385","      89738","         76.79"
"GPPL","EQ","06-Nov-2018","         99.45","         99.70","        100.75","         99.00","         99.30","         99.60","         99.58","      81085","             8074803.65","       2290","      58726","         72.43"
"GPPL","EQ","07-Nov-2018","         99.60","        100.40","        100.95","         99.05","        100.75","        100.55","        100.38","      27151","             2725533.55","        262","      23457","         86.39"
"GPPL","EQ","09-Nov-2018","        100.55","        100.50","        103.75","        100.00","        101.90","        102.15","        101.78","     144010","            14656721.00","       4852","     103584","         71.93"
"GPPL","EQ","12-Nov-2018","        102.15","        101.90","        103.35","        101.00","        101.10","        101.20","        101.67","      61755","             6278374.85","       1357","      38244","         61.93"
"GPPL","EQ","13-Nov-2018","        101.20","        100.60","        101.85","         99.80","        100.50","        100.25","        100.57","      55275","             5558875.80","       1761","      27714","         50.14"
"GPPL","EQ","14-Nov-2018","        100.25","        100.50","        100.90","         98.10","         98.95","         98.60","         99.31","     365981","            36344897.75","       3415","     335027","         91.54"
"GPPL","EQ","15-Nov-2018","         98.60","         99.05","         99.70","         97.60","         97.65","         97.90","         98.27","      29453","             2894408.85","        692","      20628","         70.04"
"GPPL","EQ","16-Nov-2018","         97.90","         99.35","         99.35","         97.70","         98.00","         98.35","         98.54","     126280","            12443203.80","       4694","     100051","         79.23"
"GPPL","EQ","19-Nov-2018","         98.35","         98.00","         98.65","         96.10","         97.75","         97.75","         97.85","     145261","            14214406.95","       1285","     118789","         81.78"
"GPPL","EQ","20-Nov-2018","         97.75","         97.55","         98.50","         95.20","         95.85","         95.95","         96.71","      63831","             6173069.75","       1292","      46060","         72.16"
"GPPL","EQ","21-Nov-2018","         95.95","         96.05","         96.90","         95.00","         95.95","         95.95","         95.96","      77161","             7404363.20","       1040","      62498","         81.00"
"GPPL","EQ","22-Nov-2018","         95.95","         96.85","         97.75","         95.45","         96.80","         96.00","         96.06","     134149","            12885795.65","        826","     122430","         91.26"
"GPPL","EQ","26-Nov-2018","         96.00","         96.60","         97.50","         95.80","         96.05","         96.25","         96.59","      55902","             5399540.60","       1643","      31634","         56.59"
"GPPL","EQ","27-Nov-2018","         96.25","         97.50","         97.50","         95.85","         97.00","         96.80","         96.30","     335784","            32334353.75","       1874","     310465","         92.46"
"GPPL","EQ","28-Nov-2018","         96.80","         96.40","         97.90","         95.65","         97.05","         97.15","         96.56","     386780","            37348828.50","        980","     371500","         96.05"
"GPPL","EQ","29-Nov-2018","         97.15","         97.40","         99.50","         95.35","         97.00","         96.90","         97.16","    1129058","           109700744.95","       1747","    1047194","         92.75"
"GPPL","EQ","30-Nov-2018","         96.90","         96.95","         97.65","         94.50","         96.00","         95.00","         95.45","     103655","             9893664.00","       3484","      66788","         64.43"
"GPPL","EQ","03-Dec-2018","         95.00","         95.50","         96.00","         95.00","         95.25","         95.55","         95.48","      34104","             3256094.70","       1010","      21547","         63.18"
"GPPL","EQ","04-Dec-2018","         95.55","         95.75","         96.40","         94.35","         94.80","         94.70","         95.01","     583757","            55464283.15","       3627","     562999","         96.44"
"GPPL","EQ","05-Dec-2018","         94.70","         95.00","         95.05","         91.85","         92.70","         92.90","         92.97","      74609","             6936258.35","       4803","      46143","         61.85"
"GPPL","EQ","06-Dec-2018","         92.90","         92.50","         93.95","         90.20","         93.10","         93.80","         92.04","     112285","            10334338.85","       3567","      68906","         61.37"
"GPPL","EQ","07-Dec-2018","         93.80","         93.70","         96.35","         92.45","         96.00","         96.10","         94.73","     132196","            12523274.25","       5175","     103313","         78.15"
"GPPL","EQ","10-Dec-2018","         96.10","         95.00","         95.75","         93.50","         93.95","         94.60","         94.80","      78990","             7488047.15","       3578","      60023","         75.99"
"GPPL","EQ","11-Dec-2018","         94.60","         94.00","         94.75","         92.35","         93.50","         93.60","         93.80","      21807","             2045602.25","       1379","      13237","         60.70"
"GPPL","EQ","12-Dec-2018","         93.60","         95.00","        106.80","         93.75","        101.80","        102.90","        101.73","     209787","            21342640.95","       3896","     132654","         63.23"
"GPPL","EQ","13-Dec-2018","        102.90","        103.00","        104.65","        100.50","        102.25","        102.35","        102.38","     159577","            16338239.95","       2439","      90291","         56.58"
"GPPL","EQ","14-Dec-2018","        102.35","        101.15","        103.20","        100.15","        102.00","        102.00","        101.58","     102991","            10462012.90","       1962","      44790","         43.49"
"GPPL","EQ","17-Dec-2018","        102.00","        102.95","        102.95","        100.80","        101.45","        101.40","        101.46","      92484","             9383762.75","        855","      72535","         78.43"
"GPPL","EQ","18-Dec-2018","        101.40","        101.60","        102.40","        100.65","        101.45","        101.45","        101.31","     404399","            40971588.40","       1321","     381265","         94.28"
"GPPL","EQ","19-Dec-2018","        101.45","        101.45","        104.60","        101.10","        103.80","        103.70","        103.39","     120904","            12499909.25","       1534","      82530","         68.26"
"GPPL","EQ","20-Dec-2018","        103.70","        103.70","        106.00","        101.80","        102.05","        102.10","        102.44","      77211","             7909627.85","       2540","      59537","         77.11"
"GPPL","EQ","21-Dec-2018","        102.10","        102.40","        104.70","        100.05","        103.00","        102.60","        101.95","      76861","             7835907.50","       1632","      55299","         71.95"
"GPPL","EQ","24-Dec-2018","        102.60","        102.70","        104.15","        102.05","        103.00","        103.50","        103.02","      75955","             7824749.00","        899","      59859","         78.81"
"GPPL","EQ","26-Dec-2018","        103.50","        102.00","        105.00","        100.55","        104.00","        103.50","        102.10","      93405","             9536707.95","        818","      73090","         78.25"
"GPPL","EQ","27-Dec-2018","        103.50","        102.45","        104.50","        101.10","        101.50","        101.50","        102.20","      55809","             5703520.10","       1290","      36258","         64.97"
"GPPL","EQ","28-Dec-2018","        101.50","        101.35","        103.55","        101.00","        102.50","        102.25","        102.40","      30524","             3125530.35","        442","      18953","         62.09"
"GPPL","EQ","31-Dec-2018","        102.25","        103.00","        103.05","        101.40","        103.00","        102.65","        102.54","      91632","             9396119.55","       2838","      72772","         79.42"
"GPPL","EQ","01-Jan-2019","        102.65","        102.65","        104.00","        101.75","        102.20","        102.35","        102.87","      33291","             3424784.00","        540","      14422","         43.32"
"GPPL","EQ","02-Jan-2019","        102.35","        102.15","        104.00","        102.00","        102.35","        102.05","        102.93","      55698","             5732965.60","        831","      36704","         65.90"
"GPPL","EQ","03-Jan-2019","        102.05","        102.55","        103.75","        100.70","        101.65","        101.70","        102.14","      59619","             6089224.40","       2350","      34236","         57.42"
"GPPL","EQ","04-Jan-2019","        101.70","        101.50","        102.65","        100.20","        100.50","        100.45","        101.29","      25157","             2548240.80","        683","      13301","         52.87"
"GPPL","EQ","07-Jan-2019","        100.45","        100.95","        101.45","         94.35","         95.45","         95.30","         96.66","     196331","            18978273.40","       2867","     143327","         73.00"
"GPPL","EQ","08-Jan-2019","         95.30","         95.70","         97.95","         95.50","         96.30","         95.75","         96.70","     106460","            10294596.75","       2420","      51538","         48.41"
"GPPL","EQ","09-Jan-2019","         95.75","         95.90","         96.75","         94.80","         95.60","         95.15","         95.34","      76116","             7257149.15","       2365","      62303","         81.85"
"GPPL","EQ","10-Jan-2019","         95.15","         96.00","         96.00","         93.05","         93.10","         93.40","         94.31","      72074","             6796964.15","       2826","      59025","         81.89"
"GPPL","EQ","11-Jan-2019","         93.40","         93.70","         94.20","         91.50","         91.75","         91.85","         92.35","      89247","             8241808.45","       3901","      72040","         80.72"
"GPPL","EQ","14-Jan-2019","         91.85","         92.00","         92.40","         89.85","         90.05","         90.30","         90.07","     838607","            75531418.70","       2224","     789615","         94.16"
"GPPL","EQ","15-Jan-2019","         90.30","         91.10","         91.15","         89.10","         89.60","         89.85","         89.94","      81328","             7314842.35","        862","      59856","         73.60"
"GPPL","EQ","16-Jan-2019","         89.85","         90.00","         96.70","         90.00","         95.75","         95.95","         94.20","    1464806","           137991430.20","       7487","    1217415","         83.11"
"GPPL","EQ","17-Jan-2019","         95.95","         95.95","         97.40","         93.55","         93.70","         93.75","         95.23","     138236","            13164345.20","       1778","      60650","         43.87"
"GPPL","EQ","18-Jan-2019","         93.75","         94.05","         94.05","         92.00","         92.45","         92.40","         92.83","      85259","             7914479.25","       3169","      60940","         71.48"
"GPPL","EQ","21-Jan-2019","         92.40","         93.40","         93.40","         89.20","         90.45","         89.85","         90.99","    1409383","           128239184.95","       1630","    1341449","         95.18"
"GPPL","EQ","22-Jan-2019","         89.85","         91.05","         91.10","         85.80","         88.00","         86.75","         88.13","     165180","            14557398.40","       2281","     116138","         70.31"
"GPPL","EQ","23-Jan-2019","         86.75","         87.10","         88.80","         87.10","         87.80","         87.65","         88.10","      37942","             3342716.20","        881","      23875","         62.92"
"GPPL","EQ","24-Jan-2019","         87.65","         88.80","         88.95","         86.50","         88.00","         87.75","         87.97","      65309","             5745399.60","       1597","      29743","         45.54"
"GPPL","EQ","25-Jan-2019","         87.75","         88.00","         91.50","         87.30","         89.00","         88.95","         89.86","     100175","             9001850.45","       2430","      54483","         54.39"
"GPPL","EQ","28-Jan-2019","         88.95","         89.05","         90.00","         83.80","         89.90","         86.10","         86.68","     158507","            13738884.95","       1698","     104915","         66.19"
"GPPL","EQ","29-Jan-2019","         86.10","         87.00","         89.00","         86.40","         88.00","         87.90","         87.42","      62835","             5493197.80","       2082","      40512","         64.47"
"GPPL","EQ","30-Jan-2019","         87.90","         88.90","         89.30","         85.05","         85.50","         85.65","         86.86","     201891","            17536117.50","       6759","      93050","         46.09"
"GPPL","EQ","31-Jan-2019","         85.65","         87.05","         88.20","         84.50","         84.60","         84.95","         85.38","     367038","            31338175.85","       4226","     302945","         82.54"
"GPPL","EQ","01-Feb-2019","         84.95","         87.00","         87.00","         84.00","         85.00","         85.00","         84.84","     115364","             9787932.05","       2316","      84684","         73.41"
"GPPL","EQ","04-Feb-2019","         85.00","         85.00","         85.45","         81.15","         83.00","         82.85","         83.49","      58197","             4859059.20","       1000","      30255","         51.99"
"GPPL","EQ","05-Feb-2019","         82.85","         84.00","         84.00","         82.00","         83.10","         83.00","         82.61","      45284","             3740905.25","        629","      26993","         59.61"
"GPPL","EQ","06-Feb-2019","         83.00","         83.00","         83.70","         81.55","         83.45","         83.50","         83.34","     812203","            67690535.70","       1803","     791889","         97.50"
"GPPL","EQ","07-Feb-2019","         83.50","         83.05","         83.50","         82.50","         82.70","         82.60","         82.98","     446019","            37009592.10","       1115","     422517","         94.73"
"GPPL","EQ","08-Feb-2019","         82.60","         82.60","         82.60","         81.40","         81.80","         81.65","         81.87","      34841","             2852458.95","        833","      25568","         73.38"
"GPPL","EQ","11-Feb-2019","         81.65","         81.65","         81.90","         80.00","         81.90","         81.15","         80.06","     547929","            43867700.15","       1192","     531778","         97.05"
"GPPL","EQ","12-Feb-2019","         81.15","         81.15","         81.15","         78.45","         78.55","         78.90","         79.85","      72726","             5807532.25","       4970","      59552","         81.89"
"GPPL","EQ","13-Feb-2019","         78.90","         79.20","         79.80","         78.00","         79.40","         78.90","         78.93","      38306","             3023531.40","        700","      22773","         59.45"
"GPPL","EQ","14-Feb-2019","         78.90","         78.80","         78.80","         77.00","         77.80","         77.40","         78.00","      55691","             4343909.85","        831","      40731","         73.14"
"GPPL","EQ","15-Feb-2019","         77.40","         77.45","         79.95","         77.45","         78.90","         79.35","         78.33","     382912","            29995259.50","       1379","     358779","         93.70"
"GPPL","EQ","18-Feb-2019","         79.35","         79.35","         80.45","         77.20","         78.35","         79.05","         78.84","      47160","             3718253.00","        661","      20589","         43.66"
"GPPL","EQ","19-Feb-2019","         79.05","         78.30","         79.75","         78.20","         79.15","         79.30","         79.17","      28284","             2239183.35","        479","      14496","         51.25"
