"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRAPHITE","EQ","11-Sep-2018","        994.25","       1000.00","       1025.00","        995.45","       1001.00","       1001.65","       1007.64","     509542","           513434856.35","      21796","     215485","         42.29"
"GRAPHITE","EQ","12-Sep-2018","       1001.65","       1004.00","       1017.20","        998.00","       1008.50","       1010.60","       1006.02","     501462","           504481726.35","      17636","     211653","         42.21"
"GRAPHITE","EQ","14-Sep-2018","       1010.60","       1010.60","       1016.95","       1002.00","       1002.35","       1004.80","       1007.53","     317317","           319704854.85","      10753","     187514","         59.09"
"GRAPHITE","EQ","17-Sep-2018","       1004.80","       1000.20","       1014.00","        989.00","        990.30","        992.10","        999.15","     317766","           317494373.60","      12888","     173351","         54.55"
"GRAPHITE","EQ","18-Sep-2018","        992.10","        993.00","       1013.00","        982.00","        987.20","        986.25","       1003.09","    1096161","          1099550673.95","      17783","     842920","         76.90"
"GRAPHITE","EQ","19-Sep-2018","        986.25","        985.00","       1000.00","        941.00","        956.95","        953.95","        974.19","     465116","           453109316.85","      18994","     255463","         54.92"
"GRAPHITE","EQ","21-Sep-2018","        953.95","        920.00","        981.00","        906.30","        952.00","        956.10","        948.19","    1217759","          1154672330.05","      40626","     540102","         44.35"
"GRAPHITE","EQ","24-Sep-2018","        956.10","        960.00","        963.85","        908.30","        908.30","        908.30","        917.96","     555380","           509814349.00","      40787","     318605","         57.37"
"GRAPHITE","EQ","25-Sep-2018","        908.30","        895.00","        895.00","        862.90","        862.90","        862.90","        867.40","     543688","           471595796.10","      13594","     258256","         47.50"
"GRAPHITE","EQ","26-Sep-2018","        862.90","        860.00","        895.00","        835.00","        842.00","        845.70","        858.17","     782746","           671729895.60","      34054","     480099","         61.34"
"GRAPHITE","EQ","27-Sep-2018","        845.70","        844.90","        860.00","        804.00","        807.40","        807.35","        827.14","     628528","           519882547.65","      30482","     349480","         55.60"
"GRAPHITE","EQ","28-Sep-2018","        807.35","        815.00","        847.70","        781.00","        847.70","        843.30","        818.52","     848546","           694555798.70","      28487","     448634","         52.87"
"GRAPHITE","EQ","01-Oct-2018","        843.30","        848.00","        870.00","        805.15","        853.00","        854.35","        831.55","     656238","           545694773.85","      29347","     235079","         35.82"
"GRAPHITE","EQ","03-Oct-2018","        854.35","        856.40","        873.00","        825.00","        848.30","        846.75","        852.23","     387819","           330511976.10","      16732","     178709","         46.08"
"GRAPHITE","EQ","04-Oct-2018","        846.75","        832.00","        835.00","        805.00","        809.00","        810.60","        815.88","     432589","           352940826.80","      17961","     199718","         46.17"
"GRAPHITE","EQ","05-Oct-2018","        810.60","        809.00","        824.00","        785.30","        790.00","        803.10","        811.14","     348742","           282879322.20","      18096","     194670","         55.82"
"GRAPHITE","EQ","08-Oct-2018","        803.10","        794.00","        818.60","        765.00","        790.95","        788.80","        791.86","     649628","           514411608.80","      36535","     371035","         57.11"
"GRAPHITE","EQ","09-Oct-2018","        788.80","        799.90","        808.40","        781.55","        790.85","        790.40","        794.37","     449647","           357184231.45","      16688","     276481","         61.49"
"GRAPHITE","EQ","10-Oct-2018","        790.40","        829.90","        829.90","        829.90","        829.90","        829.90","        829.90","      99525","            82595797.50","       1424","      98578","         99.05"
"GRAPHITE","EQ","11-Oct-2018","        829.90","        871.35","        871.35","        861.35","        871.35","        871.35","        871.24","     862103","           751094309.10","       4818","     759052","         88.05"
"GRAPHITE","EQ","12-Oct-2018","        871.35","        914.90","        914.90","        914.90","        914.90","        914.90","        914.90","      86446","            79089445.40","        924","      86442","        100.00"
"GRAPHITE","EQ","15-Oct-2018","        914.90","        960.60","        960.60","        960.60","        960.60","        960.60","        960.60","     111134","           106755320.40","       1305","     111119","         99.99"
"GRAPHITE","EQ","16-Oct-2018","        960.60","        994.00","       1008.60","        980.00","       1008.60","       1008.60","        999.92","     996319","           996235503.70","      28467","     487996","         48.98"
"GRAPHITE","EQ","17-Oct-2018","       1008.60","       1059.00","       1059.00","        976.60","       1032.10","       1013.10","       1038.10","    1141320","          1184799842.80","      27023","     497833","         43.62"
"GRAPHITE","EQ","19-Oct-2018","       1013.10","       1024.00","       1049.00","        981.10","       1040.00","       1035.85","       1018.87","    1030745","          1050198862.25","      59509","     396484","         38.47"
"GRAPHITE","EQ","22-Oct-2018","       1035.85","       1057.00","       1062.00","        995.00","       1009.00","       1004.85","       1028.71","     538857","           554328191.25","      33616","     219091","         40.66"
"GRAPHITE","EQ","23-Oct-2018","       1004.85","        980.00","       1028.00","        954.65","        955.10","        957.90","        979.47","     958596","           938920248.60","      46616","     394221","         41.12"
"GRAPHITE","EQ","24-Oct-2018","        957.90","        961.05","        977.00","        914.00","        922.75","        922.75","        934.76","     702134","           656324113.30","      45687","     304184","         43.32"
"GRAPHITE","EQ","25-Oct-2018","        922.75","        885.20","        958.00","        885.20","        941.40","        941.40","        918.23","     760735","           698531005.90","      37350","     279284","         36.71"
"GRAPHITE","EQ","26-Oct-2018","        941.40","        941.00","        963.40","        913.20","        920.65","        921.95","        943.24","     749702","           707151243.65","      34323","     286097","         38.16"
"GRAPHITE","EQ","29-Oct-2018","        921.95","        968.00","        968.00","        925.00","        968.00","        959.55","        957.65","    2124205","          2034242576.55","      58413","     614736","         28.94"
"GRAPHITE","EQ","30-Oct-2018","        959.55","        971.80","        990.95","        961.15","        962.00","        965.45","        976.38","    1036436","          1011954414.05","      33836","     311825","         30.09"
"GRAPHITE","EQ","31-Oct-2018","        965.45","        969.00","        969.00","        941.00","        951.15","        951.65","        957.28","     593228","           567886602.25","      23746","     210467","         35.48"
"GRAPHITE","EQ","01-Nov-2018","        951.65","        999.95","       1034.40","        975.05","        996.50","        994.30","       1006.42","    1506646","          1516323977.25","      57045","     496863","         32.98"
"GRAPHITE","EQ","02-Nov-2018","        994.30","       1006.95","       1006.95","        975.00","        981.00","        978.70","        990.64","     534816","           529811252.55","      25365","     267131","         49.95"
"GRAPHITE","EQ","05-Nov-2018","        978.70","        983.95","        996.00","        953.00","        973.00","        969.80","        974.28","     654533","           637699599.85","      34709","     325186","         49.68"
"GRAPHITE","EQ","06-Nov-2018","        969.80","        977.90","        999.90","        951.60","        982.05","        981.10","        982.18","    1722192","          1691494454.30","      68295","     419169","         24.34"
"GRAPHITE","EQ","07-Nov-2018","        981.10","        994.00","        999.00","        990.00","        995.00","        994.70","        994.72","     340328","           338531627.00","      10643","     151934","         44.64"
"GRAPHITE","EQ","09-Nov-2018","        994.70","       1003.15","       1003.80","        980.00","        994.00","        994.15","        994.27","     550165","           547010407.60","      21017","     268842","         48.87"
"GRAPHITE","EQ","12-Nov-2018","        994.15","        998.00","       1024.00","        994.20","        996.00","        997.75","       1006.88","     866092","           872050609.45","      29632","     329767","         38.08"
"GRAPHITE","EQ","13-Nov-2018","        997.75","        995.00","       1016.10","        985.20","       1011.90","       1010.60","       1005.83","     506299","           509249431.10","      27055","     247680","         48.92"
"GRAPHITE","EQ","14-Nov-2018","       1010.60","       1017.00","       1019.75","        997.00","       1000.00","        999.80","       1005.61","     411872","           414183351.55","      18397","     204964","         49.76"
"GRAPHITE","EQ","15-Nov-2018","        999.80","        985.00","        992.75","        952.90","        985.30","        985.05","        985.24","     374509","           368982346.85","      18166","     173900","         46.43"
"GRAPHITE","EQ","16-Nov-2018","        985.05","        986.25","        992.00","        970.00","        971.00","        973.95","        979.09","     415717","           407022534.45","      16445","     161358","         38.81"
"GRAPHITE","EQ","19-Nov-2018","        973.95","        973.95","        988.00","        964.30","        966.45","        967.85","        977.78","     367319","           359158826.20","      14446","     138026","         37.58"
"GRAPHITE","EQ","20-Nov-2018","        967.85","        980.00","        990.40","        975.00","        982.00","        980.65","        982.22","     456296","           448183988.15","      17160","     227399","         49.84"
"GRAPHITE","EQ","21-Nov-2018","        980.65","        979.70","        984.00","        972.00","        974.00","        974.10","        976.95","     306554","           299489456.30","      21333","     159548","         52.05"
"GRAPHITE","EQ","22-Nov-2018","        974.10","        975.00","        975.00","        952.05","        954.00","        955.50","        963.77","     255472","           246216987.00","      15419","     147892","         57.89"
"GRAPHITE","EQ","26-Nov-2018","        955.50","        958.70","        961.70","        931.65","        937.20","        937.45","        942.75","     305717","           288214368.15","      13545","     125134","         40.93"
"GRAPHITE","EQ","27-Nov-2018","        937.45","        937.00","        969.00","        924.00","        943.60","        945.00","        952.41","     492075","           468657621.30","      24662","     160627","         32.64"
"GRAPHITE","EQ","28-Nov-2018","        945.00","        945.00","        955.00","        921.00","        924.00","        923.75","        936.83","     231973","           217318455.15","      10458","     109010","         46.99"
"GRAPHITE","EQ","29-Nov-2018","        923.75","        928.80","        949.00","        918.00","        934.00","        933.65","        933.82","     300004","           280149625.05","      12242","     144968","         48.32"
"GRAPHITE","EQ","30-Nov-2018","        933.65","        939.70","        948.95","        931.00","        936.50","        934.85","        937.24","     392648","           368004558.30","      19720","     263025","         66.99"
"GRAPHITE","EQ","03-Dec-2018","        934.85","        936.00","        945.00","        926.00","        926.70","        931.95","        932.38","     529663","           493845403.65","      27541","     415990","         78.54"
"GRAPHITE","EQ","04-Dec-2018","        931.95","        934.40","        935.95","        913.50","        914.00","        916.55","        922.07","     364680","           336260946.75","      15543","     255912","         70.17"
"GRAPHITE","EQ","05-Dec-2018","        916.55","        905.00","        909.95","        881.10","        884.70","        884.65","        893.93","     372953","           333392114.80","      19013","     183895","         49.31"
"GRAPHITE","EQ","06-Dec-2018","        884.65","        878.00","        883.90","        850.00","        860.40","        863.10","        863.73","     467939","           404173450.00","      23554","     205594","         43.94"
"GRAPHITE","EQ","07-Dec-2018","        863.10","        872.00","        902.00","        869.00","        889.00","        892.35","        889.87","     630568","           561124182.40","      29908","     285427","         45.27"
"GRAPHITE","EQ","10-Dec-2018","        892.35","        869.40","        902.00","        862.50","        899.60","        898.85","        893.44","     572306","           511318314.90","      33612","     299945","         52.41"
"GRAPHITE","EQ","11-Dec-2018","        898.85","        881.00","        904.00","        876.10","        886.45","        886.30","        893.52","     326276","           291535316.75","      15956","     141224","         43.28"
