"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRINDWELL","EQ","11-Sep-2018","        514.35","        515.00","        520.60","        511.10","        513.20","        514.30","        515.45","       6929","             3571584.30","        735","       4498","         64.92"
"GRINDWELL","EQ","12-Sep-2018","        514.30","        515.15","        519.65","        502.00","        517.00","        517.00","        510.74","      11116","             5677397.30","        961","       6390","         57.48"
"GRINDWELL","EQ","14-Sep-2018","        517.00","        518.80","        532.00","        510.05","        528.00","        528.60","        524.74","      13367","             7014144.60","       1349","       9280","         69.42"
"GRINDWELL","EQ","17-Sep-2018","        528.60","        528.60","        532.00","        513.50","        532.00","        528.10","        523.31","      14885","             7789412.85","        729","       7353","         49.40"
"GRINDWELL","EQ","18-Sep-2018","        528.10","        531.25","        536.50","        521.40","        525.45","        523.05","        528.86","       7630","             4035220.15","        687","       4698","         61.57"
"GRINDWELL","EQ","19-Sep-2018","        523.05","        522.00","        528.20","        517.00","        517.00","        519.25","        523.59","       7734","             4049422.30","        599","       6062","         78.38"
"GRINDWELL","EQ","21-Sep-2018","        519.25","        516.70","        525.00","        500.00","        501.05","        504.45","        511.22","      16766","             8571093.35","        763","      10809","         64.47"
"GRINDWELL","EQ","24-Sep-2018","        504.45","        505.05","        505.50","        488.20","        505.00","        501.40","        497.42","      23729","            11803205.50","       1071","      15455","         65.13"
"GRINDWELL","EQ","25-Sep-2018","        501.40","        501.45","        512.00","        498.05","        512.00","        510.05","        502.60","       9462","             4755637.25","       1037","       7131","         75.36"
"GRINDWELL","EQ","26-Sep-2018","        510.05","        509.80","        512.95","        477.70","        482.05","        485.05","        494.02","      22986","            11355466.30","       1577","      19401","         84.40"
"GRINDWELL","EQ","27-Sep-2018","        485.05","        485.25","        507.50","        476.15","        500.00","        498.00","        489.95","      19755","             9678958.75","       1631","      12805","         64.82"
"GRINDWELL","EQ","28-Sep-2018","        498.00","        492.10","        514.00","        477.05","        513.90","        510.25","        501.41","      30181","            15133042.65","       2398","      20262","         67.13"
"GRINDWELL","EQ","01-Oct-2018","        510.25","        515.30","        515.30","        498.00","        504.85","        504.80","        503.77","       7655","             3856342.45","        580","       5636","         73.63"
"GRINDWELL","EQ","03-Oct-2018","        504.80","        500.05","        515.35","        500.00","        510.00","        506.10","        510.01","       9898","             5048047.25","       1523","       7689","         77.68"
"GRINDWELL","EQ","04-Oct-2018","        506.10","        505.90","        507.85","        480.00","        495.00","        504.60","        497.50","      36713","            18264814.25","       2662","      26845","         73.12"
"GRINDWELL","EQ","05-Oct-2018","        504.60","        509.90","        509.90","        479.60","        500.00","        497.45","        490.43","     294088","           144230140.90","       2895","     269330","         91.58"
"GRINDWELL","EQ","08-Oct-2018","        497.45","        496.90","        502.95","        470.45","        501.90","        500.50","        487.58","      23324","            11372328.15","       1882","      11330","         48.58"
"GRINDWELL","EQ","09-Oct-2018","        500.50","        493.05","        499.90","        483.10","        485.50","        489.90","        490.21","      56130","            27515445.15","       1130","      49211","         87.67"
"GRINDWELL","EQ","10-Oct-2018","        489.90","        487.55","        499.00","        485.35","        491.15","        493.95","        492.72","       5591","             2754809.05","        644","       2664","         47.65"
"GRINDWELL","EQ","11-Oct-2018","        493.95","        481.20","        503.50","        481.20","        486.70","        487.55","        492.56","       8967","             4416769.70","        622","       5138","         57.30"
"GRINDWELL","EQ","12-Oct-2018","        487.55","        494.85","        505.55","        491.00","        493.10","        496.15","        498.01","       6011","             2993566.00","        410","       4401","         73.22"
"GRINDWELL","EQ","15-Oct-2018","        496.15","        497.00","        510.00","        487.85","        510.00","        507.35","        500.43","       6902","             3453944.60","        578","       2941","         42.61"
"GRINDWELL","EQ","16-Oct-2018","        507.35","        505.00","        520.00","        502.85","        517.50","        517.60","        514.99","      10309","             5309057.60","        732","       5958","         57.79"
"GRINDWELL","EQ","17-Oct-2018","        517.60","        520.00","        522.55","        500.00","        501.00","        504.25","        513.89","      12104","             6220157.80","       1722","       5272","         43.56"
"GRINDWELL","EQ","19-Oct-2018","        504.25","        504.25","        514.00","        478.10","        510.00","        492.30","        493.61","      29470","            14546804.55","       1745","      16547","         56.15"
"GRINDWELL","EQ","22-Oct-2018","        492.30","        500.05","        505.00","        493.20","        494.50","        495.05","        495.63","       9602","             4759041.05","        349","       8201","         85.41"
"GRINDWELL","EQ","23-Oct-2018","        495.05","        495.75","        504.25","        481.50","        504.25","        499.05","        496.35","      14016","             6956793.95","        970","       7008","         50.00"
"GRINDWELL","EQ","24-Oct-2018","        499.05","        501.75","        502.15","        490.00","        490.60","        492.60","        498.56","       5711","             2847268.20","        514","       4274","         74.84"
"GRINDWELL","EQ","25-Oct-2018","        492.60","        485.30","        493.00","        485.30","        488.60","        489.15","        490.32","       8254","             4047126.20","        456","       7333","         88.84"
"GRINDWELL","EQ","26-Oct-2018","        489.15","        485.85","        490.00","        473.00","        475.00","        479.20","        483.56","       9447","             4568203.80","       1251","       5901","         62.46"
"GRINDWELL","EQ","29-Oct-2018","        479.20","        480.95","        496.80","        472.00","        495.00","        486.35","        479.38","      23039","            11044485.00","       1726","      10811","         46.92"
"GRINDWELL","EQ","30-Oct-2018","        486.35","        490.00","        491.60","        481.10","        484.00","        484.95","        485.00","      12214","             5923777.45","        771","       7858","         64.34"
"GRINDWELL","EQ","31-Oct-2018","        484.95","        487.00","        512.00","        479.00","        495.20","        497.05","        491.76","      22969","            11295198.35","       1223","      15834","         68.94"
"GRINDWELL","EQ","01-Nov-2018","        497.05","        499.90","        505.00","        490.05","        492.00","        493.70","        496.71","       8273","             4109263.60","        935","       5238","         63.31"
