"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HEIDELBERG","EQ","11-Sep-2018","        164.65","        163.40","        174.90","        163.40","        167.70","        166.90","        169.98","     583359","            99161149.10","       8388","     164090","         28.13"
"HEIDELBERG","EQ","12-Sep-2018","        166.90","        164.05","        165.40","        160.55","        162.30","        162.75","        162.72","     105163","            17111894.70","       2176","      51560","         49.03"
"HEIDELBERG","EQ","14-Sep-2018","        162.75","        162.00","        164.25","        159.00","        161.00","        161.55","        161.41","     172460","            27837059.15","       7005","      88200","         51.14"
"HEIDELBERG","EQ","17-Sep-2018","        161.55","        160.95","        162.00","        159.00","        159.80","        159.55","        160.39","      74701","            11980997.15","       1805","      27606","         36.96"
"HEIDELBERG","EQ","18-Sep-2018","        159.55","        160.80","        160.80","        157.05","        158.90","        158.30","        158.55","      57992","             9194469.45","       2044","      25307","         43.64"
"HEIDELBERG","EQ","19-Sep-2018","        158.30","        158.50","        159.90","        155.00","        155.90","        155.65","        157.43","     102399","            16120475.30","       2076","      35818","         34.98"
"HEIDELBERG","EQ","21-Sep-2018","        155.65","        158.95","        160.85","        143.95","        153.65","        153.25","        152.61","     221525","            33806638.20","       3852","      84729","         38.25"
"HEIDELBERG","EQ","24-Sep-2018","        153.25","        152.00","        154.55","        145.00","        147.80","        148.50","        148.87","     136877","            20376829.00","       4920","      62572","         45.71"
"HEIDELBERG","EQ","25-Sep-2018","        148.50","        148.45","        150.00","        144.50","        146.50","        146.70","        147.09","      77295","            11369210.35","       2965","      36792","         47.60"
"HEIDELBERG","EQ","26-Sep-2018","        146.70","        150.00","        150.00","        143.30","        144.15","        145.40","        146.07","     137478","            20081667.35","       2701","      49273","         35.84"
"HEIDELBERG","EQ","27-Sep-2018","        145.40","        146.00","        153.95","        145.15","        148.00","        146.95","        150.02","     550175","            82539224.90","       6072","      70128","         12.75"
"HEIDELBERG","EQ","28-Sep-2018","        146.95","        148.15","        148.15","        143.00","        144.80","        143.95","        145.77","     114924","            16752973.55","       3563","      66620","         57.97"
"HEIDELBERG","EQ","01-Oct-2018","        143.95","        144.70","        148.00","        134.85","        146.10","        145.65","        140.64","     194253","            27320274.40","       8839","      96072","         49.46"
"HEIDELBERG","EQ","03-Oct-2018","        145.65","        147.70","        147.70","        136.10","        139.80","        138.60","        140.83","     159777","            22500864.05","       4831","     106715","         66.79"
"HEIDELBERG","EQ","04-Oct-2018","        138.60","        135.00","        139.45","        135.00","        139.00","        137.45","        137.24","     203773","            27965590.50","       2891","     136317","         66.90"
"HEIDELBERG","EQ","05-Oct-2018","        137.45","        137.55","        140.40","        134.50","        137.15","        136.05","        137.44","     159593","            21933865.50","       2237","     111854","         70.09"
"HEIDELBERG","EQ","08-Oct-2018","        136.05","        136.15","        139.75","        135.15","        138.75","        138.25","        137.66","     114818","            15806332.45","       2853","      73521","         64.03"
"HEIDELBERG","EQ","09-Oct-2018","        138.25","        139.00","        139.80","        135.95","        139.50","        139.00","        138.07","      81626","            11269993.50","       1684","      45504","         55.75"
"HEIDELBERG","EQ","10-Oct-2018","        139.00","        140.95","        143.00","        138.65","        142.25","        142.15","        141.15","      81513","            11505758.80","       1998","      42665","         52.34"
"HEIDELBERG","EQ","11-Oct-2018","        142.15","        136.55","        139.25","        136.55","        138.50","        137.40","        137.87","     117334","            16177077.80","       3838","      79476","         67.73"
"HEIDELBERG","EQ","12-Oct-2018","        137.40","        137.85","        141.45","        137.85","        139.50","        139.90","        139.74","     183286","            25611993.20","      10672","     112027","         61.12"
"HEIDELBERG","EQ","15-Oct-2018","        139.90","        141.70","        144.90","        140.60","        144.90","        143.80","        142.73","      58531","             8354120.00","       1930","      32329","         55.23"
"HEIDELBERG","EQ","16-Oct-2018","        143.80","        146.00","        149.50","        143.30","        145.00","        145.20","        146.33","     133907","            19594859.70","       2435","      56439","         42.15"
"HEIDELBERG","EQ","17-Oct-2018","        145.20","        150.00","        150.00","        143.50","        145.90","        144.55","        146.46","      71368","            10452697.60","       2329","      29554","         41.41"
"HEIDELBERG","EQ","19-Oct-2018","        144.55","        147.45","        147.45","        136.95","        137.65","        138.45","        141.07","     310142","            43752148.40","       5268","     284070","         91.59"
"HEIDELBERG","EQ","22-Oct-2018","        138.45","        138.40","        138.70","        127.20","        128.90","        128.15","        131.85","     189807","            25026453.85","       8934","     117060","         61.67"
"HEIDELBERG","EQ","23-Oct-2018","        128.15","        127.00","        130.80","        124.25","        125.05","        125.05","        126.71","     141765","            17962894.65","       4893","      98559","         69.52"
"HEIDELBERG","EQ","24-Oct-2018","        125.05","        125.60","        128.05","        121.50","        123.25","        122.55","        124.11","     157253","            19516757.00","       6525","      91374","         58.11"
"HEIDELBERG","EQ","25-Oct-2018","        122.55","        122.55","        133.00","        121.90","        131.00","        129.60","        127.66","     183876","            23472926.25","       3220","      82856","         45.06"
"HEIDELBERG","EQ","26-Oct-2018","        129.60","        133.65","        137.90","        130.40","        137.00","        134.90","        134.27","     716149","            96156521.35","      12102","     147348","         20.58"
"HEIDELBERG","EQ","29-Oct-2018","        134.90","        134.90","        139.50","        134.25","        136.65","        137.00","        137.01","     129750","            17777478.00","       2947","      66843","         51.52"
"HEIDELBERG","EQ","30-Oct-2018","        137.00","        137.70","        147.40","        136.80","        145.85","        145.55","        142.29","     284543","            40488712.75","      12739","     124307","         43.69"
