"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HERITGFOOD","EQ","11-Sep-2018","        579.55","        588.55","        588.55","        576.00","        576.00","        578.50","        582.06","      16563","             9640612.65","        818","      12744","         76.94"
"HERITGFOOD","EQ","12-Sep-2018","        578.50","        578.55","        584.85","        560.00","        572.00","        570.05","        568.97","      19594","            11148402.65","        832","      14768","         75.37"
"HERITGFOOD","EQ","14-Sep-2018","        570.05","        572.00","        578.15","        567.75","        572.50","        574.70","        575.50","       7096","             4083713.20","        399","       4991","         70.34"
"HERITGFOOD","EQ","17-Sep-2018","        574.70","        570.00","        576.45","        565.00","        569.70","        568.45","        568.74","       8900","             5061796.70","        583","       5986","         67.26"
"HERITGFOOD","EQ","18-Sep-2018","        568.45","        571.20","        575.00","        567.00","        575.00","        570.70","        570.42","       9292","             5300382.80","        332","       7344","         79.04"
"HERITGFOOD","EQ","19-Sep-2018","        570.70","        567.35","        570.75","        551.00","        556.90","        555.30","        556.84","      26754","            14897777.20","       1028","      21723","         81.20"
"HERITGFOOD","EQ","21-Sep-2018","        555.30","        564.00","        564.00","        549.00","        554.00","        552.80","        552.65","      20612","            11391227.75","       1075","      15349","         74.47"
"HERITGFOOD","EQ","24-Sep-2018","        552.80","        552.00","        552.00","        505.15","        528.95","        524.85","        525.85","      30375","            15972763.05","       2012","      22602","         74.41"
"HERITGFOOD","EQ","25-Sep-2018","        524.85","        524.85","        549.40","        505.60","        549.40","        539.85","        519.72","      14218","             7389387.35","        951","       9044","         63.61"
"HERITGFOOD","EQ","26-Sep-2018","        539.85","        531.00","        538.15","        527.20","        527.20","        528.85","        530.86","       6129","             3253641.75","        398","       4719","         76.99"
"HERITGFOOD","EQ","27-Sep-2018","        528.85","        539.00","        539.00","        510.10","        514.60","        514.00","        517.21","      11809","             6107744.25","       1054","       7892","         66.83"
"HERITGFOOD","EQ","28-Sep-2018","        514.00","        514.00","        524.00","        500.80","        515.40","        510.00","        505.64","      19038","             9626306.25","       1138","      13135","         68.99"
"HERITGFOOD","EQ","01-Oct-2018","        510.00","        514.95","        525.00","        501.00","        505.00","        504.85","        505.74","      10310","             5214202.30","        518","       7928","         76.90"
"HERITGFOOD","EQ","03-Oct-2018","        504.85","        496.00","        511.90","        496.00","        509.00","        504.55","        505.98","      19012","             9619610.95","        530","      16084","         84.60"
"HERITGFOOD","EQ","04-Oct-2018","        504.55","        490.00","        511.00","        490.00","        505.70","        507.55","        499.69","      11662","             5827418.00","        805","       8152","         69.90"
"HERITGFOOD","EQ","05-Oct-2018","        507.55","        502.60","        502.65","        490.00","        490.30","        492.35","        494.89","       9130","             4518339.10","        600","       4787","         52.43"
"HERITGFOOD","EQ","08-Oct-2018","        492.35","        500.00","        500.00","        458.00","        470.00","        461.95","        470.99","      15661","             7376204.10","       1105","      10367","         66.20"
"HERITGFOOD","EQ","09-Oct-2018","        461.95","        471.15","        510.00","        451.10","        484.95","        488.20","        475.93","      22536","            10725632.40","       1286","      13194","         58.55"
"HERITGFOOD","EQ","10-Oct-2018","        488.20","        497.40","        505.90","        473.45","        500.05","        500.55","        497.94","      62075","            30909387.05","       1898","      55103","         88.77"
"HERITGFOOD","EQ","11-Oct-2018","        500.55","        499.00","        508.15","        480.60","        505.00","        504.05","        492.54","      27249","            13421114.85","       1580","      15293","         56.12"
