"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HHOF1140RG","MF","11-Sep-2018","          8.45","          8.31","          8.50","          8.31","          8.32","          8.36","          8.36","      22600","              189036.00","         20","      20500","         90.71"
"HHOF1140RG","MF","14-Sep-2018","          8.36","          9.00","          9.00","          8.35","          8.35","          8.35","          8.91","        580","                5168.00","          2","        580","        100.00"
"HHOF1140RG","MF","17-Sep-2018","          8.35","          8.28","          8.40","          8.28","          8.40","          8.40","          8.32","       1592","               13243.80","          3","       1592","        100.00"
"HHOF1140RG","MF","18-Sep-2018","          8.40","          8.24","          8.44","          8.24","          8.43","          8.43","          8.33","      15000","              125020.00","         13","      11500","         76.67"
"HHOF1140RG","MF","19-Sep-2018","          8.43","          8.23","          8.23","          8.23","          8.23","          8.23","          8.23","         37","                 304.51","          1","         37","        100.00"
"HHOF1140RG","MF","21-Sep-2018","          8.23","          7.83","          8.50","          7.83","          8.10","          8.10","          8.03","      36139","              290174.30","         42","      31019","         85.83"
"HHOF1140RG","MF","24-Sep-2018","          8.10","          7.82","          8.90","          7.82","          7.85","          7.97","          7.97","      12921","              102946.19","         12","      12920","         99.99"
"HHOF1140RG","MF","25-Sep-2018","          7.97","          7.87","          8.00","          7.82","          7.82","          7.82","          7.86","       6056","               47590.16","          5","       6056","        100.00"
"HHOF1140RG","MF","26-Sep-2018","          7.82","          7.82","          8.01","          7.82","          7.83","          7.90","          7.96","      28000","              222902.00","         14","      28000","        100.00"
"HHOF1140RG","MF","27-Sep-2018","          7.90","          8.50","          8.50","          8.00","          8.00","          8.00","          8.19","       8000","               65500.00","          2","       5000","         62.50"
"HHOF1140RG","MF","28-Sep-2018","          8.00","          7.55","          8.10","          7.55","          7.60","          7.60","          7.71","       6200","               47785.00","          6","       5500","         88.71"
"HHOF1140RG","MF","01-Oct-2018","          7.60","          8.29","          8.29","          8.29","          8.29","          8.29","          8.29","        550","                4559.50","          2","        550","        100.00"
"HHOF1140RG","MF","03-Oct-2018","          8.29","          7.75","          7.75","          7.52","          7.61","          7.61","          7.66","      15015","              114992.50","          6","      15015","        100.00"
"HHOF1140RG","MF","04-Oct-2018","          7.61","          7.61","          7.61","          7.61","          7.61","          7.61","          7.61","       1700","               12937.00","          1","       1700","        100.00"
"HHOF1140RG","MF","05-Oct-2018","          7.61","          7.24","          7.70","          7.02","          7.70","          7.70","          7.34","      21216","              155638.24","         24","      14916","         70.31"
"HHOF1140RG","MF","08-Oct-2018","          7.70","          7.14","          8.25","          7.14","          7.54","          7.54","          7.34","       2014","               14773.24","          6","       1994","         99.01"
"HHOF1140RG","MF","09-Oct-2018","          7.54","          7.26","          7.50","          7.16","          7.38","          7.38","          7.30","      11600","               84678.00","          5","      11300","         97.41"
"HHOF1140RG","MF","10-Oct-2018","          7.38","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","          1","                   8.00","          1","          1","        100.00"
"HHOF1140RG","MF","11-Oct-2018","          8.00","          7.36","          7.36","          7.36","          7.36","          7.36","          7.36","       1000","                7360.00","          1","       1000","        100.00"
"HHOF1140RG","MF","12-Oct-2018","          7.36","          8.00","          8.00","          7.36","          8.00","          8.00","          7.53","       4509","               33941.17","          8","       3001","         66.56"
"HHOF1140RG","MF","15-Oct-2018","          8.00","          8.45","          8.45","          7.55","          7.66","          7.66","          7.63","       3200","               24417.79","          4","       2500","         78.12"
"HHOF1140RG","MF","16-Oct-2018","          7.66","          7.90","          7.90","          7.90","          7.90","          7.90","          7.90","       1490","               11771.00","          2","       1490","        100.00"
