"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IBREALEST","EQ","11-Sep-2018","        145.55","        145.60","        146.50","        140.45","        141.10","        141.00","        142.82","    2442718","           348876086.25","      21139","    1100094","         45.04"
"IBREALEST","EQ","12-Sep-2018","        141.00","        139.25","        141.45","        135.05","        137.50","        137.10","        137.21","    3409496","           467800836.10","      33170","    1050826","         30.82"
"IBREALEST","EQ","14-Sep-2018","        137.10","        139.80","        145.00","        139.10","        144.60","        144.15","        142.42","    3644226","           519003454.95","      32238","    1373352","         37.69"
"IBREALEST","EQ","17-Sep-2018","        144.15","        142.60","        152.30","        141.80","        150.00","        150.30","        148.37","    5077156","           753313122.00","      42620","    1792781","         35.31"
"IBREALEST","EQ","18-Sep-2018","        150.30","        150.00","        152.80","        142.65","        144.30","        144.35","        147.60","    2716261","           400912619.05","      24006","     896548","         33.01"
"IBREALEST","EQ","19-Sep-2018","        144.35","        144.60","        146.50","        140.95","        142.00","        142.15","        143.11","    2361147","           337899675.90","      17029","     917587","         38.86"
"IBREALEST","EQ","21-Sep-2018","        142.15","        143.90","        144.70","        113.75","        120.90","        123.10","        124.16","   17946453","          2228226195.60","      90392","    9167254","         51.08"
"IBREALEST","EQ","24-Sep-2018","        123.10","        125.00","        129.25","        115.25","        115.55","        117.70","        120.68","    8071050","           974016962.15","      53791","    2957649","         36.65"
"IBREALEST","EQ","25-Sep-2018","        117.70","        115.65","        116.00","         94.20","        111.80","        110.70","        103.52","   20710446","          2144046656.35","     113724","    4481204","         21.64"
"IBREALEST","EQ","26-Sep-2018","        110.70","        113.45","        117.50","        110.10","        112.00","        113.40","        113.71","    7677866","           873069117.65","      55150","    2074783","         27.02"
"IBREALEST","EQ","27-Sep-2018","        113.40","        111.00","        112.35","         99.20","        100.30","        101.05","        104.04","   13261468","          1379702946.40","      80221","    3663505","         27.63"
"IBREALEST","EQ","28-Sep-2018","        101.05","        102.00","        102.30","         82.60","         90.00","         87.80","         92.15","   14437067","          1330422377.20","      80859","    5307690","         36.76"
"IBREALEST","EQ","01-Oct-2018","         87.80","         88.30","         91.75","         80.00","         81.55","         82.20","         84.58","   15012946","          1269738616.20","      85882","    4523663","         30.13"
"IBREALEST","EQ","03-Oct-2018","         82.20","         80.90","         90.40","         79.50","         90.40","         90.40","         88.08","   12131923","          1068523055.15","      59339","    3345470","         27.58"
"IBREALEST","EQ","04-Oct-2018","         90.40","         87.00","         93.45","         86.00","         89.00","         89.95","         90.57","    7387390","           669058841.20","      48773","    1585117","         21.46"
"IBREALEST","EQ","05-Oct-2018","         89.95","         89.00","         92.50","         84.80","         85.90","         87.95","         89.85","    5536552","           497479188.10","      43101","    2166932","         39.14"
"IBREALEST","EQ","08-Oct-2018","         87.95","         88.00","         89.30","         81.85","         84.00","         85.80","         85.65","    5857350","           501701796.70","      42480","    2774633","         47.37"
"IBREALEST","EQ","09-Oct-2018","         85.80","         85.80","         88.00","         84.85","         86.90","         86.65","         86.38","    5535805","           478208877.80","      36104","    2360906","         42.65"
"IBREALEST","EQ","10-Oct-2018","         86.65","         87.50","         95.30","         87.10","         95.30","         94.95","         92.32","    5492548","           507097026.10","      37164","    2201563","         40.08"
"IBREALEST","EQ","11-Oct-2018","         94.95","         89.00","         95.50","         87.60","         92.10","         92.10","         92.91","    6430928","           597525172.75","      49965","    2226873","         34.63"
"IBREALEST","EQ","12-Oct-2018","         92.10","         94.40","         97.90","         93.85","         96.10","         96.20","         96.33","    3307252","           318597135.75","      24248","    1153290","         34.87"
"IBREALEST","EQ","15-Oct-2018","         96.20","         97.10","         98.55","         94.25","         94.80","         95.05","         95.88","    2387327","           228902672.05","      20062","     712370","         29.84"
"IBREALEST","EQ","16-Oct-2018","         95.05","         95.90","         97.40","         92.10","         92.65","         93.05","         94.16","    2949967","           277776334.15","      18317","    1070904","         36.30"
"IBREALEST","EQ","17-Oct-2018","         93.05","         94.95","         94.95","         83.75","         83.75","         83.75","         87.16","    5197545","           453027149.20","      35067","    2390415","         45.99"
"IBREALEST","EQ","19-Oct-2018","         83.75","         77.30","         79.90","         75.40","         75.40","         75.40","         76.71","    5250875","           402810619.15","      28113","    2149923","         40.94"
"IBREALEST","EQ","22-Oct-2018","         75.40","         73.00","         79.45","         70.15","         74.00","         74.35","         74.76","    9283530","           694023428.00","      60267","    1896664","         20.43"
"IBREALEST","EQ","23-Oct-2018","         74.35","         72.90","         78.00","         72.50","         74.40","         74.25","         75.58","    4076484","           308112480.25","      29302","     990822","         24.31"
"IBREALEST","EQ","24-Oct-2018","         74.25","         75.70","         77.90","         74.80","         77.60","         77.50","         76.30","    2556809","           195073706.30","      15151","     978135","         38.26"
"IBREALEST","EQ","25-Oct-2018","         77.50","         75.00","         76.65","         73.65","         73.65","         73.65","         74.42","    1959138","           145797568.45","      11617","     948157","         48.40"
"IBREALEST","EQ","26-Oct-2018","         73.65","         71.00","         73.30","         70.00","         70.00","         70.00","         71.29","    5499587","           392039465.75","      30203","    2067090","         37.59"
"IBREALEST","EQ","29-Oct-2018","         70.00","         70.50","         73.40","         70.25","         72.40","         72.45","         71.92","    3895117","           280140367.55","      23157","    1660734","         42.64"
"IBREALEST","EQ","30-Oct-2018","         72.45","         72.40","         75.10","         71.05","         71.85","         71.90","         73.34","    3211156","           235509462.40","      20738","    1285936","         40.05"
"IBREALEST","EQ","31-Oct-2018","         71.90","         72.50","         75.45","         70.75","         75.00","         74.95","         73.51","    5131840","           377234445.30","      20546","    2275197","         44.33"
"IBREALEST","EQ","01-Nov-2018","         74.95","         75.70","         78.65","         74.45","         78.65","         78.65","         77.92","    3904178","           304229547.25","      11507","    1652777","         42.33"
"IBREALEST","EQ","02-Nov-2018","         78.65","         80.90","         82.55","         80.65","         82.55","         82.55","         82.29","    2075857","           170812687.25","       6215","    1007918","         48.55"
"IBREALEST","EQ","05-Nov-2018","         82.55","         86.65","         86.65","         79.50","         86.65","         85.75","         84.31","    6615500","           557725629.35","      33399","    2393695","         36.18"
"IBREALEST","EQ","06-Nov-2018","         85.75","         87.50","         89.25","         84.70","         86.65","         87.05","         87.06","    2567921","           223566056.55","      23411","    1090487","         42.47"
"IBREALEST","EQ","07-Nov-2018","         87.05","         88.00","         90.00","         87.50","         89.00","         88.90","         88.93","    1176150","           104600290.80","       5473","     545054","         46.34"
"IBREALEST","EQ","09-Nov-2018","         88.90","         88.95","         93.30","         88.00","         93.30","         93.25","         91.95","    3589368","           330042915.05","      20922","    1405175","         39.15"
"IBREALEST","EQ","12-Nov-2018","         93.25","         94.40","         96.45","         93.10","         94.40","         94.20","         95.06","    3015433","           286645497.05","      28181","    1422063","         47.16"
