"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IBULISL","BE","11-Sep-2018","        751.35","        774.95","        785.00","        718.00","        729.90","        729.80","        764.87","     199692","           152739046.45","       2597","-","-"
"IBULISL","BE","12-Sep-2018","        729.80","        729.80","        739.90","        693.35","        706.50","        705.20","        703.01","     228339","           160523886.25","       2233","-","-"
"IBULISL","BE","14-Sep-2018","        705.20","        729.00","        735.20","        685.00","        733.00","        715.75","        710.14","     118046","            83828616.40","       1268","-","-"
"IBULISL","BE","17-Sep-2018","        715.75","        751.45","        751.45","        690.00","        690.00","        704.20","        719.27","     328096","           235989832.45","       1671","-","-"
"IBULISL","BE","18-Sep-2018","        704.20","        704.20","        720.50","        695.20","        700.00","        697.55","        708.83","      63037","            44682489.75","        736","-","-"
"IBULISL","BE","19-Sep-2018","        697.55","        700.00","        714.00","        670.00","        684.95","        676.15","        682.52","     128639","            87799149.70","        886","-","-"
"IBULISL","BE","21-Sep-2018","        676.15","        677.05","        684.00","        642.35","        642.35","        642.35","        646.39","      59150","            38234226.30","        810","-","-"
"IBULISL","BE","24-Sep-2018","        642.35","        610.25","        610.25","        610.25","        610.25","        610.25","        610.25","      13539","             8262174.75","        127","-","-"
"IBULISL","BE","25-Sep-2018","        610.25","        579.75","        579.75","        579.75","        579.75","        579.75","        579.75","       5637","             3268050.75","         92","-","-"
"IBULISL","BE","26-Sep-2018","        579.75","        550.80","        550.80","        550.80","        550.80","        550.80","        550.80","      14762","             8130909.60","        138","-","-"
"IBULISL","BE","27-Sep-2018","        550.80","        523.30","        523.30","        523.30","        523.30","        523.30","        523.30","      24958","            13060521.40","        114","-","-"
"IBULISL","BE","28-Sep-2018","        523.30","        498.00","        498.00","        497.15","        497.15","        497.15","        497.31","       1992","              990632.20","         56","-","-"
"IBULISL","BE","01-Oct-2018","        497.15","        472.30","        472.30","        472.30","        472.30","        472.30","        472.30","        875","              413262.50","         49","-","-"
"IBULISL","BE","03-Oct-2018","        472.30","        448.70","        448.70","        448.70","        448.70","        448.70","        448.70","      77801","            34909308.70","        358","-","-"
"IBULISL","BE","04-Oct-2018","        448.70","        426.30","        426.30","        426.30","        426.30","        426.30","        426.30","      10198","             4347407.40","         77","-","-"
"IBULISL","BE","05-Oct-2018","        426.30","        405.00","        405.00","        405.00","        405.00","        405.00","        405.00","       1064","              430920.00","         61","-","-"
"IBULISL","BE","08-Oct-2018","        405.00","        384.75","        384.75","        384.75","        384.75","        384.75","        384.75","       1446","              556348.50","         51","-","-"
"IBULISL","BE","09-Oct-2018","        384.75","        365.55","        365.55","        365.55","        365.55","        365.55","        365.55","       1818","              664569.90","         34","-","-"
"IBULISL","BE","10-Oct-2018","        365.55","        347.30","        380.00","        347.30","        374.00","        369.20","        351.50","     671877","           236164489.40","       3097","-","-"
"IBULISL","BE","11-Oct-2018","        369.20","        350.75","        387.65","        350.75","        387.00","        385.85","        371.96","     583365","           216989571.00","       2573","-","-"
"IBULISL","BE","12-Oct-2018","        385.85","        405.00","        405.10","        398.00","        405.10","        405.10","        404.82","      97329","            39400499.05","        523","-","-"
"IBULISL","BE","15-Oct-2018","        405.10","        425.35","        425.35","        415.00","        425.35","        425.35","        424.54","      61721","            26203109.65","        478","-","-"
"IBULISL","BE","16-Oct-2018","        425.35","        446.50","        446.60","        442.00","        446.60","        446.60","        446.52","      43996","            19645144.10","        368","-","-"
"IBULISL","BE","17-Oct-2018","        446.60","        468.90","        468.90","        424.30","        428.00","        429.45","        438.23","     249088","           109158721.70","       2774","-","-"
"IBULISL","BE","19-Oct-2018","        429.45","        408.00","        420.35","        408.00","        408.00","        408.00","        410.25","     104797","            42993164.45","       1135","-","-"
"IBULISL","BE","22-Oct-2018","        408.00","        387.60","        387.60","        387.60","        387.60","        387.60","        387.60","      32564","            12621806.40","        142","-","-"
