"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICI500","EQ","11-Sep-2018","        156.00","        160.00","        160.99","        151.00","        153.09","        153.02","        154.89","         98","               15178.94","         11","         76","         77.55"
"ICICI500","EQ","12-Sep-2018","        153.02","        160.00","        160.00","        152.69","        153.79","        153.79","        153.08","        410","               62762.72","          9","        409","         99.76"
"ICICI500","EQ","14-Sep-2018","        153.79","        155.00","        156.21","        155.00","        156.21","        156.21","        155.51","        103","               16017.71","          5","        103","        100.00"
"ICICI500","EQ","17-Sep-2018","        156.21","        161.00","        161.00","        154.05","        154.55","        154.69","        155.38","        220","               34182.80","         27","        210","         95.45"
"ICICI500","EQ","18-Sep-2018","        154.69","        154.00","        154.40","        152.80","        152.80","        152.95","        153.57","         57","                8753.30","         11","         57","        100.00"
"ICICI500","EQ","19-Sep-2018","        152.95","        153.01","        153.41","        152.21","        152.21","        152.21","        152.58","        189","               28838.24","         13","        180","         95.24"
"ICICI500","EQ","21-Sep-2018","        152.21","        152.89","        153.19","        148.61","        148.61","        148.61","        151.69","        452","               68564.18","          8","        227","         50.22"
"ICICI500","EQ","24-Sep-2018","        148.61","        153.00","        160.00","        147.06","        147.34","        147.35","        147.68","       1781","              263024.80","         28","       1001","         56.20"
"ICICI500","EQ","25-Sep-2018","        147.35","        152.00","        156.92","        147.00","        147.21","        147.21","        148.48","        294","               43652.27","         20","        250","         85.03"
"ICICI500","EQ","26-Sep-2018","        147.21","        150.00","        156.00","        147.75","        147.90","        147.90","        147.82","       5165","              763474.34","         16","       5000","         96.81"
"ICICI500","EQ","27-Sep-2018","        147.90","        142.10","        154.94","        142.10","        146.86","        146.86","        147.88","        252","               37266.84","         11","        225","         89.29"
"ICICI500","EQ","28-Sep-2018","        146.86","        146.72","        146.72","        145.00","        145.00","        145.00","        145.23","        901","              130854.12","          7","        899","         99.78"
"ICICI500","EQ","01-Oct-2018","        145.00","        148.00","        152.96","        143.97","        145.68","        145.68","        145.12","        229","               33232.76","         16","        216","         94.32"
"ICICI500","EQ","03-Oct-2018","        145.68","        146.00","        153.00","        145.80","        150.00","        149.48","        150.74","       1355","              204247.36","         26","       1069","         78.89"
"ICICI500","EQ","04-Oct-2018","        149.48","        150.00","        153.83","        146.00","        153.50","        153.43","        153.30","        282","               43229.30","         14","        147","         52.13"
"ICICI500","EQ","05-Oct-2018","        153.43","        155.00","        159.00","        145.00","        150.00","        150.00","        151.85","        800","              121476.75","         30","        235","         29.38"
"ICICI500","EQ","08-Oct-2018","        150.00","        145.01","        145.01","        136.10","        137.56","        137.49","        138.31","      18687","             2584650.62","         56","      10021","         53.63"
"ICICI500","EQ","09-Oct-2018","        137.49","        136.20","        147.00","        133.10","        137.11","        137.47","        139.02","        928","              129014.90","         36","        591","         63.69"
"ICICI500","EQ","10-Oct-2018","        137.47","        138.75","        140.60","        138.65","        140.60","        140.60","        140.41","        405","               56864.95","          8","        387","         95.56"
"ICICI500","EQ","11-Oct-2018","        140.60","        145.00","        150.00","        136.34","        137.51","        137.42","        138.35","       2088","              288870.41","         37","       1041","         49.86"
