"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IFBIND","EQ","11-Sep-2018","       1124.15","       1122.00","       1144.90","       1093.05","       1127.70","       1102.85","       1115.83","      13253","            14788144.75","       1454","       8360","         63.08"
"IFBIND","EQ","12-Sep-2018","       1102.85","       1130.00","       1130.00","       1090.00","       1109.00","       1099.60","       1104.55","       6701","             7401596.65","        824","       3895","         58.13"
"IFBIND","EQ","14-Sep-2018","       1099.60","       1100.00","       1125.05","       1100.00","       1116.15","       1115.70","       1113.84","       3502","             3900659.65","        421","       1988","         56.77"
"IFBIND","EQ","17-Sep-2018","       1115.70","       1121.20","       1122.00","       1088.00","       1100.00","       1098.20","       1101.30","       5461","             6014191.75","        724","       2685","         49.17"
"IFBIND","EQ","18-Sep-2018","       1098.20","       1091.05","       1113.00","       1091.00","       1103.00","       1106.40","       1102.53","       2749","             3030864.30","        368","       1492","         54.27"
"IFBIND","EQ","19-Sep-2018","       1106.40","       1100.55","       1106.00","       1090.00","       1100.00","       1100.40","       1095.76","       3980","             4361138.50","        394","       2503","         62.89"
"IFBIND","EQ","21-Sep-2018","       1100.40","       1100.00","       1190.00","       1011.60","       1156.00","       1160.85","       1114.52","      20629","            22991400.55","       2061","      13548","         65.67"
"IFBIND","EQ","24-Sep-2018","       1160.85","       1161.00","       1190.00","       1089.00","       1092.05","       1103.50","       1139.41","      11133","            12685021.25","       1366","       6290","         56.50"
"IFBIND","EQ","25-Sep-2018","       1103.50","       1090.00","       1115.00","       1020.00","       1038.70","       1040.15","       1067.84","      16403","            17515727.55","       1862","       9594","         58.49"
"IFBIND","EQ","26-Sep-2018","       1040.15","       1041.00","       1083.00","       1041.00","       1059.50","       1055.00","       1058.86","       8732","             9245935.50","       1291","       4744","         54.33"
"IFBIND","EQ","27-Sep-2018","       1055.00","       1095.00","       1134.15","       1055.60","       1061.00","       1068.40","       1088.48","      25248","            27482052.90","       2628","       7049","         27.92"
"IFBIND","EQ","28-Sep-2018","       1068.40","       1070.00","       1088.00","       1005.00","       1043.00","       1044.55","       1031.37","      25184","            25974045.05","       2042","      14313","         56.83"
"IFBIND","EQ","01-Oct-2018","       1044.55","       1030.85","       1030.85","        975.00","        992.00","       1003.55","       1000.51","       8168","             8172189.65","        813","       4538","         55.56"
"IFBIND","EQ","03-Oct-2018","       1003.55","       1003.55","       1019.95","        975.00","        977.85","        980.75","        997.12","       7544","             7522271.35","        893","       3608","         47.83"
"IFBIND","EQ","04-Oct-2018","        980.75","        980.75","        980.80","        911.00","        952.50","        948.00","        941.48","      12997","            12236423.95","       1256","       7973","         61.34"
"IFBIND","EQ","05-Oct-2018","        948.00","        938.50","        960.00","        856.05","        868.00","        870.75","        892.69","      26301","            23478518.95","       1962","      12075","         45.91"
"IFBIND","EQ","08-Oct-2018","        870.75","        894.95","        953.95","        871.00","        932.80","        929.65","        914.42","      27595","            25233289.95","       1679","      15441","         55.96"
"IFBIND","EQ","09-Oct-2018","        929.65","        950.00","        961.35","        908.55","        915.35","        924.45","        931.91","       8679","             8088068.60","        879","       2935","         33.82"
"IFBIND","EQ","10-Oct-2018","        924.45","        906.15","       1020.00","        906.15","       1020.00","        999.75","        970.56","      17375","            16863511.60","       1721","      10665","         61.38"
"IFBIND","EQ","11-Oct-2018","        999.75","        977.95","       1040.25","        950.00","       1015.00","       1001.45","        996.91","      14707","            14661489.60","       1157","       5450","         37.06"
