"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IITL","EQ","11-Sep-2018","         93.05","         93.10","         97.70","         93.05","         97.00","         93.10","         93.63","       1959","              183414.70","         14","       1859","         94.90"
"IITL","EQ","12-Sep-2018","         93.10","         90.05","         91.00","         90.05","         90.05","         90.05","         90.08","        273","               24591.10","          5","        273","        100.00"
"IITL","EQ","14-Sep-2018","         90.05","         90.05","         93.95","         90.00","         93.90","         93.90","         90.39","       1315","              118864.75","          8","       1205","         91.63"
"IITL","EQ","17-Sep-2018","         93.90","         90.00","         93.90","         90.00","         90.00","         90.00","         90.04","        660","               59427.30","          8","        653","         98.94"
"IITL","EQ","21-Sep-2018","         90.00","         90.00","         94.50","         90.00","         90.00","         90.00","         91.74","       2300","              210997.00","         12","       2200","         95.65"
"IITL","EQ","24-Sep-2018","         90.00","         90.00","         90.00","         90.00","         90.00","         90.00","         90.00","        550","               49500.00","          5","        550","        100.00"
"IITL","EQ","25-Sep-2018","         90.00","         85.50","         89.95","         85.50","         85.50","         85.50","         85.90","        231","               19843.95","          7","        120","         51.95"
"IITL","EQ","26-Sep-2018","         85.50","         81.50","         89.75","         81.50","         89.75","         89.75","         88.56","        471","               41711.25","          8","        403","         85.56"
"IITL","EQ","27-Sep-2018","         89.75","         86.05","         93.85","         86.00","         86.00","         86.00","         87.34","        300","               26202.50","          4","        250","         83.33"
"IITL","EQ","28-Sep-2018","         86.00","         90.30","         90.30","         81.70","         81.70","         81.70","         82.15","        270","               22180.00","          4","        260","         96.30"
"IITL","EQ","04-Oct-2018","         81.70","         85.75","         85.75","         84.00","         85.75","         85.75","         85.74","        616","               52818.50","          6","        616","        100.00"
"IITL","EQ","05-Oct-2018","         85.75","         81.50","         88.00","         81.50","         88.00","         88.00","         84.79","        850","               72075.00","          3","         50","          5.88"
"IITL","EQ","08-Oct-2018","         88.00","         92.00","         92.00","         84.00","         84.00","         84.00","         84.92","         90","                7643.20","          6","         79","         87.78"
