"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IMFA","EQ","11-Sep-2018","        322.20","        324.20","        326.95","        314.00","        314.00","        315.35","        319.48","      35662","            11393266.25","       1273","      19405","         54.41"
"IMFA","EQ","12-Sep-2018","        315.35","        312.40","        319.90","        306.85","        308.60","        311.05","        311.33","      34562","            10760341.30","       1435","      17470","         50.55"
"IMFA","EQ","14-Sep-2018","        311.05","        311.85","        327.00","        311.85","        316.50","        316.55","        317.83","      39707","            12620108.80","       2475","      17526","         44.14"
"IMFA","EQ","17-Sep-2018","        316.55","        318.00","        330.40","        314.55","        322.60","        324.85","        322.77","      44970","            14514910.90","       1409","      19803","         44.04"
"IMFA","EQ","18-Sep-2018","        324.85","        321.00","        329.75","        316.10","        316.50","        317.55","        321.86","      21808","             7019085.80","        899","      11654","         53.44"
"IMFA","EQ","19-Sep-2018","        317.55","        315.55","        323.85","        313.00","        314.00","        315.50","        316.28","      26652","             8429602.20","       1014","      14524","         54.49"
"IMFA","EQ","21-Sep-2018","        315.50","        318.70","        322.75","        271.90","        292.00","        291.90","        298.24","     102037","            30431026.55","       3874","      69026","         67.65"
"IMFA","EQ","24-Sep-2018","        291.90","        299.40","        299.40","        284.00","        286.00","        287.05","        288.55","      27923","             8057138.30","       1120","      16485","         59.04"
"IMFA","EQ","25-Sep-2018","        287.05","        287.05","        292.65","        275.20","        282.10","        282.00","        282.84","      42378","            11986071.45","       1314","      18246","         43.06"
"IMFA","EQ","26-Sep-2018","        282.00","        282.00","        296.90","        281.10","        291.15","        292.30","        287.89","      44237","            12735491.35","       1495","      21621","         48.88"
"IMFA","EQ","27-Sep-2018","        292.30","        292.95","        293.95","        278.05","        280.00","        279.85","        284.07","      30573","             8684831.10","       1035","      20344","         66.54"
"IMFA","EQ","28-Sep-2018","        279.85","        276.00","        287.00","        260.00","        263.95","        267.35","        274.97","      43600","            11988633.15","       1856","      24618","         56.46"
"IMFA","EQ","01-Oct-2018","        267.35","        263.95","        267.05","        255.10","        266.00","        263.70","        261.59","      54466","            14247814.60","       1835","      28431","         52.20"
"IMFA","EQ","03-Oct-2018","        263.70","        262.25","        279.05","        262.00","        268.00","        268.35","        270.93","      47209","            12790239.15","       2088","      22729","         48.15"
"IMFA","EQ","04-Oct-2018","        268.35","        269.00","        277.50","        262.10","        266.35","        266.30","        270.40","      46538","            12583652.40","       1543","      15797","         33.94"
"IMFA","EQ","05-Oct-2018","        266.30","        265.00","        272.95","        255.00","        257.80","        256.55","        264.20","      35645","             9417546.00","       1326","      23971","         67.25"
"IMFA","EQ","08-Oct-2018","        256.55","        252.50","        259.95","        250.10","        253.15","        253.85","        254.74","      26602","             6776461.15","        936","      15216","         57.20"
"IMFA","EQ","09-Oct-2018","        253.85","        254.10","        255.95","        243.00","        244.50","        245.95","        249.84","      22115","             5525273.90","        942","      12191","         55.13"
"IMFA","EQ","10-Oct-2018","        245.95","        248.00","        262.00","        245.00","        257.00","        257.45","        255.95","      49212","            12595591.50","       1560","      25481","         51.78"
"IMFA","EQ","11-Oct-2018","        257.45","        248.00","        259.80","        244.95","        254.90","        255.25","        252.70","      27497","             6948502.65","       1050","      15252","         55.47"
"IMFA","EQ","12-Oct-2018","        255.25","        256.90","        285.60","        256.85","        273.35","        274.10","        275.52","      70025","            19293039.50","       2683","      35553","         50.77"
"IMFA","EQ","15-Oct-2018","        274.10","        275.65","        295.00","        266.05","        282.00","        283.00","        282.78","      56473","            15969293.70","       2190","      19972","         35.37"
"IMFA","EQ","16-Oct-2018","        283.00","        283.30","        298.75","        281.05","        291.00","        291.75","        292.67","      38690","            11323439.30","       1582","      19620","         50.71"
"IMFA","EQ","17-Oct-2018","        291.75","        292.50","        300.75","        278.00","        281.80","        280.10","        287.99","      37719","            10862590.55","       1511","      18373","         48.71"
"IMFA","EQ","19-Oct-2018","        280.10","        282.00","        282.00","        265.00","        270.20","        273.40","        272.31","      24306","             6618880.65","        930","      12962","         53.33"
"IMFA","EQ","22-Oct-2018","        273.40","        273.00","        279.95","        268.50","        273.00","        271.15","        274.48","      30684","             8422142.25","       1332","      14058","         45.82"
"IMFA","EQ","23-Oct-2018","        271.15","        261.75","        289.90","        261.75","        272.70","        273.00","        273.15","     153201","            41846634.25","       5043","      25477","         16.63"
"IMFA","EQ","24-Oct-2018","        273.00","        275.00","        281.70","        257.00","        263.35","        265.20","        267.23","      68786","            18381960.20","       2078","      32309","         46.97"
"IMFA","EQ","25-Oct-2018","        265.20","        258.60","        263.85","        255.05","        257.00","        256.65","        257.80","      22799","             5877546.40","       1298","      10822","         47.47"
"IMFA","EQ","26-Oct-2018","        256.65","        258.30","        267.00","        252.50","        254.30","        255.50","        258.27","      30957","             7995110.05","       1292","      10353","         33.44"
"IMFA","EQ","29-Oct-2018","        255.50","        258.05","        265.20","        254.85","        261.00","        262.60","        261.18","      28581","             7464768.30","       1373","      11574","         40.50"
"IMFA","EQ","30-Oct-2018","        262.60","        264.00","        268.90","        257.10","        258.50","        258.30","        261.80","      36988","             9683553.20","       1080","      24269","         65.61"
"IMFA","EQ","31-Oct-2018","        258.30","        258.10","        264.95","        256.10","        262.75","        263.50","        261.38","      31191","             8152630.20","       1003","      15222","         48.80"
"IMFA","EQ","01-Nov-2018","        263.50","        264.75","        268.90","        260.50","        264.25","        264.20","        264.57","      32678","             8645661.75","        904","      15119","         46.27"
"IMFA","EQ","02-Nov-2018","        264.20","        266.75","        273.50","        265.35","        271.00","        271.20","        270.40","      37757","            10209356.25","       1123","      16963","         44.93"
"IMFA","EQ","05-Nov-2018","        271.20","        271.00","        273.00","        267.40","        269.00","        270.30","        270.33","      15340","             4146865.50","        676","       7092","         46.23"
"IMFA","EQ","06-Nov-2018","        270.30","        270.05","        271.75","        266.70","        269.00","        269.00","        269.16","      18514","             4983291.00","        544","       8903","         48.09"
"IMFA","EQ","07-Nov-2018","        269.00","        271.50","        274.00","        269.15","        271.00","        272.15","        271.91","       5848","             1590103.35","        243","       3627","         62.02"
"IMFA","EQ","09-Nov-2018","        272.15","        268.20","        274.10","        268.20","        270.00","        270.65","        271.20","      22241","             6031779.25","        647","      12388","         55.70"
"IMFA","EQ","12-Nov-2018","        270.65","        273.00","        276.00","        268.20","        272.65","        272.45","        272.36","      21718","             5915110.25","        765","       9471","         43.61"
"IMFA","EQ","13-Nov-2018","        272.45","        269.70","        274.40","        267.20","        272.70","        271.95","        270.80","      10134","             2744309.15","        526","       5729","         56.53"
"IMFA","EQ","14-Nov-2018","        271.95","        271.05","        283.25","        271.05","        279.80","        275.90","        276.60","      32956","             9115610.95","       1063","      17894","         54.30"
"IMFA","EQ","15-Nov-2018","        275.90","        277.40","        283.95","        272.00","        273.30","        273.55","        275.89","      12736","             3513718.60","        672","       5334","         41.88"
"IMFA","EQ","16-Nov-2018","        273.55","        275.00","        275.90","        268.45","        268.65","        269.40","        271.56","      12470","             3386314.10","        715","       8329","         66.79"
"IMFA","EQ","19-Nov-2018","        269.40","        269.40","        270.05","        263.00","        267.85","        267.30","        267.69","      14166","             3792085.15","        512","       7252","         51.19"
"IMFA","EQ","20-Nov-2018","        267.30","        265.00","        267.95","        263.55","        264.20","        265.50","        266.00","       7152","             1902450.15","        328","       4022","         56.24"
"IMFA","EQ","21-Nov-2018","        265.50","        264.50","        267.95","        258.00","        265.30","        264.05","        263.43","      12710","             3348223.40","        600","       5792","         45.57"
"IMFA","EQ","22-Nov-2018","        264.05","        265.80","        269.65","        259.30","        260.00","        260.75","        263.91","      17086","             4509171.80","        757","      10101","         59.12"
