"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IMPAL","EQ","11-Sep-2018","        938.30","        944.40","        944.95","        924.00","        924.00","        924.00","        933.07","        406","              378826.00","         33","        336","         82.76"
"IMPAL","EQ","12-Sep-2018","        924.00","        938.95","        939.00","        910.05","        914.50","        914.50","        926.80","        466","              431890.70","         64","        256","         54.94"
"IMPAL","EQ","14-Sep-2018","        914.50","        928.95","        938.00","        920.00","        925.00","        922.20","        925.24","        378","              349741.80","         76","        168","         44.44"
"IMPAL","EQ","17-Sep-2018","        922.20","        900.05","        935.00","        900.05","        920.00","        920.05","        915.21","        578","              528993.25","         72","        413","         71.45"
"IMPAL","EQ","18-Sep-2018","        920.05","        932.40","        933.00","        920.00","        920.00","        920.80","        921.53","        109","              100446.80","         15","         73","         66.97"
"IMPAL","EQ","19-Sep-2018","        920.80","        920.45","        925.00","        911.10","        912.50","        917.90","        919.48","        600","              551688.80","         68","        386","         64.33"
"IMPAL","EQ","21-Sep-2018","        917.90","        939.00","        939.00","        900.00","        910.00","        909.95","        912.19","       1851","             1688471.60","         88","       1372","         74.12"
"IMPAL","EQ","24-Sep-2018","        909.95","        930.00","        934.10","        892.05","        900.00","        898.45","        902.74","       1368","             1234948.05","        142","        755","         55.19"
"IMPAL","EQ","25-Sep-2018","        898.45","        894.25","        900.00","        880.00","        895.00","        899.25","        892.48","        595","              531027.90","         97","        397","         66.72"
"IMPAL","EQ","26-Sep-2018","        899.25","        904.40","        918.30","        895.00","        902.00","        897.00","        899.34","        419","              376824.50","         45","        304","         72.55"
"IMPAL","EQ","27-Sep-2018","        897.00","        914.20","        926.50","        895.40","        910.00","        905.95","        912.41","        704","              642339.05","         62","        432","         61.36"
"IMPAL","EQ","28-Sep-2018","        905.95","        899.95","        924.00","        898.00","        907.00","        907.00","        908.43","        501","              455121.20","         57","        386","         77.05"
"IMPAL","EQ","01-Oct-2018","        907.00","        891.00","        932.00","        870.40","        906.00","        915.15","        903.52","       1030","              930621.80","        120","        714","         69.32"
"IMPAL","EQ","03-Oct-2018","        915.15","        888.30","        937.00","        888.30","        895.00","        900.40","        902.10","        478","              431202.30","         65","        261","         54.60"
"IMPAL","EQ","04-Oct-2018","        900.40","        890.05","        919.95","        850.00","        850.50","        871.75","        886.82","       2791","             2475105.30","        293","       2016","         72.23"
"IMPAL","EQ","05-Oct-2018","        871.75","        875.00","        880.00","        850.00","        850.00","        866.95","        873.58","       2837","             2478352.15","        158","       2213","         78.00"
"IMPAL","EQ","08-Oct-2018","        866.95","        804.10","        874.95","        804.05","        821.00","        811.35","        820.03","       1336","             1095560.00","        152","        691","         51.72"
"IMPAL","EQ","09-Oct-2018","        811.35","        821.00","        840.00","        805.00","        835.00","        826.55","        820.43","       1734","             1422627.50","        172","        997","         57.50"
"IMPAL","EQ","10-Oct-2018","        826.55","        845.00","        880.00","        845.00","        880.00","        879.75","        876.15","        835","              731586.45","         68","        699","         83.71"
"IMPAL","EQ","11-Oct-2018","        879.75","        857.85","        880.00","        850.45","        865.00","        865.00","        866.85","        565","              489771.60","        108","        282","         49.91"
"IMPAL","EQ","12-Oct-2018","        865.00","        841.00","        900.00","        830.35","        855.00","        852.15","        853.07","       1520","             1296669.50","        149","       1024","         67.37"
"IMPAL","EQ","15-Oct-2018","        852.15","        860.00","        868.00","        839.05","        868.00","        863.25","        858.43","        174","              149366.60","         41","        149","         85.63"
"IMPAL","EQ","16-Oct-2018","        863.25","        890.00","        948.30","        882.00","        900.00","        893.80","        901.59","        413","              372356.05","         65","        318","         77.00"
"IMPAL","EQ","17-Oct-2018","        893.80","        882.05","        888.00","        870.00","        885.00","        880.55","        873.84","        304","              265647.60","         33","        268","         88.16"
"IMPAL","EQ","19-Oct-2018","        880.55","        909.40","        913.00","        853.00","        877.00","        893.65","        893.03","       2288","             2043256.45","        201","       1730","         75.61"
"IMPAL","EQ","22-Oct-2018","        893.65","        841.20","        948.30","        830.40","        875.10","        879.30","        900.91","        409","              368470.50","         90","        234","         57.21"
"IMPAL","EQ","23-Oct-2018","        879.30","        862.05","        864.90","        853.05","        864.90","        861.00","        860.37","        621","              534288.30","         34","        575","         92.59"
"IMPAL","EQ","24-Oct-2018","        861.00","        865.00","        865.00","        853.10","        855.20","        859.55","        859.67","       2006","             1724500.20","         66","       1819","         90.68"
"IMPAL","EQ","25-Oct-2018","        859.55","        864.35","        864.95","        858.00","        860.00","        860.00","        860.00","       3185","             2739101.20","         58","       3131","         98.30"
"IMPAL","EQ","26-Oct-2018","        860.00","        860.45","        870.00","        851.50","        853.90","        859.75","        861.22","        520","              447832.60","         39","        443","         85.19"
"IMPAL","EQ","29-Oct-2018","        859.75","        861.00","        897.95","        860.00","        895.00","        882.75","        874.70","        402","              351630.75","         39","        226","         56.22"
"IMPAL","EQ","30-Oct-2018","        882.75","        895.00","        896.40","        881.85","        884.85","        884.60","        889.69","         24","               21352.55","         10","         11","         45.83"
"IMPAL","EQ","31-Oct-2018","        884.60","        894.35","        900.00","        881.40","        898.00","        889.20","        889.04","         75","               66678.00","         22","         66","         88.00"
"IMPAL","EQ","01-Nov-2018","        889.20","        881.40","        899.40","        877.00","        877.00","        880.20","        884.86","        222","              196439.15","         54","        119","         53.60"
"IMPAL","EQ","02-Nov-2018","        880.20","        897.50","        897.50","        877.00","        877.00","        887.45","        894.10","       2313","             2068062.05","         36","       2181","         94.29"
"IMPAL","EQ","05-Nov-2018","        887.45","        897.40","        897.55","        890.00","        890.00","        890.30","        892.46","        134","              119589.25","         16","        127","         94.78"
"IMPAL","EQ","06-Nov-2018","        890.30","        891.45","        905.00","        885.00","        905.00","        900.80","        893.37","        420","              375216.65","         48","        347","         82.62"
"IMPAL","EQ","07-Nov-2018","        900.80","        905.00","        918.00","        905.00","        915.00","        912.60","        912.38","         69","               62954.55","         12","         64","         92.75"
"IMPAL","EQ","09-Nov-2018","        912.60","        891.40","        906.00","        890.05","        900.00","        900.00","        900.96","        694","              625268.15","         43","        524","         75.50"
"IMPAL","EQ","12-Nov-2018","        900.00","        900.05","        910.00","        885.05","        910.00","        903.20","        899.78","        299","              269033.35","         66","        137","         45.82"
"IMPAL","EQ","13-Nov-2018","        903.20","        903.25","        910.00","        871.20","        871.20","        879.70","        887.02","        604","              535757.85","        146","        472","         78.15"
"IMPAL","EQ","14-Nov-2018","        879.70","        901.65","        925.00","        871.10","        902.25","        900.00","        904.09","       4658","             4211273.45","        367","       3217","         69.06"
"IMPAL","EQ","15-Nov-2018","        900.00","        948.30","        948.30","        910.15","        910.50","        911.25","        920.90","       4344","             4000392.50","        257","       2628","         60.50"
"IMPAL","EQ","16-Nov-2018","        911.25","        914.40","        924.00","        910.00","        914.00","        912.15","        915.33","       1797","             1644846.20","         92","       1655","         92.10"
