"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDHOTEL","EQ","11-Sep-2018","        129.80","        129.00","        129.95","        127.65","        128.60","        128.55","        128.77","     366405","            47181898.85","       3986","     180956","         49.39"
"INDHOTEL","EQ","12-Sep-2018","        128.55","        128.00","        128.85","        126.00","        126.85","        127.45","        127.14","     888873","           113015451.45","       4942","     585018","         65.82"
"INDHOTEL","EQ","14-Sep-2018","        127.45","        128.00","        130.75","        127.70","        130.00","        130.00","        128.61","    1382895","           177856430.35","       6736","    1237761","         89.51"
"INDHOTEL","EQ","17-Sep-2018","        130.00","        129.50","        130.90","        126.30","        129.00","        129.80","        128.05","     458987","            58771000.40","       6863","     230245","         50.16"
"INDHOTEL","EQ","18-Sep-2018","        129.80","        130.20","        130.20","        127.55","        129.15","        128.95","        128.30","     625127","            80206290.40","       9286","     422629","         67.61"
"INDHOTEL","EQ","19-Sep-2018","        128.95","        128.50","        129.90","        127.35","        129.75","        128.80","        128.32","     663744","            85172908.15","       6836","     431338","         64.99"
"INDHOTEL","EQ","21-Sep-2018","        128.80","        128.20","        130.40","        122.00","        128.00","        127.10","        127.47","    1253555","           159789994.00","      33781","     874905","         69.79"
"INDHOTEL","EQ","24-Sep-2018","        127.10","        129.00","        129.00","        123.55","        124.10","        124.35","        124.56","    1159059","           144375887.80","      20295","     904158","         78.01"
"INDHOTEL","EQ","25-Sep-2018","        124.35","        124.05","        126.45","        123.25","        125.20","        125.45","        124.49","    1023725","           127443179.25","      14151","     759387","         74.18"
"INDHOTEL","EQ","26-Sep-2018","        125.45","        125.15","        126.95","        124.15","        126.05","        126.20","        126.22","     604045","            76243151.95","      11420","     442038","         73.18"
"INDHOTEL","EQ","27-Sep-2018","        126.20","        126.10","        129.00","        126.10","        128.05","        128.15","        127.60","     450449","            57478555.40","       4771","     309836","         68.78"
"INDHOTEL","EQ","28-Sep-2018","        128.15","        128.00","        138.55","        127.90","        138.00","        136.90","        134.24","    3487851","           468210752.65","      20881","    3007045","         86.21"
"INDHOTEL","EQ","01-Oct-2018","        136.90","        139.70","        139.80","        127.60","        127.85","        128.60","        133.05","    2707987","           360293230.55","      32981","    1736594","         64.13"
"INDHOTEL","EQ","03-Oct-2018","        128.60","        128.50","        128.50","        124.00","        124.75","        124.65","        125.38","    1082224","           135688553.75","      13416","     734391","         67.86"
"INDHOTEL","EQ","04-Oct-2018","        124.65","        123.50","        124.75","        121.65","        123.00","        123.50","        123.60","     842398","           104118972.30","       3821","     639877","         75.96"
"INDHOTEL","EQ","05-Oct-2018","        123.50","        123.00","        125.75","        122.35","        124.30","        124.60","        124.70","    1033378","           128863698.60","       7815","     845026","         81.77"
"INDHOTEL","EQ","08-Oct-2018","        124.60","        123.50","        124.65","        116.80","        118.00","        118.85","        120.45","    1410917","           169945435.30","       6452","    1190612","         84.39"
"INDHOTEL","EQ","09-Oct-2018","        118.85","        119.60","        121.80","        109.30","        121.15","        118.70","        115.19","     712705","            82096717.75","      10217","     377475","         52.96"
"INDHOTEL","EQ","10-Oct-2018","        118.70","        121.00","        123.75","        119.00","        119.85","        120.35","        121.57","     428668","            52111375.20","      10926","     234517","         54.71"
"INDHOTEL","EQ","11-Oct-2018","        120.35","        119.00","        125.90","        117.00","        122.60","        123.10","        122.08","     622671","            76016723.35","      17381","     350083","         56.22"
"INDHOTEL","EQ","12-Oct-2018","        123.10","        124.10","        126.40","        121.95","        125.05","        125.20","        123.46","     971435","           119934070.00","       4818","     823607","         84.78"
"INDHOTEL","EQ","15-Oct-2018","        125.20","        126.50","        127.75","        125.50","        126.00","        126.90","        126.66","     366306","            46397051.80","       6184","     222794","         60.82"
"INDHOTEL","EQ","16-Oct-2018","        126.90","        126.00","        127.75","        123.55","        124.00","        124.00","        125.13","     309458","            38723522.95","       5112","     199696","         64.53"
"INDHOTEL","EQ","17-Oct-2018","        124.00","        125.50","        126.80","        124.80","        125.75","        125.45","        125.70","     563336","            70809655.15","       7672","     364770","         64.75"
"INDHOTEL","EQ","19-Oct-2018","        125.45","        124.90","        126.00","        121.25","        121.90","        122.25","        122.58","     604459","            74094266.85","      23902","     496165","         82.08"
"INDHOTEL","EQ","22-Oct-2018","        122.25","        123.00","        128.95","        120.45","        128.50","        128.25","        126.45","    1207307","           152666670.85","      29900","     826648","         68.47"
"INDHOTEL","EQ","23-Oct-2018","        128.25","        128.00","        128.00","        123.35","        124.75","        124.85","        124.93","     927921","           115922701.60","       8576","     735910","         79.31"
"INDHOTEL","EQ","24-Oct-2018","        124.85","        125.00","        126.35","        123.05","        125.90","        125.20","        124.48","     630421","            78473778.90","       6143","     491947","         78.03"
"INDHOTEL","EQ","25-Oct-2018","        125.20","        124.90","        128.80","        123.60","        128.35","        127.45","        125.34","    1027461","           128786331.20","       7285","     834339","         81.20"
"INDHOTEL","EQ","26-Oct-2018","        127.45","        128.30","        129.45","        125.25","        128.90","        128.60","        126.58","     750265","            94969230.80","       7111","     612302","         81.61"
"INDHOTEL","EQ","29-Oct-2018","        128.60","        127.30","        127.90","        125.45","        126.40","        126.85","        126.98","    1847840","           234638793.00","       4227","    1755308","         94.99"
"INDHOTEL","EQ","30-Oct-2018","        126.85","        126.00","        127.90","        124.80","        127.50","        127.00","        126.32","     447578","            56538627.95","       4951","     314477","         70.26"
"INDHOTEL","EQ","31-Oct-2018","        127.00","        127.50","        130.00","        126.00","        129.00","        128.80","        126.88","    2230016","           282941219.65","       5889","    2049537","         91.91"
"INDHOTEL","EQ","01-Nov-2018","        128.80","        128.05","        132.00","        128.00","        131.10","        130.80","        130.78","     653227","            85431562.75","       5214","     472742","         72.37"
