"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDOTECH","EQ","11-Sep-2018","        132.75","        135.30","        135.30","        128.80","        129.70","        130.25","        130.86","       1636","              214093.95","         65","       1152","         70.42"
"INDOTECH","EQ","12-Sep-2018","        130.25","        132.85","        132.85","        129.10","        129.20","        129.55","        130.02","        649","               84381.00","         30","        348","         53.62"
"INDOTECH","EQ","14-Sep-2018","        129.55","        132.05","        137.00","        125.25","        133.50","        134.30","        131.80","       2302","              303405.80","        115","       1113","         48.35"
"INDOTECH","EQ","17-Sep-2018","        134.30","        133.00","        134.00","        131.75","        134.00","        134.00","        133.19","        129","               17181.00","         11","        108","         83.72"
"INDOTECH","EQ","18-Sep-2018","        134.00","        135.75","        135.75","        130.05","        130.20","        130.40","        131.77","       1933","              254708.95","         52","       1407","         72.79"
"INDOTECH","EQ","19-Sep-2018","        130.40","        129.00","        135.00","        124.55","        130.00","        130.95","        133.05","       3090","              411113.35","        116","       2013","         65.15"
"INDOTECH","EQ","21-Sep-2018","        130.95","        129.25","        131.50","        126.60","        126.60","        126.65","        129.47","       4085","              528868.60","         89","       3495","         85.56"
"INDOTECH","EQ","24-Sep-2018","        126.65","        125.00","        127.00","        115.20","        117.95","        117.25","        119.34","      12329","             1471294.00","        247","       9397","         76.22"
"INDOTECH","EQ","25-Sep-2018","        117.25","        119.55","        119.55","        111.00","        116.40","        115.90","        115.43","       4408","              508798.00","        132","       2875","         65.22"
"INDOTECH","EQ","26-Sep-2018","        115.90","        118.15","        118.15","        109.20","        109.30","        111.30","        111.68","       4094","              457236.50","         92","       3638","         88.86"
"INDOTECH","EQ","27-Sep-2018","        111.30","        113.45","        115.45","        101.20","        105.00","        103.95","        104.21","      13203","             1375950.55","        326","       9155","         69.34"
"INDOTECH","EQ","28-Sep-2018","        103.95","        102.40","        102.40","         93.20","         95.00","         94.70","         98.21","       6816","              669373.15","        161","       5929","         86.99"
"INDOTECH","EQ","01-Oct-2018","         94.70","         90.45","         96.50","         90.45","         95.00","         94.10","         93.89","       3314","              311142.10","        109","       2701","         81.50"
"INDOTECH","EQ","03-Oct-2018","         94.10","         95.40","         99.80","         91.10","         96.75","         96.65","         96.68","       7121","              688469.80","        169","       4482","         62.94"
"INDOTECH","EQ","04-Oct-2018","         96.65","         98.40","         98.40","         95.40","         96.70","         96.65","         97.33","       2831","              275546.85","         49","       2613","         92.30"
"INDOTECH","EQ","05-Oct-2018","         96.65","         96.00","         97.70","         86.30","         89.00","         89.55","         91.36","       8096","              739687.70","        171","       6383","         78.84"
"INDOTECH","EQ","08-Oct-2018","         89.55","         88.65","         91.25","         86.35","         88.70","         87.70","         88.83","       4608","              409337.15","         85","       3788","         82.20"
"INDOTECH","EQ","09-Oct-2018","         87.70","         89.45","         91.70","         83.85","         86.00","         84.20","         85.39","       4194","              358139.75","         86","       3369","         80.33"
"INDOTECH","EQ","10-Oct-2018","         84.20","         85.85","         94.75","         85.00","         93.00","         93.60","         90.87","       5560","              505223.55","        136","       3811","         68.54"
"INDOTECH","EQ","11-Oct-2018","         93.60","         93.00","         95.00","         85.00","         87.60","         87.80","         88.95","       5392","              479599.55","        161","       3609","         66.93"
"INDOTECH","EQ","12-Oct-2018","         87.80","         89.55","         95.65","         89.05","         95.65","         94.40","         93.06","       3203","              298069.85","         95","       2092","         65.31"
"INDOTECH","EQ","15-Oct-2018","         94.40","         94.00","         98.45","         92.10","         96.00","         95.75","         95.40","       1820","              173633.45","         60","       1264","         69.45"
"INDOTECH","EQ","16-Oct-2018","         95.75","         94.00","        102.85","         93.10","        102.00","        101.75","         98.32","       4043","              397495.15","        148","       2259","         55.87"
