"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INNOVANA","SM","17-Sep-2018","        399.00","        399.00","        399.00","        399.00","        399.00","        399.00","        399.00","      10000","             3990000.00","          1","      10000","        100.00"
"INNOVANA","SM","19-Sep-2018","        399.00","        380.00","        380.00","        379.05","        379.05","        379.85","        379.84","       2400","              911620.00","          2","       2000","         83.33"
"INNOVANA","SM","21-Sep-2018","        379.85","        397.50","        397.50","        397.50","        397.50","        397.50","        397.50","        400","              159000.00","          1","        400","        100.00"
"INNOVANA","SM","24-Sep-2018","        397.50","        397.50","        397.50","        377.65","        377.65","        377.65","        387.58","        800","              310060.00","          2","        800","        100.00"
"INNOVANA","SM","25-Sep-2018","        377.65","        396.00","        396.00","        396.00","        396.00","        396.00","        396.00","        400","              158400.00","          1","        400","        100.00"
"INNOVANA","SM","27-Sep-2018","        396.00","        376.20","        376.20","        376.20","        376.20","        376.20","        376.20","        400","              150480.00","          1","        400","        100.00"
"INNOVANA","SM","28-Sep-2018","        376.20","        362.00","        362.00","        362.00","        362.00","        362.00","        362.00","        400","              144800.00","          1","        400","        100.00"
"INNOVANA","SM","01-Oct-2018","        362.00","        343.90","        343.90","        343.90","        343.90","        343.90","        343.90","       1200","              412680.00","          2","       1200","        100.00"
"INNOVANA","SM","03-Oct-2018","        343.90","        331.00","        343.90","        330.00","        343.90","        343.90","        333.73","       1600","              533960.00","          4","       1600","        100.00"
"INNOVANA","SM","04-Oct-2018","        343.90","        343.00","        343.00","        328.00","        328.00","        328.00","        334.36","       2000","              668720.00","          4","       2000","        100.00"
"INNOVANA","SM","05-Oct-2018","        328.00","        332.00","        332.00","        332.00","        332.00","        332.00","        332.00","        400","              132800.00","          1","        400","        100.00"
"INNOVANA","SM","08-Oct-2018","        332.00","        321.00","        322.00","        315.40","        316.00","        316.00","        319.17","       4800","             1532000.00","         12","       4800","        100.00"
"INNOVANA","SM","10-Oct-2018","        316.00","        331.80","        331.80","        331.80","        331.80","        331.80","        331.80","        400","              132720.00","          1","        400","        100.00"
"INNOVANA","SM","11-Oct-2018","        331.80","        348.00","        348.00","        348.00","        348.00","        348.00","        348.00","        400","              139200.00","          1","        400","        100.00"
"INNOVANA","SM","12-Oct-2018","        348.00","        331.00","        365.40","        331.00","        365.40","        365.40","        348.20","        800","              278560.00","          2","        800","        100.00"
"INNOVANA","SM","15-Oct-2018","        365.40","        383.65","        383.65","        383.65","        383.65","        383.65","        383.65","        800","              306920.00","          2","        400","         50.00"
"INNOVANA","SM","16-Oct-2018","        383.65","        402.80","        402.80","        365.10","        365.10","        365.10","        383.95","        800","              307160.00","          2","        800","        100.00"
"INNOVANA","SM","17-Oct-2018","        365.10","        383.35","        383.35","        383.35","        383.35","        383.35","        383.35","        400","              153340.00","          1","        400","        100.00"
"INNOVANA","SM","19-Oct-2018","        383.35","        370.00","        370.00","        370.00","        370.00","        370.00","        370.00","        400","              148000.00","          1","        400","        100.00"
"INNOVANA","SM","01-Nov-2018","        370.00","        381.00","        381.00","        381.00","        381.00","        381.00","        381.00","        400","              152400.00","          1","        400","        100.00"
"INNOVANA","SM","02-Nov-2018","        381.00","        370.00","        370.00","        370.00","        370.00","        370.00","        370.00","       1600","              592000.00","          2","       1600","        100.00"
"INNOVANA","SM","05-Nov-2018","        370.00","        382.00","        382.00","        382.00","        382.00","        382.00","        382.00","        400","              152800.00","          1","        400","        100.00"
"INNOVANA","SM","12-Nov-2018","        382.00","        385.00","        385.00","        385.00","        385.00","        385.00","        385.00","       1200","              462000.00","          1","       1200","        100.00"
"INNOVANA","SM","15-Nov-2018","        385.00","        401.00","        404.25","        400.00","        401.00","        401.00","        402.23","       4400","             1769800.00","          9","       4000","         90.91"
